1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2021:Q1,101745,62250,58927,-2684,-8056,1336,45577,8028,-14325,51874,1904,64784,-120,-43815,-17369,-25525,-77523,2025,-79548,-11928,-10344,-1584,948,1664,61314,-2672,63986,8156,-36801,3132
2021:Q2,108591,63453,79064,2120,6360,24708,62928,27888,-3807,38847,-2100,1104,8,-16064,120052,107532,11947,-6597,18544,162988,162944,44,-276,-2172,-64954,-42136,-22818,12520,86126,4712
2021:Q3,99733,63165,-133056,2268,6812,1232,-67224,-52616,-24058,9449,-2496,13232,0,-86880,-178140,-184044,-15216,1780,-16996,-28232,-28244,12,608,-3976,-137228,-18320,-118908,5904,-8516,-18076
2021:Q4,101196,64436,-220198,-16700,-50100,45440,-154528,-113684,-12006,-28838,-8756,18480,0,-54034,-214022,-222710,-164111,1229,-165340,-56992,-56972,-20,188,444,-2239,17912,-20151,8688,42936,-28908
2022:Q1,93320,62138,-131300,-30104,-90320,-14284,-15806,21056,-20601,-16261,-7044,32776,0,-6517,-201272,-205560,-67121,-21149,-45972,-186848,-186884,36,232,1352,46825,-19228,66053,4288,-38790,-36064
2022:Q2,91523,64071,38913,-2744,-8228,-14396,25794,66578,-10280,-30503,2072,16796,-8,19626,75769,74677,-40891,2785,-43676,-57364,-57328,-36,-532,4204,169260,35772,133488,1092,64308,-38520
2022:Q3,90744,65770,20119,-10196,-30592,244,32948,55155,-14754,-7453,-13248,40796,-4,171,-121737,-126089,-72157,30891,-103048,-5444,-5392,-52,1072,-832,-48728,-17244,-31484,4352,-116882,-39296
2022:Q4,89572,66029,198592,4396,13192,11440,102880,98171,16,4693,628,42616,4,23436,119404,125088,88406,23054,65352,16928,16832,96,-852,2772,17835,-33116,50951,-5684,-55645,-33320
2023:Q1,80398,66825,44148,3112,9340,-50204,-7953,-10900,-20811,23758,7568,28948,-4,53341,55356,62288,24609,-21547,46156,-50500,-50460,-40,-1464,-1168,90812,73164,17648,-6932,24781,-19376
2023:Q2,83628,67827,244786,3620,10852,-8484,172607,103025,-4793,74375,-5236,27920,8,43499,182374,185370,136649,29289,107360,36152,36092,60,-184,384,12369,-63148,75517,-2996,-46611,-6192
2023:Q3,82983,67652,193515,916,2752,-6540,125321,84318,-13697,54699,3340,23608,4,44114,207583,205059,54836,21156,33680,-2800,-2880,80,392,2232,150399,109020,41379,2524,29399,-3980
2023:Q4,87098,67946,177395,12324,36972,-38028,130805,103662,1725,25419,3580,-13084,4,44821,194503,199535,156682,13818,142864,-6232,-6260,28,-600,6324,43361,-104012,147373,-5032,36260,-2244
2024:Q1,85290,68749,107913,-10076,-30228,-2276,18486,25228,-22817,16076,5368,-12304,-4,138947,135617,134561,75682,-65782,141464,72084,72140,-56,909,-704,-13410,-43004,29594,1056,44245,-4240
