date,FU344090055.Q,FU344022025.Q,FU343061113.Q,FU343061723.Q,FU343063023.Q,FU343069055.Q,FU343064125.Q,FU344090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
2021:Q1,4273,-697,-275,-194,-228,-461,5431,4273
2021:Q2,6488,-413,-163,-115,-135,2750,4151,6488
2021:Q3,-2395,-284,-112,-79,-93,1606,-3717,-2395
2021:Q4,-5012,1042,868,983,-809,-10931,4877,-5012
2022:Q1,19559,-472,-191,-143,-138,27496,-7465,19559
2022:Q2,7940,-1725,-697,-523,-505,5340,4325,7940
2022:Q3,-6541,-580,-234,-176,-170,-3156,-2805,-6541
2022:Q4,-20624,867,669,-322,520,-22770,1279,-20624
2023:Q1,3167,370,153,111,106,2512,285,3167
2023:Q2,3812,862,357,258,247,-971,3921,3812
2023:Q3,4642,-296,-122,-89,-85,-757,5695,4642
2023:Q4,4363,312,131,89,92,1555,2496,4363
2024:Q1,2277,262,110,75,77,-1328,3343,2277
