1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,527,146,500,-119,527,-266,5,0,4,0,602,0,5,-1,133,36,10,3,0,-4,0
1964:Q2,841,156,424,261,841,-220,7,0,4,0,788,0,7,0,194,39,10,3,0,9,0
1964:Q3,1176,151,744,281,1176,-169,7,0,10,0,1031,0,7,0,228,34,14,9,0,5,0
1964:Q4,1331,152,1197,-18,1331,-154,5,0,8,0,946,0,5,0,454,38,17,11,0,1,0
1965:Q1,803,178,663,-38,803,-241,2,0,6,0,615,0,2,4,345,38,17,13,0,2,0
1965:Q2,1215,187,341,688,1215,-217,0,0,4,0,975,0,0,6,336,71,20,14,0,6,0
1965:Q3,1216,181,452,583,1216,-216,0,0,8,0,920,0,0,7,412,33,22,18,0,12,0
1965:Q4,1248,172,896,180,1248,-214,2,0,8,0,773,0,2,5,610,24,22,18,0,-2,0
1966:Q1,1346,178,494,674,1346,25,5,0,-22,0,794,0,5,-2,461,35,26,21,0,-2,0
1966:Q2,1779,180,1060,539,1779,185,7,0,15,0,960,0,7,0,526,28,30,22,0,-1,0
1966:Q3,1521,184,907,430,1521,126,8,0,10,0,719,0,8,0,560,37,30,23,0,0,0
1966:Q4,1151,156,846,149,1151,27,6,0,10,0,492,0,6,3,510,58,26,24,0,-11,0
1967:Q1,750,193,514,43,750,-101,1,0,8,0,315,0,1,5,451,24,22,25,0,-1,0
1967:Q2,1344,48,279,1017,1344,32,-2,0,7,0,847,0,-2,5,396,-1,23,26,0,13,0
1967:Q3,1347,198,204,945,1347,15,-2,0,22,0,898,0,-2,5,342,24,11,29,0,5,0
1967:Q4,1325,2547,-1765,543,1325,20,1,0,19,0,808,0,1,4,431,7,10,27,0,-3,0
1968:Q1,1294,-2133,3341,86,1294,-133,89,0,26,0,846,0,-6,3,367,5,20,26,0,-5,56
1968:Q2,1606,162,191,1253,1606,-161,119,0,26,0,1181,0,-2,2,326,-8,17,25,0,10,71
1968:Q3,1813,181,514,1118,1813,33,79,0,17,0,1151,0,-1,2,449,8,5,16,0,7,47
1968:Q4,2092,149,961,982,2092,-263,155,0,18,0,1265,0,-3,1,779,2,18,15,0,13,92
1969:Q1,1348,185,846,317,1348,172,69,0,19,0,692,0,23,2,319,4,8,14,0,-1,27
1969:Q2,1425,198,-521,1748,1425,-142,152,100,20,0,796,0,37,1,358,-3,9,14,0,15,68
1969:Q3,1479,182,-286,1583,1479,-57,97,100,21,0,787,0,41,1,423,17,4,17,0,-5,33
1969:Q4,1933,149,782,1002,1933,-115,184,100,22,0,694,0,35,3,882,22,-17,16,0,20,87
1970:Q1,-101,314,10360,-10775,-101,-737,-91,100,24,92,306,0,-42,8,292,6,18,15,0,-64,-28
1970:Q2,2303,186,640,1477,2303,762,135,100,22,25,416,0,8,12,483,-2,50,15,0,202,75
1970:Q3,2804,218,539,2047,2804,1088,141,100,14,48,782,0,6,13,350,27,42,12,0,103,78
1970:Q4,2446,168,797,1481,2446,-31,252,100,14,22,1214,0,6,12,523,-27,105,10,0,101,145
1971:Q1,1197,278,920,-1,1197,-649,142,100,14,64,907,0,5,0,404,2,-3,11,0,120,80
1971:Q2,2390,-70,723,1737,2390,-542,193,100,12,49,1876,0,-20,-5,425,-30,13,11,0,183,125
1971:Q3,3237,235,649,2353,3237,-490,218,100,36,97,2339,0,21,-7,650,-12,-8,36,0,140,117
1971:Q4,3656,131,1571,1955,3656,-553,234,100,38,16,2344,0,19,-10,1006,133,11,35,0,157,126
1972:Q1,3051,214,2792,45,3051,-37,134,100,11,91,2027,0,-2,-8,350,7,25,-83,0,357,79
1972:Q2,4272,186,1040,3046,4272,159,250,100,-6,89,2817,0,-38,-11,500,-66,-1,36,0,273,170
1972:Q3,4018,214,1430,2374,4018,115,308,100,-7,6,2788,0,72,-11,707,-55,40,40,0,-224,139
1972:Q4,5838,153,2475,3210,5838,466,383,100,-217,65,3003,0,-45,-12,1548,-59,82,285,0,-12,251
1973:Q1,4085,276,2160,1649,4085,-376,348,67,-6,88,2762,20,38,-5,699,-4,108,0,0,164,182
1973:Q2,5755,33,6027,-305,5755,219,484,59,-51,31,3404,-6,36,-3,1056,-37,157,103,0,40,263
1973:Q3,5027,237,10356,-5566,5027,-692,611,39,68,33,3150,16,12,-2,1288,-35,58,-20,0,150,351
1973:Q4,4671,66,10853,-6248,4671,-205,236,23,-113,41,2291,22,12,-5,1845,51,151,174,0,16,132
1974:Q1,3749,291,1768,1690,3749,-25,233,76,54,68,2074,8,73,-2,901,10,78,-6,0,113,94
1974:Q2,4922,31,351,4540,4922,-38,54,66,147,52,3139,6,74,-2,1182,-13,111,-53,0,208,-11
1974:Q3,2668,247,-2780,5201,2668,-1012,253,39,40,5,1784,16,146,-1,1160,-11,51,0,0,136,62
1974:Q4,3334,42,-628,3920,3334,-26,5,19,105,216,956,18,129,-4,1517,7,229,0,0,235,-72
1975:Q1,2132,212,-516,2436,2132,864,-480,-28,71,56,694,115,61,-6,1012,43,107,0,0,-55,-322
1975:Q2,3027,17,810,2200,3027,691,-542,-24,163,0,1905,133,15,21,997,2,116,0,0,-104,-346
1975:Q3,3600,282,1451,1867,3600,894,-674,-16,83,-3,2763,-62,52,19,777,28,83,0,0,101,-445
1975:Q4,3922,11,1443,2468,3922,420,-451,-9,192,-9,2774,-101,54,30,1154,55,-6,0,0,138,-319
1976:Q1,2228,188,-631,2671,2228,-263,126,1,80,2,1572,-20,-26,0,691,26,33,0,0,118,-112
1976:Q2,3124,171,2054,899,3124,-54,-197,30,37,-1,2372,-3,-27,24,592,-8,75,-10,0,408,-114
1976:Q3,3772,141,2416,1215,3772,0,-223,98,169,21,2739,-34,-20,-1,857,0,85,10,0,188,-117
1976:Q4,4037,61,2033,1943,4037,-318,-201,156,88,-19,2521,-39,-17,29,1528,70,53,0,0,306,-120
1977:Q1,3211,150,675,2386,3211,-111,-102,70,122,43,1983,2,-34,54,693,-11,20,0,0,546,-64
1977:Q2,2895,235,1931,729,2895,-507,-93,105,172,-7,2006,11,-34,41,890,89,135,0,0,150,-63
1977:Q3,5447,150,3687,1611,5447,4,31,190,160,0,3416,-21,90,27,1350,-23,58,0,0,229,-64
1977:Q4,7166,225,5102,1839,7166,76,11,261,128,1,3734,-26,70,-11,2638,-2,153,0,0,197,-64
1978:Q1,4646,264,2729,1654,4646,-103,-157,188,652,14,3093,12,-160,-9,1217,-6,-6,0,0,-77,-12
1978:Q2,5385,326,3801,1258,5385,-11,-147,228,-341,-3,4365,19,-176,-10,1593,49,-68,0,0,-101,-12
1978:Q3,5533,-18,2561,2990,5533,-19,18,328,215,-4,3080,10,0,1,1908,-1,51,0,0,-36,-18
1978:Q4,5589,260,1194,4135,5589,-342,16,409,41,34,2456,7,0,25,3079,3,122,0,0,-255,-6
1979:Q1,4507,78,2846,1583,4507,-350,43,469,282,4,2128,16,1,57,1623,22,35,0,0,182,-5
1979:Q2,6536,36,-576,7076,6536,-433,46,445,168,45,4047,17,5,-20,2109,-26,18,0,0,120,-5
1979:Q3,7642,237,27,7378,7642,-155,47,386,205,83,4080,329,6,30,2394,47,-1,0,0,196,-5
1979:Q4,6065,108,-1863,7820,6065,-244,34,341,186,66,2524,391,9,192,2562,15,106,0,0,-112,-5
1980:Q1,4434,-49,-2678,7161,4434,128,-61,-50,402,18,802,392,-65,124,2634,74,89,0,0,-44,-9
1980:Q2,4952,312,-5188,9828,4952,88,60,26,261,105,1596,391,25,47,2171,30,69,0,0,92,-9
1980:Q3,4919,455,-3237,7701,4919,-168,41,216,264,-17,1548,290,31,44,2191,224,48,0,0,216,-9
1980:Q4,6079,-76,1,6155,6079,-246,47,371,253,54,2051,249,29,129,2750,71,141,0,0,189,-9
1981:Q1,7608,193,379,7036,7608,-628,2375,794,179,17,1786,380,91,61,1950,127,39,0,0,440,-3
