1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q4,55426,15949,39477,55426,12081,1364,241,15018,13188,11711,1477,1840,578,91,202,3887,42,3845,4001,0,4001,-12376,-4663,-7713,0,0,0,10725,4070,3214,856,4683,0,4683,132,0,2444,0,-7044,-37,0,338,-236,574,29272
1987:Q1,15988,-20485,36473,15988,-25449,-2620,-51,21065,-1216,-963,-253,356,1318,30,1249,2536,19,2517,2220,0,2220,166,-3477,3643,0,0,0,7486,-9554,-9042,-512,16737,0,16737,247,0,2290,0,-10246,57,0,9367,2755,6612,8004
1987:Q2,22091,-15145,37236,22091,16148,-4971,-355,-3087,13839,4890,8949,2073,-1025,-32,806,2016,17,1999,-3612,0,-3612,-5713,-6073,360,0,0,0,6688,1732,-1069,2801,3597,0,3597,-224,0,-3464,0,-11018,40,0,8653,542,8111,16033
1987:Q3,17143,-12786,29929,17143,11860,-1063,-394,584,1693,-1917,3610,7016,326,-28,956,1882,33,1849,-395,0,-395,2954,1427,1527,0,0,0,5911,-4977,-2667,-2310,360,0,360,-27,0,1942,0,-9463,0,0,-1994,-3948,1954,18890
1987:Q4,47725,11234,36491,47725,18932,119,-172,-5503,6965,1906,5059,-2951,-1002,41,216,2132,63,2069,742,0,742,2797,2394,403,-155,-155,0,3452,-920,-2804,1884,-6091,0,-6091,570,0,3934,0,5032,18,0,19569,11996,7573,26772
1988:Q1,32357,3150,29207,32357,-6036,-471,-3,5863,-1410,-435,-975,-2897,1009,-183,1272,2246,103,2143,61,0,61,-9447,-5779,-3668,1,0,1,4704,543,441,102,-1580,0,-1580,673,0,3469,0,982,-80,0,33641,6484,27157,4970
1988:Q2,11953,-10355,22308,11953,27201,-4439,101,-7650,4954,-1783,6737,-6750,-112,124,1029,2224,153,2071,1309,0,1309,936,157,779,156,155,1,-630,-1725,-1459,-266,2540,0,2540,1270,0,-4351,0,-15550,-10,0,11326,-635,11961,12576
1988:Q3,30861,16159,14702,30861,23105,-119,182,-8244,1123,1123,0,-1948,-62,139,387,2363,149,2214,283,0,283,9762,9293,469,2,0,2,5800,-2276,697,-2973,-1339,0,-1339,871,0,1193,0,-53,18,0,-326,1158,-1484,16983
1988:Q4,37630,15519,22111,37630,20785,1172,239,4491,10089,6186,3903,-8032,-718,113,566,2661,89,2572,111,0,111,-1528,-2011,483,-154,-155,1,1919,721,498,223,-1510,0,-1510,382,0,4960,0,-16090,83,0,17370,6307,11063,23142
1989:Q1,31722,3050,28672,31722,12438,9207,337,-11252,-5019,-4771,-248,5153,-414,96,-446,2671,30,2641,-1591,0,-1591,-8266,-4976,-3290,2,0,2,398,1175,534,641,-406,0,-406,700,0,1011,0,11737,-4,0,14195,-6193,20388,1726
1989:Q2,5629,-19951,25580,5629,18423,2576,474,1100,3124,1020,2104,-19776,-406,89,-667,2888,-34,2922,-2058,0,-2058,5170,3949,1221,157,155,2,607,-1653,-660,-993,-4569,0,-4569,489,0,-20008,0,26914,-8,0,-7237,-9128,1891,11106
1989:Q3,30696,9528,21168,30696,1631,5023,476,-1367,-10716,-10544,-172,-12329,26,84,-505,2857,-34,2891,-2348,0,-2348,5590,3317,2273,2,0,2,1534,1580,499,1081,2376,0,2376,293,0,7450,0,3750,-31,0,25320,121,25199,18248
1989:Q4,50036,24051,25985,50036,359,6693,341,4590,5724,6094,-370,-1373,616,81,-707,2573,27,2546,156,0,156,7180,5600,1580,2,0,2,-802,2117,1888,229,-267,0,-267,347,0,-1724,0,26501,141,0,-2512,-8757,6245,30128
1990:Q1,12504,22429,-9925,12504,-19802,-7307,237,31785,-8876,-9077,201,12872,2501,75,-872,2225,100,2125,6417,0,6417,-11295,-8500,-2795,5,0,5,10368,16514,15077,1437,4611,0,4611,22,0,5517,0,-24492,67,0,-8068,-3338,-4730,33634
1990:Q2,30090,428,29662,30090,4655,1567,164,3117,13484,13334,150,-3883,307,68,-954,1808,183,1625,-197,0,-197,5407,3277,2130,5,0,5,5537,-3374,-4520,1146,-172,0,-172,-90,0,5435,0,-8219,-167,0,5592,1913,3679,12944
1990:Q3,58788,28949,29839,58788,37955,-9076,105,5292,2990,2990,0,263,1228,66,-952,1911,161,1750,990,0,990,3192,3137,55,10,0,10,1846,6017,1510,4507,96,0,96,-5,0,16137,0,-22134,-22,0,12879,1409,11470,18294
1990:Q4,73298,44961,28337,73298,9552,1033,60,3724,717,692,25,-8484,956,69,-791,2529,29,2500,-771,0,-771,2554,2644,-90,10,0,10,-1912,11497,6291,5206,952,0,952,274,0,-5753,0,40616,-173,0,16639,5712,10927,32546
1991:Q1,48075,5847,42228,48075,-22426,-3147,-15,6504,5875,1725,4150,11958,3346,53,645,5153,-90,5243,3939,0,3939,-7555,-9078,1523,25,0,25,8909,20626,8371,12255,7674,0,7674,578,0,15160,0,-14092,-29,0,4894,5326,-432,2581
1991:Q2,39716,-11718,51434,39716,7217,224,-124,-424,6519,5069,1450,10754,-2247,17,384,7236,-237,7473,2143,0,2143,-543,-1002,459,25,0,25,1609,-10542,-9267,-1275,4645,0,4645,899,0,486,0,1136,386,0,9916,-1244,11160,14337
1991:Q3,103302,43045,60257,103302,6870,7495,-119,16300,11070,9255,1815,16939,1889,55,552,7146,-225,7371,7354,0,7354,2710,2533,177,24,0,24,-14805,9291,11985,-2694,5148,0,5148,945,0,4788,0,14583,642,0,4425,6143,-1718,13843
1991:Q4,82392,25800,56592,82392,2117,1205,-5,3683,7932,4066,3866,9774,6431,166,3948,4880,-56,4936,5658,0,5658,80,-1365,1445,29,0,29,1546,14808,11571,3237,10979,0,10979,715,0,-2248,0,-3235,-506,0,14435,3713,10722,26141
1992:Q1,83140,25429,57711,83140,31347,-1415,107,26429,-690,-3143,2453,25709,-2181,277,2325,4206,112,4094,2639,0,2639,-10627,-10831,204,41,0,41,6410,5242,1527,3715,-17514,0,-17514,523,0,12852,0,-21106,2964,0,15602,9148,6454,-3281
1992:Q2,58696,2400,56296,58696,8227,15600,204,-28524,11087,7357,3730,7298,4936,388,2031,2625,279,2346,2107,0,2107,-847,-381,-466,32,0,32,6055,-5160,-2428,-2732,3514,0,3514,365,0,-2462,0,9776,-38,0,21482,8790,12692,14469
1992:Q3,73563,16069,57494,73563,21153,-5319,480,-1963,2829,-3097,5926,16750,1744,425,1419,-1651,293,-1944,4006,0,4006,2502,395,2107,48,0,48,19718,213,-1833,2046,-4237,0,-4237,340,0,3648,0,5234,1635,0,4589,6210,-1621,15241
1992:Q4,76930,23374,53556,76930,21129,8297,-64,-7095,15299,8042,7257,5837,4249,388,88,384,158,226,2618,0,2618,397,-207,604,41,0,41,5857,-272,2288,-2560,8090,0,8090,447,0,3910,0,-7230,648,0,13912,-7238,21150,24782
1993:Q1,54380,2216,52164,54380,10399,-17646,312,17783,3450,310,3140,11050,2222,395,1275,3177,35,3142,7492,0,7492,-9549,-10138,589,40,0,40,1416,-1946,-2769,823,9943,0,9943,518,0,-2397,0,2662,-659,0,14443,9449,4994,-3295
1993:Q2,49277,-597,49874,49277,-6773,4887,98,6180,14682,9692,4990,-3629,-140,447,1316,4233,-71,4304,5693,0,5693,-1200,404,-1604,60,0,60,6428,-1286,1089,-2375,5269,0,5269,518,0,3053,0,3677,388,0,5376,7115,-1739,20319
1993:Q3,42630,-899,43529,42630,-2079,5248,67,-16971,6214,186,6028,5323,254,395,-511,4437,-86,4523,7283,0,7283,12767,9677,3090,76,0,76,10455,-1920,-3025,1105,1352,0,1352,518,0,5996,0,-18356,-274,0,22356,21133,1223,14205
1993:Q4,82614,56250,26364,82614,42322,-4239,147,-385,12658,8386,4272,2158,4186,241,532,3791,-6,3797,1344,0,1344,-6356,-5540,-816,58,0,58,-4383,5962,10556,-4594,15521,0,15521,518,0,-13761,0,-8639,-219,0,31158,11398,19760,25275
1994:Q1,52718,6515,46203,52718,36702,8698,-2476,2441,5245,2579,2666,20096,3107,-373,1102,2008,-105,2113,-3332,0,-3332,-297,-2775,2478,70,0,70,6885,-11516,-11046,-470,-15719,0,-15719,-238,0,5473,0,-16517,550,0,10809,-3129,13938,-9079
