date,FU174090005.Q,FU153091003.Q,FU173020005.Q,FU173030005.Q,FU173034005.Q,FU174022005.Q,FU173061105.Q,FU153061705.Q,FU173062005.Q,FU153063005.Q,FU174023005.Q,FU153064105.Q,FU153064205.Q,FU163070005.Q,FU153040005.Q,FU153050005.Q,FU173099005.Q,FU175050005.Q,FU175012005.Q,FU175013005.Q,FU155111003.Q,FU155420003.Q,FU115020005.Q,FU176300005.Q,FU176320005.Q,FU176330005.Q,FU156300103.Q,FU172010005.Q,FU175012865.Q,FU175013865.Q,FU155111005.Q,FU155420003.Q,FU115020005.Q,FU174190005.Q,FU173165105.Q,FU173165205.Q,FU153166000.Q,FU173169005.Q,FU173199005.Q,FU175440005.Q,FU176007025.Q,FU155111005.Q,FU313154015.Q,FU156600075.Q,FU176007005.Q,FU156007015.Q,FU176007085.Q,FU156012005.Q,FU176007026.Q,FU176007006.Q,FU156007016.Q,FU176007086.Q
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,20894,0,2790,2365,0,554,-1008,92,1741,-271,1398,648,211,0,2945,8430,1553,61861,20621,10340,30690,0,210,29804,4986,5978,18827,32057,15635,4363,11863,0,210,18115,7844,2132,4573,1077,2490,825,35661,11863,547,0,23251,19997,3254,214823,16.60024274348803,10.823393895832053,9.30859358634783,1.5148003094842228
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,29133,0,4935,4970,0,-93,-603,-42,275,277,494,1354,266,0,2728,13803,676,60470,18564,10521,29961,0,1424,35252,5608,6907,22720,25218,12956,3614,7241,0,1424,12387,6542,2328,1403,577,1538,940,42903,7241,291,18,35389,25879,9510,237177,18.08903754152706,14.920939454444415,10.911260366730332,4.009679087714084
1952:Q1,9605,0,-883,1292,0,2469,819,44,1759,-153,726,239,144,0,668,3976,974,14592,4544,2522,7242,0,285,8957,1473,1800,5679,5635,3071,721,1563,0,285,1835,1274,410,-753,170,734,259,13664,1563,77,287,12311,3288,9023,57300,23.846301948479553,21.485045403976937,5.737347294938918,15.747698109038016
1952:Q2,7840,0,-1911,2275,0,2164,-270,-123,2336,221,323,143,128,0,708,3921,89,14866,4667,2486,7296,0,417,9146,1491,1820,5830,5721,3176,666,1466,0,417,5412,1732,764,2281,189,446,270,8418,1466,186,100,6866,7945,-1079,63016,13.359214515890386,10.896347942321768,12.60790910245017,-1.7115611601284029
1952:Q3,11618,0,2609,1529,0,1671,1125,0,771,-225,276,109,125,0,739,3900,660,14415,4665,2233,6934,0,584,9224,1511,1838,5872,5191,3154,395,1062,0,584,3786,1842,595,1087,63,199,276,13299,1062,84,-69,12084,8202,3882,63946,20.797293253782744,18.89724516614596,12.826497460738203,6.070747705407756
1952:Q4,10423,0,1857,2378,0,414,197,-1,351,-133,668,124,108,0,773,3935,166,15464,4886,2471,7935,0,172,9415,1534,1854,6023,6050,3353,618,1912,0,172,4380,1776,331,2557,88,-372,251,12344,1912,41,-296,10095,8372,1722,66192,18.64867884083171,15.250622421840063,12.648384063088958,2.6022383587511064
1953:Q1,9478,0,671,1894,0,39,-781,53,918,-151,480,160,137,0,774,4022,1301,16204,4969,2593,8415,0,228,9323,1544,1884,5891,6881,3425,709,2524,0,228,3644,1590,237,379,336,1102,306,13022,2524,51,348,10794,3569,7225,62327,20.892555237234784,17.319063812972427,5.726250260721677,11.592813552250748
1953:Q2,8565,0,-3310,2632,0,3837,2619,83,868,267,17,295,83,0,760,4168,83,15917,4992,2665,8375,0,-114,9522,1568,1898,6051,6395,3424,766,2324,0,-114,5444,2219,709,1771,295,450,263,9780,2324,137,115,7434,9402,-1968,68649,14.24608704432622,10.828690514891964,13.695078206085325,-2.8663876911933626
1953:Q3,9938,0,2587,1578,0,319,-189,74,799,-365,155,-15,77,0,738,4175,324,16079,4847,2775,8269,0,188,9660,1590,1912,6153,6419,3257,863,2117,0,188,3368,1980,456,682,-9,259,278,13267,2117,82,-63,11006,7524,3482,66979,19.808188065004014,16.431769248728827,11.232956475326313,5.198812773402511
1953:Q4,7801,0,1140,2131,0,-683,-1198,-55,331,239,664,-69,86,0,710,4226,-404,16070,4788,2759,8056,0,468,9741,1611,1926,6200,6329,3177,833,1856,0,468,1570,1733,229,1260,65,-1717,301,12861,1856,58,-377,10570,8696,1874,68030,18.904373487745637,15.536753936149102,12.782548939626123,2.754204996522982
1954:Q1,6673,0,-1510,2002,0,339,108,-14,513,-268,26,-41,100,0,692,4020,1045,15572,4813,2630,7958,0,172,10092,1626,1942,6518,5481,3188,688,1439,0,172,1678,1413,271,-1870,269,1595,299,10774,1439,5,400,9730,4214,5516,64052,16.821229451485458,15.190907094953435,6.579055217070572,8.611851877882861
1954:Q2,6825,0,-860,2941,0,-570,-765,0,292,-97,569,115,53,0,679,4072,-174,15825,5141,2640,8136,0,-91,10290,1645,1958,6681,5535,3496,682,1454,0,-91,5277,2263,915,1262,269,568,286,7369,1454,47,183,6051,9091,-3040,69614,10.585725771203215,8.692076123322213,13.05910786943765,-4.367031746115437
1954:Q3,10264,0,4367,1611,0,-1081,-1512,12,568,-149,484,-114,114,0,669,3923,291,16431,5518,2742,8036,0,136,10278,1665,1977,6631,6153,3853,765,1405,0,136,5279,2722,738,236,352,1231,286,11423,1405,-123,-82,10060,7008,3052,68206,16.748239484551753,14.74914116806084,10.275160085476664,4.473981082584176
1954:Q4,7860,0,508,2742,0,-285,-377,-5,718,-621,967,-298,154,0,662,3992,-582,17022,5862,2810,8478,0,-128,10325,1685,1999,6636,6697,4177,812,1842,0,-128,4534,3020,383,1721,463,-1053,293,10316,1842,-81,-475,8080,7833,247,70189,14.697357836099867,11.511662122755494,11.159195740058058,0.3524663826974352
1955:Q1,10028,0,-233,2092,0,1664,1354,-108,520,-102,277,317,142,0,682,4101,986,18335,6324,2842,9150,0,19,10634,1719,2009,6900,7702,4605,833,2251,0,19,4850,2881,496,-261,626,1108,311,13191,2251,-109,158,11207,5541,5666,69507,18.9775826366374,16.12354328074751,7.9711682678301035,8.152375012917405
1955:Q2,6617,0,-2321,2594,0,1486,581,78,1025,-198,320,-280,121,0,709,4296,-308,19078,6469,3118,9691,0,-201,10801,1748,2037,7010,8277,4721,1081,2682,0,-201,9246,3460,747,3053,277,1709,279,5927,2682,50,483,3678,6624,-2946,71917,8.240868587497042,5.114347737072248,9.210617795514274,-4.096270058442025
1955:Q3,12699,0,3559,1494,0,2042,947,115,851,129,286,-69,169,0,758,4260,200,19522,6376,3300,10099,0,-252,10992,1786,2068,7132,8530,4590,1231,2967,0,-252,7091,3335,678,1788,253,1037,311,14449,2967,10,-103,11369,7466,3903,73864,19.56141809125018,15.391239891524332,10.10746137313635,5.283778518387985
1955:Q4,9359,0,448,2421,0,1092,-389,373,814,294,667,-50,140,0,756,4271,-386,19430,6111,3298,9859,0,162,11240,1833,2102,7298,8190,4278,1196,2561,0,162,5503,2904,183,2406,4,6,352,12397,2561,-7,-512,9332,8568,764,76011,16.310001763261038,12.277046115248408,11.2720156555773,1.0050304596711084
1956:Q1,10869,0,-627,2163,0,2166,1463,116,395,192,441,-38,314,0,850,4469,1131,18669,6003,3197,9393,0,76,11851,1834,2194,7816,6818,4169,1003,1577,0,76,3422,2420,781,-698,135,784,368,14633,1577,65,271,13262,7133,6129,75021,19.50462834442671,17.677800433482073,9.508036110009565,8.169764323472508
1956:Q2,8550,0,-1405,2979,0,1338,-214,237,867,448,362,-555,35,0,909,4648,239,18304,6064,3105,9427,0,-292,12046,1886,2227,7927,6259,4178,879,1501,0,-292,6967,2971,993,2030,226,747,431,8273,1501,194,641,7219,7960,-740,76545,10.808030654301634,9.43170707781998,10.398852954817132,-0.9671458769971535
1956:Q3,12772,0,2737,1591,0,1730,531,157,872,170,292,-50,323,0,891,4651,607,18331,5958,3106,9395,0,-128,12213,1933,2252,8021,6118,4025,854,1375,0,-128,4890,2847,849,697,70,427,405,14405,1375,84,-224,12722,9072,3650,78482,18.35408634575367,16.209957296643527,11.559693814166987,4.6502634824765385
1956:Q4,10648,0,1304,2714,0,458,-304,-156,592,326,552,143,114,0,820,4796,-253,18429,5843,3110,9824,0,-348,12462,1978,2271,8205,5967,3864,839,1619,0,-348,3917,2571,260,1602,250,-766,401,13099,1619,52,-658,10770,10488,282,81264,16.11908415021765,13.252799982922884,12.906123579086618,0.3466764038362684
1957:Q1,11600,0,-949,3232,0,2540,1186,-26,637,743,-369,-157,231,0,744,5269,1059,19015,5744,3182,10002,0,86,12188,1940,2364,7876,6827,3804,818,2126,0,86,2437,2106,235,-1338,132,1302,413,16403,2126,35,373,14615,8372,6243,80297,20.42769345490576,18.200953269281808,10.426013506150621,7.774939763131185
1957:Q2,8631,0,-1998,3523,0,1010,327,221,275,187,120,73,224,0,667,5633,-621,18866,5621,3158,9902,0,185,12393,1978,2380,8028,6473,3643,779,1875,0,185,5832,2188,699,1981,384,580,478,9750,1875,94,705,8487,8642,-155,81155,12.014205633143813,10.45729874566376,10.648208047612886,-0.19090930194912675
1957:Q3,13041,0,2816,1887,0,2366,1395,-54,714,311,15,-622,193,0,649,5764,-27,18849,5583,3283,9833,0,150,12630,2014,2396,8213,6219,3570,888,1620,0,150,3975,2358,842,748,42,-15,470,15755,1620,-6,-249,13892,9695,4197,83371,18.89709261277317,16.662795812036705,11.628778678373411,5.034017133663294
1957:Q4,10091,0,-102,3295,0,745,233,363,325,-176,384,-558,187,0,678,5947,-485,18329,5554,3335,9737,0,-297,12746,2047,2414,8276,5584,3507,921,1461,0,-297,2975,1977,383,1246,-198,-433,427,13127,1461,-17,-798,10885,10179,706,84276,15.576079277517998,12.915756882515891,12.078540026460834,0.8372168560550582
1958:Q1,11757,0,232,3538,0,455,-628,-255,531,807,194,-540,325,0,721,5427,1405,18200,5312,3277,9142,0,469,13207,2029,2484,8686,4993,3284,793,456,0,469,861,1601,693,-2442,603,406,438,16327,456,-29,317,16217,8935,7282,82918,19.69048670264815,19.55782481934689,10.775838351495198,8.781986467851693
1958:Q2,6407,0,-2973,4130,0,-1738,393,-384,-1065,-682,799,-445,467,0,775,5437,-45,17882,5335,3266,8966,0,316,13448,2057,2504,8879,4434,3278,762,87,0,316,5093,2167,1057,929,690,250,423,6172,87,47,758,6796,8668,-1872,83366,7.403568258583137,8.15207428284211,10.3972914637776,-2.245217180935492
1958:Q3,14865,0,5971,2873,0,-1467,-2377,-26,477,459,570,-207,339,0,794,5467,525,18684,5711,3301,9142,0,531,13481,2083,2526,8864,5203,3627,775,278,0,531,4942,2893,1046,236,211,556,413,15539,278,85,-230,14946,10007,4939,85959,18.077332119659985,17.387761690627066,11.64191779686465,5.745843893762414
1958:Q4,11847,0,1070,3558,0,1172,151,35,822,164,896,-930,277,0,783,5391,-370,19695,6291,3478,9443,0,483,13548,2107,2546,8886,6147,4184,932,557,0,483,6057,3142,648,1550,344,373,421,12358,557,-74,-808,11067,11211,-144,88160,14.017652318054552,12.553266263467606,12.716182330809744,-0.16291606734213995
1959:Q1,12207,0,-467,2175,0,2909,1637,84,845,343,100,-477,428,0,796,5841,902,20592,6991,3463,10155,0,-16,13197,2145,2535,8509,7395,4846,928,1646,0,-16,4665,2788,1283,-499,490,603,423,15360,1646,-35,-289,13460,9680,3781,88517,17.352404233105478,15.206212389142859,10.935156706743602,4.271055682399259
1959:Q2,10110,0,-1171,3759,0,1019,-87,606,608,-108,196,-662,301,0,802,6185,-319,21085,7218,3641,10577,0,-351,13434,2165,2555,8706,7651,5053,1086,1871,0,-351,9453,3439,1646,2887,529,952,433,8741,1871,45,154,6979,9749,-2770,90149,9.696669998157358,7.741850754460811,10.814595835782983,-3.07274508132217
1959:Q3,14960,0,3302,2003,0,3048,1535,488,990,35,-190,-1177,355,0,861,6438,320,21089,7073,3748,10780,0,-512,13565,2183,2574,8800,7523,4890,1174,1979,0,-512,8179,3716,1388,2040,9,1026,471,14775,1979,187,26,12634,8603,4031,90370,16.34909527814051,13.98076304215381,9.5198048013987009,4.460958240755109
1959:Q4,9280,0,-834,2591,0,3347,1719,256,1304,68,-1000,-1172,335,0,962,6259,-1208,20431,6884,3647,10260,0,-360,13664,2199,2591,8865,6767,4685,1056,1395,0,-360,6037,3092,676,3295,106,-1132,479,10488,1395,-133,149,9375,9185,191,91538,11.457393719455391,10.241778346604772,10.03353798422513,0.20824036237964025
1960:Q1,12873,0,-2045,1997,0,5348,4053,-637,610,1322,-554,-720,311,0,939,5896,1701,22026,7134,3658,10606,-159,787,14037,2267,2553,9208,7989,4868,1104,1399,-159,787,3652,2481,1277,-1456,100,1250,503,17713,1399,-75,-189,16200,9782,6419,93055,19.034739148417287,17.40935631031079,10.511794100263284,6.897562210047507
1960:Q2,8839,0,-1914,3634,0,798,-1052,279,1100,471,522,-1049,333,0,877,6221,-583,21210,6568,3618,10835,-163,353,14161,2283,2579,9291,7048,4285,1040,1544,-163,353,8283,2786,1350,2865,490,792,562,8167,1544,366,294,6551,9179,-2628,93972,8.690442889712362,6.971313787426574,9.767803175413952,-2.796489387987379
1960:Q3,13095,0,3488,3125,0,-647,-540,-615,431,77,928,-1010,268,0,767,5754,422,20864,6362,3518,10715,-168,438,14290,2299,2598,9384,6574,4063,920,1331,-168,438,6007,3216,1266,968,289,268,536,14198,1331,-84,-21,12930,9561,3369,94380,15.043362472396726,13.69985749252811,10.129794447976266,3.570063044551845
1960:Q4,10809,0,1755,3180,0,-703,-1471,-261,504,525,1681,-1195,137,0,645,5801,-492,19758,6360,3541,10428,-174,-396,14387,2316,2612,9450,5371,4044,929,978,-174,-396,5268,2796,887,1658,135,-208,642,11554,978,-153,-50,10679,9329,1350,94663,12.205087917726036,11.28075390038553,9.85498519745095,1.4257687029345796
1961:Q1,9563,0,-2105,5240,0,-1364,-479,-674,-238,27,-33,-442,418,0,688,5776,1385,19517,6358,3547,9839,-183,-43,14440,2357,2599,9475,5077,4001,948,364,-183,-43,3637,2267,1604,-1909,856,819,638,11641,364,-127,-59,11345,10570,775,96046,12.119738227031075,11.811553368174014,11.004594140843604,0.8069592273304107
1961:Q2,12049,0,-1615,5395,0,114,-1434,-135,841,842,1710,-828,288,0,793,6278,-86,20153,6395,3642,10090,-188,215,14483,2377,2611,9486,5670,4018,1031,604,-188,215,7645,2958,1604,1258,747,1078,598,10671,604,323,343,10087,10649,-562,97358,10.960826739985192,10.36046672940571,10.937696599928614,-0.5772298705229051
1961:Q3,12860,0,2993,2637,0,467,1332,20,-430,-455,391,-1265,411,0,923,5836,467,21170,6736,3686,10384,-193,558,14586,2399,2627,9551,6584,4337,1060,833,-193,558,6143,3576,1767,485,243,72,643,13944,833,-112,-84,13139,11438,1701,98890,14.100820725238062,13.28678698581481,11.566610459575136,1.7201765262396769
1961:Q4,12499,0,559,5112,0,1016,-472,348,1326,-186,1134,-2233,554,0,1043,5851,-537,22028,6949,3796,10874,-197,606,14703,2422,2645,9626,7325,4527,1151,1248,-197,606,7167,3848,1297,2353,309,-640,631,13288,1248,-137,-147,12030,11729,302,101031,13.152428205945663,11.907507117759422,11.608870588584635,0.29863652917478717
1962:Q1,11371,0,-1736,6359,0,-25,904,-25,-1037,133,63,-1559,322,0,1032,5916,999,22719,7072,3910,11125,-198,810,14772,2455,2659,9649,7947,4616,1252,1477,-198,810,3826,2461,1458,-1397,148,1156,605,16096,1477,-120,-240,14500,12178,2322,102802,15.65739904831111,14.104417474464235,11.846044225685722,2.258373248778513
1962:Q2,10823,0,-2156,6876,0,-244,17,-157,-85,-19,1501,-2206,284,0,988,6269,-489,22895,7275,4037,11439,-201,345,14896,2481,2680,9727,7999,4794,1358,1713,-201,345,9266,3749,1884,3397,27,209,682,10237,1713,377,281,8429,11959,-3530,104050,9.838872927346582,8.101006516966958,11.493753003363768,-3.3927464863968098
1962:Q3,14631,0,1843,5343,0,1161,1578,-124,468,-761,692,-1366,56,0,912,5720,270,23109,7253,4109,11560,-205,392,15044,2507,2700,9828,8065,4746,1409,1733,-205,392,8136,4108,1707,1191,535,595,662,15222,1733,-138,-37,13590,11531,2059,104654,14.544979674219835,12.986029326047888,11.018477598748252,1.9675517272996337
1962:Q4,13292,0,1593,7405,0,-1047,-1249,-51,235,18,501,-1625,210,0,835,5905,-485,23391,7223,4101,12022,-209,255,15211,2534,2719,9949,8180,4689,1382,2073,-209,255,8383,3962,1560,2718,355,-212,690,13778,2073,-81,52,11838,11033,805,105777,13.026039022333158,11.191983253802341,10.430483141340467,0.7615001124618734
1963:Q1,11429,0,1175,6937,0,-3732,-3529,-226,-422,445,-253,-1089,204,0,957,6309,921,24269,7479,4085,12190,-213,729,15366,2548,2749,10060,8903,4931,1336,2130,-213,729,5307,3045,1548,-409,757,366,699,15724,2130,-117,-214,13497,11473,2023,107206,14.66665161031821,12.589342504484582,10.70205958621719,1.8872829182673925
1963:Q2,13421,0,-1303,7265,0,-859,-560,-9,-23,-267,2094,-1797,141,0,1023,7042,-185,24774,7983,4243,12489,-218,278,15528,2578,2771,10170,9245,5405,1472,2319,-218,278,11878,4449,2150,3282,1151,846,727,11515,2319,429,397,9164,11319,-2155,108144,10.647834883056362,8.473871584291295,10.466648480953548,-1.9927768966622528
1963:Q3,15133,0,2670,4716,0,361,1387,0,-514,-512,211,-1303,371,0,1095,6743,269,25031,8039,4347,12679,-223,190,15732,2610,2796,10317,9300,5429,1552,2362,-223,190,9135,4861,1919,2145,667,-457,760,16058,2362,-110,-13,13792,11340,2453,110007,14.596964708611853,12.537768206586975,10.308027252935053,2.22974095365192
1963:Q4,17211,0,1992,7190,0,1653,421,0,966,266,881,-2427,255,0,1162,7010,-505,25856,8345,4434,12920,-229,387,15942,2644,2824,10464,9914,5701,1609,2456,-229,387,9921,4444,1667,3508,444,-142,700,17904,2456,-64,-104,15409,12966,2443,112865,15.863526880610657,13.652256779162023,11.487839454215212,2.1644173249468093
1964:Q1,14601,0,-2704,5809,0,1579,1380,0,381,-182,1025,-517,26,0,1084,7376,923,26622,8772,4505,13429,-236,152,16160,2682,2854,10613,10463,6090,1651,2816,-236,152,6325,3670,1364,171,475,645,738,19477,2816,-111,-41,16731,13553,3178,115880,16.80784205426672,14.438149268626404,11.695719710044875,2.7424295585815313
1964:Q2,15940,0,568,7243,0,212,27,0,637,-452,-577,-1261,315,0,1087,8150,203,26598,8464,4592,13772,-240,10,16401,2722,2891,10777,10197,5742,1701,2995,-240,10,12447,4592,2220,3771,502,1362,837,14526,2995,407,498,11622,13619,-1997,118016,12.308961557943466,9.8482678355087,11.54022141159424,-1.69195357608554
1964:Q3,21062,0,4639,5579,0,939,-206,0,1026,119,1485,-1448,256,0,1107,7921,584,26928,8355,4689,14212,-243,-85,16636,2766,2930,10929,10293,5590,1759,3284,-243,-85,8878,4708,2021,2330,98,-279,857,23334,3284,-79,-81,20048,13405,6644,120115,19.426263396202756,16.690962361150856,11.159745160357074,5.531217200793782
1964:Q4,18360,0,3938,7474,0,490,-1133,245,716,662,297,-3333,347,0,1138,8154,-145,26711,8393,4752,13749,-246,63,16887,2813,2973,11089,9824,5581,1779,2660,-246,63,9462,4259,1708,3210,29,256,873,19595,2660,-90,-300,16725,14705,2020,122113,16.046485778148064,13.696608308350685,12.042149570786014,1.654458737564669
