1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,336747,1048,2004,0,385,43854,0,9130,716,3553,30455,21455,17000,4455,26198,177,241626,0,834,238160,2632,337155,325138,86978,238160,ND,325138,12017,ND,ND
1963:Q3,342462,1066,2081,0,393,44776,0,9190,728,3426,31432,21704,17073,4631,27645,169,244628,0,864,241094,2670,342889,330459,89365,241094,ND,330459,12430,ND,ND
1963:Q4,348248,1086,2161,0,409,45553,0,9189,717,3304,32343,21992,17160,4832,29170,176,247701,0,895,244021,2785,348695,335811,91790,244021,ND,335811,12884,ND,ND
1964:Q1,355055,1115,2244,0,435,46716,0,9597,727,3194,33198,22341,17268,5073,31347,201,250656,0,940,246744,2972,355514,341975,95231,246744,ND,341975,13539,ND,ND
1964:Q2,362259,1163,2330,0,471,47814,0,9640,748,3089,34337,23507,18179,5328,32918,241,253815,0,978,249582,3255,362746,348645,99063,249582,ND,348645,14101,ND,ND
1964:Q3,369018,1170,2419,0,507,48599,0,9727,731,2991,35150,23925,18348,5577,34544,283,257571,0,1014,253006,3551,369519,354840,101834,253006,ND,354840,14679,ND,ND
1964:Q4,375697,1203,2512,0,537,49653,0,9745,858,2900,36150,24257,18409,5848,35705,312,261518,0,1049,256688,3781,376222,361006,104318,256688,ND,361006,15216,ND,ND
1965:Q1,383469,1063,2609,0,560,50992,0,10326,779,2820,37067,24620,18480,6140,37047,331,266247,0,1081,261211,3955,384037,368307,107096,261211,ND,368307,15730,ND,ND
1965:Q2,391429,1039,2709,0,577,51886,0,10299,785,2748,38054,26114,19550,6564,36644,341,272119,0,1087,266927,4105,392015,376182,109255,266927,ND,376182,15833,ND,ND
1965:Q3,399652,1072,2813,0,594,52430,0,9808,916,2684,39022,26593,19728,6865,40934,349,274867,0,1157,269524,4186,400259,383505,113981,269524,ND,383505,16754,ND,ND
1965:Q4,407527,1258,2921,0,616,53211,0,9692,946,2625,39948,26855,19724,7131,43254,360,279052,0,1203,273509,4340,408197,390793,117284,273509,ND,390793,17404,ND,ND
1966:Q1,416890,1282,3034,0,642,55041,0,9791,967,2579,41704,27191,19747,7444,43345,372,285983,0,1226,280206,4551,417566,399786,119580,280206,ND,399786,17780,ND,ND
1966:Q2,426588,1126,3151,0,671,55955,0,9423,1097,2543,42892,28569,20835,7734,42501,384,294231,0,1223,288188,4820,427268,409391,121203,288188,ND,409391,17877,ND,ND
1966:Q3,435271,1068,3271,0,702,57248,0,9517,1113,2513,44105,28989,20935,8054,39238,397,304358,0,1189,298037,5132,435960,418393,120356,298037,ND,418393,17567,ND,ND
1966:Q4,445169,1126,3418,0,734,58413,0,9419,1098,2481,45415,29404,20977,8427,42268,414,309392,0,1249,302788,5355,445866,427433,124645,302788,ND,427433,18433,ND,ND
1967:Q1,456098,1231,3539,0,767,59147,0,8948,1101,2461,46637,29597,20925,8672,48789,435,312593,0,1353,305690,5550,456811,436958,131268,305690,ND,436958,19853,ND,ND
1967:Q2,466744,1254,3699,0,803,59790,0,8645,1134,2442,47569,30866,22043,8823,50240,459,319633,0,1380,312411,5842,467482,447135,134724,312411,ND,447135,20347,ND,ND
1967:Q3,477230,1263,3898,0,838,60881,0,8275,1121,2424,49061,31058,22074,8984,54259,485,324548,0,1451,317007,6090,477991,456617,139610,317007,ND,456617,21374,ND,ND
1967:Q4,487119,1197,4175,0,870,61956,0,8152,1122,2406,50276,31378,22292,9086,55004,510,332029,0,1470,324199,6360,487909,466143,141944,324199,ND,466143,21766,ND,ND
1968:Q1,499300,1236,4244,0,900,63121,0,8426,1116,2437,51142,31573,22334,9239,52127,535,345564,0,1443,337466,6655,500136,478565,141099,337466,ND,478565,21571,ND,ND
1968:Q2,514074,1353,4378,0,928,63916,0,8301,1407,2372,51836,32922,23603,9319,60670,561,349346,0,1566,340999,6781,514949,491684,150685,340999,ND,491684,23265,ND,ND
1968:Q3,527243,1412,4631,0,954,64863,0,8143,1539,2384,52797,32940,23594,9346,64101,587,357755,0,1621,349169,6965,528171,504095,154926,349169,ND,504095,24076,ND,ND
1968:Q4,540460,1392,4910,0,980,66034,0,8280,1807,2382,53565,33057,23628,9429,67256,614,366217,0,1671,357395,7151,541442,516583,159188,357395,ND,516583,24859,ND,ND
1969:Q1,554994,1502,4851,0,1006,66803,0,8310,1870,2386,54237,33260,23755,9505,66904,639,380029,0,1667,370980,7382,555983,531058,160078,370980,ND,531058,24925,ND,ND
1969:Q2,570272,1324,5183,0,1030,67593,0,8006,1933,2368,55286,34415,24871,9544,67383,664,392680,0,1674,383416,7590,571263,546122,162706,383416,ND,546122,25141,ND,ND
1969:Q3,584921,1333,5431,0,1053,69282,0,7855,2102,2348,56977,34860,25176,9684,66455,689,405818,0,1672,396339,7807,585921,560682,164343,396339,ND,560682,25239,ND,ND
1969:Q4,599913,1333,5599,0,1079,70297,0,7620,2174,2331,58172,34938,25147,9791,68725,715,417227,0,1710,407519,7998,600920,575082,167563,407519,ND,575082,25838,ND,ND
1970:Q1,620132,1265,5784,0,1105,71510,0,7416,2170,2308,59616,35065,25185,9880,69089,737,435577,0,1720,425630,8227,621155,591983,166353,425630,ND,591983,29172,ND,ND
1970:Q2,635262,1224,6075,0,1133,72458,0,7163,2269,2159,60867,36931,26910,10021,56873,752,459816,0,1560,449625,8631,636317,609584,159959,449625,ND,609584,26733,ND,ND
1970:Q3,654856,1302,6266,0,1161,74713,0,7426,2492,2133,62662,37028,27046,9982,68490,774,465122,0,1730,454677,8715,655948,626409,171732,454677,ND,626409,29539,ND,ND
1970:Q4,673796,1494,6528,0,1190,76153,0,7228,2395,2032,64498,37619,27528,10091,77187,817,472808,0,1858,462097,8853,674914,643243,181146,462097,ND,643243,31671,ND,ND
1971:Q1,695504,1551,6800,0,1221,76379,0,7139,2173,2040,65027,37825,27726,10099,88918,882,481928,0,2004,470942,8982,696700,662527,191585,470942,ND,662527,34173,ND,ND
