1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,132679,1246,0,0,65049,487,5746,118,3939,54759,54785,6472,48313,11,6843,271,0,17,0,0,0,4457,123827,123349,0,0,104,87667,22427,0,452,12699,478,76,402,0
1963:Q3,134632,1350,0,0,65704,619,5841,121,3876,55247,55773,6567,49206,11,6960,276,0,14,0,0,0,4544,125489,125007,0,0,104,88729,22856,0,443,12875,482,80,402,0
1963:Q4,136802,1466,0,0,66083,380,5813,139,3852,55899,57199,6655,50544,11,7118,281,0,17,0,0,0,4627,127283,126776,0,0,110,89860,23300,0,434,13072,507,85,422,0
1964:Q1,138773,1294,0,0,66778,506,5788,121,3843,56520,58232,6777,51455,12,7433,285,0,33,0,0,0,4706,129012,128509,0,0,110,90916,23764,0,538,13181,503,81,422,0
1964:Q2,140593,1279,0,0,67190,297,5715,136,3802,57240,59400,6911,52489,12,7581,290,0,60,0,0,0,4781,130797,130282,0,0,110,91979,24250,0,474,13469,515,92,423,0
1964:Q3,142626,1314,0,0,67759,373,5840,139,3822,57585,60553,7029,53524,12,7747,296,0,87,0,0,0,4858,132602,132100,0,0,110,93062,24748,0,556,13624,502,78,424,0
1964:Q4,144942,1488,0,0,67963,248,5594,129,3774,58218,62292,7140,55152,12,7834,301,0,104,0,0,0,4948,134493,133966,0,0,117,94172,25250,0,552,13875,527,77,450,0
1965:Q1,147055,1286,0,0,68718,474,5639,136,3746,58723,63586,7269,56317,12,7985,307,0,113,0,0,0,5048,136421,135901,0,0,117,95239,25837,0,566,14142,520,69,451,0
1965:Q2,148567,1279,0,0,69144,579,5358,151,3674,59382,64766,7419,57347,13,7778,311,0,116,0,0,0,5160,138444,137926,0,0,117,96438,26341,0,483,14547,518,68,450,0
1965:Q3,151504,1296,0,0,69914,741,5298,179,3595,60101,65974,7561,58413,13,8597,317,0,117,0,0,0,5276,140470,139951,0,0,117,97677,26818,0,534,14805,519,70,449,0
1965:Q4,154203,1503,0,0,70152,293,5119,167,3530,61043,67691,7678,60013,13,9006,323,0,120,0,0,0,5395,142416,141888,0,0,116,98863,27325,0,532,15052,528,80,448,0
1966:Q1,156369,1073,0,0,71412,286,5171,191,3539,62225,69093,7861,61232,13,8977,329,0,124,0,0,0,5348,144115,143547,0,0,116,100007,27846,0,636,14942,568,121,447,0
1966:Q2,157915,1097,0,0,71533,219,4921,232,3366,62795,70682,8173,62509,14,8799,334,0,128,0,0,0,5328,146207,145661,0,0,117,101120,28367,0,537,15520,546,98,448,0
1966:Q3,159146,1159,0,0,71867,298,4852,241,3320,63156,72222,8657,63565,14,8109,340,0,133,0,0,0,5302,148479,147954,0,0,117,102251,28892,0,566,16128,525,75,450,0
1966:Q4,162265,1547,0,0,72193,380,4921,236,3260,63396,73726,9117,64609,14,8692,346,0,140,0,0,0,5607,150336,149829,0,0,111,103448,29425,0,592,16253,507,79,428,0
1967:Q1,166075,1308,0,0,73128,553,4855,237,3217,64266,74865,9396,65469,14,9935,354,0,150,0,0,0,6321,152530,151985,0,0,112,104689,29976,0,803,16405,545,116,429,0
1967:Q2,168036,1384,0,0,73907,865,4690,242,3157,64953,75796,9670,66126,15,10051,362,0,163,0,0,0,6358,154788,154141,0,0,112,105902,30617,0,481,17029,647,217,430,0
1967:Q3,170726,1431,0,0,75169,1138,4717,238,3129,65947,76507,9860,66647,15,10671,371,0,177,0,0,0,6385,157167,156551,0,0,112,107124,31276,0,512,17527,616,185,431,0
