1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,95828,857,2419,0,507,23718,0,2661,362,20695,2640,32638,283,32766,0,1014,28201,3551,96324,81645,53444,28201,81149,14679
1964:Q4,97248,892,2512,0,537,24398,0,2715,477,21206,2778,33705,312,32114,0,1049,27284,3781,97767,82551,55267,27284,82032,15216
1965:Q1,99208,752,2609,0,560,24938,0,2909,403,21626,2919,34953,331,32146,0,1081,27110,3955,99771,84041,56931,27110,83478,15730
1965:Q2,100782,728,2709,0,577,25197,0,2709,404,22084,3175,34570,341,33485,0,1087,28293,4105,101363,85530,57237,28293,84949,15833
1965:Q3,103172,760,2813,0,594,25334,0,2457,431,22446,3298,38608,349,31416,0,1157,26073,4186,103773,87019,60946,26073,86418,16754
1965:Q4,105249,941,2921,0,616,25696,0,2539,454,22703,3385,40754,360,30576,0,1203,25033,4340,105912,88508,63475,25033,87845,17404
1966:Q1,107921,957,3034,0,642,26684,0,2479,465,23740,3508,40765,372,31959,0,1226,26182,4551,108591,90811,64629,26182,90141,17780
1966:Q2,110318,791,3151,0,671,27014,0,2377,475,24162,3591,39868,384,34848,0,1223,28805,4820,110992,93115,64310,28805,92441,17877
1966:Q3,112303,719,3271,0,702,27411,0,2351,442,24618,3710,36711,397,39382,0,1189,33061,5132,112985,95418,62357,33061,94736,17567
1966:Q4,115466,758,3418,0,734,27981,0,2304,446,25231,3911,39468,414,38782,0,1249,32178,5355,116155,97722,65544,32178,97033,18433
1967:Q1,119462,824,3539,0,767,28227,0,2148,432,25647,3991,45497,435,36182,0,1353,29279,5550,120167,100314,71035,29279,99609,19853
1967:Q2,122524,839,3682,0,803,28195,0,1999,390,25806,3976,46820,459,37750,0,1380,30528,5842,123253,102906,72378,30528,102177,20347
1967:Q3,126121,882,3829,0,838,28553,0,1967,362,26224,4059,50519,485,36956,0,1451,29415,6090,126873,105499,76084,29415,104747,21374
1967:Q4,129078,894,4014,0,870,28679,0,1987,337,26355,4083,51104,510,38924,0,1470,31094,6360,129858,108092,76998,31094,107312,21766
1968:Q1,131957,871,4136,0,900,29303,0,2207,358,26738,4091,48280,535,43841,0,1443,35743,6655,132783,111212,75469,35743,110386,21571
1968:Q2,136732,950,4303,0,928,29317,0,2181,379,26757,4050,55974,561,40649,0,1566,32302,6781,137597,114332,82030,32302,113467,23265
1968:Q3,140610,983,4485,0,954,29505,0,2120,401,26984,4071,58869,587,41156,0,1621,32570,6965,141528,117452,84882,32570,116534,24076
1968:Q4,144460,1015,4680,0,980,29756,0,2359,397,27000,4067,61456,614,41892,0,1671,33070,7151,145431,120572,87502,33070,119601,24859
1969:Q1,148962,1005,4799,0,1006,29729,0,2460,433,26836,4079,60813,639,46892,0,1667,37843,7382,149940,125015,87172,37843,124037,24925
1969:Q2,153619,1009,5040,0,1030,29571,0,2191,468,26912,4069,60925,664,51311,0,1674,42047,7590,154599,129458,87411,42047,128478,25141
1969:Q3,158152,1004,5220,0,1053,30160,0,2159,550,27451,4134,59756,689,56136,0,1672,46657,7807,159141,133902,87245,46657,132913,25239
1969:Q4,163190,1024,5429,0,1079,30404,0,2183,608,27613,4216,61425,715,58898,0,1710,49190,7998,164184,138346,89156,49190,137352,25838
1970:Q1,170474,1029,5646,0,1105,30657,0,2081,578,27998,4230,61339,737,65731,0,1720,55784,8227,171484,142312,86528,55784,141302,29172
1970:Q2,171968,918,5866,0,1133,30775,0,1984,660,28131,4213,50119,752,78192,0,1560,68001,8631,173010,146277,78276,68001,145235,26733
1970:Q3,178704,1028,6099,0,1161,31697,0,2152,916,28629,4193,59913,774,73839,0,1730,63394,8715,179782,150243,86849,63394,149165,29539
1970:Q4,184775,1106,6315,0,1190,32471,0,2124,904,29443,4171,67087,817,71618,0,1858,60907,8853,185879,154208,93301,60907,153104,31671
1971:Q1,190670,1199,6567,0,1221,31771,0,2259,759,28753,4080,76860,882,68090,0,2004,57104,8982,191852,157679,100575,57104,156497,34173
1971:Q2,194644,1205,6765,0,1252,30949,0,2001,593,28355,3914,78937,968,70654,0,2029,59384,9241,195910,161150,101766,59384,159884,34760
1971:Q3,199305,1242,7033,0,1286,30525,0,2044,590,27891,3768,83299,1062,71090,0,2097,59521,9472,200654,164621,105100,59521,163272,36033
1971:Q4,204434,1305,7270,0,1321,31345,0,2125,606,28614,3658,88651,1150,69734,0,2199,57842,9693,205875,168092,110250,57842,166651,37783
1972:Q1,211459,1413,7513,0,1474,32197,308,2540,858,28491,3332,96231,1237,68062,0,2350,54797,10915,213057,172275,117478,54797,170677,40782
1972:Q2,217541,1471,7821,0,1707,33828,794,2451,1207,29376,3133,97083,1330,71168,0,2426,55806,12936,219238,176458,120652,55806,174761,42780
1972:Q3,224204,1577,8155,0,1948,36295,1322,2623,1741,30609,2865,99365,1419,72580,0,2537,55045,14998,226003,180640,125595,55045,178841,45363
1972:Q4,231891,1790,8511,0,2130,37818,1755,3381,2078,30604,2728,107817,1494,69603,0,2722,50436,16445,233768,184822,134386,50436,182945,48946
1973:Q1,236105,1889,8891,0,2260,39986,2104,3725,2598,31559,2514,102259,1555,76751,0,2695,56411,17645,238085,189098,132687,56411,187118,48987
1973:Q2,239572,2016,9232,0,2348,41224,2382,4011,2788,32043,2439,95599,1603,85111,0,2634,63976,18501,241692,193374,129398,63976,191254,48318
1973:Q3,247027,2340,9680,0,2427,43334,2677,4711,2968,32978,2361,104779,1647,80459,0,2826,58613,19020,249304,197649,139036,58613,195372,51655
1973:Q4,249456,2455,10027,0,2530,44383,3079,5379,3192,32733,2376,93557,1695,92433,0,2697,69669,20067,251892,201924,132255,69669,199488,49968
1974:Q1,256463,2604,10444,0,2645,45609,3554,6109,3252,32694,2393,96863,1734,94171,0,2791,70365,21015,259027,207090,136725,70365,204526,51937
1974:Q2,260727,2840,10873,0,2765,47142,4069,6912,3264,32897,2377,88565,1751,104414,0,2718,79535,22161,263456,212255,132720,79535,209526,51201
1974:Q3,261973,3093,11331,0,2894,50161,4670,8235,3511,33745,2368,66279,1790,124057,0,2459,98008,23590,264919,217421,119413,98008,214475,47498
1974:Q4,270801,3366,11957,0,3041,53276,5403,8559,4305,35009,2372,74755,1895,120139,0,2670,92772,24697,273964,222587,129815,92772,219424,51377
1975:Q1,283968,3626,12495,0,3211,57738,6329,9623,4673,37113,2409,91897,2065,110527,0,3035,81631,25861,287425,226915,145284,81631,223458,60510
1975:Q2,296220,3915,13151,0,3575,61567,7508,10516,4900,38643,2378,110006,2301,99327,0,3436,67151,28740,299909,231243,164092,67151,227554,68666
1975:Q3,301409,4183,13832,0,4042,65452,8447,11896,4981,40128,2366,99892,2559,109083,0,3431,72707,32945,305285,235572,162865,72707,231696,69713
1975:Q4,310424,4400,14454,0,4346,68839,9066,12396,5466,41911,2383,107999,2795,105208,0,3665,66093,35450,314513,239901,173808,66093,235812,74612
1976:Q1,321601,4617,15095,0,4385,71900,9892,13613,5951,42444,2383,123664,2795,96762,0,3965,57300,35497,325761,245584,188284,57300,241424,80177
1976:Q2,326906,4704,15646,0,4140,74899,10440,15211,6326,42922,2383,123557,3033,98544,0,3984,61282,33278,331138,251267,189985,61282,247035,79871
1976:Q3,334172,4619,16096,0,4386,75059,10756,16371,6517,41415,2373,123523,3297,104819,0,4032,65342,35445,338480,256951,191609,65342,252643,81529
1976:Q4,342590,4510,16639,0,4736,75346,10952,18075,6075,40244,2414,125501,3534,109910,0,4130,67287,38493,346975,262634,195347,67287,258249,84341
1977:Q1,349922,4499,17300,0,5319,76217,11138,17873,7089,40117,2420,118706,3692,121769,0,4140,73904,43725,354426,268317,194413,73904,263813,86109
1977:Q2,358024,4567,18034,23,5335,80103,11272,19957,7630,41244,2539,123183,3771,120469,0,4284,72452,43733,362655,274000,201548,72452,269369,88655
1977:Q3,366034,4694,18821,53,5803,81566,11309,20080,8610,41567,2486,120475,3771,128365,0,4348,76136,47881,370795,279683,203547,76136,274922,91112
1977:Q4,373237,4835,19644,94,5717,85675,11314,21308,8501,44552,2497,123610,3746,127419,0,4459,75968,46992,378132,285366,209398,75968,280471,92766
1978:Q1,381937,4944,20592,150,6268,86654,11350,21477,8472,45355,2559,122074,3750,134946,0,4551,78533,51862,387019,291049,212516,78533,285967,95970
1978:Q2,392243,5031,21590,212,6136,91407,11335,22185,8423,49464,2647,137026,3750,124444,0,4845,69221,50378,397511,296732,227511,69221,291464,100779
1978:Q3,405214,5119,22509,272,6488,93994,11173,21089,9974,51758,2706,154397,3708,116021,0,5214,57630,53177,410691,302416,244786,57630,296939,108275
1978:Q4,413030,5184,23660,359,6935,96009,11162,23179,8681,52987,2721,150308,3715,124139,0,5270,61723,57146,418720,308100,246377,61723,302410,110620
1979:Q1,427860,5207,24727,500,7253,99249,11593,23727,9895,54034,2798,162540,3862,121724,0,5571,56448,59705,434043,313783,257335,56448,307600,120260
1979:Q2,437348,5189,25677,688,7490,105441,12498,24928,10734,57281,2750,165969,4152,119992,0,5772,52580,61640,444045,319466,266886,52580,312769,124579
1979:Q3,448685,5142,26714,913,7532,112178,13894,25769,12004,60511,2968,178516,4585,110137,0,6095,42354,61688,455929,325149,282795,42354,317905,130780
1979:Q4,459335,5055,27894,1182,7768,117641,15396,25995,12559,63691,3139,175437,8079,113140,0,6196,43234,63710,467152,330832,287598,43234,323015,136320
1980:Q1,475760,4919,28830,1500,7979,124722,16621,27203,13343,67555,3191,167538,8658,128423,0,6240,56611,65572,484284,351278,294667,56611,342754,133006
1980:Q2,505847,4721,29699,1845,8189,133066,17671,29387,15027,70981,3263,190278,9302,125484,0,6761,51787,66936,515075,371724,319937,51787,362496,143351
1980:Q3,535132,4447,30520,2195,8485,140604,18650,30569,16447,74938,3471,210012,10352,125046,0,7241,48684,69121,545093,392170,343486,48684,382209,152923
1980:Q4,560700,4162,31827,2633,8378,147815,19531,32215,18345,77724,3564,223468,11184,127669,0,7566,52266,67837,571428,412616,360350,52266,401888,158812
1981:Q1,574554,3931,32923,3244,8237,153623,20286,33352,20305,79680,3748,226132,11378,131338,0,7697,57201,66440,586153,424942,367741,57201,413343,161211
1981:Q2,587972,3740,33727,4134,8355,160053,21787,34543,22926,80797,3871,221214,10829,142049,0,7753,66851,67445,600559,437268,370417,66851,424681,163291
1981:Q3,598266,3571,34960,5413,8525,165892,23227,34755,25713,82197,3878,202367,9209,164451,0,7600,87724,69127,611808,449593,361869,87724,436051,162215
1981:Q4,616803,3426,36476,6564,8258,174716,24505,46684,20199,83328,3913,218479,8297,156674,0,7953,82353,66368,631515,461918,379565,82353,447206,169597
1982:Q1,632731,2924,39585,7030,7728,188462,21975,56035,23902,86550,3913,224417,7926,150746,0,8215,81198,61333,649169,475998,394800,81198,459560,173171
1982:Q2,650950,2818,43034,6030,7840,199167,20607,62040,27580,88940,5386,229366,8486,148823,0,8534,78264,62025,668001,490078,411814,78264,473027,177923
1982:Q3,681195,2569,46147,5071,8648,207946,17800,67904,29696,92546,6361,266987,9890,127576,0,9410,49748,68418,698996,504158,454410,49748,486357,194838
1982:Q4,702117,2259,49416,4688,8705,217596,15203,75171,31997,95225,7770,282916,11240,117527,0,9871,39185,68471,720439,518238,479053,39185,499916,202201
1983:Q1,742274,2113,53491,4877,9291,226423,14243,79729,33229,99222,9056,319549,12410,105064,0,10730,21446,72888,762542,542963,521517,21446,522695,219579
