1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q2,9932,0,3600,13992,20704,1560,49788,43452,-32,0,0,39404,4080,-7608,-7608,-197048,443056,246008,0,0,0,0,0
2005:Q3,-14572,0,68,27544,56888,1212,71140,-4908,-1500,0,0,-4320,912,32512,32512,-7384,329512,322128,0,0,0,0,0
2005:Q4,6652,0,3196,103120,-76796,5760,41932,26176,-528,0,0,15128,11576,-70184,-70184,-61456,-188176,-249632,0,0,0,0,0
2006:Q1,32700,0,176,-32844,5192,8860,14084,9980,904,0,0,8652,424,59908,59908,924700,243300,1168000,0,0,0,0,0
2006:Q2,12764,0,-252,19784,23640,-556,55380,-19040,3980,0,0,30644,-53664,13504,13504,-353276,453372,100096,0,0,0,0,0
2006:Q3,11332,0,60,21684,-17780,16216,31512,29772,15580,0,0,26704,-12512,15304,15304,203044,421624,624668,0,0,0,0,0
2006:Q4,32112,0,-48,4324,61032,2208,99628,50164,13164,0,0,61528,-24528,3052,3052,189192,230740,419932,0,0,0,0,0
2007:Q1,6344,0,168,182552,-246664,25096,-32504,-27576,4360,0,0,-42272,10336,-213632,-213632,971976,537432,1509408,0,0,0,0,0
2007:Q2,35508,0,-80,52044,-7592,33664,113544,28836,-4192,0,0,21552,11476,17684,17684,510972,191208,702180,0,0,0,0,0
2007:Q3,-30224,0,4,-49696,109968,36384,66436,73612,6724,0,0,37720,29168,-16884,-16884,-566820,-77016,-643836,0,0,0,0,0
2007:Q4,-400,0,-412,-19028,42508,38836,61504,139672,-13228,0,0,76276,76624,-6468,-6468,-489444,-693944,-1183388,0,0,0,0,0
2008:Q1,87808,0,-16,17108,27508,-19180,113228,36232,11924,0,0,9808,14500,11808,11808,-426420,394884,-31536,0,0,0,0,0
2008:Q2,5176,0,-1724,-25996,251420,-17384,211492,240776,-5568,0,0,71052,175292,-8996,-8996,-925468,-73188,-998656,0,0,0,0,0
2008:Q3,-36592,0,116,14596,30216,-24952,-16616,-15116,-244,0,0,45756,-60628,5052,5052,-107816,-825196,-933012,0,0,0,0,0
2008:Q4,184600,0,-52,-35008,130808,133496,413844,406544,104192,0,0,63332,239020,-12112,-12112,-2341812,-977088,-3318900,0,0,0,0,0
2009:Q1,-144296,0,36,-25444,-147740,-50832,-368276,-326860,-101732,0,0,-100868,-124260,-14028,-14028,92772,-302852,-210080,0,0,0,0,0
2009:Q2,-193412,0,-40,-54160,82796,25332,-139484,5080,-5248,0,0,18152,-7824,-18420,-18420,48848,181892,230740,0,0,0,0,0
2009:Q3,-22656,0,12,-17220,-190836,29948,-200752,113176,-7092,0,0,50604,69664,-5852,-5852,117696,144012,261708,0,0,0,0,0
2009:Q4,28332,0,1532,3544,-97924,9260,-55256,-148588,2652,0,0,-150972,-268,1200,1200,2308,-136744,-134436,0,0,0,0,0
2010:Q1,-107468,0,108,-111240,20196,-8388,-206792,-31236,-3040,0,0,5668,-33864,98796,98796,190564,21848,212412,0,0,0,0,0
