1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q1,11480914,5226605,3810933,259251,1173114,870164,164872,119463,1224069,0,2443376,11408497,428065,4665,493,187686,512955,121175,391780,184322,5836,11443,11252,191,468269,100129,368140,2612855,471115,2141740,718966,12899,585223,91665,1724492,66654,267001,59983,54620,5363,64021,34198,53292,19358,80919,3213237,367738,2845499,72417
2016:Q2,11554471,5309535,3763573,261204,1135737,847329,162406,111009,1245888,0,2481363,11711678,365797,4797,493,188899,515794,117656,398138,198639,6261,11726,11538,188,482503,100931,381572,2727902,475386,2252516,739987,13321,564432,37054,1790289,68385,281520,54382,49233,5149,76754,35250,63515,21051,74257,3388670,355899,3032771,-157207
2016:Q3,11680058,5390938,3734723,238033,1101370,830578,160185,125639,1278918,0,2554397,11852885,289549,5203,493,194008,524034,107349,416685,174702,6306,11565,11376,189,489553,101162,388391,2768271,480199,2288072,745557,13754,548427,15107,1854748,71429,303760,49172,44159,5013,80229,34829,66603,22084,71591,3511911,360904,3151007,-172827
2016:Q4,11532464,5382022,3646095,223316,1070136,814889,149274,129141,1259339,0,2504347,11398244,178149,5233,493,195910,506434,100355,406079,157930,6697,11483,11313,170,470342,100593,369749,2663288,486751,2176537,720330,13464,514920,8471,1818964,71407,303021,43986,39114,4872,73130,34954,78777,22080,68982,3429799,364106,3065693,134220
2017:Q1,11697143,5506920,3583783,220799,1034070,790977,140811,129718,1267408,0,2606440,11626577,181224,6064,493,199400,526816,97865,428951,152732,6845,11666,11418,248,465448,101488,363960,2705302,488794,2216508,740124,13609,512910,10521,1885493,73590,329726,38216,33388,4828,70124,35404,84588,17119,73837,3485326,366247,3119079,70566
2017:Q2,11924967,5584799,3640937,219535,1023712,779572,136185,165819,1316114,0,2699231,11989948,184746,6295,493,199477,507774,93669,414105,152989,6906,11356,11163,193,470628,102473,368155,2748515,492059,2256456,767286,13879,506536,12559,1920656,74758,358240,34913,30195,4718,67969,35152,80145,33331,74588,3720757,371092,3349665,-64981
2017:Q3,12101747,5661562,3665613,237514,1006752,785582,130926,175522,1329317,0,2774572,12185844,187770,6752,493,201103,506223,88729,417494,154210,6859,10752,10532,220,474208,103383,370825,2789079,495665,2293414,786245,13969,510328,17326,1958628,74962,381483,30011,25402,4609,64359,35041,69847,14218,73346,3818632,371270,3447362,-84097
2017:Q4,12273487,5706366,3616878,198756,1014563,762958,133362,185668,1321571,0,2950243,12358402,190705,7317,493,207185,492953,83005,409948,160178,6992,10683,10402,281,482222,104284,377938,2825636,497191,2328445,803750,14053,498792,15520,1998135,74276,394104,26789,22282,4507,63783,34984,83527,16390,72618,3877317,369588,3507729,-84915
2018:Q1,12371281,5775001,3609088,208537,1014145,766029,135324,175594,1309459,0,2987192,12204497,190313,7825,493,203524,485575,79373,406202,152230,6744,10894,10579,315,477566,104631,372935,2772457,491617,2280840,789600,13541,502377,12909,2031314,73406,393552,25594,21187,4407,62668,37679,79428,16619,72551,3785638,364031,3421607,166784
2018:Q2,12328333,5781945,3596992,195148,1023307,785567,129843,167352,1295775,0,2949396,12026703,190538,9055,493,208845,478193,78255,399938,149277,57,10630,10264,366,491332,109296,382036,2745956,493219,2252737,785996,13359,462092,12256,2026401,73159,405173,23436,19141,4295,59971,38582,83734,17021,71912,3669235,363390,3305845,301630
2018:Q3,12449202,5852174,3627492,195888,1016099,813588,132288,175898,1293731,0,2969536,12185848,191696,10092,493,212474,489353,75376,413977,147265,65,9886,9563,323,514780,116127,398653,2768154,504187,2263967,797978,13423,467262,12536,2065634,74428,418612,22446,18274,4172,61355,42328,86382,16941,72720,3689545,357428,3332117,263354
2018:Q4,12516861,5888491,3643807,180753,1021969,814558,147201,184003,1295323,0,2984563,11955837,192352,10006,493,208639,470235,77095,393140,149685,65,10402,9949,453,534031,122760,411271,2799841,514162,2285679,801520,13224,409802,12763,1981197,69175,413440,19522,15466,4056,55263,40803,78314,19890,62584,3602591,351187,3251404,561024
2019:Q1,12666971,5985193,3664215,178098,1024848,794504,153986,181488,1331291,0,3017563,12610168,198021,9643,493,205712,498399,79721,418678,143269,71,11676,11197,479,559717,129199,430518,2969492,539962,2429530,830975,14085,535398,11465,2056958,73273,453283,19034,15087,3947,54065,39592,77849,21405,66144,3760149,344216,3415933,56803
2019:Q2,12931346,6072864,3710421,181357,1018589,779492,160475,205929,1364579,0,3148061,12967475,203361,10411,493,207961,496393,82229,414164,150394,4743,11953,11503,450,582826,135052,447774,3127189,562912,2564277,855143,14839,489448,14287,2149427,74746,480332,18230,14386,3844,53105,39126,68438,26030,67743,3820857,339722,3481135,-36129
2019:Q3,13117502,6182249,3723813,194844,1019929,790232,165350,183785,1369673,0,3211440,13320249,208032,10587,493,210765,502003,84282,417721,150023,8049,12315,11826,489,600745,139729,461016,3246479,578454,2668025,868219,15511,469909,19355,2206965,74285,507663,17435,13705,3730,56737,38328,84073,28740,67333,3916205,337655,3578550,-202747
2019:Q4,13165027,6191164,3706951,201678,1034859,771842,180481,173916,1344175,0,3266912,13425335,211834,10992,493,211915,499493,84746,414747,134674,7844,12597,12142,455,594801,138811,455990,3272677,578886,2693791,866538,15587,452009,22497,2241974,75109,533202,16496,12876,3620,59980,41190,70698,27856,65426,3979453,339244,3640209,-260308
2020:Q1,13344969,6384758,3952138,213179,1091558,797629,165333,256907,1427532,0,3008073,12929738,332438,10636,493,208948,453146,87519,365627,164351,10928,14603,14078,525,575749,134376,441373,3157320,555682,2601638,837462,13655,459372,17694,2082640,59490,508166,14497,11145,3352,58813,25168,68811,26945,59519,3768894,322556,3446338,415231
2020:Q2,14048084,6863410,3932827,222461,1068756,798193,173471,179726,1490220,0,3251847,14521514,419986,12061,493,233594,498095,91835,406260,157654,10914,15487,14948,539,636752,148624,488128,3472184,611685,2860499,926751,15578,527489,14854,2391272,67598,603121,14938,11557,3381,68150,19771,74890,31996,67089,4240797,329820,3910977,-473430
2020:Q3,14145471,6927652,3875853,241291,1058551,773973,178883,165438,1457717,0,3341966,14731751,239930,12257,493,222002,538971,90110,448861,154343,10904,15984,15387,597,648179,151303,496876,3547651,622717,2924934,945201,16463,521192,17536,2512783,70303,655390,14337,10992,3345,69905,15912,89648,25734,66556,4320077,339577,3980500,-586280
2020:Q4,14409643,6943403,3930007,256471,1061500,773371,180013,183885,1474767,0,3536233,15196584,249648,12893,493,223929,510965,88742,422223,152984,12468,16245,15693,552,660650,154179,506471,3649378,642222,3007156,978076,17325,541002,13490,2607847,77818,708124,13533,10245,3288,73559,15461,81180,26963,70831,4481722,362818,4118904,-786941
2021:Q1,14498996,7074843,3904478,246352,1092405,753484,179201,196343,1436693,0,3519675,14942832,251713,13939,493,194033,631604,92568,539036,146309,11757,18513,17853,660,643203,147167,496036,3507380,612072,2895308,943973,16575,533817,13314,2619647,80322,715696,13033,9783,3250,69685,11795,68781,30544,68992,4337714,375252,3962462,-443836
2021:Q2,15087038,7127349,4351608,221067,1142258,1073565,191927,204512,1518279,0,3608081,15582074,392269,16445,493,192837,664469,97833,566636,146966,9650,17801,17103,698,680487,152901,527586,3623563,628564,2994999,989089,16908,561710,12567,2689413,83298,766222,12691,9537,3154,57819,12020,68439,28470,80050,4458398,367356,4091042,-495036
2021:Q3,15357488,7202603,4393918,204129,1199455,1069316,195168,214638,1511212,0,3760967,15722837,474515,19346,493,193666,687703,107209,580494,144642,11669,18651,17876,775,690562,152359,538203,3673370,630690,3042680,999229,15770,545780,9776,2712611,85817,789424,12527,9448,3079,57442,11302,67204,28111,75242,4397985,358272,4039713,-365349
2021:Q4,15405413,7174337,4434417,191694,1256393,1027981,203817,217713,1536819,0,3796659,15707121,350263,19822,493,192387,710601,118801,591800,145604,11276,20560,19730,830,702436,152385,550051,3729016,632881,3096135,1012192,14971,562381,7161,2733664,85252,799987,12298,9324,2974,68291,11924,14830,29175,70928,4401609,355486,4046123,-301708
2022:Q1,15358111,7220720,4472329,210047,1251859,1016488,209490,260836,1523609,0,3665062,14816826,269450,23320,493,169694,787557,126540,661017,142075,11252,22582,21728,854,674932,130950,543982,3480176,641984,2838192,937130,13723,548196,5605,2532558,80474,761194,12058,9182,2876,58970,11832,1243,26683,79180,4166449,350318,3816131,541285
2022:Q2,15108295,7182383,4463794,230606,1256730,1005569,213824,249244,1507821,0,3462118,13720924,270586,19124,493,154950,761682,127146,634536,146929,11232,22555,21738,817,640784,125068,515716,3257334,621410,2635924,881551,12044,516322,3801,2252480,69651,720817,12216,9509,2707,50858,9849,2042,24660,78638,3800326,348363,3451963,1387371
2022:Q3,14910854,7186109,4383517,233555,1272525,979807,210613,223595,1463422,0,3341228,13164842,272809,18172,493,143653,753235,124282,628953,159758,11109,20856,20051,805,625985,123019,502966,3106904,613068,2493836,841262,11384,518288,6324,2134557,67207,708794,12401,9785,2616,47861,10215,13023,26245,71687,3582620,348543,3234077,1746012
2022:Q4,15097134,7192479,4523297,269641,1272388,996145,216795,236100,1532228,0,3381358,13582457,280941,18456,493,146886,778669,121081,657588,160142,11108,19497,18692,805,649192,128083,521109,3232674,657352,2575322,877184,12280,538952,6433,2129141,68358,753640,12577,10125,2452,52012,9891,1128,28931,69589,3724283,344771,3379512,1514677
2023:Q1,15345974,7350448,4535177,246240,1296712,1007684,216272,229311,1538958,0,3460349,13971519,289331,17952,493,151781,796286,119907,676379,145752,11054,18823,18079,744,682951,134551,548400,3344509,693345,2651164,914031,12715,583679,9317,2167048,67610,779620,13177,10890,2287,40886,9791,5453,26598,72298,3810364,368605,3441759,1374455
2023:Q2,15363683,7380436,4545774,261132,1298517,1034524,211574,211194,1528833,0,3437473,14027944,295056,17538,493,151672,791939,117219,674720,145826,11011,18096,17386,710,680776,134053,546723,3297934,694245,2603689,921027,12933,552995,9810,2170184,67277,803549,13937,11748,2189,38345,9614,15997,25626,71939,3904370,371918,3532452,1335739
2023:Q3,15284403,7391419,4542544,264125,1330349,1042944,208729,221033,1475364,0,3350440,13646416,298861,17816,493,144143,736627,112629,623998,142963,30670,18226,17566,660,669057,131544,537513,3167017,679112,2487905,899169,12092,522327,9054,2111709,66016,790263,14454,12315,2139,35326,10113,26936,29414,70896,3822774,378906,3443868,1637987
2023:Q4,15597204,7402650,4710255,267260,1369245,1078660,215201,236247,1543642,0,3484299,14453710,310547,16664,493,151973,718025,115630,602395,134990,35887,19199,18650,549,712349,141773,570576,3344527,701348,2643179,967879,13031,559018,5655,2195404,70642,868522,14812,12744,2068,28287,10857,23996,31956,69977,4149020,393777,3755243,1143494
2024:Q1,15827238,7514363,4786794,262539,1391492,1114026,213660,258209,1546868,0,3526081,14738341,316128,16246,493,149996,758010,113451,644559,140420,35654,20051,19448,603,732802,146207,586595,3382740,707629,2675111,975136,13107,552745,5969,2255614,72779,905058,14953,12963,1990,27467,11373,37821,29370,75936,4208473,405725,3802748,1088897
