1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q4,567209,91835,286799,24836,6432,59068,95367,2872,577654,410086,86912,0,80363,293,-10445,51700,-21522,62777,121207,96492,3891,20824,101524,3012,-2756,0,-9984,67984,0,60072,5560,412,1940,32472,9052,23420,520,0,7320,5388,-2432,80700,93732,-5300,99032,1032,9636,-23700,-58430
1987:Q1,567819,92391,291907,22679,6732,58557,92676,2877,586223,416418,88308,0,81228,269,-18404,52559,-22006,56161,74502,100126,4044,-29668,102996,368,756,0,10784,43044,0,84260,-43396,116,2064,47464,13724,33740,416,0,2364,-1653,-547,132664,131268,668,130600,-764,9856,-7696,-18341
1987:Q2,589153,101458,298533,24519,7036,58506,96111,2990,595708,423467,89948,0,82026,267,-6555,53522,-22883,69850,82417,100557,4143,-22283,55908,1772,1848,0,14072,-4440,0,-12348,5712,8,2188,36656,11452,25204,492,0,920,2947,1641,78191,74732,-13724,88456,-7564,9972,1051,-12567
1987:Q3,588319,94123,305966,24825,7344,58495,94352,3214,603683,429115,91556,0,82738,274,-15364,54492,-22234,61362,76906,102967,4214,-30275,80416,-2424,-484,0,21860,27588,344,2336,23104,-260,2064,25440,3896,21544,328,0,3708,869,3531,110691,79788,-2128,81916,692,10184,20027,-15544
1987:Q4,596840,98428,310014,23582,7716,58585,94606,3909,613972,437205,93092,0,83385,290,-17132,55304,-22193,60365,79906,105124,4262,-29480,88194,4396,7580,0,1008,15012,532,-22012,35512,-704,1684,40568,5696,34872,892,0,8076,-230,10892,117674,85432,11872,73560,-1800,10344,23698,-19541
1988:Q1,611101,99425,315656,23424,8016,59526,100790,4264,624524,445012,95288,0,83904,320,-13423,56293,-22400,65270,47772,106101,4240,-62569,26768,3744,3148,0,-11068,11180,592,23452,-13452,-664,1252,21800,5356,16444,248,0,2640,636,-5560,89337,42700,2544,40156,-2832,10456,39013,17498
1988:Q2,620260,97220,323184,25223,8292,60434,101209,4698,635386,452849,97324,0,84867,346,-15126,57164,-23304,65342,54386,110633,4290,-60537,32880,6632,-7232,0,16240,-8052,532,-30600,21420,-156,752,14564,2712,11852,636,0,3484,3771,2837,93417,51852,1600,50252,-3560,10768,34357,10956
1988:Q3,638802,104139,327286,27305,8508,61811,104647,5106,646311,460151,99508,0,86287,365,-7509,58137,-23878,74506,73294,110641,4365,-41712,46944,-248,4896,0,2300,23440,436,-32976,54884,344,752,10780,1016,9764,1220,220,1160,4769,-1593,88656,49624,-3276,52900,-2800,10884,30948,1212
1988:Q4,651321,107592,332424,28176,8692,63013,105892,5532,660456,470004,101884,0,88191,377,-9135,59080,-22782,72727,66950,114273,4469,-51792,74740,60,-1108,0,-11528,48744,312,17964,28416,808,1244,17336,6716,10620,1500,152,11812,5392,2380,126532,70668,6980,63688,-4000,11120,48744,5777
1989:Q1,668893,113372,340192,27812,8760,65026,107758,5973,677638,482287,104248,0,90725,378,-8745,60055,-23621,74931,97644,114415,4601,-21372,58677,-6683,163,0,31912,5340,436,-45008,47256,904,1752,21342,6308,15034,1256,444,2924,3375,-1396,80048,30018,4280,25739,1504,11388,37138,-22713
1989:Q2,680787,118267,348249,24247,8860,66276,108702,6186,693695,493632,107328,0,92358,377,-12908,61196,-23407,71695,123978,117849,4771,1358,75514,1524,197,0,9460,45724,816,4400,37620,636,2252,6619,7488,-869,912,1092,3844,3837,2305,74156,34371,2934,31437,108,11716,27961,-52283
1989:Q3,688658,114514,353899,22801,9020,67133,115031,6260,707792,503163,110996,0,93258,375,-19134,62341,-22389,65596,88603,120009,4971,-36377,73976,-749,-6512,0,13532,32892,1064,-5468,34652,392,2252,23211,5148,18063,612,1604,1668,4007,3711,110353,50293,560,49733,-2408,11868,50600,-23007
1989:Q4,687120,112406,354161,22096,9256,67779,115075,6347,723697,515095,114820,0,93408,374,-36577,63480,-24179,51082,61176,124582,5193,-68599,74533,2372,2808,0,9680,25608,1188,18360,4136,180,1744,21124,6312,14812,1488,2340,5504,2761,848,143132,75733,5454,70279,-124,12220,55303,-10094
1990:Q1,714916,119351,369272,21420,9532,67953,121164,6224,739837,528056,118760,0,92653,368,-24921,64696,-25363,65138,106152,130713,5505,-30066,90407,1106,-11955,0,1444,87624,1564,127140,-42552,220,1252,8506,4912,3594,2060,3044,-1788,-1075,1440,120472,72603,3035,69568,1000,12636,34233,-41014
1990:Q2,722064,122583,368686,22111,9856,68167,124594,6067,754448,536848,124164,0,93067,369,-32384,66006,-24270,57892,81907,129938,5692,-53723,38764,1922,-206,0,12644,15796,2184,12468,-124,516,752,-1494,4936,-6430,864,2704,2952,-1019,4601,92488,40791,1557,39234,600,12652,38445,-24015
1990:Q3,735601,123722,375619,22978,10216,69417,127711,5938,774064,548943,130260,0,94486,375,-38463,67424,-24754,53715,64144,131407,5823,-73086,27651,257,-9105,0,1580,24896,2720,21168,-660,916,752,980,4704,-3724,4012,5352,5768,-358,-5732,100736,22050,3654,18396,1600,12900,64186,-10429
1990:Q4,747617,124582,382734,23436,10536,68242,132076,6011,796939,562218,137436,0,96901,384,-49322,68436,-25573,44687,48568,136594,5899,-93925,42416,-1182,3669,0,7256,17664,3156,14896,-3048,1416,1244,3224,6464,-3240,152,2716,2864,329,5724,136341,49271,3533,45738,312,13444,73314,-3881
1991:Q1,755044,121204,384304,23784,10988,68021,140603,6140,810120,567775,141472,0,100468,405,-55076,69414,-26079,40417,78123,135041,5847,-62765,30311,1332,-6629,0,-8396,40164,3720,26016,7488,1252,1688,4796,5440,-644,-1464,1196,-6120,2211,3220,93076,49388,4580,44808,-272,13436,30524,-37706
1991:Q2,769588,124477,390228,23420,11420,67546,146392,6105,830078,574103,152180,0,103382,413,-60490,70488,-26213,36211,43897,135829,5853,-97785,42425,9161,-5247,0,19876,8820,4404,-1696,3632,416,2064,-3789,2152,-5941,1724,4664,4160,1980,1076,140211,62651,8401,54250,-708,13520,64748,-7686
1991:Q3,788298,126105,399442,23731,11832,67028,154122,6038,846671,581839,158628,0,105788,416,-58373,71386,-25689,38702,42685,138102,5849,-101266,86671,4802,-12101,0,3880,87168,5344,65200,14808,-372,2188,446,3368,-2922,268,3056,4280,599,-5727,187937,99469,10221,89248,1592,13768,73108,-3983
1991:Q4,806434,129459,407328,23629,12236,66171,161519,6092,873058,591162,173788,0,107694,414,-66624,72074,-25239,30689,-18596,140206,5841,-164643,80109,5924,-15827,0,11324,43044,6532,14732,20840,-1120,2060,8259,3072,5187,-356,2300,7280,2238,15923,244751,151740,4282,147458,840,13992,78179,49285
1992:Q1,816019,127554,412767,25193,12608,65911,166057,5929,881318,601299,170544,0,109076,399,-65299,72652,-25913,33266,89682,144791,5868,-60977,22299,2749,-10887,0,-10616,54468,6592,105716,-58280,-1372,1812,-3065,-36,-3029,2000,5876,-2820,-251,-15156,83276,-1389,-25036,23647,156,14284,70225,-56416
1992:Q2,832673,136930,418158,24742,12972,64238,169565,6068,901962,612816,178632,0,110122,392,-69289,73681,-27301,31693,56936,141088,5856,-90008,11976,2115,-8597,0,26248,-32376,5532,-114096,73888,-1136,3436,4889,724,4165,1712,5716,5636,445,6188,101984,21847,1696,20151,-200,14324,66013,-25243
1992:Q3,843491,136770,424117,23177,13308,63244,176457,6418,919631,622576,185824,0,110847,384,-76140,74515,-26789,25164,44091,137220,5843,-98972,17094,9607,-391,0,-668,22708,4624,-7852,23520,-996,3412,-10027,-552,-9475,828,4472,3208,-683,-11960,116066,56340,33450,22890,-200,14348,45578,-18927
1992:Q4,851685,139967,425282,24408,13604,62381,179161,6882,925235,628603,184984,0,111271,377,-73550,75521,-27593,29564,45519,135795,5832,-96108,-21185,1073,-12261,0,3468,-12980,3876,-28380,9580,-996,2940,-16813,-312,-16501,-448,2336,6416,220,7804,74923,-10234,-14402,4168,-320,14428,71049,-15955
