1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,66871,54855,0,416,2608,8268,-48,-4,152,-20,-400,116,2288,0,-152,0,-1208,11400,4356,0,860,-16,5260,-68,24,0,0,88,80,0,0,0,0,-664,1512,0,-32,0,0,55471
1959:Q1,21702,29338,0,-1672,-1248,-4956,24,0,120,0,-460,540,-844,0,-68,0,928,-1582,-6110,0,112,20,3152,572,20,0,0,116,172,0,0,0,0,216,184,0,-36,0,0,23284
1959:Q2,60880,54648,0,700,176,5892,16,4,120,4,-200,-324,-528,0,-52,0,424,9381,2385,0,-148,136,4844,800,16,0,0,148,172,0,0,0,0,600,464,0,-36,0,0,51499
1959:Q3,-31039,-26043,0,-1252,-2224,-2272,-172,0,120,4,-428,-200,1156,0,-8,0,280,-4313,4631,0,36,160,-8936,648,16,0,0,152,252,0,0,0,0,-8,-1228,0,-36,0,0,-26726
1959:Q4,98102,86242,0,564,4420,6432,-184,-4,136,4,244,312,2116,0,-44,0,-2136,1794,4198,0,44,176,-1808,-2052,76,0,0,132,204,0,0,0,0,-636,1496,0,-36,0,0,96308
1960:Q1,-103095,-91247,0,-728,-4112,-8800,-184,-8,144,0,720,64,-4124,0,104,0,5076,-2401,-3345,0,-36,8,44,560,24,0,0,112,324,0,0,0,0,192,-244,0,-40,0,0,-100694
1960:Q2,37511,31023,0,1540,3160,40,320,-8,140,8,552,-48,104,0,-32,0,712,3122,-782,0,24,680,1160,464,24,0,0,88,288,0,0,0,0,684,532,0,-40,0,0,34389
1960:Q3,-114737,-105989,0,-308,-4136,-4468,-548,-4,112,8,136,112,604,0,88,0,-344,-3210,5962,0,128,-604,-7352,-268,28,0,0,96,368,0,0,0,0,20,-1548,0,-40,0,0,-111527
1960:Q4,182820,173224,0,412,4392,6900,-376,-8,112,-8,96,-104,-88,0,-160,0,-1572,4117,-2935,0,88,-268,6932,-188,56,0,0,132,180,0,0,0,0,-884,1048,0,-44,0,0,178703
1961:Q1,172424,180872,0,-368,-3756,-7304,-188,-8,116,8,296,344,-72,0,-304,0,2788,-11613,-7635,0,144,-34,-2712,-1560,44,0,0,176,120,0,0,0,0,296,-408,0,-44,0,0,184037
1961:Q2,5600,-436,0,1116,640,3444,-160,-4,116,0,792,-424,544,0,-8,0,-20,15078,3196,0,-88,-122,9372,264,64,0,0,224,188,0,0,0,0,696,1332,0,-48,0,0,-9478
1961:Q3,43508,48188,0,-1452,-1716,-2212,-200,-4,104,4,336,-64,1376,0,-16,0,-836,-7773,3351,0,-140,180,-10392,-116,64,0,0,224,168,0,0,0,0,-108,-956,0,-48,0,0,51281
1961:Q4,63652,49460,0,560,4256,12140,-372,0,96,-44,-200,248,936,0,-36,0,-3392,5504,-1308,0,24,-132,5048,-208,72,0,0,168,140,0,0,0,0,-800,2548,0,-48,0,0,58148
1962:Q1,-4159,3513,0,768,-4120,-8180,-88,-8,68,0,-416,12,-364,0,-24,0,4680,-9279,-6547,0,28,232,-3076,-12,32,0,0,132,448,0,0,0,0,284,-748,0,-52,0,0,5120
1962:Q2,5973,-787,0,-736,1064,3224,164,-8,60,4,284,204,2188,0,20,0,292,11368,2004,0,-216,716,5196,-44,16,0,0,88,864,0,0,0,0,696,2100,0,-52,0,0,-5395
1962:Q3,864,1324,0,684,-488,-2912,256,-4,36,4,224,-372,2032,0,-68,0,148,2829,5653,0,-164,-16,-1972,-12,24,0,0,80,508,0,0,0,0,-52,-1164,0,-56,0,0,-1965
1962:Q4,11745,-1419,0,-660,3904,9780,-140,0,32,24,1268,216,252,0,-72,0,-1440,3300,-630,0,-156,-322,2644,660,56,0,0,112,300,0,0,0,0,-876,1568,0,-56,0,0,8445
