1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q2,33478,17388,11553,4493,66,3786,641,46,33478,6759,10908,4589,6507,4156,560,3,205,193,5,1,7,37,31,1,0,2,0,48,23,210,11439,1361
1962:Q3,34404,17946,11803,4609,73,3896,640,46,34404,6723,11046,4664,6780,4631,561,3,199,187,5,1,7,38,32,1,0,2,0,49,23,215,11560,1547
1962:Q4,33732,17251,11666,4769,85,4027,657,46,33732,6662,11013,4683,6730,4101,543,3,182,171,5,1,7,38,33,1,0,2,0,49,23,212,12022,841
1963:Q1,33182,16638,11494,4967,99,4187,681,84,33182,6828,11074,4786,6449,3528,518,3,192,182,4,1,6,34,27,1,0,1,0,23,25,212,12190,1717
1963:Q2,35473,18661,11560,5169,121,4338,711,84,35473,7215,11442,5022,6600,4670,525,3,183,173,4,1,6,35,29,1,0,1,0,24,26,222,12489,1209
1963:Q3,36878,19405,12034,5356,169,4473,714,84,36878,7259,11780,5140,6988,5166,546,3,194,184,4,1,6,37,30,1,0,1,0,25,28,228,12679,1429
1963:Q4,36568,18686,12344,5456,157,4582,717,84,36568,7495,12138,5311,6631,4406,588,3,224,213,4,1,6,39,32,1,0,1,0,26,29,235,12920,1266
1964:Q1,36687,18532,12568,5537,169,4682,685,51,36687,7812,12406,5477,6733,3617,643,3,208,196,5,1,7,56,45,1,0,1,0,57,35,236,13429,1281
1964:Q2,38404,20006,12714,5634,170,4780,683,51,38404,7606,12750,5465,6774,5114,695,3,247,234,5,1,7,57,46,1,0,1,0,59,36,245,13772,1114
1964:Q3,39574,20807,12984,5732,169,4864,698,51,39574,7578,13170,5498,6834,5755,740,3,278,265,5,1,8,59,47,1,0,1,0,61,37,253,14212,1173
1964:Q4,39057,19921,13259,5826,168,4942,716,51,39057,7675,13523,5528,6777,4788,767,3,295,282,5,1,8,60,48,1,0,1,0,63,38,258,13749,1254
1965:Q1,39201,19283,13884,5965,174,5030,760,69,39201,7843,14425,5677,6566,3886,805,4,294,280,5,1,8,66,55,2,0,1,0,75,45,266,15089,2886
1965:Q2,41580,21470,13911,6131,201,5136,794,69,41580,7996,15036,5765,6567,5392,825,4,288,274,5,1,8,69,57,2,0,1,0,78,47,281,15067,2142
1965:Q3,43602,22581,14635,6317,224,5262,830,69,43602,8088,15704,5856,6799,6317,839,4,279,265,6,1,8,73,60,2,0,1,0,81,49,290,15504,2323
1965:Q4,43880,22308,14976,6527,249,5423,855,69,43880,8172,16533,5985,6767,5571,853,4,261,246,6,1,9,77,64,2,0,1,0,85,52,307,16068,1896
1966:Q1,44378,21550,15873,6772,272,5594,907,182,44378,8253,17354,6116,7252,4544,859,4,305,291,6,1,8,69,54,2,1,1,0,80,43,301,16851,3468
1966:Q2,46047,22676,16212,6978,301,5752,926,182,46047,7964,17904,6069,7187,6064,861,4,291,276,6,1,8,72,56,2,1,1,0,83,44,308,16247,3079
1966:Q3,47378,23283,16758,7155,333,5889,934,182,47378,7723,18258,5991,7778,6764,865,4,283,268,6,1,8,74,58,2,1,1,0,84,46,315,16854,2963
1966:Q4,46317,21611,17223,7302,363,5997,942,182,46317,7225,18434,5803,7872,6107,876,4,288,273,6,1,9,75,59,2,1,1,0,85,47,315,16924,4126
1967:Q1,44926,20406,16927,7392,370,6081,941,201,44926,7102,18218,5648,7966,5113,879,5,223,208,6,1,8,83,64,3,1,1,0,137,52,312,16541,3856
1967:Q2,47271,22668,16935,7467,372,6160,934,201,47271,7795,18288,5793,7739,6743,913,5,257,241,6,1,9,83,65,3,1,1,0,137,52,310,17328,1585
1967:Q3,48915,23933,17194,7587,369,6253,965,201,48915,8150,18395,5888,8194,7328,960,5,304,288,6,1,8,83,64,3,1,1,0,137,52,311,17378,2316
1967:Q4,49389,23872,17579,7737,378,6356,1004,201,49389,8637,18969,6153,8046,6538,1047,5,372,357,6,1,9,85,66,3,1,1,0,142,54,319,17597,2108
1968:Q1,49387,23361,17888,7904,392,6475,1037,235,49387,8724,19698,6381,7812,5613,1160,5,320,300,8,1,11,87,67,4,1,2,0,260,73,343,18922,2110
1968:Q2,51482,25519,17642,8087,412,6590,1084,235,51482,8858,19649,6503,7842,7425,1206,5,367,348,8,1,10,87,68,4,1,2,0,259,73,343,19442,3521
1968:Q3,52835,26314,18046,8242,435,6703,1104,235,52835,8944,20080,6721,7787,8048,1256,5,400,381,8,1,11,89,69,4,1,2,0,263,75,348,20486,1920
1968:Q4,53408,26244,18535,8395,459,6822,1114,235,53408,9334,20911,7138,7678,7042,1306,5,411,390,8,1,11,94,73,4,1,2,0,275,79,365,20552,1502
1969:Q1,54460,26109,19591,8529,495,6930,1105,232,54460,9745,21596,7568,8109,6126,1316,6,487,467,8,2,11,94,70,4,1,1,0,176,88,389,20849,2872
1969:Q2,56182,28014,19250,8687,547,7026,1114,232,56182,9752,22021,7787,7584,7723,1315,6,462,441,8,2,11,97,73,4,1,1,0,180,92,401,20950,2306
1969:Q3,57711,28864,19827,8788,613,7092,1083,232,57711,9727,22753,8026,7775,8093,1338,6,443,421,8,2,12,102,77,4,1,1,0,186,97,421,20992,2549
1969:Q4,55582,27037,19442,8872,677,7118,1077,232,55582,9253,22909,7952,7260,6875,1333,6,422,399,9,2,12,105,79,5,1,1,0,187,100,429,21042,1447
1970:Q1,55241,26096,19849,8885,739,7092,1055,412,55241,9216,23006,8022,7689,5980,1329,7,384,365,7,1,11,113,86,4,1,3,0,168,117,447,20814,456
1970:Q2,56652,27574,19792,8874,778,7064,1032,412,56652,9016,23198,8022,7622,7437,1358,7,395,376,8,1,11,116,88,5,1,3,0,169,120,455,21138,1270
1970:Q3,58177,28959,19916,8890,786,7077,1027,412,58177,9242,23363,8191,7481,8491,1410,7,439,420,8,2,11,117,88,5,1,3,0,171,121,459,21372,1271
1970:Q4,57781,29113,19372,8883,771,7078,1034,412,57781,10028,22766,8453,7669,7427,1439,7,491,472,7,2,10,113,86,4,1,3,0,166,117,451,20283,-996
1971:Q1,57713,29347,18919,8961,760,7153,1049,485,57713,10775,23153,8841,6911,6492,1543,12,514,488,9,2,15,115,91,5,1,4,0,132,133,536,22763,3064
1971:Q2,61436,32567,19296,9088,789,7235,1064,485,61436,11928,23662,9393,6898,7925,1631,13,572,547,9,2,15,119,94,5,1,4,0,136,138,550,23445,2719
1971:Q3,63687,34335,19631,9237,821,7318,1098,485,63687,12650,23956,9699,7220,8500,1663,13,585,560,9,2,15,121,96,6,2,4,0,137,141,560,24015,2547
1971:Q4,64240,34541,19768,9446,867,7434,1146,485,64240,13316,24646,10035,6770,7794,1681,13,569,542,10,2,15,126,99,6,2,4,0,141,147,575,24911,-74
1972:Q1,66256,35160,20981,9686,892,7606,1189,428,66256,14326,25856,10592,7115,6705,1662,10,554,529,9,2,15,109,87,6,1,6,0,115,150,628,25448,807
1972:Q2,69246,36968,21948,9903,922,7746,1235,428,69246,14703,26523,10808,7698,7848,1666,10,531,505,9,2,15,111,89,6,1,6,0,118,154,641,26221,3000
1972:Q3,70584,38234,21864,10059,951,7868,1240,428,70584,15058,27064,11021,7072,8668,1701,11,541,515,9,2,15,114,91,6,1,6,0,121,158,654,27031,3429
1972:Q4,73640,39279,23698,10235,958,8039,1238,428,73640,16107,28421,11694,7464,8120,1835,11,620,592,10,2,16,119,94,6,1,7,0,129,165,683,28371,1873
