1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,109,408,2648,-64,0,0,1812,0,-1840,1504,1108,1040,4,4,300,144,0,0,448,0,0,0,0,3572,2952,0,0,4,0,172,2776,0,2772,4,620,616,4,0,625,0,2772,0,0,0
1969:Q4,198,418,3684,-40,0,0,1804,0,-124,-112,1244,796,12,0,1328,156,0,0,424,0,0,0,0,4400,3844,0,0,-28,0,-72,3944,0,3908,36,556,520,36,0,496,0,3908,0,0,0
1970:Q1,257,452,5164,68,0,0,3088,0,-392,276,1268,1936,32,8,1356,160,0,0,452,0,0,0,0,4016,3580,0,0,0,0,184,3396,0,3388,8,436,428,8,0,-1343,0,3388,0,0,0
1970:Q2,651,462,5024,136,0,0,3048,0,-432,396,1188,1896,48,8,1148,172,0,0,464,0,0,0,0,3576,3224,0,0,0,0,-188,3412,0,3404,8,352,344,8,0,-1259,0,3404,0,0,0
1970:Q3,1496,466,5104,144,0,0,4172,0,584,-580,1484,2684,52,8,68,184,0,0,476,0,0,0,0,3916,3560,0,0,4,0,128,3428,0,3424,4,356,352,4,0,-158,0,3424,0,0,0
1970:Q4,1953,452,7072,96,0,0,4864,0,40,-40,2160,2704,48,4,1364,200,0,0,496,0,0,0,0,4056,3608,0,0,8,0,144,3456,0,3456,0,448,448,0,0,-1515,0,3456,0,0,0
1971:Q1,1998,460,5492,92,0,0,3804,0,-280,304,2800,980,0,8,1084,212,0,0,292,0,0,0,0,4140,3588,0,0,0,0,136,3452,0,3444,8,552,544,8,0,186,0,3444,0,0,0
1971:Q2,1985,475,7220,84,0,0,3812,0,-432,480,3416,348,-20,8,2996,228,0,0,112,0,0,0,0,4128,3484,0,0,4,0,132,3348,0,3344,4,644,640,4,0,-1582,0,3344,0,0,0
1971:Q3,2149,485,7248,72,0,0,3808,0,-160,228,3768,-28,-28,12,2948,236,0,0,200,0,0,0,0,4136,3480,0,0,0,0,-48,3528,0,3520,8,656,648,8,0,-1448,0,3520,0,0,0
1971:Q4,2348,503,7476,60,0,0,3772,0,12,64,3856,-160,-40,0,2856,268,0,0,560,0,0,0,0,4092,3588,0,0,68,0,-392,3912,0,3972,-60,504,564,-60,0,-1539,0,3972,0,0,0
1972:Q1,2466,434,7404,48,0,0,3812,0,-512,612,4108,-396,-32,12,2352,276,0,0,936,0,0,0,0,5192,4688,0,0,0,0,264,4424,0,4416,8,504,496,8,0,-180,0,4416,0,0,0
1972:Q2,2451,445,8284,40,0,0,3904,0,-676,816,4524,-760,-44,12,2740,296,0,0,1336,0,0,0,0,5252,4816,0,0,4,0,-56,4868,0,4864,4,436,432,4,0,-1026,0,4864,0,0,0
1972:Q3,2644,457,9016,24,0,0,3776,0,-516,644,4548,-900,-44,12,3552,316,0,0,1380,0,0,0,0,5668,5236,0,0,0,0,188,5048,0,5040,8,432,424,8,0,-1161,0,5040,0,0,0
1972:Q4,2610,477,7984,12,0,0,3412,0,576,-508,4176,-832,-48,-20,3184,372,0,0,1072,0,0,0,0,5452,5048,0,0,76,0,84,4888,0,4956,-68,404,472,-68,0,-399,0,4956,0,0,0
1973:Q1,2257,566,6996,0,0,0,3480,0,-668,652,3948,-452,-20,12,2328,364,0,0,832,0,0,0,0,5388,4892,0,0,4,0,104,4784,0,4780,4,496,492,4,0,83,0,4780,0,0,0
1973:Q2,2044,597,6692,-24,0,0,3240,0,-240,112,3868,-500,-12,16,2416,384,0,0,672,0,0,0,0,5152,4648,0,0,4,0,-128,4772,0,4748,24,504,480,24,0,-93,0,4748,0,0,0
1973:Q3,1958,620,7048,-20,0,0,3348,0,256,-348,3600,-160,-8,16,2736,412,0,0,564,0,0,0,0,5432,4876,0,0,4,0,88,4784,0,4760,24,556,532,24,0,-278,0,4760,0,0,0
1973:Q4,1646,638,6720,-8,0,0,3776,0,396,-328,3152,556,-20,0,2008,460,0,0,504,0,0,0,0,5400,4828,0,0,104,0,-12,4736,0,4812,-76,572,648,-76,0,-312,0,4812,0,0,0
1974:Q1,1392,700,6344,28,0,0,4240,0,-288,568,2624,1336,-8,20,976,472,0,0,616,0,0,0,0,5220,4708,0,0,-64,0,140,4632,0,4876,-244,512,756,-244,0,-432,0,4876,0,0,0
1974:Q2,788,723,5424,48,0,0,4668,0,-820,1316,2032,2140,-8,20,-308,504,0,0,500,0,0,0,0,5144,4528,0,0,-60,0,-128,4716,0,4964,-248,616,864,-248,0,-215,0,4964,0,0,0
1974:Q3,441,754,4988,56,0,0,4804,0,-140,636,1904,2404,-4,20,-912,540,0,0,484,0,0,0,0,5384,4712,0,0,-64,0,84,4692,0,4936,-244,672,916,-244,0,83,0,4936,0,0,0
1974:Q4,479,787,4176,84,0,0,4700,0,1340,-1040,2240,2160,-16,24,-1732,576,0,0,540,0,0,0,0,5164,4476,0,0,-80,0,-16,4572,0,4800,-228,688,916,-228,0,680,0,4800,0,0,0
1975:Q1,-236,935,6788,-676,0,0,6768,0,1240,1132,2376,2020,-24,24,-572,620,0,0,648,0,0,0,0,6904,5832,0,0,36,0,108,5688,0,5544,144,1072,928,144,0,-1055,0,5544,0,0,0
1975:Q2,316,933,5816,172,0,0,5944,0,1356,-196,2316,2468,84,28,-1780,660,0,0,708,0,0,0,0,6688,5576,0,0,36,0,-132,5672,0,5528,144,1112,968,144,0,255,0,5528,0,0,0
1975:Q3,295,939,8152,288,0,0,7012,0,1944,-340,2580,2828,76,28,-624,704,0,0,668,0,0,0,0,7560,6440,0,0,36,0,60,6344,0,6200,144,1120,976,144,0,-1237,0,6200,0,0,0
1975:Q4,523,948,11436,616,0,0,9368,0,2900,1892,3172,1404,120,32,-20,752,0,0,568,0,0,0,0,8848,7736,0,0,40,0,-16,7712,0,7564,148,1112,964,148,0,-3014,0,7564,0,0,0
1976:Q1,939,936,16544,-780,0,0,15128,0,2960,1088,5452,5628,0,32,328,808,0,0,1028,0,0,0,0,10312,9276,0,0,40,0,128,9108,0,8968,140,1036,896,140,0,-6229,0,8968,0,0,0
