date,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU633091003.Q,FU733091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,35,0,35,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,-17,0,-17,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,-41,0,-41,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,47,0,47,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1961:Q2,24,0,24,0,0,0
1961:Q3,25,0,25,0,0,0
1961:Q4,-2,0,-2,0,0,0
1962:Q1,-2,0,-2,0,0,0
1962:Q2,32,0,32,0,0,0
1962:Q3,-19,0,-19,0,0,0
1962:Q4,-136,0,-136,0,0,0
1963:Q1,38,0,38,0,0,0
1963:Q2,121,0,121,0,0,0
1963:Q3,-65,0,-65,0,0,0
1963:Q4,-303,0,-303,0,0,0
1964:Q1,136,0,136,0,0,0
1964:Q2,92,0,92,0,0,0
1964:Q3,56,0,56,0,0,0
1964:Q4,-181,0,-181,0,0,0
1965:Q1,-64,0,-64,0,0,0
1965:Q2,-211,0,-211,0,0,0
1965:Q3,70,0,70,0,0,0
1965:Q4,-107,0,-107,0,0,0
1966:Q1,103,0,103,0,0,0
1966:Q2,33,0,33,0,0,0
1966:Q3,15,0,15,0,0,0
1966:Q4,-47,0,-47,0,0,0
1967:Q1,66,0,66,0,0,0
1967:Q2,-108,0,-108,0,0,0
1967:Q3,-16,0,-16,0,0,0
1967:Q4,142,0,142,0,0,0
1968:Q1,302,0,302,0,0,0
1968:Q2,392,0,392,0,0,0
1968:Q3,83,0,83,0,0,0
1968:Q4,-245,0,-245,0,0,0
1969:Q1,269,0,269,0,0,0
1969:Q2,-47,0,-47,0,0,0
1969:Q3,-191,0,-191,0,0,0
1969:Q4,-445,0,-445,0,0,0
1970:Q1,-1,0,-1,0,0,0
1970:Q2,48,0,48,0,0,0
1970:Q3,-79,0,-79,0,0,0
1970:Q4,-343,0,-343,0,0,0
1971:Q1,284,0,284,0,0,0
1971:Q2,20,0,20,0,0,0
1971:Q3,137,0,137,0,0,0
1971:Q4,-5,0,-5,0,0,0
1972:Q1,187,0,187,0,0,0
1972:Q2,205,0,205,0,0,0
1972:Q3,194,0,194,0,0,0
1972:Q4,352,0,352,0,0,0
1973:Q1,550,0,550,0,0,0
1973:Q2,283,0,283,0,0,0
1973:Q3,-276,0,-276,0,1500,-1500
1973:Q4,600,0,600,0,0,0
1974:Q1,400,0,400,0,500,-500
1974:Q2,-200,0,-200,0,0,0
1974:Q3,-400,0,-400,0,500,-500
1974:Q4,0,0,0,0,0,0
1975:Q1,76,0,19,0,500,-443
1975:Q2,-200,0,-431,0,0,231
1975:Q3,450,0,21,0,0,429
1975:Q4,500,0,862,0,200,-562
1976:Q1,656,0,560,0,0,96
1976:Q2,513,0,116,0,100,297
1976:Q3,-178,0,-589,0,0,411
1976:Q4,678,0,730,0,100,-152
1977:Q1,846,0,458,0,0,388
1977:Q2,1444,0,847,0,100,497
1977:Q3,-741,0,170,0,0,-911
1977:Q4,-234,0,772,0,100,-1106
1978:Q1,1285,0,1411,0,100,-226
1978:Q2,151,0,353,0,-1962,1760
1978:Q3,-579,0,-993,0,38,376
1978:Q4,1592,0,1860,0,169,-437
1979:Q1,5230,0,4207,1162,675,-814
1979:Q2,-372,0,-1251,1136,794,-1051
1979:Q3,5293,0,-1496,1558,-367,5598
1979:Q4,-369,0,303,1253,-1102,-823
1980:Q1,3158,0,-906,1207,1078,1779
1980:Q2,1733,0,-610,740,-218,1821
1980:Q3,-2357,0,106,1601,737,-4801
1980:Q4,1945,0,1026,-1888,1314,1493
1981:Q1,6535,0,-312,3985,345,2517
1981:Q2,1198,0,27,3420,2491,-4740
1981:Q3,818,0,1084,2898,3755,-6919
1981:Q4,1868,0,1891,1774,587,-2384
1982:Q1,5363,0,-2320,3620,2428,1635
1982:Q2,1112,0,1244,738,3924,-4794
1982:Q3,-7127,0,-3042,-385,-3823,123
