1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q4,307914,13611,64251,0,11781,126995,0,60850,59357,6788,0,48185,23575,24610,0,0,26463,16440,188,671031,315554,13131,302423,6662,55615,293200
1980:Q1,313195,11297,66165,0,14013,126886,0,58119,61731,7036,0,49511,25601,23910,0,0,26878,18236,209,678344,319378,11846,307532,6714,57082,295170
1980:Q2,316501,12643,62481,0,17500,126537,0,58847,60336,7354,0,51743,28113,23630,0,0,26900,18543,154,680241,325729,13147,312582,6779,58546,289187
1980:Q3,325694,11602,61154,0,20253,131233,0,64357,59467,7409,0,54503,30873,23630,0,0,27613,19208,128,687046,332297,14621,317676,7138,60010,287601
1980:Q4,334784,13041,62510,0,16997,136201,0,69472,59721,7008,0,57207,33357,23850,0,0,29217,19489,122,693341,336848,14868,321980,7586,61506,287401
1981:Q1,342887,10357,64463,0,17135,141599,0,74161,60564,6874,0,59044,35554,23490,0,0,30482,19586,221,711303,341667,15122,326545,7813,63091,298732
1981:Q2,350415,11522,61615,0,16301,149675,0,80335,62628,6712,0,61003,37793,23210,0,0,31017,19012,270,727889,346762,15562,331200,8570,64649,307908
1981:Q3,359359,10155,62279,0,17315,156897,0,83719,66253,6925,0,62757,39547,23210,0,0,31069,18555,332,753562,356158,17057,339101,8469,66215,322720
1981:Q4,365008,11588,64878,0,13661,161559,0,85335,69085,7139,0,64019,41039,22980,0,0,31551,17547,205,769014,363230,16006,347224,8824,67828,329132
1982:Q1,372087,9498,69492,0,11896,166886,0,93525,65763,7598,0,65333,42173,23160,0,0,31190,17604,188,791211,371040,15228,355812,9068,69447,341656
1982:Q2,382979,10768,68118,0,13450,173971,0,102120,64250,7601,0,66574,43194,23380,0,0,31687,18239,172,815693,383029,19038,363991,9606,71099,351959
1982:Q3,390495,9514,70277,0,14701,176738,0,99211,69922,7605,0,68182,44602,23580,0,0,32091,18747,245,831730,393578,22112,371466,9653,72783,355716
1982:Q4,399641,10390,70885,0,16086,178155,0,100592,70180,7383,0,71958,46278,25680,0,0,32899,19072,196,846661,403983,22737,381246,9791,74509,358378
1983:Q1,409028,8626,71915,0,18517,183298,0,105040,70582,7551,125,75025,47885,27140,0,0,32231,19271,145,854897,411681,19704,391977,10033,76249,356934
1983:Q2,424816,10543,68292,0,23422,185704,0,107143,71057,7254,250,82865,49755,33110,0,0,32688,20873,429,867177,428044,21554,406490,10350,77999,350784
1983:Q3,433905,8395,66910,0,30795,186097,0,107744,70347,7506,500,86747,51647,35100,0,0,32866,21565,530,888860,439293,21548,417745,10703,79804,359060
1983:Q4,449114,10129,67418,0,32665,191502,0,112493,70054,7955,1000,90894,54164,36730,0,0,34398,21814,294,907948,450209,21256,428953,10900,81623,365216
1984:Q1,464975,12166,66193,0,36581,197334,0,115460,71639,8454,1781,94630,56580,38050,0,0,35090,22538,443,926832,460827,18502,442325,10713,83503,371789
1984:Q2,484084,14730,66176,0,40000,202966,0,119641,71707,8743,2875,99303,59363,39940,0,0,36415,23174,1320,948102,477008,18960,458048,11000,85435,374659
1984:Q3,504038,12672,69751,0,48267,208674,0,120545,75416,8682,4031,103152,61772,41380,0,0,36765,22591,2166,962343,493057,18439,474618,11941,87428,369917
1984:Q4,520672,15759,70822,0,53122,210191,0,121603,74572,9016,5000,108789,64399,44390,0,0,37508,22783,1698,978309,494993,17600,477393,18641,89461,375214
1985:Q1,553850,13326,76954,0,58548,227909,0,128528,84887,8650,5844,114155,66455,47700,0,0,37683,23998,1277,1007794,516139,14750,501389,21106,91551,378998
1985:Q2,587507,16995,75177,0,67216,240408,0,136664,88968,8151,6625,122471,68591,53880,0,0,38424,25124,1692,1038901,539249,14983,524266,24367,93724,381561
1985:Q3,608960,15356,76708,0,73614,241529,0,134169,90871,9145,7344,133971,71191,62780,0,0,38725,26210,2847,1080654,563703,19920,543783,25535,95945,395471
1985:Q4,701837,17182,79215,0,74128,293848,0,171160,105083,9605,8000,161717,74207,87510,0,0,41283,26775,7689,1158617,651111,20528,630583,26820,98210,382476
1986:Q1,708756,14939,81490,0,74379,296120,0,174755,102965,9822,8578,167269,78819,88450,0,0,39252,27361,7946,1157692,653141,19139,634002,26942,100548,377061
1986:Q2,741742,20299,79609,0,75637,309292,0,194475,95669,10086,9062,179916,81696,98220,0,0,39528,28285,9176,1189704,684072,23362,660710,27050,102911,375671
1986:Q3,754102,16969,78209,0,81473,312309,0,190209,102273,10312,9515,186112,83742,102370,86,0,40386,28568,9990,1223178,700113,20400,679713,26999,105315,390751
1986:Q4,784607,20364,78130,0,78977,329305,0,205227,103663,10415,10000,196505,86005,110500,219,0,42216,29509,9382,1241058,724873,20402,704471,27257,107724,381204
1987:Q1,808696,16421,80922,0,81673,340066,0,226292,92814,10444,10516,207926,89436,118490,367,0,42807,29269,9245,1241794,753356,18678,734678,27066,110188,351184
1987:Q2,824653,19951,79244,0,85191,338956,0,223205,94242,10446,11063,217699,92299,125400,500,0,43037,30420,9655,1257205,770823,12717,758106,25175,112681,348526
1987:Q3,840293,17902,77980,0,90656,345853,86,223789,100018,10381,11579,222303,93273,129030,609,0,43964,30488,10538,1281526,795600,16238,779362,25348,115227,345351
1987:Q4,866422,21392,80555,0,90908,349606,219,218286,108896,10205,12000,234037,94697,139340,687,0,45983,29993,13261,1354389,817678,19574,798104,24898,117813,394000
1988:Q1,871678,23833,84063,0,88141,352401,367,224149,105533,10039,12313,238916,96036,142880,796,0,46643,30367,6518,1361056,826823,18145,808678,24190,120427,389616
1988:Q2,881648,28324,79685,0,92201,350388,500,216499,110888,10000,12501,243654,96714,146940,1000,0,47514,31655,7227,1375283,838042,16253,821789,23300,123119,390822
1988:Q3,890299,26963,81069,0,92776,356248,609,208255,124609,10086,12689,244568,96968,147600,1297,55,47804,32690,6829,1400410,861662,19952,841710,15000,125840,397908
1988:Q4,911856,29292,80481,0,89894,368434,687,212746,131713,10288,13000,250157,98647,151510,1688,94,50757,33635,7424,1423963,883989,21536,862453,9000,128620,402354
1989:Q1,925727,24279,83400,0,97872,369769,796,201494,143527,10514,13438,254644,100224,154420,2110,211,51488,34879,7075,1458232,892568,20333,872235,9376,131467,424821
1989:Q2,946789,26850,81193,0,100237,381200,1000,202594,152932,10673,14001,258086,102096,155990,2500,500,52449,36123,7651,1475949,899977,18847,881130,9403,134396,432173
1989:Q3,962488,25683,79602,0,103620,389423,1266,201227,161595,10771,14564,261963,103383,158580,2875,945,52866,36932,8579,1515394,917344,24085,893259,8801,137363,451886
1989:Q4,983093,28408,79645,0,106040,395825,1563,205817,162629,10816,15000,268231,104961,163270,3250,1531,54242,37130,8791,1567077,931593,24843,906750,8770,140418,486296
1990:Q1,1005530,25562,79991,0,106401,417731,1954,237602,151991,10871,15313,269699,106189,163510,3625,2226,53795,37349,9151,1614546,949669,23433,926236,9020,143577,512280
1990:Q2,1017144,27913,77093,0,109562,421680,2500,240719,151960,11000,15501,271703,107423,164280,4000,3000,54533,37359,10301,1635661,960810,21854,938956,9170,146740,518941
1990:Q3,1020808,27071,75882,0,109957,427904,3180,246011,151795,11229,15689,269849,108599,161250,4375,3867,55975,37060,8868,1711232,970791,27903,942888,9570,149965,580906
1990:Q4,1032490,28934,75246,0,111771,432320,3969,249735,151033,11583,16000,271035,110215,160820,4750,4844,56691,36600,10299,1724145,977772,27788,949984,9648,153326,583399
