1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,113580,75356,12665,17313,8246,113580,77768,35812,14636,21176,0,113580,21423,33,0,3425,2476,377,124,448,582,59307,58747,0,153,407,143,25976,238,249,1281,0,0,1281,0,0,78,0,0,78,0,0,0,845,0
1955:Q1,117256,78237,12782,17765,8472,117256,80678,36578,14935,21643,0,117256,21796,36,0,3457,2553,287,136,481,599,61560,60895,0,160,505,144,26768,255,266,1344,0,0,1344,0,0,86,0,0,86,0,0,0,945,0
1955:Q2,121656,81697,12989,18263,8707,121656,83992,37664,15128,22536,0,121656,22089,40,0,3551,2599,282,148,522,613,64516,63802,0,171,543,146,27518,274,283,1417,9,0,1408,0,0,95,0,0,95,0,0,0,1114,0
1955:Q3,125896,85032,13179,18819,8866,125896,87294,38602,15355,23247,0,125896,22315,44,0,3572,2575,279,160,558,626,67369,66661,0,182,526,149,28277,296,301,1483,30,0,1453,0,0,105,0,0,105,0,0,0,1359,0
1955:Q4,129823,87936,13490,19375,9022,129823,90102,39721,16195,23526,0,129823,22725,47,0,3622,2569,279,173,601,641,69481,68766,0,191,524,152,29445,321,318,1583,86,0,1497,0,0,116,0,0,116,0,0,0,1372,0
1956:Q1,133258,90356,13657,19954,9291,133258,92793,40465,16429,24036,0,133258,23199,49,0,3625,2541,280,183,621,657,71353,70634,0,197,522,156,30396,349,336,1724,157,0,1567,0,0,127,0,0,127,0,0,0,1287,0
1956:Q2,137325,93327,13827,20582,9589,137325,95895,41430,16532,24898,0,137325,23674,50,0,3634,2510,281,193,650,671,73822,72972,0,201,649,159,31292,381,352,1872,234,0,1638,0,0,138,0,0,138,0,0,0,1280,0
1956:Q3,141104,96174,13972,21199,9759,141104,98960,42144,16615,25529,0,141104,23976,51,0,3631,2468,289,203,671,690,76157,75357,0,204,596,161,32112,415,371,2041,352,0,1689,0,0,143,0,0,143,0,0,0,1356,0
1956:Q4,144447,98745,14064,21803,9835,144447,101605,42842,17127,25715,0,144447,24327,54,0,3644,2437,295,213,699,721,77900,77098,0,209,593,161,32989,449,395,2390,649,0,1741,0,0,149,0,0,149,0,0,0,1268,0
1957:Q1,147290,100851,14085,22321,10033,147290,103728,43562,17629,25933,0,147290,24871,58,0,3695,2417,318,222,738,762,79108,78216,0,214,678,161,33679,482,425,2835,1031,0,1804,0,0,157,0,0,157,0,0,0,1057,0
1957:Q2,150246,103039,14182,22794,10231,150246,105961,44285,17697,26588,0,150246,25333,63,0,3737,2395,311,231,800,814,80731,79826,0,219,686,161,34181,514,460,3117,1249,0,1868,0,0,166,0,0,166,0,0,0,969,0
