1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,2066879,1592809,367378,106692,1787,83780,21125,2066879,562382,567967,325389,274959,311015,25167,152,7462,7082,148,19,213,1329,1070,72,7,19,0,1868,588,12597,243929,170700
1966:Q4,2119630,1632462,377580,109588,1973,86091,21524,2119630,578944,582404,334844,278893,318657,25888,155,7672,7282,152,20,218,1378,1108,76,8,20,0,1936,606,12931,249517,173700
1967:Q1,2151738,1654840,384460,112438,2132,88450,21856,2151738,585541,593415,338234,282490,325588,26470,158,7824,7422,157,21,224,1420,1140,78,8,21,0,2043,631,13148,252764,176600
1967:Q2,2185974,1677567,392742,115665,2283,90945,22437,2185974,593361,605001,342165,287229,331147,27071,160,7980,7566,162,22,230,1465,1173,81,9,21,0,2152,658,13373,258249,179600
1967:Q3,2228418,1708247,401048,119123,2421,93592,23110,2228418,602895,617286,346838,293266,340440,27693,163,8143,7716,166,23,238,1510,1206,83,9,21,0,2263,683,13616,265242,181400
1967:Q4,2285122,1752389,409830,122903,2570,96393,23940,2285122,620318,632740,354993,299817,348773,28481,166,8351,7909,173,24,245,1560,1245,86,10,22,0,2386,712,13943,271922,184100
1968:Q1,2341645,1798393,416515,126737,2703,99253,24781,2341645,637024,647310,363178,303850,360803,29480,170,8623,8164,179,27,253,1610,1284,89,10,21,0,2621,752,14302,278706,188600
1968:Q2,2387296,1831609,425397,130290,2841,102241,25208,2387296,649041,661945,369598,307731,368510,30471,173,8889,8415,184,30,260,1662,1325,92,10,21,0,2857,793,14651,285594,192600
1968:Q3,2421780,1854021,433814,133945,3001,105354,25590,2421780,656045,674990,373880,312218,373271,31376,176,9131,8642,189,33,267,1711,1362,94,10,20,0,3091,835,14947,293852,195300
1968:Q4,2511156,1928902,444342,137912,3176,108592,26144,2511156,687440,696067,388516,319583,386827,32723,181,9495,8986,196,36,277,1778,1416,99,11,20,0,3368,885,15471,302059,197400
1969:Q1,2572725,1978408,452104,142213,3341,111972,26900,2572725,704142,712060,397616,325995,399167,33745,186,9818,9308,195,37,278,1834,1456,103,11,21,0,3520,937,15862,309279,203000
1969:Q2,2635463,2026595,462441,146427,3543,115440,27444,2635463,717517,729419,405727,334383,413561,34856,190,10163,9651,195,38,279,1893,1502,107,11,22,0,3681,991,16294,316788,207900
1969:Q3,2680024,2057342,471707,150975,3825,118978,28172,2680024,724205,747283,411582,337518,423447,35989,195,10514,10000,196,39,279,1959,1550,110,11,22,0,3851,1052,16721,323149,211000
1969:Q4,2743748,2106358,482034,155356,4152,122543,28661,2743748,738110,767095,420437,343047,437800,37259,201,10898,10381,196,40,281,2032,1606,117,13,23,0,4030,1117,17225,329711,215800
1970:Q1,2796581,2142804,493767,160010,4487,126077,29446,2796581,745781,784613,426370,350815,450721,38281,206,11181,10655,200,40,286,2100,1656,121,13,39,0,4154,1180,17630,334189,218500
1970:Q2,2900191,2232256,503909,164026,4800,129505,29721,2900191,780298,810855,443776,357923,467485,39854,213,11611,11069,205,41,296,2191,1727,127,13,55,0,4326,1249,18343,339505,221100
1970:Q3,2920599,2239658,512812,168129,5102,132862,30165,2920599,769196,823612,442041,363006,482104,40640,217,11825,11279,206,41,299,2248,1767,131,14,72,0,4429,1307,18632,345965,223500
1970:Q4,2990474,2295588,522686,172200,5362,136142,30696,2990474,784272,843414,451479,370168,499335,41806,222,12141,11586,209,41,305,2321,1823,136,14,88,0,4566,1366,19131,354257,222900
1971:Q1,3073628,2364924,532473,176231,5533,139290,31408,3073628,810780,864704,465908,376441,512508,43287,235,12591,12010,216,43,322,2396,1884,142,14,100,0,4700,1419,19805,363552,230500
1971:Q2,3152782,2432271,541078,179433,5735,142211,31487,3152782,834700,885410,479347,382810,525692,44823,247,13049,12446,223,43,337,2477,1948,148,14,113,0,4833,1473,20518,370615,235200
1971:Q3,3223594,2494568,546598,182428,5966,144915,31547,3223594,858015,904593,492220,386440,536012,46314,260,13484,12859,229,44,352,2553,2012,155,14,125,0,4955,1528,21223,374460,237800
1971:Q4,3294294,2558114,551018,185162,6209,147435,31518,3294294,879578,921543,503891,391164,550439,47679,272,13889,13242,235,45,367,2626,2073,162,15,136,0,5065,1581,21861,377896,240700
1972:Q1,3403767,2622219,592866,188682,6447,150048,32187,3403767,902350,943205,518003,427956,563003,49250,281,14341,13674,240,46,381,2695,2131,168,14,171,0,5179,1666,22602,386930,244500
1972:Q2,3450997,2667386,591402,192209,6715,152924,32570,3450997,916717,960206,527894,423602,571992,50586,289,14728,14044,244,47,393,2754,2181,176,15,203,0,5271,1749,23219,394987,251800
1972:Q3,3521487,2736462,589207,195818,7006,156012,32800,3521487,941836,977657,541859,422638,585570,51927,298,15112,14409,249,47,407,2812,2232,182,15,235,0,5358,1834,23851,403459,258100
1972:Q4,3621510,2833280,588714,199516,7288,159403,32825,3621510,980457,998402,561565,424729,602849,53508,308,15557,14835,253,48,421,2880,2292,191,16,267,0,5461,1922,24616,409508,266800
1973:Q1,3719420,2913929,601225,204266,7628,163334,33304,3719420,1006123,1023385,576024,435526,623151,55211,318,16126,15379,262,49,436,2967,2372,196,15,249,0,5671,2007,25289,421387,282800
1973:Q2,3846139,3015839,620768,209532,7975,168022,33535,3846139,1043187,1055328,596245,449561,644475,57343,331,16829,16051,271,51,456,3077,2469,204,15,233,0,5927,2107,26151,434179,300100
1973:Q3,3989995,3136411,638097,215487,8328,173417,33742,3989995,1089977,1091723,621123,461862,665558,59752,345,17598,16787,281,53,477,3198,2578,213,15,218,0,6203,2214,27173,445037,310600
1973:Q4,4110445,3238581,649650,222214,8704,179540,33970,4110445,1121114,1124922,639062,470809,692557,61981,359,18302,17462,290,54,496,3311,2681,222,15,202,0,6455,2313,28121,454032,322800
1974:Q1,4261198,3359242,672328,229628,9115,185939,34574,4261198,1153468,1167971,659414,485180,730555,64610,374,19161,18287,300,58,516,3443,2801,226,17,206,0,6850,2391,29145,464644,335100
1974:Q2,4452054,3516859,698327,236868,9641,192038,35189,4452054,1189005,1228043,684056,498461,784171,68318,395,20331,19411,313,63,544,3630,2967,234,20,213,0,7356,2503,30673,482332,348100
1974:Q3,4683839,3699492,740399,243948,10247,197759,35942,4683839,1234630,1299046,715079,521515,840910,72659,418,21730,20755,330,67,578,3853,3162,244,23,222,0,7944,2647,32418,506982,372700
