1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q1,12419,-260,1637,-536,4245,7333,12419,11932,0,6757,930,4245,205,508,23,-1031,1202,0,-883,24,0,362,0,282,12419,-5788,-3851,107,50,0,-2094,12726,1934,10369,-532,86,59,951,2001,-700,0,926,0,-261,94,0,1107,0,0,0,-1483,0,-1825,5481
1971:Q2,11433,-1317,1916,456,4240,6138,11433,10051,0,4150,1681,4220,1114,469,95,-924,1615,0,-237,56,0,40,0,268,11433,-2063,-2584,1362,50,-7,-884,6261,797,6472,-244,38,38,953,1397,-822,0,758,0,-157,161,0,-839,0,0,0,-1126,0,-1165,7235
1971:Q3,20943,1288,8745,2067,3942,4901,20943,16341,0,4128,8304,3909,4290,543,102,1711,797,0,652,294,0,191,0,312,20943,4923,5079,23,60,0,-239,5538,1872,1970,77,45,43,952,1749,-424,0,639,0,-374,190,0,-1032,0,0,0,185,0,-354,10482
1971:Q4,24320,183,11435,2866,3724,6112,24320,18760,0,3301,11768,3691,5482,6,-52,1386,1147,0,2333,493,0,169,0,78,24320,-242,-4617,3870,40,25,440,19873,2759,11328,48,10,76,943,870,820,0,583,0,586,123,0,218,0,0,0,1063,0,446,4689
1972:Q1,15486,1586,3209,1542,4155,4994,15486,11623,0,4213,3295,4115,3380,574,19,430,1026,0,128,571,0,632,0,483,15486,1320,1071,-575,50,-21,795,10945,187,4653,320,16,107,953,2712,852,0,1060,0,311,152,0,1595,0,0,0,-1326,0,-647,3221
1972:Q2,5193,-174,-6805,2625,3551,5996,5193,1232,0,4668,-6820,3384,3539,-603,-185,1434,1206,0,709,642,0,336,0,422,5193,-2645,-2740,-941,50,-1,987,6806,2097,1708,-81,-3,137,976,1314,1631,0,1060,0,-84,39,0,-906,0,0,0,-13,0,-1069,1032
1972:Q3,13056,-826,3754,2197,3584,4347,13056,10512,0,2885,4216,3411,2672,-241,-94,668,1067,0,-328,673,0,927,0,-128,13056,2509,653,339,50,0,1467,6070,-2137,2987,256,137,146,944,2793,2467,0,1077,0,421,35,0,-773,0,0,0,266,0,-2549,4477
1972:Q4,23003,1008,10878,2944,2876,5297,23003,15937,0,1985,11244,2708,6813,607,59,989,1589,0,2233,653,0,683,0,253,23003,3395,-1828,3086,50,5,2082,18007,1481,11087,-141,128,131,853,477,1523,0,1173,0,-146,68,0,-717,0,0,0,2389,0,-299,1601
1973:Q1,16230,-708,7075,3021,3548,3294,16230,11358,61,795,7336,3166,4739,-100,-7,2004,756,0,1068,-109,0,1127,0,133,16230,5153,4596,-1600,33,5,2119,2941,4058,-5166,81,-77,121,870,3423,2168,0,1227,0,441,193,0,-564,0,0,0,-2038,0,-1796,8136
1973:Q2,8445,2115,-7147,6076,3667,3734,8445,-549,83,3883,-7564,3049,8844,205,76,5038,1455,0,971,59,0,1040,0,150,8445,2668,694,-225,28,-7,2178,8097,1190,-259,321,-77,124,810,1006,1238,0,1286,0,124,156,0,-499,0,0,0,667,0,2010,-2320
1973:Q3,15976,2798,-1955,6971,4059,4103,15976,5547,111,3490,-1513,3459,10208,736,188,6087,442,0,813,810,0,1132,0,221,15976,9796,10437,-2612,15,-2,1958,6533,479,-1303,-170,75,120,837,1292,2110,0,1474,0,233,139,0,18,0,0,0,310,0,919,-353
1973:Q4,23486,4161,5949,4293,4705,4378,23486,14983,145,4636,6093,4109,8049,778,146,3166,983,0,3015,90,0,-129,0,454,23486,5035,1709,1541,7,2,1776,22426,3547,8096,149,76,112,944,-57,1049,0,1025,0,-180,60,0,833,0,0,0,2629,0,4143,-3975
1974:Q1,18400,4904,2232,2066,4509,4689,18400,11758,178,5071,2589,3920,5950,1094,258,40,1669,0,1840,-567,0,1616,0,692,18400,9814,7494,648,16,2,1654,8944,-557,3194,290,-34,92,1060,3157,1226,0,1265,187,489,79,0,92,0,0,0,-2239,0,643,-358
1974:Q2,14466,3194,-6729,5908,4633,7460,14466,3999,209,6548,-6758,4000,10008,2541,607,5514,423,0,1352,-1815,0,1386,0,459,14466,558,-510,-291,15,-8,1352,10470,3310,-1860,311,67,61,1167,719,1533,0,1673,171,-64,-103,0,-451,0,0,0,805,0,3131,3438
1974:Q3,32422,7209,5371,8919,4169,6754,32422,16099,241,7098,5163,3597,15819,2301,578,7657,1470,0,2343,-676,0,2146,0,504,32422,20271,16346,2799,12,0,1114,12320,1161,-2559,-32,45,81,1201,829,3019,1501,1850,240,144,-117,0,67,0,0,0,730,0,4160,-169
1974:Q4,29489,2452,10114,4062,1995,10866,29489,18234,272,6857,9864,1241,10357,1969,495,3391,921,0,3669,-173,0,85,0,898,29489,11699,7884,3855,12,0,-52,15822,962,8053,341,-89,154,1175,685,3115,0,926,159,186,-67,0,1591,0,0,0,928,0,-2297,1968
1975:Q1,35476,1931,16348,2302,2168,12727,35476,28953,303,11160,16055,1435,4341,244,49,-367,2962,0,615,-19,0,857,0,2182,35476,6188,3579,1892,-10,0,727,22716,2367,11149,-679,51,228,1692,3110,4462,-1501,1808,537,55,63,0,3444,0,0,0,-125,0,-3945,6572
1975:Q2,28575,-3061,16527,1084,4081,9944,28575,26282,334,6534,16478,2936,939,-773,-200,-50,1183,0,810,44,0,-75,0,1354,28575,2200,-1418,2688,-2,0,932,26002,1371,19135,364,35,307,1486,1974,3829,0,2380,-215,166,-1,0,-792,0,0,0,70,0,-4107,373
1975:Q3,34266,-1468,24286,2107,2669,6672,34266,30548,366,4203,24277,1702,2433,-650,-191,934,1182,0,1009,-108,0,257,0,1285,34266,17055,15259,-297,17,0,2076,18316,3486,9354,-84,54,318,1753,3967,3885,0,1876,255,411,13,0,-1349,0,0,0,-832,0,-4791,-1105
1975:Q4,49337,1389,24708,3549,6039,13652,49337,34208,397,4221,24706,4884,12404,1614,391,1825,1726,0,3133,-8,0,3723,0,2725,49337,18140,10656,5383,31,0,2070,28590,967,13080,291,49,262,2342,3311,3387,38,2966,121,-1,14,0,255,0,0,0,1912,1500,-1904,2607
1976:Q1,40168,1824,22104,2945,4135,9160,40168,33978,431,7990,22160,3397,3687,312,35,248,2641,0,287,-209,0,373,0,2503,40168,6344,-2813,5010,-25,0,4172,31007,910,12370,7,120,199,3782,5398,3061,36,2342,460,-357,125,0,1513,0,0,0,509,100,432,2817
1976:Q2,30657,1600,7249,3433,9707,8668,30657,22866,444,6370,7291,8761,6231,979,178,527,2864,0,1536,-34,0,181,0,1560,30657,5369,3431,253,9,0,1676,22908,3301,5924,135,80,161,2224,4274,2999,22,3631,-246,-48,75,0,27,0,0,0,-312,100,561,2380
1976:Q3,34797,-381,16266,4568,4286,10058,34797,25584,507,5620,16551,2906,6414,25,-37,1315,2968,0,1207,50,0,886,0,2799,34797,6154,4223,-986,94,0,2823,23899,3521,6898,218,173,140,3296,5652,160,28,2281,77,171,52,0,-194,0,0,0,3782,100,-2456,4744
1976:Q4,36208,5142,13941,3675,2792,10658,36208,22150,618,6624,13537,1371,11667,2523,591,370,3709,0,3754,-116,0,836,0,2391,36208,6501,-1646,4132,163,0,3852,25475,-1004,13178,572,217,138,3155,4547,287,18,991,147,610,-30,0,109,0,0,0,3830,255,-1545,4232
1977:Q1,34745,2803,14566,5448,4468,7460,34745,25290,753,7631,14412,2494,8574,188,34,877,4725,0,2066,-51,0,735,0,881,34745,6110,970,614,171,0,4355,21602,2133,7119,-164,45,136,4308,6241,871,10,1500,-27,838,-125,0,-857,0,0,0,-7869,245,7198,7033
1977:Q2,28495,5454,-4352,5037,12570,9786,28495,12520,910,6531,-4430,9509,14100,1289,151,2553,2562,0,6217,63,0,1265,0,1875,28495,-5107,-4088,-5740,192,0,4529,27567,3238,2460,-435,74,131,4206,5194,3886,-146,3081,-141,1095,-232,0,-1042,0,0,0,1468,300,4430,6035
1977:Q3,38676,456,16419,5285,6889,9627,38676,29180,928,8004,15921,4327,7470,158,-25,1351,4432,0,529,-60,0,1085,0,2026,38676,8226,2798,-546,245,0,5729,20472,4150,2342,633,56,113,4586,5358,1463,32,3255,-54,1469,-228,0,-1190,0,0,0,-2334,400,421,9978
1977:Q4,48519,6287,16421,6523,5817,13471,48519,29482,809,8951,16378,3344,18203,2605,472,2175,4391,0,7686,-11,0,885,0,834,48519,7858,4079,-494,289,0,3984,25744,-857,3917,161,58,78,4280,3674,4109,17,3380,276,483,-116,0,-480,0,0,0,3425,349,2990,14917
1978:Q1,41566,1849,15577,6810,9722,7608,41566,30247,708,6596,15254,7689,9894,-1136,-297,4424,2709,0,2947,1,0,1246,0,1425,41566,11656,5306,-1131,320,0,7161,15556,-1103,869,269,118,-53,4335,7609,979,11,3289,678,800,66,0,-230,0,0,0,-2248,-349,516,14354
1978:Q2,42229,5778,1071,9660,15297,10423,42229,23373,623,9238,974,12538,17425,612,21,6658,3099,0,4078,104,0,2853,0,1431,42229,8996,2861,-770,269,0,6636,37004,8208,3540,583,113,-292,3201,4934,4753,18,4486,944,-65,91,0,544,0,0,0,-676,-300,6922,-3771
1978:Q3,39144,-299,11732,8581,12803,6327,39144,29732,608,7928,11180,10016,8538,-1720,-472,5989,3144,0,203,18,0,1376,0,874,39144,11077,6689,-1579,142,0,5825,24522,4950,5712,236,99,-199,4578,6481,2587,33,3455,474,-432,112,0,-1057,0,0,0,-1605,-300,-602,3545
1978:Q4,46600,10339,3869,10287,13434,8671,46600,22470,661,7554,3506,10749,22850,2648,496,5998,4652,0,5692,-56,0,3420,0,1280,46600,7405,513,2458,41,0,4393,23877,-3603,3474,349,99,-287,4393,2064,2015,23,5004,1095,-85,51,0,135,0,0,0,819,-335,8666,15318
1979:Q1,44400,8278,9593,10360,9251,6918,44400,24730,698,8839,8965,6228,18565,412,60,6088,4900,0,5673,27,0,1405,0,1105,44400,19806,11621,-302,8,0,8479,30153,-650,5251,52,-184,-124,3813,6808,3240,16,1962,4761,671,87,0,-566,0,0,0,283,435,4298,-5559
1979:Q2,39630,12666,-151,9637,10559,6919,39630,18170,720,10524,-598,7524,20788,2403,560,5205,4879,0,4341,96,0,3304,0,672,39630,19754,13927,2679,-33,0,3181,31452,-2531,461,98,-147,-130,2053,4710,6192,30,4382,4606,1015,-26,0,962,0,0,0,6149,500,3128,-11576
1979:Q3,47846,9101,11169,11144,11071,5361,47846,29208,736,9688,11093,7691,16180,4142,890,4417,6803,0,-1734,-115,0,1777,0,2458,47846,3621,5493,-6183,-135,0,4446,35861,8627,6997,1014,122,-190,3827,4689,6737,40,972,3275,391,-34,0,-846,0,0,0,-3871,500,3611,8364
1979:Q4,56086,7484,17354,14883,8425,7940,56086,30181,746,7237,17222,4976,24766,1738,310,8546,6469,0,7423,120,0,160,0,1139,56086,40212,34479,1156,-219,0,4796,20106,1687,7288,180,117,-626,3482,-171,5463,-221,2230,7159,-40,-16,0,804,0,0,0,-6179,222,-1273,-4232
1980:Q1,64510,11128,24515,13885,6682,8300,64510,44085,739,15071,24451,3824,19656,2673,700,8773,5176,0,-436,-110,0,2880,0,769,64510,16112,11583,4808,-170,0,-109,46876,-562,4997,11,86,-559,2572,4584,7081,22,5442,12573,950,4,0,731,0,0,0,4163,78,4703,1522
1980:Q2,56338,8649,13212,8454,9945,16078,56338,39479,717,19388,13023,6351,15636,3483,653,4581,4062,0,1325,-60,0,992,600,1223,56338,-1905,3176,-4606,-126,0,-349,52710,8988,14854,-194,172,916,1479,1938,8344,29,7475,11604,234,24,0,775,0,0,0,4054,0,-7982,5533
1980:Q3,52989,-2479,28548,7431,10051,9438,52989,41628,764,5860,28436,6568,10979,226,791,1868,5675,0,663,-71,0,1108,719,382,52989,13342,6214,2448,-16,0,4696,32759,-4733,19178,1044,151,603,2675,5471,7538,22,3769,-1362,1835,16,0,-204,0,0,0,-1474,100,-1870,6888
1980:Q4,55655,1997,27300,13322,8580,4456,55655,34796,880,2193,27172,4551,19629,369,-245,9182,4268,0,3383,20,0,3547,-895,1230,55655,18798,11329,2430,71,0,4968,25817,-162,18950,658,22,24,2798,1820,7211,26,2643,-5913,126,-19,0,-598,0,0,0,-4135,4,2362,11040
1981:Q1,70842,12784,36620,6704,8786,5948,70842,55246,934,12927,36566,4819,13753,3291,642,3457,3301,0,1252,27,0,218,1565,1843,70842,15,193,-5740,164,0,5398,59009,-1650,5641,196,-100,157,2699,7314,5808,34,3193,27996,1123,172,0,-1931,0,0,0,12511,-204,-3950,11818
1981:Q2,52410,17959,-43,13447,9993,11054,52410,23375,929,17553,-202,5095,26615,888,957,10015,3591,0,5935,-8,0,4958,279,2420,52410,17215,5125,3842,172,0,8076,33971,2323,3346,676,-217,-71,1555,5322,6430,73,6782,5639,1658,-118,0,1947,0,0,0,-2315,-57,998,1224
1981:Q3,77292,18007,21868,16778,13628,7011,77292,46207,1097,13908,21806,9396,29580,1526,385,13321,3519,0,2455,12,0,5460,2902,1505,77292,32010,20628,3969,191,0,7222,46589,4280,4299,139,-249,-421,2457,5624,5839,-211,3687,20763,1740,-112,0,78,0,0,0,-2707,57,1326,-1307
1981:Q4,75066,2500,37595,8262,11806,14903,75066,54584,1440,8543,37529,7072,16889,2203,1232,3712,4616,0,3414,0,0,2168,-456,3593,75066,17874,6236,6769,207,0,4662,49845,3872,9494,1357,-200,679,1466,2314,8824,0,6503,11043,173,-54,0,595,0,0,0,6906,160,-3287,7347
1982:Q1,74895,7390,32858,9827,13210,11610,74895,60490,1760,18660,32260,7810,13028,1091,558,1783,8642,0,-1722,-32,0,1593,1115,1377,74895,13185,14707,-6631,-218,0,5327,58770,-3858,16904,-203,-80,513,1494,9427,13746,0,5986,9337,323,289,0,-392,0,0,0,532,-960,5712,2940
1982:Q2,71074,16759,11111,18097,17367,7740,71074,35458,2054,10325,11090,11989,33540,2216,933,8795,9323,0,5747,-32,0,4428,2130,2076,71074,19875,17944,-5019,-135,0,7085,45094,3002,3280,-58,-23,347,1545,6969,10705,0,6139,6012,984,67,0,493,0,0,0,-2619,-996,9247,6105
1982:Q3,102211,-8731,59899,19331,17123,14589,102211,82941,2272,10263,59857,10549,16181,1016,-695,6093,13280,0,-3097,-32,0,-2681,2297,3089,102211,37883,32974,2073,69,0,2767,55964,3533,14384,135,4,-533,1829,7800,8779,0,5709,17619,-526,78,0,3756,0,0,0,-1104,396,-5895,8364
1982:Q4,101513,-9751,59763,16467,16696,18338,101513,72910,2414,420,59671,10405,26665,6219,754,-1729,18288,0,1336,-32,0,3991,-2162,1938,101513,7874,-4573,10800,230,0,1417,84941,5004,42831,942,-1,864,2452,10640,9650,0,2636,-2904,153,38,0,-2692,0,0,0,18429,400,-3501,8698
1983:Q1,93113,-532,56120,14854,12861,9810,93113,78790,2709,12227,56156,7698,12003,-4587,-923,-3180,17998,0,1436,-17,46,2125,-895,2320,93113,27702,16530,5286,743,0,5143,57695,1022,38479,407,10,132,1991,11929,8827,0,3147,-3617,2738,-288,0,-79,0,0,0,-17028,50,9975,7716
1983:Q2,102217,7347,41012,16977,22400,14481,102217,72156,3154,11670,40969,16363,27239,2132,-60,476,16544,220,4174,-16,28,2748,993,2822,102217,40048,30612,6306,724,0,2406,55600,3835,34451,1240,30,3464,711,9751,7025,0,4464,-11472,3615,18,0,-258,0,0,0,-127,23,-1170,6569
1983:Q3,99895,8725,43830,19364,16394,11582,99895,66521,3072,8394,43806,11249,31992,1837,2121,911,18477,2009,2633,-16,48,4162,-190,1382,99895,38173,41726,-4621,675,0,393,60492,5507,20991,145,36,1312,1829,10111,14603,0,-1713,-2481,1293,42,0,870,1789,0,0,6000,827,-669,1230
1983:Q4,87892,11395,34436,16460,15402,10199,87892,50102,2465,2294,34427,10916,34747,3517,1099,3200,13269,1426,4804,-17,255,3909,3285,3043,87892,22079,2680,13357,637,0,5405,58541,4295,19545,748,24,-1763,2689,8483,9363,0,1353,-286,2645,7,0,-1422,1206,0,0,507,892,10255,7272
1984:Q1,100819,14867,47530,16629,14986,6807,100819,76852,2368,16373,47493,10618,21662,-2812,706,5543,11123,1975,7174,164,-249,-2641,679,2305,100819,32071,14057,12066,116,0,5832,63233,169,23418,-660,17,577,2595,13167,5747,0,6559,12619,4357,-23,0,411,1755,0,690,-6046,-392,-1727,5515
1984:Q2,113257,27904,29128,16814,20681,18730,113257,69599,2281,22021,29116,16181,36508,7630,2152,9045,7781,1970,3530,166,209,9975,-5950,7150,113257,56428,52788,-2008,16,0,5632,47860,1988,803,660,4,997,3833,11239,-5895,0,10623,2151,4616,7,0,847,1750,8,689,-4798,-226,18564,8969
1984:Q3,125518,4073,51200,24643,20976,24626,125518,93265,2563,23460,51193,16049,35652,-5645,3330,12456,12194,1970,2621,168,178,1232,7148,-3399,125518,33592,33656,-5537,-235,0,5708,82494,2151,15905,1066,15,230,4132,12636,17855,0,7817,6100,2955,-318,0,3638,1750,397,687,12583,726,-7831,9432
1984:Q4,138981,5079,60135,16824,18854,38089,138981,95193,2959,30174,60124,1936,39850,2749,1081,3386,13449,2769,8883,180,556,7511,-714,3938,138981,6771,990,4703,-439,0,1517,110277,4101,11687,443,47,-1388,3504,12900,20907,0,8743,24489,2497,-143,0,-3395,549,-567,506,26844,745,-2192,21933
1985:Q1,128540,12152,44347,18954,25310,27777,128540,92802,2464,24859,44333,21146,34227,-1471,-416,3922,15046,4589,6887,82,-689,3223,3054,1511,128540,74661,68150,-11194,-13,0,17718,47944,1743,5672,1062,86,1580,4378,15482,-1016,0,-678,10457,12838,271,0,2088,3828,254,8,-27474,555,16810,5935
1985:Q2,138979,9067,33165,25852,29988,40907,138979,91375,2378,32731,33156,23110,44333,-2241,654,8804,17057,3805,12427,82,166,3299,280,3271,138979,46024,13634,19871,20,0,12499,74726,8058,-4641,956,118,1082,5939,14346,6874,0,5560,13436,13497,128,0,2041,1684,1089,11,7509,628,-3589,18229
1985:Q3,144211,16547,38075,25832,31691,32066,144211,89173,1837,24813,38069,24454,52862,1027,-147,3596,22242,3561,11698,83,74,5449,5279,2176,144211,21329,31911,-11803,100,0,1121,106820,516,19554,2179,134,947,9479,16462,1654,0,8518,-5329,15989,486,0,4058,2751,2481,12,5299,1572,20058,16062
1985:Q4,287528,15059,77587,28797,121167,44918,287528,226420,23484,38664,77589,86683,58070,905,1404,4263,24532,3880,13297,72,720,6898,2099,3038,287528,102513,39744,10284,166,0,52319,165175,8096,39536,1752,133,79,9375,14993,11290,14194,5742,-4468,30218,513,0,-4262,724,-95,160,18739,1610,16846,19840
1986:Q1,120939,1272,35807,25427,-4106,62539,120939,65011,-2636,30364,35753,1530,45938,-1808,-107,-1242,26723,8526,14430,117,-352,-4620,4271,9990,120939,-13413,-5069,-11287,671,0,2272,113283,-1218,1219,-291,152,555,9775,17866,14273,-25,6042,22287,26642,472,0,2920,6866,1468,1152,14471,-910,-10433,21069
1986:Q2,168104,14544,26432,39235,26854,61039,168104,92125,-305,35565,26434,30431,72372,78,645,4748,34485,7548,11092,72,706,8122,4876,3607,168104,35201,10513,10933,583,0,13172,101838,7179,25689,4000,185,1143,9726,13778,-1326,-14169,7434,2546,32193,795,0,3292,4627,46,1289,-1137,-763,5311,31065
1986:Q3,197811,14522,65105,53140,15611,49433,197811,114051,806,31705,65499,16041,79272,1677,2955,5922,46824,6383,10029,281,-374,5239,336,4488,197811,206,-752,-2581,522,0,3017,178209,498,43147,3905,171,1230,10933,17352,8278,15000,12788,16298,32036,795,0,784,3678,4307,1286,-1515,339,6899,19396
1986:Q4,183529,-3960,55426,61531,21540,48992,183529,93415,-827,14007,55475,24760,93597,-1493,-669,5787,55695,15122,12319,859,2075,5062,-1160,-3483,183529,51654,34738,-321,241,0,16996,119281,12970,19664,2682,111,1237,11321,16815,-14517,0,18217,-6152,26769,854,0,2575,28180,-738,1207,-3760,-466,2312,12594
1987:Q1,154321,11318,15988,40196,28661,58158,154321,71787,-33,26363,16974,28483,82277,3653,-22,-4634,43844,18478,7488,290,-445,8429,5196,257,154321,21304,12836,-2242,-51,0,10761,115904,-1326,5438,2915,54,1539,10170,19317,3497,0,11563,2412,50540,601,0,2352,15725,892,1730,-14880,714,2651,17113
1987:Q2,142975,18379,22091,46635,16113,39757,142975,61680,-151,22740,21624,17467,83384,-1474,5451,7395,39707,10955,7430,482,388,2785,10265,-2089,142975,49934,57521,-6122,-355,0,-1110,76219,13803,23156,1347,-5,1741,10220,15202,937,0,6084,-5303,1798,346,0,-3347,6778,-436,1951,-15049,498,16498,16822
1987:Q3,137004,6594,17143,39670,24488,49109,137004,63826,-240,22372,16917,24777,66724,-1209,-275,7954,31942,11920,13384,452,682,5833,-3959,6454,137004,63353,55521,1329,-394,0,6897,67759,1633,22981,594,-19,-133,9877,22589,6791,0,4291,717,1846,1023,0,2034,5411,2522,2040,-6026,2,-10414,5892
1987:Q4,126417,-3944,47725,43042,22330,17264,126417,84524,125,13353,48968,22078,35296,3065,1436,19489,22310,2233,-3589,561,-774,-3007,-6428,6597,126417,30497,29026,-2110,-172,0,3753,75315,6895,26933,1364,4,-185,9143,22224,5471,-155,9962,4410,-21422,2011,0,3717,332,2725,1305,920,223,-562,20605
1988:Q1,110694,9581,32357,18629,8779,41348,110694,66633,105,25149,32234,9145,38990,-4370,-1086,10305,8447,12072,-3633,127,250,2102,14776,5071,110694,1587,1196,-2401,-3,0,2795,73151,-1410,1157,760,-55,-50,8384,24774,-6365,1,4055,20445,-260,3167,0,4020,9949,1371,462,2986,-1002,762,35956
1988:Q2,124363,27248,11953,23768,11741,49653,124363,61452,107,36242,13884,11219,61548,1397,525,4363,17474,8589,13343,105,1829,132,13791,1363,124363,28355,32208,-1941,101,0,-2013,79730,4954,15329,315,-113,756,7604,20917,1159,156,8113,-12237,7189,5574,0,-4441,6372,2803,844,-8482,-118,23036,16278
1988:Q3,132553,9918,30861,41651,16488,33635,132553,80045,704,27236,36085,16020,48806,754,-737,10605,25822,6804,-1488,-16,184,915,5963,3702,132553,43615,39583,-2010,182,0,5860,79750,1123,15913,-412,-90,702,7307,20693,15565,2,5250,-6702,1437,4974,0,1033,3852,-597,718,-590,219,9353,9188
1988:Q4,171189,28690,37630,54162,18379,32328,171189,93931,575,27997,48032,17327,71818,559,1828,19610,24150,8608,15940,44,2006,-3613,2686,5440,171189,62127,47721,1981,239,0,12186,84023,10089,3028,-457,60,594,7493,20451,2770,-152,4081,10025,1434,4152,0,5710,5187,1246,833,-10175,1046,16608,25039
1989:Q1,136888,29667,31722,41097,7503,26899,136888,64551,-293,24837,31428,8579,66582,-2087,-3860,16219,25172,11257,6156,147,2132,7889,3557,5755,136888,19579,-145,18052,337,0,1335,91054,-5793,5887,-775,167,-220,7224,19685,2725,5,10569,19580,5979,2630,0,809,2860,1074,466,13856,-55,4381,26254
1989:Q2,94990,19172,5629,29976,7119,33094,94990,49552,246,34985,6912,7409,45405,-254,2587,4670,24023,1006,11672,-54,1216,-442,981,33,94990,39546,21110,6531,474,0,11431,58326,2999,-19801,485,175,-582,7234,22262,11717,160,10687,12557,-4765,181,0,-19408,-2067,2121,-613,30304,-100,4780,-2881
1989:Q3,116649,7393,30696,35747,17919,24894,116649,69599,954,18807,32471,17367,40702,-1411,1163,1443,32529,1805,11497,7,-737,3623,-9217,6348,116649,40242,26872,4671,476,0,8223,47013,-10815,-25294,1749,193,-1204,7157,14736,13233,5,5241,17703,8413,2867,0,8933,2122,1139,378,1853,-387,-1009,29395
1989:Q4,156759,9631,50036,44290,17295,35507,156759,81873,2244,16489,48891,14249,69086,-2126,1136,2898,42537,12875,7344,-68,3655,-160,995,5800,156759,65977,45641,13593,341,0,6402,84571,5694,-14302,2313,173,-945,7131,20205,16339,7,4736,19641,47,878,0,5151,-10946,1729,45,34155,1764,-9244,6211
1990:Q1,112093,15164,12504,44534,17696,22195,112093,63202,167,25062,19897,18076,44063,-2745,-2213,1525,35616,10305,13339,-344,-1494,-2107,-7819,4828,112093,-2728,-5009,-19862,237,0,21906,120822,-8877,21982,4621,917,2507,7030,23044,4034,14,16475,43236,16838,2508,0,7273,6041,-163,196,-30816,839,3123,-6001
1990:Q2,123153,-409,30090,43280,12289,37903,123153,63175,813,19788,31433,11141,49301,-4556,-218,2904,39033,16507,4120,48,-1464,-10727,3654,10677,123153,45237,41056,68,164,0,3949,66537,13406,-11195,2618,-725,1235,6839,27087,17649,15,7235,-10844,4858,-1335,0,6518,790,2160,-460,-4845,-2094,7625,11379
1990:Q3,136702,18877,58788,37441,10299,11297,136702,78683,570,9674,58458,9981,51138,-1207,-826,3436,34335,13500,-5487,-154,3487,-12876,16930,6881,136702,43645,47446,-10130,105,0,6224,81298,2921,-2793,2534,64,896,6930,26338,10575,19,2422,27618,5945,-165,0,17257,1447,1556,-114,-17602,-538,-4012,11759
1990:Q4,178089,-2975,73298,50359,8537,48870,178089,83468,1429,2013,73045,6981,83322,2742,2372,9284,41328,19081,9552,260,977,-10494,8220,11299,178089,66642,60045,2121,60,0,4416,91305,682,-5054,5595,84,1141,7294,14549,8211,56,-6371,19969,4044,294,0,-2795,-4194,1893,-807,56056,-532,-8810,20142
1991:Q1,125490,-2072,48075,27724,13159,38604,125490,77773,-199,22246,42075,13651,32556,-2904,-6395,3278,30446,10803,5551,60,1132,-4115,-5300,15161,125490,-18889,-26174,-2741,-15,0,10041,134149,5875,5714,3117,103,2700,8041,30507,13287,50,4587,39299,38141,2074,0,11754,-1785,2095,6,-14855,-250,-16311,10230
1991:Q2,108192,-24183,39716,26756,20188,45715,108192,81832,1430,24155,38166,18081,36698,-2547,-96,-7371,35677,13878,-237,-28,1733,-3228,-1083,-10338,108192,48504,42121,4302,-124,0,2205,43153,6390,-4343,-2431,121,2513,8158,34337,1127,38,3934,-21312,27516,3791,0,1406,-7252,2290,140,9239,-77,-22432,16535
1991:Q3,195363,-11609,103302,35271,30297,38102,195363,134021,2102,7360,96104,28455,53384,-1827,-1829,5140,37329,17083,-7383,-94,58,-2069,6976,7958,195363,52489,15287,15529,-119,0,21792,130635,11011,19673,3453,111,2234,7647,20063,13957,56,-2921,-821,24913,3531,0,16701,-7084,5296,-536,23419,522,-10590,12239
1991:Q4,189414,-6097,82392,42293,29816,41010,189414,119813,484,5358,83346,30625,60610,-553,-1275,8162,33177,12000,16055,15,788,266,-8025,8991,189414,30304,8028,11520,-5,0,10761,135224,7822,20061,11978,74,3539,6494,5438,4245,69,-3798,14677,49832,3394,0,5838,-6900,5158,-364,-294,177,7784,23886
1992:Q1,154727,8192,83140,23280,3374,36741,154727,115689,1076,32316,80349,1948,39524,-1847,-1769,2833,23238,9758,2616,198,686,2895,916,-486,154727,40318,37566,-10972,107,0,13617,92442,-774,24397,-2102,511,5187,6539,25687,7176,97,9688,20917,-4923,5824,0,15743,-6494,-629,660,-15663,1933,-1332,21967
