1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q1,483092,176114,243318,-25240,776333,87896,0,902649,741525,1098793,1071897,28322,-1426,-357268,1070417,17160,-20538,-9872,28604,8808,49955,15455,9844,11156,12908,592,-21951,2064,-24015,-34582,-166948,147904,-32,332,158175,913402,1427685,1110821,211665,29752,4729,177184,271326,53450,167570,50305,24888,258018,29392,315532,-8056,-2759,326347,316864,196768,120096,161124,284040
2000:Q2,478718,175547,256607,-21048,785940,101177,0,912633,942274,1183649,1107889,77034,-1274,-241375,1494286,-24032,36493,61552,8295,-8208,46297,10909,8388,11536,15332,132,14894,1068,13826,-3351,-162048,183144,44,332,297846,1043028,1735661,1544613,240416,110448,-712,130680,196320,118452,41033,36834,39532,344115,-8782,733012,-27116,173461,586667,191048,-107400,298448,-29641,372193
2000:Q3,442665,153793,263552,-9084,792344,112057,0,920637,1060287,1174572,1122681,52533,-642,-114285,1504941,-62976,81272,62056,19729,-720,137,20849,-3348,3376,-20576,-164,21610,-1232,22842,25196,-160032,95168,36,332,334790,1088343,1619226,1459958,220005,56128,2609,161268,18765,16500,-17486,19750,145096,340519,-25068,760641,-21164,141938,639867,159268,46924,112344,-139650,365992
2000:Q4,400321,154887,241829,-11864,795546,109916,0,897203,1877658,1167031,1125004,43374,-1347,710626,1866575,40124,42397,28128,11896,-6236,-19669,-6569,-20144,-14040,20080,1004,10435,1612,8823,-32023,-147084,163972,20,332,335749,1438535,1155949,1197605,97302,-4024,-1182,102508,142982,15413,119906,7662,15564,310355,32298,599104,-20032,159085,460051,-41656,-279852,238196,-980455,379744
2001:Q1,381878,117521,241600,-18352,807759,100743,0,912907,1217580,1082730,1111886,-31635,2479,134850,915086,-28404,-225948,-71544,139566,-3420,-18180,15420,-7988,-4556,-21188,132,-31914,2060,-33974,16794,-209016,115172,-4,4304,-244342,1472022,780236,639484,214086,-199164,4530,408720,-124830,-73723,44504,-95611,97340,-129396,-1098,583382,-8920,194556,397746,140752,57256,83496,-304673,270566
2001:Q2,373085,113940,226241,-1084,817114,100190,-5300,954424,567199,1078047,1087716,-8078,-1591,-510848,59864,660,-6283,-15492,83608,-612,-7268,5176,-180,2176,-12860,-1580,-28780,948,-29728,-10971,-220564,115580,200,4304,-84148,229629,570712,420036,350715,-131524,3927,478312,-19063,-103102,39604,44434,37792,-98189,-25741,174523,-25672,112276,87919,150676,-20768,171444,387225,223813
2001:Q3,324585,101677,257474,16780,838511,104713,-44828,970266,1721163,1034229,1064492,-28300,-1963,686934,758951,-10896,-27645,4920,101541,1200,7078,-13298,3204,5500,11644,28,20860,2476,18384,19095,-187512,100292,48,4304,-141140,866807,72017,120917,102092,-44424,2724,143792,31293,-114453,48631,97114,36644,-124194,73579,1503,-28544,73073,-43026,-48900,-80136,31236,-750897,168676
2001:Q4,220624,91705,256359,34832,872576,146652,0,926620,451347,948946,1020481,-69065,-2470,-497598,-259624,4592,47324,117224,75885,1936,18998,2318,-48,5344,11976,-592,16207,4640,11567,15146,-206812,120980,48,4304,-15639,-459817,237974,133598,219559,42632,2819,174108,-147181,-141930,-124316,119065,36920,-63145,-34529,121974,-35196,127694,29476,104376,29732,74644,475273,168978
2002:Q1,277812,83535,251759,45436,902029,101416,11,991388,816113,979906,985548,-2743,-2899,-163793,243083,4620,48812,-17240,8662,-5228,29027,8703,15248,3144,2016,-84,-32022,1204,-33226,29068,-2268,123008,8,-176,-141842,198654,406876,340868,91014,-77770,-240,169024,-31102,-56739,10261,15376,21356,39430,-14997,235166,19828,67152,148186,66008,-4752,70760,175275,89934
2002:Q2,341889,87130,259978,14104,905733,90700,11,1005307,1388117,985282,961708,26556,-2982,402835,676593,7312,-34257,11016,-2899,11976,13657,1801,17900,2556,-8068,-532,1606,2760,-1154,33044,-1956,85528,76,-176,-15590,567255,273758,128810,73854,-56842,-1916,132612,-84061,-170177,29285,56831,-80700,18560,12428,188729,-9488,29318,168899,144948,46100,98848,-382810,70675
2002:Q3,394563,91730,240694,-11276,907164,78833,0,1036860,1524790,973134,950752,24839,-2457,551656,545771,6000,-44752,-62588,-9531,-1540,32503,1495,12848,-3352,21620,-108,34361,3372,30989,-264,-1612,115420,40,-176,-149521,627432,-5885,-22641,-89209,-47790,3761,-45180,70416,-86218,79135,77499,-50096,-21866,29563,38552,17416,45855,-24719,16756,-80400,97156,-487930,15107
