1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,1349265,0,93352,189204,0,69362,26353,567,31469,10973,85782,45628,37377,2777,433425,22981,0,89663,335565,29931,323749,156488,51680,62038,19629,33915
1962:Q2,1250686,0,91226,196080,0,69118,26370,410,31384,10954,87283,46288,37975,3020,329923,18257,0,90651,338706,29442,333014,160237,53563,65435,19656,34123
1962:Q3,1284448,0,93580,201423,0,70279,27948,286,31852,10193,87975,46550,38406,3019,348575,18796,0,91563,342545,29712,341149,164345,55270,66626,20190,34717
1962:Q4,1382586,0,95311,208828,0,69232,26699,235,32087,10211,88476,46155,39006,3315,431479,20909,0,92398,346726,29227,349533,168307,56830,69344,20546,34506
1963:Q1,1408775,0,96486,215765,0,65500,23170,9,31665,10656,88223,45933,39324,2966,444237,22156,0,93355,352905,30148,354841,171352,58378,68935,21303,34872
1963:Q2,1446107,0,95299,223030,0,64641,22610,0,31642,10389,90317,47046,40093,3178,465592,23306,0,94378,359582,29962,366719,175801,60528,72217,22454,35718
1963:Q3,1482292,0,97969,227746,0,65002,23997,0,31128,9877,90528,46985,40319,3224,485481,24118,0,95473,365745,30230,375853,180662,62446,74362,23121,35262
1963:Q4,1473756,0,99995,234936,0,66655,24418,0,32094,10143,91409,47328,40528,3553,457587,24819,0,96635,371995,29725,385776,185106,64114,77870,23565,35122
1964:Q1,1519395,0,97291,240745,0,68234,25798,0,32475,9961,92434,48288,40880,3266,486613,26433,0,97719,379278,30648,392101,188776,65477,78041,24039,35767
1964:Q2,1551900,0,97878,247988,0,68446,25825,0,33112,9509,91857,47295,41158,3404,501922,27156,0,98806,386996,30851,404549,193368,67697,81812,24542,37130
1964:Q3,1592035,0,102726,253567,0,69385,25619,0,34138,9628,93342,48292,41613,3437,518877,28523,0,99913,394267,31435,413426,198076,69718,84142,24639,36851
1964:Q4,1620917,0,102904,261041,0,69875,24486,245,34854,10290,94139,48262,42098,3779,530699,28447,0,101051,401472,31289,422888,202335,71426,87352,24669,37106
1965:Q1,1652925,0,100587,268791,0,71018,27113,21,33771,10113,94356,48686,42175,3495,544164,29751,0,102149,409874,32235,429075,205891,72805,87645,25250,37484
1965:Q2,1646182,0,100904,275058,0,70757,26678,618,33792,9669,94930,48788,42480,3662,521171,29291,0,103382,418356,32333,441702,210329,75193,92243,25798,38140
1965:Q3,1718481,0,106947,280622,0,72069,26280,909,34915,9965,95217,49156,42391,3670,566815,32050,0,104656,427077,33028,450901,215042,77349,94391,25858,38261
1965:Q4,1776214,0,109743,288514,0,71438,24774,1132,36531,9001,96329,49678,42611,4040,601439,34410,0,105876,435522,32943,461314,219449,79111,97489,26651,38614
1966:Q1,1779403,0,108175,294109,0,78025,28787,1843,37666,9729,95814,49513,42600,3701,581368,35326,0,107049,445412,34125,468050,223358,81379,97096,27788,38429
1966:Q2,1771761,0,107089,299561,0,79074,25623,4946,38778,9727,97817,50560,43427,3830,555687,34547,0,108190,455635,34161,480277,227232,83554,100205,28645,40642
1966:Q3,1733148,0,110014,301554,0,84603,28546,5724,39058,11275,98354,50639,43990,3725,497826,31301,0,109347,464852,35297,485833,230272,85213,100989,28972,40387
1966:Q4,1791248,0,111566,307135,0,86024,27902,5850,41151,11121,99718,51113,44617,3988,531716,33850,0,110568,475291,35380,493036,232742,86317,103422,29512,41043
1967:Q1,1886096,0,110950,317399,0,84641,27027,5837,39687,12090,100164,51551,44959,3654,599333,38226,0,111833,486787,36763,494608,234221,87590,101348,30972,40477
1967:Q2,1914071,0,111808,328252,0,80255,24029,5716,38330,12180,101106,52032,45344,3730,605033,39284,0,113070,498099,37164,505350,237076,89966,104131,32172,42005
1967:Q3,1983042,0,115693,335860,0,84487,26303,5625,39262,13297,102067,52563,45877,3627,641200,42006,0,114312,509267,38150,514123,241547,92535,105544,33395,41101
1967:Q4,2035884,0,122075,342144,0,87405,27821,6265,38208,15111,103909,53430,46607,3872,663676,42973,0,115533,519848,38321,538136,245974,97118,108567,35205,51273
1968:Q1,2005725,0,118180,350920,0,90315,32224,5670,37137,15284,103870,52966,47312,3592,614634,40523,0,116735,532748,37800,529375,249378,96239,107272,35446,41040
1968:Q2,2123312,0,119957,356638,0,91751,30703,6475,38066,16507,106785,55351,47757,3677,697727,45972,0,117919,548249,38314,546128,253675,99100,111404,38430,43518
1968:Q3,2164404,0,124314,364408,0,92415,32056,5982,37621,16756,109096,56829,48735,3532,705275,48300,0,119108,561968,39520,556623,258183,101670,114160,39116,43495
1968:Q4,2281139,0,131158,372312,0,90773,30117,6120,36490,18046,109730,56796,49082,3852,791494,49529,0,120321,576138,39684,572297,262934,104189,119324,40893,44956
1969:Q1,2254906,0,123783,377319,0,101861,37507,5981,40035,18338,104221,53370,47321,3530,745190,48554,0,121558,591283,41137,574373,264857,106002,118884,40290,44340
1969:Q2,2239503,0,125248,382216,0,100297,30883,7983,42266,19165,105835,55130,47138,3567,707585,46190,0,122811,607266,42055,591348,269738,109728,123675,41115,47092
1969:Q3,2244810,0,123924,380750,0,115019,39511,9209,45302,20997,103138,52024,47629,3485,686177,46004,0,124080,622639,43079,601553,274512,112982,125813,40631,47615
1969:Q4,2232663,0,129503,381127,0,122174,41565,11305,47244,22060,108001,54752,49537,3712,638984,45578,0,125359,638481,43456,615915,278689,115922,129231,41899,50174
1970:Q1,2234834,0,125516,382356,0,130825,47075,14195,48079,21476,104151,53228,47509,3414,614908,46279,0,126700,659498,44601,609197,279940,104588,126663,42314,55692
1970:Q2,2122093,0,131828,390877,0,123476,37544,14982,48227,22723,105093,53146,48469,3478,485261,37027,0,127975,675440,45116,621044,283228,108080,129421,42885,57429
1970:Q3,2255687,0,135762,409150,0,125455,34716,15735,48542,26462,107617,53607,50430,3580,564921,41919,0,129291,695919,45653,632963,287149,112635,131424,43755,58000
1970:Q4,2351349,0,137187,424712,0,124368,31477,15943,47144,29804,110465,55828,50808,3829,617731,44501,0,130699,715874,45812,645459,290995,116557,133660,44723,59524
1971:Q1,2464666,0,137498,448774,0,120567,27473,14951,46097,32046,109484,55693,50335,3456,677526,50329,0,132198,738802,49488,654756,294998,119208,134072,46058,60420
1971:Q2,2505572,0,143139,464753,0,118033,23729,13112,46375,34817,110112,55505,51066,3541,673299,50571,0,133782,760635,51248,676280,301637,124389,138912,47819,63522
1971:Q3,2535686,0,145069,478313,0,123172,25388,13937,46564,37283,109052,55336,50209,3507,658901,49798,0,135412,782401,53568,695259,309668,129526,143465,48530,64071
1971:Q4,2631846,0,150668,493887,0,118595,20572,14615,45970,37438,111053,58125,49216,3712,707587,53006,0,137050,804816,55184,717552,316620,134201,149243,49846,67643
