1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q1,6230096,81859,1588288,632100,77128,-76461,214199,48412,368822,335740,12042,202062,317002,3061003,2989073,146528,-74598,7252939,6087656,3031200,83652,791664,49888,741776,9875,51652,3548,2116065,1619813,-57780,554032,1165283,405642,74689,19907,248439,416606
2007:Q2,6545134,89825,1631506,535151,79874,-131117,146302,53953,386139,400630,10359,223084,319468,3335111,3164618,151916,18577,7595288,6399599,3040040,93615,856115,50613,805502,9938,65473,3483,2330935,1747556,-59678,643057,1195689,422317,78160,20495,256970,417747
2007:Q3,6428153,86295,1621607,667426,86029,-50421,199011,45124,387683,365383,8965,220624,292716,3165137,3003659,161346,132,7453274,6284709,3132240,86273,860755,56089,804666,9991,62129,3469,2129852,1605851,-32186,556187,1168565,367140,77580,21103,262511,440231
2007:Q4,6166708,104980,1593897,750262,87115,-23010,276823,50122,359212,393126,9160,224757,253398,2837128,2707812,180415,-51099,7181163,6031443,2972596,64803,969606,52453,917153,10452,45842,2186,1965958,1483490,-21559,504027,1149720,354911,71348,22230,227476,473755
2008:Q1,6348464,122378,1687891,810638,107489,-4738,299613,66073,342201,426194,9400,180134,228049,2883780,2699928,182867,985,7281090,6213272,3109008,80369,1117530,94008,1023522,10540,43494,2043,1850288,1376885,-14682,488085,1067818,284007,62787,22774,231895,466355
2008:Q2,5822971,115605,1693690,637566,102908,-32117,268221,51803,246751,361501,9719,189631,217200,2598059,2450264,200630,-52835,6736303,5681592,2878762,84481,1049227,43479,1005748,10887,39087,2617,1616531,1145518,48173,422840,1054711,271834,59383,22916,235405,465173
2008:Q3,5935976,161934,1778442,764964,153941,-13148,366278,61946,195947,440350,8630,160646,176012,2444998,2217011,212069,15918,6730448,5798077,2936749,76926,1244912,257206,987706,12776,34362,2538,1489814,1118564,55727,315523,932371,158891,65947,24026,212089,471418
2008:Q4,4035201,120078,1288380,661503,65701,64620,377250,38741,115191,264562,8310,109172,139626,1443570,1387286,227902,-171618,4781504,3904097,2107189,97067,829438,85291,744147,11951,21167,2485,834800,533111,88429,213260,877407,93900,49201,21785,237221,475300
2009:Q1,3834583,103164,1353304,543767,49879,83280,279769,38740,92099,212229,0,79551,0,1542568,1334766,300708,-92906,4147844,3698036,1972935,82039,722412,58456,663956,10277,47794,2681,859898,556304,455096,-151502,449808,62709,38404,24653,324042,0
2009:Q2,3886466,92028,1306277,553287,61262,85504,259643,38308,108570,215979,0,89312,0,1629583,1392451,305246,-68114,4178369,3726908,1934789,97137,714425,39092,675333,10447,54513,4500,911097,568516,475795,-133214,451461,83656,44769,21522,301514,0
2009:Q3,4007087,81933,1348320,490977,49532,38616,223225,41895,137709,240619,0,108514,0,1736724,1457878,317897,-39051,4290850,3840303,1958487,104025,732329,29859,702470,10329,66910,6248,961975,597940,428086,-64051,450547,102594,50186,20954,276813,0
2009:Q4,3868204,90721,1185046,465209,41538,43261,208200,35430,136780,290178,0,124151,0,1712899,1424269,280154,8476,4108814,3697265,1810404,92851,733602,32001,701601,10393,70062,5719,974234,598517,403605,-27888,411549,100280,54257,23035,233977,0
2010:Q1,4148060,90177,1409996,492790,38495,58615,214253,40342,141085,268619,0,112353,0,1774125,1477372,281571,15182,4413246,3970202,2029430,92252,732477,31840,700637,12580,62213,4384,1036866,646158,408654,-17946,443044,104257,66886,23884,248017,0
2010:Q2,4087722,86072,1494231,478946,33091,50268,222820,35015,137752,290155,0,98409,0,1639909,1357702,285780,-3573,4343971,3908050,2029815,100907,734788,30716,704072,12544,51991,4360,973645,615522,410303,-52180,435921,85802,58816,23645,267658,0
2010:Q3,4078395,89523,1419807,491051,34189,50423,219977,39207,147255,301018,0,100587,0,1676409,1383751,308630,-15972,4315567,3900739,1972256,96115,749093,32083,717010,12740,55073,6368,1009094,632561,432398,-55865,414828,91672,66659,24579,231918,0
