1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,64924,9395,35705,19825,64924,10402,111,0,177,0,31744,0,111,181,20036,1118,622,274,0,148,0
1967:Q4,66249,11942,33939,20368,66249,10422,112,0,196,0,32552,0,112,185,20467,1125,632,301,0,145,0
1968:Q1,67543,9809,37280,20454,67543,10289,201,0,222,0,33398,0,106,188,20834,1130,652,327,0,140,56
1968:Q2,69114,9971,37436,21707,69114,10128,320,0,248,0,34544,0,104,190,21160,1122,669,352,0,150,127
1968:Q3,70927,10152,37950,22825,70927,10161,399,0,265,0,35695,0,103,192,21609,1130,674,368,0,157,174
1968:Q4,73019,10301,38911,23807,73019,9898,554,0,283,0,36960,0,100,193,22388,1132,692,383,0,170,266
1969:Q1,74367,10486,39757,24124,74367,10070,623,0,302,0,37652,0,123,195,22707,1136,700,397,0,169,293
1969:Q2,75792,10684,39236,25872,75792,9928,775,100,322,0,38448,0,160,196,23065,1133,709,411,0,184,361
1969:Q3,77271,10866,38950,27455,77271,9871,872,200,343,0,39235,0,201,197,23488,1150,713,428,0,179,394
1969:Q4,79051,11015,39579,28457,79051,9756,1056,300,365,0,39776,0,236,200,24370,1172,696,444,0,199,481
1970:Q1,78950,11329,51679,15942,78950,9019,965,400,389,92,40082,0,194,208,24662,1178,714,459,0,135,453
1970:Q2,81253,11515,52320,17419,81253,9781,1100,500,411,117,40498,0,202,220,25145,1176,764,474,0,337,528
1970:Q3,84057,11733,53334,18991,84057,10869,1241,600,425,165,41280,0,208,233,25495,1203,806,486,0,440,606
1970:Q4,86503,11901,54415,20187,86503,10838,1493,700,439,187,42494,0,214,245,26018,1176,911,496,0,541,751
1971:Q1,87700,12179,55335,20186,87700,10189,1635,800,453,251,43401,0,219,245,26422,1178,908,507,0,661,831
1971:Q2,90090,12109,56058,21923,90090,9647,1828,900,465,300,45277,0,199,240,26847,1148,921,518,0,844,956
1971:Q3,93327,12344,56707,24276,93327,9157,2046,1000,501,397,47616,0,220,233,27497,1136,913,554,0,984,1073
1971:Q4,96983,12475,58509,25999,96983,8604,2280,1100,539,413,49960,0,239,223,28503,1269,924,589,0,1141,1199
1972:Q1,100034,12689,61301,26044,100034,8567,2414,1200,550,504,51987,0,237,215,28853,1276,949,506,0,1498,1278
1972:Q2,104306,12875,62341,29090,104306,8726,2664,1300,544,593,54804,0,199,204,29353,1210,948,542,0,1771,1448
1972:Q3,108330,13089,63777,31464,108330,8841,2972,1400,537,599,57598,0,271,193,30060,1155,988,582,0,1547,1587
1972:Q4,114168,13242,66251,34675,114168,9307,3355,1500,320,664,60601,0,226,181,31608,1096,1070,867,0,1535,1838
1973:Q1,118253,13518,68316,36419,118253,8931,3703,1567,314,752,63363,20,264,176,32307,1092,1178,867,0,1699,2020
1973:Q2,124008,13551,74343,36114,124008,9150,4187,1626,263,783,66767,14,300,173,33363,1055,1335,970,0,1739,2283
1973:Q3,129035,13788,84699,30548,129035,8458,4798,1665,331,816,69917,30,312,171,34651,1020,1393,950,0,1889,2634
1973:Q4,133706,13854,95552,24301,133706,8253,5034,1688,218,857,72208,52,324,166,36496,1071,1544,1124,0,1905,2766
1974:Q1,137455,14145,97320,25991,137455,8228,5267,1764,272,925,74282,60,397,164,37397,1081,1622,1118,0,2018,2860
1974:Q2,142377,14176,97671,30531,142377,8190,5321,1830,419,977,77421,66,471,162,38579,1068,1733,1065,0,2226,2849
1974:Q3,145045,14423,94891,35731,145045,7178,5574,1869,1524,982,79205,82,617,161,39739,1057,1784,0,0,2362,2911
1974:Q4,148279,14465,94146,39668,148279,7152,5579,1888,1629,1198,80061,100,746,157,41256,1064,2013,0,0,2597,2839
1975:Q1,150411,14677,94218,41516,150411,8016,5099,1860,1700,1254,80755,215,807,151,42268,1107,2120,0,0,2542,2517
1975:Q2,153431,14694,95021,43716,153431,8707,4557,1836,1863,1254,82660,348,822,172,43265,1102,2236,0,0,2438,2171
1975:Q3,157058,14976,96504,45578,157058,9601,3883,1820,1946,1251,85457,286,874,191,44042,1123,2319,0,0,2539,1726
1975:Q4,161019,14987,97993,48039,161019,10021,3432,1811,2138,1242,88282,185,928,221,45196,1166,2313,0,0,2677,1407
1976:Q1,163221,15175,97369,50677,163221,9758,3558,1812,2218,1244,89854,165,902,221,45887,1166,2346,0,0,2795,1295
1976:Q2,166345,15346,99423,51576,166345,9704,3361,1842,2255,1243,92226,162,875,245,46479,1158,2421,-10,0,3203,1181
1976:Q3,170146,15487,101868,52791,170146,9704,3138,1940,2424,1264,94994,128,855,244,47336,1158,2506,0,0,3391,1064
1976:Q4,174189,15548,103907,54734,174189,9386,2937,2096,2512,1245,97521,89,838,273,48864,1228,2559,0,0,3697,944
1977:Q1,177453,15698,104635,57120,177453,9275,2835,2166,2634,1288,99504,91,804,327,49557,1270,2579,0,0,4243,880
1977:Q2,180348,15933,106566,57849,180348,8768,2742,2271,2806,1281,101510,102,770,368,50447,1359,2714,0,0,4393,817
1977:Q3,185795,16083,110253,59459,185795,8772,2773,2461,2966,1281,104926,81,860,395,51797,1336,2772,0,0,4622,753
1977:Q4,193261,16308,115655,61298,193261,8848,2784,2722,3094,1282,108960,55,930,384,54435,1334,2925,0,0,4819,689
1978:Q1,197958,16572,118459,62927,197958,8745,2627,2910,3746,1296,112104,67,770,375,55652,1328,2919,0,0,4742,677
1978:Q2,203343,16898,122261,64185,203343,8734,2480,3138,3405,1293,116469,86,594,365,57245,1377,2851,0,0,4641,665
1978:Q3,208876,16880,124822,67174,208876,8715,2498,3466,3620,1289,119549,96,594,366,59153,1376,2902,0,0,4605,647
1978:Q4,214511,17140,126084,71287,214511,8373,2514,3875,3661,1323,122051,103,594,391,62232,1379,3024,0,0,4350,641
1979:Q1,219175,17218,129118,72839,219175,8023,2557,4344,3943,1327,124336,119,595,448,63855,1401,3059,0,0,4532,636
1979:Q2,225711,17254,128542,79916,225711,7590,2603,4789,4111,1372,128383,136,600,428,65964,1375,3077,0,0,4652,631
1979:Q3,233353,17491,128569,87293,233353,7435,2650,5175,4316,1455,132463,465,606,458,68358,1422,3076,0,0,4848,626
1979:Q4,239448,17599,126755,95094,239448,7191,2684,5516,4502,1521,135017,856,615,650,70920,1437,3182,0,0,4736,621
1980:Q1,243912,17550,124107,102255,243912,7319,2623,5466,4904,1539,135849,1248,550,774,73554,1511,3271,0,0,4692,612
1980:Q2,248864,17862,118919,112083,248864,7407,2683,5492,5165,1644,137445,1639,575,821,75725,1541,3340,0,0,4784,603
1980:Q3,253808,18317,115707,119785,253808,7239,2724,5708,5429,1627,139018,1929,606,865,77916,1765,3388,0,0,5000,594
1980:Q4,259903,18241,115723,125939,259903,6993,2771,6079,5682,1681,141085,2178,635,994,80666,1836,3529,0,0,5189,585
1981:Q1,267511,18434,116102,132975,267511,6365,5146,6873,5861,1698,142871,2558,726,1055,82616,1963,3568,0,0,5629,582
1981:Q2,278496,18707,121637,138152,278496,5654,8995,7704,6107,1831,146211,3054,869,1147,84571,2063,3736,0,0,5975,579
1981:Q3,288922,18990,126970,142962,288922,4674,13416,8626,6365,2032,149476,3427,1000,1249,86070,2066,3861,0,0,6084,576
1981:Q4,299685,19036,122192,158457,299685,3525,18456,9619,6667,2163,151864,3916,1055,1341,88163,2115,3928,0,0,6299,574
1982:Q1,306619,19909,120481,166229,306619,926,23529,10159,6850,2324,154002,4255,1095,1406,89573,1283,4018,0,0,6620,579
1982:Q2,315647,20291,116758,178598,315647,790,24015,10631,7018,2589,158178,4651,1103,1448,91200,2500,4192,0,0,6747,585
1982:Q3,324780,20457,109766,194557,324780,665,25649,10930,7220,2780,163231,4876,1093,1501,91687,3093,4434,0,0,7031,590
1982:Q4,333680,20897,107317,205466,333680,563,27876,11091,7388,3062,166226,4994,1075,1600,93547,4127,4474,0,0,7061,596
1983:Q1,346330,22433,123320,200577,346330,1887,28416,11253,7452,3220,172948,5025,1018,1749,95356,5914,4494,0,0,7012,586
1983:Q2,360215,23714,127605,208896,360215,2138,29391,11532,7551,3288,182278,4974,914,1954,97416,6289,4542,0,0,7372,576
1983:Q3,373975,25957,131772,216246,373975,2485,28493,12101,7655,3433,191587,4833,814,2160,100209,7294,4547,0,0,7798,566
1983:Q4,389424,28392,136073,224959,389424,2467,29680,12905,7760,3430,200622,5190,740,2311,103831,6923,4786,0,0,8223,556
1984:Q1,408654,31805,138331,238518,408654,2473,33404,13845,7775,3494,215398,4422,705,2414,104770,5806,4841,0,0,8710,597
1984:Q2,429688,33818,143695,252175,429688,2325,37085,14848,7845,3531,228655,4264,688,2490,107548,5427,5053,0,0,9289,640
1984:Q3,451779,34914,147882,268983,451779,1876,42029,16010,7957,3611,242345,4407,701,2580,109801,4796,5092,0,0,9893,681
1984:Q4,471898,35304,148927,287667,471898,1197,45233,17297,8056,3694,254830,5616,696,2664,111175,5277,5378,0,0,10075,710
1985:Q1,487050,37013,137485,312552,487050,1986,45251,18244,8102,3751,264594,5453,695,2869,113421,5908,5472,0,0,10574,730
1985:Q2,505953,37139,139238,329577,505953,1464,46851,19151,8177,3892,275962,5380,720,3047,117295,6749,5505,0,85,10916,759
1985:Q3,522126,37717,137407,347002,522126,1844,47435,19960,8264,4129,286704,5471,752,3197,120183,6494,5531,0,83,11289,790
1985:Q4,541661,38516,146454,356691,541661,2127,48485,20692,8349,4423,293138,5743,773,3339,127670,7195,5552,0,564,12188,1423
1986:Q1,554231,40065,147896,366270,554231,872,45658,20887,8367,5087,304171,6174,795,3623,130718,7632,5699,0,548,12521,1479
1986:Q2,565823,43176,151191,371456,565823,470,44394,21077,8458,5077,311296,6587,810,3843,136325,6169,5647,0,1084,13032,1554
1986:Q3,579130,45542,155277,378311,579130,577,42148,21254,8524,5017,320494,6993,827,4075,140841,5775,5973,0,1144,13909,1579
1986:Q4,601970,43175,161627,397168,601970,1022,37123,20171,8446,5101,339013,8675,833,4348,149111,4585,6342,132,1116,14527,1425
1987:Q1,639606,45991,190513,403102,639606,2000,32091,19347,8463,5157,376293,8361,848,4444,151420,6125,6195,127,1601,15652,1482
1987:Q2,655668,46885,201648,407135,655668,500,30717,18273,8553,5209,388618,9777,848,4750,155611,5935,6197,126,2395,16683,1476
1987:Q3,668224,46646,210567,411011,668224,1299,28272,17249,6592,5398,399808,11235,859,4868,159464,5439,6261,124,2428,17370,1558
1987:Q4,694549,53665,224343,416541,694549,482,30091,16571,6603,5654,411339,13921,885,4994,169624,5205,6196,63,3125,18120,1676
1988:Q1,708871,55704,227412,425755,708871,463,35682,16746,6640,5846,408432,15959,943,5139,176595,6126,6264,58,3171,19058,1749
1988:Q2,731225,57016,228347,445862,731225,441,41564,17271,6288,6142,416399,17863,1029,5269,180646,7064,6459,41,3459,19532,1758
1988:Q3,742165,58328,223467,460370,742165,423,47840,17846,5300,6182,411296,19955,1132,5406,185013,9141,6621,38,3881,20203,1888
1988:Q4,767913,58236,235502,474175,767913,416,51544,18171,5343,6033,420611,22063,1241,5574,191719,11145,6712,38,4622,20592,2089
1989:Q1,784203,60456,247035,476712,784203,419,46967,17296,5101,6089,435684,23613,1358,5779,195132,11250,6738,34,5097,21621,2025
1989:Q2,790897,62171,248967,479759,790897,429,40165,16272,3885,6215,442555,25554,1486,6027,199357,11887,6620,26,5883,22527,2009
1989:Q3,800472,63721,249734,487017,800472,448,33711,15198,4366,6260,448827,27917,1625,6270,203848,12617,6742,26,7006,23639,1972
1989:Q4,802621,65445,243014,494161,802621,475,26715,14171,4443,6444,447348,30189,1772,6460,209858,13843,6626,26,8369,23870,2012
1990:Q1,813010,67174,257605,488231,813010,513,22539,13733,6499,6715,443641,35761,1929,6615,215013,17017,6587,25,9333,25096,1994
1990:Q2,816936,68730,260444,487762,816936,565,23430,13151,8811,6933,435441,38545,2090,6752,218774,17651,6596,24,9254,26932,1987
1990:Q3,820726,70468,264568,485690,820726,620,22195,12552,13032,6985,431293,41326,2269,6849,219444,17968,6768,24,9490,27930,1981
1990:Q4,822624,72730,266530,483363,822624,666,20882,11947,13426,7111,427371,45534,2478,6885,220154,18178,7492,24,10149,28481,1846
1991:Q1,830244,74906,273633,481705,830244,696,21762,11054,17403,7185,426521,49129,2637,6859,221913,17076,7867,23,10667,27645,1807
1991:Q2,834611,77097,275164,482350,834611,704,21761,10395,20610,7396,423040,51698,2869,6766,224445,15608,7767,21,11603,28141,1787
1991:Q3,822764,79290,268826,474648,822764,728,23593,8878,20484,7356,411660,52546,3076,6640,223496,14595,7934,20,11798,28221,1739
1991:Q4,809729,81470,260934,467324,809729,806,24750,8227,21175,7662,404588,54299,3169,6511,214805,13306,8323,19,12586,27851,1652
1992:Q1,800552,83134,255806,461613,800552,826,24874,7895,22582,7728,395757,54208,3170,6388,213034,12588,8161,18,13635,28072,1616
1992:Q2,794851,84799,251081,458970,794851,846,25297,7568,21273,7950,391625,54391,3080,6267,209987,11734,8940,18,15464,28668,1742
1992:Q3,783083,86463,242376,454244,783083,866,25666,7247,18428,7512,385439,53517,2988,6113,205454,11258,8521,18,19128,29260,1669
1992:Q4,765161,88127,223300,453734,765161,886,26473,6866,14622,7530,379308,51605,2994,5889,199584,10619,8875,17,19074,29060,1759
1993:Q1,758000,90643,215208,452149,758000,914,25812,6418,13073,7543,376142,50235,2947,5588,198622,10697,8234,16,21142,28908,1709
1993:Q2,748880,93157,207123,448600,748880,942,25115,6276,11525,7845,372693,48999,2945,5192,196684,10460,6973,15,23219,28307,1690
1993:Q3,743056,95673,204368,443015,743056,971,24385,6177,10889,7464,372982,47801,2980,4792,192860,10821,7565,14,23584,28094,1677
1993:Q4,739135,98910,205430,434795,739135,999,23659,5965,10160,7740,380675,45060,3089,4472,183319,9074,6961,13,28055,28239,1656
1994:Q1,730442,98709,201328,430405,730442,973,24597,5686,9125,7909,377602,43536,3175,4303,180101,8485,6959,12,27893,28151,1936
1994:Q2,730041,98508,203637,427896,730041,948,25468,6179,9158,8006,377777,42514,3620,4134,177442,8226,7097,10,28791,28512,2159
1994:Q3,730034,98308,205718,426009,730034,922,26226,6249,9444,8206,376263,41424,3842,3964,175785,7955,6998,9,31121,29319,2308
1994:Q4,723966,98106,203610,422250,723966,897,26650,6498,8039,8326,377157,40261,4019,3795,174565,3056,7011,9,31636,29780,2267
1995:Q1,729293,98073,205690,425530,729293,915,26914,6286,7889,8202,384189,38826,4081,3550,174330,3087,7029,7,31362,30385,2241
1995:Q2,731714,98040,206490,427184,731714,933,27253,6189,7594,8277,387192,37658,3837,3306,174432,3119,7007,6,31547,31103,2261
1995:Q3,734454,98007,206353,430094,734454,950,27508,6034,7266,7876,388334,36829,3891,3050,175922,3151,7011,5,32512,31890,2224
1995:Q4,734769,97974,204670,432126,734769,968,27574,5937,6773,7820,392915,35123,3987,2816,171109,3182,7012,5,35631,31829,2088
1996:Q1,741871,98805,208109,434957,741871,975,29739,5828,6365,7885,398100,33204,4222,2571,170556,3212,7007,5,37800,32495,1907
1996:Q2,751269,99637,212809,438823,751269,982,30231,5675,6552,7800,404520,32310,4062,2567,170231,3242,7008,5,39694,34608,1782
1996:Q3,751512,100469,211247,439796,751512,988,30914,5624,6681,7596,408128,32228,3882,2539,167145,3275,7008,4,40377,33469,1654
1996:Q4,763624,101031,218436,444157,763624,991,32025,5565,6841,7641,415672,32223,3933,2431,165335,3324,7008,0,46353,32563,1719
1997:Q1,770742,101907,221646,447189,770742,1000,37311,5375,6969,7781,418221,30765,4097,2509,164426,3380,7007,0,47898,32116,1887
1997:Q2,787318,102783,229282,455253,787318,1009,42652,5301,7135,7963,427987,28277,4152,2392,164225,3435,7004,0,51255,32443,2088
1997:Q3,803742,103659,242034,458049,803742,1017,47879,5197,7246,7861,438152,27611,4267,2384,161825,3500,7003,0,55168,32411,2221
1997:Q4,825408,104535,253856,467017,825408,1026,53414,5117,7370,7814,444356,26097,4414,2246,163254,3374,7000,0,66103,31288,2535
1998:Q1,838408,107071,246915,484422,838408,1034,51656,5627,7369,7824,449926,23957,4496,2219,162916,3372,7470,0,76875,30718,2949
1998:Q2,857404,109607,244461,503336,857404,1041,49509,6138,7497,7788,454914,23026,4539,2176,164055,3375,8272,0,91799,30129,3146
1998:Q3,879149,112143,246807,520200,879149,1049,47494,6648,7566,10040,467478,22840,4716,1919,163857,3378,8599,0,97424,32697,3444
1998:Q4,914748,114679,268459,531610,914748,1056,45011,7157,7705,10626,484325,20396,4837,1970,168872,3174,8964,0,113191,33997,3467
1999:Q1,939426,115511,278576,545339,939426,1096,40686,7150,7769,10718,498293,18362,5217,1922,173838,3389,9117,0,122728,35424,3717
1999:Q2,962413,116343,289728,556342,962413,1137,35901,6991,7943,10755,513876,17147,5586,1949,178759,3605,9587,0,128458,37022,3697
1999:Q3,1019884,117175,333269,569440,1019884,1177,31074,6830,41068,10783,531865,16871,5847,2001,179886,3820,9542,0,136862,38607,3651
1999:Q4,1051456,118007,360703,572746,1051456,1217,26609,6670,41355,11001,554567,15940,5987,1969,184663,4034,10275,0,143363,40337,3469
