1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,5584,0,0,0,1524,88,84,64,132,164,0,0,992,292,40,252,140,-632,0,0,772,0,1152,1152,0,0,0,0,0,512,0,20,492,0,864,864,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348,1213,135,0,0,0,0,0,0,0,0,0,0
1959:Q1,2764,0,0,0,1116,88,76,464,100,100,0,0,288,380,40,340,44,-944,0,0,988,0,-844,-844,0,0,0,0,0,396,0,16,380,0,136,136,0,464,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,1454,162,0,0,0,0,0,0,0,0,0,0
1959:Q2,3756,0,0,0,1440,168,168,20,252,-172,0,0,1004,416,40,376,-1708,-1728,0,0,20,0,1800,1800,0,0,0,0,0,400,0,18,382,0,388,388,0,-616,-616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,1674,186,0,0,0,0,0,0,0,0,0,0
1959:Q3,2096,0,0,0,612,144,-116,-104,172,-28,0,0,544,468,40,428,-288,-2196,0,0,1908,0,1032,1032,0,0,0,0,0,364,0,12,352,0,-616,-616,0,-348,-348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,904,100,0,0,0,0,0,0,0,0,0,0
1959:Q4,-3200,0,0,0,-184,168,-12,-212,216,416,0,0,-760,616,40,576,-1696,-2316,0,0,620,0,1356,1356,0,0,0,0,0,224,0,-1,225,0,104,104,0,-5556,-5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,1087,121,0,0,0,0,0,0,0,0,0,0
1960:Q1,1128,0,0,0,1072,76,20,96,152,372,0,0,356,712,40,672,240,-684,0,0,924,0,-2456,-2456,0,0,0,0,0,100,0,11,89,0,-1252,-1252,0,-1452,-1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280,2952,328,0,0,0,0,0,0,0,0,0,0
1960:Q2,4936,0,0,0,928,276,672,-116,392,-928,0,0,632,780,60,720,48,-924,0,0,972,0,1000,1000,0,0,0,0,0,-40,0,7,-47,0,188,188,0,-704,-704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624,2362,262,0,0,0,0,0,0,0,0,0,0
1960:Q3,5540,0,0,0,532,196,-476,80,316,224,0,0,192,604,20,584,892,-164,0,0,1056,0,-136,-136,0,0,0,0,0,236,0,4,232,0,312,312,0,1428,1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,490,54,0,0,0,0,0,0,0,0,0,0
1960:Q4,8440,0,0,0,512,116,96,-76,-40,-76,0,0,492,516,40,476,1004,252,0,0,752,0,980,980,0,0,0,0,0,256,0,3,253,0,256,256,0,2352,2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,1066,118,0,0,0,0,0,0,0,0,0,0
1961:Q1,1660,0,0,0,2104,184,-20,656,200,-96,0,0,1180,608,40,568,2420,1520,0,0,900,0,-2016,-2016,0,0,0,0,0,284,0,6,278,0,1492,1492,0,-2620,-2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1456,-1310,-146,0,0,0,0,0,0,0,0,0,0
