1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q1,688,831,-19316,0,-64,-14571,-14533,0,-9775,999,0,-5757,10056,9685,-14,385,0,-204,-9617,-3921,9742,2072,7670,-1001,37392,-31938,-123,247,-18240,-5696,814,-6510,9556,36391
2002:Q2,693,820,17989,0,417,11079,15455,0,11659,3577,0,219,-11178,-11373,-146,341,0,2216,47194,24374,-29549,-24877,-4672,-638,-5348,31686,-27,-964,29214,22820,1624,21196,29079,-5986
2002:Q3,704,815,14291,0,-38,8083,18398,0,9262,6229,0,2907,-12368,-12924,133,423,0,216,16685,22522,39310,43783,-4473,87,-46542,19632,127,-700,10608,-5837,913,-6750,2283,-46455
2002:Q4,715,798,13685,0,290,12921,3443,0,1723,72,0,1648,-4971,-4585,-359,-27,0,2002,-9898,-18913,-13218,-8461,-4757,901,-33311,26964,-411,1794,-1632,9015,-1622,10637,-23666,-32410
2003:Q1,704,828,17807,0,-106,19993,8557,0,3808,779,0,3970,-9814,-9732,-93,11,0,-823,22196,18096,-19586,-24921,5335,-493,7897,33874,-117,-97,-3382,4100,3918,182,4266,7404
2003:Q2,713,848,8532,0,19,398,6817,0,-10,3088,0,3739,-8431,-8883,-91,543,0,9729,30437,31706,-5016,-4770,-246,1648,-8068,10955,-80,-219,32486,-1269,93,-1362,21770,-6420
2003:Q3,720,869,-31596,0,1279,13217,-18587,0,-4625,-8424,0,-5538,-15671,-20361,44,4646,0,-11834,-49035,-46601,-3394,-3889,495,-513,2202,-21469,12,-895,-22544,-2434,749,-3183,-17588,1689
2003:Q4,729,883,-14672,0,-1570,-7775,-10283,0,-6460,-1739,0,-2084,8724,15281,130,-6687,0,-3768,-16240,-27891,-7864,-5526,-2338,455,8206,-23590,122,737,-5957,11651,-118,11769,-1723,8661
2004:Q1,737,919,36607,0,260,30103,11021,0,3128,-2800,0,10693,-3222,-3415,-87,280,0,-1555,42793,18510,-63312,-65330,2018,-514,49973,31482,-42,291,632,24283,30,24253,6004,49459
2004:Q2,749,947,-11864,0,-248,-3317,-8732,0,-3052,3056,0,-8736,-4256,-1562,25,-2719,0,4689,-28557,-7784,-19136,-26223,7087,-458,13773,11092,26,-513,-12568,-20773,1699,-22472,-16891,13315
2004:Q3,760,982,3864,0,186,4569,2886,0,897,-3349,0,5338,-3263,-3883,77,543,0,-514,44129,18762,6581,10372,-3791,186,7740,-7228,75,1241,10167,25367,10785,14582,40043,7926
2004:Q4,773,1009,-17903,0,-339,-43153,11901,0,-6660,1669,0,16892,15077,13736,81,1260,0,-1389,-8899,-25799,-2553,-4084,1531,-33,5736,-32798,85,4155,-391,16900,213,16687,8768,5703
2005:Q1,765,880,70679,0,-22,14061,38759,0,4448,-916,0,35227,18436,17582,-91,945,0,-555,54790,48453,19010,5539,13471,2573,18498,-6218,-95,479,14206,6337,4954,1383,-16004,21071
2005:Q2,776,903,52660,0,450,18428,17987,0,-4821,6993,0,15815,12583,11802,126,655,0,3212,44470,25202,-4755,13055,-17810,-2977,21871,14079,118,-1520,-1614,19268,3642,15626,-8317,18894
2005:Q3,782,925,47078,0,-251,5098,22881,0,177,-6784,0,29488,17092,13911,23,3158,0,2258,52960,48207,-21516,-31907,10391,515,31525,13681,21,1125,22856,4753,-271,5024,5739,32040
2005:Q4,793,943,24580,0,5,1203,-1118,0,314,-188,0,-1244,25981,26764,-7,-776,0,-1491,6948,6192,5512,5983,-471,431,5393,20522,-10,-809,-24847,756,1755,-999,-17783,5824
2006:Q1,734,966,35864,0,31,7366,-1437,0,-3800,-6654,0,9017,25875,25227,-23,671,0,4029,68278,37702,-21049,-19830,-1219,-325,56835,-12773,-14,-57,15085,30576,6453,24123,32182,56510
2006:Q2,743,992,53841,0,-20,16070,21054,0,2949,7388,0,10717,14496,12887,-37,1646,0,2241,36064,33041,-13118,-11280,-1838,352,13612,6766,-39,337,25131,3023,947,2076,-18026,13964
2006:Q3,753,1015,46427,0,-238,15624,3553,0,2885,227,0,441,26239,26135,-37,141,0,1249,62616,62104,-27436,-40534,13098,-1032,62369,41755,-17,815,-14350,512,3688,-3176,15928,61337
