1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,586435,5513,518690,570,0,279,494,428,2293,33,198,0,0,57937,586435,518534,54660,466,1513,2230,0,260,346,623,0,702,0,0,7101
1967:Q1,592279,5667,522969,578,0,283,495,429,2325,33,201,0,0,59299,592279,522810,55933,478,1546,2274,0,278,354,630,0,709,0,0,7267
1967:Q2,598876,5837,528483,585,0,284,496,430,2331,34,198,0,0,60198,598876,528320,56731,502,1563,2305,0,297,362,636,0,718,0,0,7442
1967:Q3,605616,5946,533820,589,0,286,497,431,2352,35,194,0,0,61466,605616,533653,57864,511,1643,2331,0,317,371,644,0,726,0,0,7556
1967:Q4,618315,6028,543370,598,0,296,522,452,2371,35,201,0,0,64442,618315,543199,60738,523,1684,2363,0,339,379,651,0,734,0,0,7705
1968:Q1,632907,6306,556448,612,0,298,523,453,2414,36,198,0,0,65619,632907,556274,61814,534,1724,2421,0,363,388,658,0,743,0,0,7988
1968:Q2,642663,6411,564673,617,0,301,524,455,2473,37,200,0,0,66972,642663,564496,63058,566,1778,2459,0,388,397,665,0,751,0,0,8105
1968:Q3,651294,6505,571734,619,0,304,525,456,2301,37,208,0,0,68605,651294,571553,64603,574,1632,2462,0,415,407,673,0,759,0,0,8216
1968:Q4,671768,6548,588482,630,0,311,549,475,2218,37,202,0,0,72316,671768,588296,68213,630,1512,2502,0,444,415,680,0,768,0,0,8308
1969:Q1,686020,6793,599922,641,900,314,550,477,2281,37,203,0,0,73902,686020,599732,69698,645,1534,2581,0,475,425,688,0,778,900,0,8564
1969:Q2,698026,6964,608866,659,1800,319,552,479,2332,39,206,0,0,75810,698026,608672,71475,674,1589,2639,0,507,435,696,0,786,1800,0,8753
1969:Q3,704847,7157,612838,666,2700,324,553,482,2357,40,209,0,0,77521,704847,612640,73064,683,1639,2671,0,543,445,704,0,795,2700,0,8963
1969:Q4,720760,7611,623457,669,3600,295,521,452,2426,35,156,0,0,81538,720760,623254,76948,695,1696,2742,0,581,456,711,0,804,3600,0,9273
1970:Q1,733602,8077,632831,681,4500,300,523,454,2295,37,156,0,0,83748,733602,632621,78763,709,1762,2871,0,621,466,719,0,813,4500,0,9757
1970:Q2,755070,8253,650600,685,5400,304,525,456,2342,38,154,0,0,86313,755070,650384,81168,727,1812,2942,0,664,477,727,0,823,5400,0,9946
1970:Q3,754422,8543,646096,691,7200,308,526,457,2362,40,152,0,0,88047,754422,645874,82741,733,1860,3002,0,710,487,735,0,832,7200,0,10248
1970:Q4,769775,8788,654802,702,9000,305,537,466,2396,36,134,0,0,92609,769775,654573,87114,758,1929,3064,0,759,499,743,0,841,9000,0,10495
1971:Q1,789759,8953,674889,717,9900,309,539,467,2436,37,138,0,0,91374,789759,674658,85714,775,1964,3149,0,812,510,752,0,851,9900,0,10674
1971:Q2,808220,9072,689942,729,10800,314,540,470,2430,39,144,0,0,93740,808220,689708,87896,795,2013,3183,0,869,522,760,0,861,10800,0,10813
1971:Q3,827621,8823,705376,734,12600,318,542,472,2434,40,149,0,0,96133,827621,705139,90051,800,2112,3237,0,928,534,768,0,871,12600,0,10581
1971:Q4,850463,8874,721123,742,13500,344,608,527,2490,40,178,0,0,102037,850463,720883,95741,836,2176,3319,0,993,547,777,0,880,13500,0,10811
1972:Q1,870321,8689,742831,761,14400,349,610,529,2591,42,182,0,0,99337,870321,742587,92838,846,2220,3488,0,1062,559,785,0,891,14400,0,10645
1972:Q2,887170,8878,756777,772,15300,353,611,531,2639,44,184,0,0,101081,887170,756529,94346,881,2289,3573,0,1136,572,794,0,901,15300,0,10849
1972:Q3,911687,9173,777011,778,17100,357,613,533,2654,45,187,0,0,103236,911687,776759,96275,888,2337,3654,0,1215,585,803,0,911,17100,0,11160
1972:Q4,959253,9481,802314,793,18900,393,693,601,2730,46,226,0,0,123076,959253,802058,115821,933,2447,3766,0,1299,599,812,0,922,18900,0,11696
1973:Q1,974277,10232,829909,807,18900,397,694,602,2946,48,1648,0,0,108094,974277,829889,100551,961,2537,4042,0,1390,613,821,0,932,20085,0,12456
1973:Q2,1012724,11136,863182,820,19800,411,700,609,3076,52,1964,0,0,110974,1012724,863380,103147,1023,2613,4200,0,1486,628,830,0,943,21065,0,13409
1973:Q3,1057281,11509,904590,829,19350,425,706,615,3213,57,2915,0,0,113072,1057281,904992,104927,1075,2716,4373,0,1589,642,839,0,953,21343,0,13832
1973:Q4,1102841,11576,937497,844,20250,461,817,705,3276,54,3205,0,0,124156,1102841,938099,115674,1103,2820,4511,0,1699,656,849,0,964,22303,0,14163
