1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q4,538513,492660,19586,15483,1908,7300,1576,0,194800,6111,9327,4511,7060,2732,2540,36,-12448,214669,562748,272966
1987:Q1,544414,497641,19939,16265,1915,7051,1603,0,202796,6095,9470,4376,7339,2249,3411,35,-15043,220728,569920,285739
1987:Q2,551653,505161,18956,16638,1919,7388,1591,0,210992,6209,9014,4774,7628,3477,3870,35,-18724,227275,577378,294823
1987:Q3,559553,512466,19220,16849,1948,7480,1590,0,220494,6106,9442,4824,7501,2491,4009,36,-18682,236221,585586,315821
1987:Q4,591850,538063,22707,18998,2314,6296,3472,0,234602,2216,10302,7555,5179,2488,2066,36,-23924,240520,618808,316200
1988:Q1,594583,538954,23056,19867,2385,7232,3089,0,250376,2421,11411,7832,5475,3126,2606,36,-31681,251602,623594,324372
1988:Q2,598913,543200,22652,20288,2341,7546,2886,0,268114,2561,11638,7959,5247,3185,1305,37,-36954,263092,627349,338513
1988:Q3,607678,550938,22572,20857,2433,8080,2798,0,280328,2661,11493,8060,5573,2843,2655,62,-41260,272415,635980,352574
1988:Q4,682896,615657,26579,24805,2785,9509,3561,0,309155,4898,12786,8883,5501,2027,3383,62,-42407,304288,714620,391530
1989:Q1,692790,623683,27121,25189,2673,10536,3588,0,313167,5124,13088,8789,5989,4347,2942,62,-46103,307405,729282,409782
1989:Q2,701242,627617,27218,25561,2570,14940,3336,0,322350,5493,13099,9030,5934,7019,3249,61,-48111,318124,737901,425525
1989:Q3,710300,633029,27303,26042,2391,18207,3328,0,336600,5618,13679,9679,6315,4042,3234,61,-48526,330702,747681,437344
1989:Q4,804307,699734,32445,32196,3451,33185,3296,0,416172,7878,16823,12823,7729,8446,5400,39,-52442,422868,850022,534734
1990:Q1,814465,711776,33224,32800,3523,29746,3396,0,428428,8055,17378,13080,8059,7785,5437,60,-52501,435781,861093,550372
1990:Q2,821555,719576,33311,32645,3513,29091,3419,0,438759,8298,18013,13255,7901,8481,5550,61,-53079,447239,866908,565016
1990:Q3,835536,730834,32730,32953,3873,31645,3501,0,457011,8395,18201,13541,7941,6492,5619,64,-61166,456098,886171,574172
1990:Q4,704136,620444,28314,28250,3083,21178,2867,0,439126,3205,15358,14387,8229,3822,2882,62,-65675,421396,744911,539601
1991:Q1,717344,627532,28963,28406,3221,26304,2918,0,449864,3117,15948,16456,8574,1660,3970,63,-68765,430887,762773,543447
1991:Q2,725486,639468,28454,28654,3234,22640,3036,0,444698,3080,15598,16383,8537,8828,4225,64,-65651,435762,765370,557422
1991:Q3,736828,649858,28677,28385,3079,23616,3213,0,445024,3144,15991,17063,9670,4351,4514,70,-59197,440630,775605,556625
1991:Q4,803456,707348,31496,29491,4577,26246,4298,0,530447,4098,25870,25720,8987,5862,5614,60,-51399,555259,841890,669137
1992:Q1,816695,715287,31816,29688,4701,30755,4448,0,543600,4130,26480,25904,9286,6446,5799,54,-62819,558880,862593,670919
1992:Q2,827010,726010,32246,29920,4874,29265,4695,0,548213,4176,26812,25976,9654,6772,5910,54,-65082,562485,873441,677298
1992:Q3,834138,736376,32778,26301,4843,29089,4751,0,549027,4220,27066,26028,9546,7400,5956,52,-61627,567668,879160,680846
1992:Q4,762212,661560,34215,27484,4605,28140,6208,0,559391,4706,22813,27596,10411,4520,5320,48,-53808,580997,809186,696178
1993:Q1,774617,675320,34507,28129,4670,25589,6402,0,566741,4694,22783,27668,9469,2863,8725,50,-58464,584529,814607,703991
1993:Q2,790767,683125,34562,28375,4400,33304,7001,0,567120,4595,23577,27445,9921,5152,12050,50,-61210,588700,838980,715790
1993:Q3,808046,700580,35482,29094,4378,31470,7042,0,560165,4607,23431,27383,10126,6048,15352,52,-52585,594579,853151,727938
1993:Q4,1002299,841182,46823,39933,6738,61672,5951,0,571322,5479,25272,28079,13824,10696,24621,51,-54877,624467,1061299,768398
1994:Q1,1018280,856702,46945,38765,6743,63201,5924,0,587483,5543,25696,28586,14274,10539,24879,52,-66248,630804,1092371,773871
1994:Q2,1033889,871711,47822,38858,6989,62480,6029,0,589773,5535,25866,28877,14302,10944,25072,52,-64450,635971,1108494,779897
1994:Q3,1050782,887811,48560,39145,6873,62315,6078,0,608064,5501,26584,29278,14538,11035,25250,58,-72412,647896,1127753,794520
1994:Q4,1054048,918843,47705,43149,6368,34552,3431,0,603366,4880,26487,28158,11045,6080,13855,62,-70065,623868,1114582,757853
1995:Q1,1074557,937499,47928,43690,6392,35767,3281,0,622434,4885,28010,28486,11317,5211,14358,65,-78259,636507,1136266,767292
1995:Q2,1089886,951649,48554,43672,6639,36032,3340,0,635622,4856,28189,29619,11458,4842,14745,72,-83079,646324,1152298,779491
1995:Q3,1111765,971797,49191,44623,6529,36151,3474,0,651330,4855,30605,29949,11781,5670,15163,78,-87346,662085,1175322,797350
1995:Q4,1305643,1148264,55768,55674,8273,33491,4173,0,810799,3606,41767,47140,17673,9545,21856,81,-82187,870280,1363792,1005726
1996:Q1,1334418,1174629,56836,56329,8502,34926,3196,0,826671,3761,41586,47778,17740,10110,22499,88,-80654,889579,1390523,1033859
1996:Q2,1350923,1188650,57192,56953,8680,36053,3395,0,848477,3710,39839,48394,17809,11018,23191,119,-89708,902849,1407351,1050558
