1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q2,19556,0,0,0,19556,19556,0,0,0,0,0,0,0,47685,19556,0,0,0,0,0,0,0,19556,0,19556,28129,28129,0,0,0
1974:Q3,23716,0,0,0,23716,23716,0,0,0,0,0,0,0,42699,23716,0,0,0,0,0,0,0,23716,0,23716,18983,18983,0,0,0
1974:Q4,23901,0,0,0,23901,23901,0,0,0,0,0,0,0,43602,23901,0,0,0,0,0,0,0,23901,0,23901,19701,19701,0,0,0
1975:Q1,31889,0,0,0,31889,31889,0,0,0,0,0,0,0,56286,31889,0,0,0,0,0,0,0,31889,0,31889,24397,24397,0,0,0
1975:Q2,27782,0,0,0,27782,27782,0,0,0,0,0,0,0,55747,27782,0,0,0,0,0,0,0,27782,0,27782,27965,27965,0,0,0
1975:Q3,22991,0,0,0,22991,22991,0,0,0,0,0,0,0,44696,22991,0,0,0,0,0,0,0,22991,0,22991,21705,21705,0,0,0
1975:Q4,21087,0,0,0,21087,21087,0,0,0,0,0,0,0,45328,21087,0,0,0,0,0,0,0,21087,0,21087,24241,24241,0,0,0
1976:Q1,21519,0,0,0,21519,21519,0,0,0,0,0,0,0,51063,21519,0,0,0,0,0,0,0,21519,310,21209,29544,29544,0,0,0
1976:Q2,22080,0,0,0,22080,22080,0,0,0,0,0,0,0,51711,22080,0,0,0,0,0,0,0,22080,178,21902,29631,29631,0,0,0
1976:Q3,19624,0,0,0,19624,19624,0,0,0,0,0,0,0,52539,19624,0,0,0,0,0,0,0,19624,198,19426,32915,32915,0,0,0
1976:Q4,18079,0,0,0,18079,18079,0,0,0,0,0,0,0,52722,18079,0,0,0,0,0,0,0,18079,610,17469,34643,34643,0,0,0
1977:Q1,25277,0,0,0,25277,25277,0,0,0,0,0,0,0,58151,25277,0,0,0,0,0,0,0,25277,931,24346,32874,32874,0,0,0
1977:Q2,29707,0,0,0,29707,29707,0,0,0,0,0,0,0,65953,29707,0,0,0,0,0,0,0,29707,540,29167,36246,36246,0,0,0
1977:Q3,30128,0,0,0,30128,30128,0,0,0,0,0,0,0,65688,30128,0,0,0,0,0,0,0,30128,443,29685,35560,35560,0,0,0
1977:Q4,33118,0,0,0,33118,33118,0,0,0,0,0,0,0,69281,33118,0,0,0,0,0,0,0,33118,491,32627,36163,36163,0,0,0
1978:Q1,33634,0,0,0,33634,33634,0,0,0,0,0,0,0,68635,33634,0,0,0,0,0,0,0,33634,561,33073,35001,35001,0,0,0
1978:Q2,40556,0,0,0,40556,40556,0,0,0,0,0,0,0,79262,40556,0,0,0,0,0,0,0,40556,360,40196,38706,38706,0,0,0
1978:Q3,39954,0,0,0,39954,39954,0,0,0,0,0,0,0,82499,39954,0,0,0,0,0,0,0,39954,517,39437,42545,42545,0,0,0
1978:Q4,48620,0,0,0,48620,48620,0,0,0,0,0,0,0,87232,48620,0,0,0,0,0,0,0,48620,1016,47604,38612,38612,0,0,0
1979:Q1,52918,0,0,0,52918,52918,0,0,0,0,0,0,0,96315,52918,0,0,0,0,0,0,0,52918,555,52363,43397,43397,0,0,0
1979:Q2,56046,0,0,0,56046,56046,0,0,0,0,0,0,0,104892,56046,0,0,0,0,0,0,0,56046,604,55442,48846,48846,0,0,0
1979:Q3,59657,0,0,0,59657,59657,0,0,0,0,0,0,0,113181,59657,0,0,0,0,0,0,0,59657,777,58880,53524,53524,0,0,0
1979:Q4,58384,0,0,0,58384,58384,0,0,0,0,0,0,0,108974,58384,0,0,0,0,0,0,0,58384,1146,57238,50590,50590,0,0,0
1980:Q1,62627,0,0,0,62627,62627,0,0,0,0,0,0,0,104428,62627,0,0,0,0,0,0,0,62627,720,61907,41801,41801,0,0,0
1980:Q2,67344,0,0,0,54645,54645,0,0,0,0,0,12699,0,122008,67344,12699,12699,0,0,0,0,0,54645,773,53872,54664,54664,0,0,0
1980:Q3,66193,0,0,0,52775,52775,0,0,0,0,0,13418,0,126563,66193,13418,13418,0,0,0,0,0,52775,1793,50982,60370,60370,0,0,0
1980:Q4,67660,0,0,0,55137,55137,0,0,0,0,0,12523,0,127333,67660,12523,12523,0,0,0,0,0,55137,1130,54007,59673,59673,0,0,0
1981:Q1,65275,0,0,0,51187,51187,0,0,0,0,0,14088,0,127493,65275,14088,14088,0,0,0,0,0,51187,797,50390,62218,62218,0,0,0
1981:Q2,66552,0,0,0,52185,52185,0,0,0,0,0,14367,0,131264,66552,14367,14367,0,0,0,0,0,52185,1040,51145,64712,64712,0,0,0
1981:Q3,70780,0,0,0,53511,53511,0,0,0,0,0,17269,0,126197,70780,17269,17269,0,0,0,0,0,53511,576,52935,55417,55417,0,0,0
1981:Q4,67037,0,0,0,50224,50224,0,0,0,0,0,16813,0,129095,67037,16813,16813,0,0,0,0,0,50224,2084,48140,62058,62058,0,0,0
1982:Q1,73864,0,0,0,55936,55936,0,0,0,0,0,17928,0,131360,73864,17928,17928,0,0,0,0,0,55936,1977,53959,57496,57496,0,0,0
1982:Q2,85241,0,0,0,65183,65183,0,0,0,0,0,20058,0,139791,85241,20058,20058,0,0,0,0,0,65183,3068,62115,54550,54550,0,0,0
1982:Q3,81643,0,0,0,59288,59288,0,0,0,0,0,22355,0,147794,81643,22355,22355,0,0,0,0,0,59288,3684,55604,66151,66151,0,0,0
1982:Q4,84649,0,0,0,61893,61893,0,0,0,0,0,22756,0,160331,84649,22756,22756,0,0,0,0,0,61893,2280,59613,75682,75682,0,0,0
1983:Q1,96729,0,0,0,74868,74868,0,0,0,0,0,21861,0,179339,96729,21861,21697,164,0,0,0,0,74868,4003,70865,82610,82610,0,0,0
1983:Q2,96552,0,0,0,73698,73698,0,0,0,0,0,22854,0,184988,96552,22854,22488,366,0,0,0,0,73698,3331,70367,88436,88436,0,0,0
1983:Q3,95693,0,0,0,73029,73029,0,0,0,0,0,22664,0,180171,95693,22664,22146,518,0,0,0,0,73029,2416,70613,84478,84478,0,0,0
1983:Q4,109233,0,0,0,83284,83284,0,0,0,0,0,25949,0,203143,109233,25949,25676,273,0,0,0,0,83284,5195,78089,93910,93910,0,0,0
1984:Q1,108185,0,0,0,81557,81557,0,0,0,0,0,26628,0,209552,108185,26628,25556,1072,0,0,0,0,81557,5752,75805,101367,101367,0,0,0
1984:Q2,120799,0,0,0,100121,100121,0,0,0,0,0,20678,0,213559,120799,20678,19715,963,0,0,0,0,100121,3325,96796,92760,92760,0,0,0
1984:Q3,120116,0,0,0,92290,92290,0,0,0,0,0,27826,0,226398,120116,27826,26721,1105,0,0,0,0,92290,5232,87058,106282,106282,0,0,0
1984:Q4,117210,0,0,0,90098,90098,0,0,0,0,0,27112,0,227822,117210,27112,26123,989,0,0,0,0,90098,5381,84717,110612,110612,0,0,0
