1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,1534,-173,0,0,1020,320,173,11,151,365,518,115,403,0,91,4,0,4,0,0,0,70,1521,1520,0,0,0,1003,341,0,109,67,1,0,1,0
1962:Q2,1580,-6,0,0,664,8,-28,-6,-15,705,660,147,513,0,187,5,0,10,0,0,0,60,1478,1477,0,0,0,957,329,0,-66,257,1,0,1,0
1962:Q3,1651,76,0,0,785,122,52,27,49,535,680,129,551,0,39,5,0,7,0,0,0,59,1494,1493,0,0,0,879,338,0,42,234,1,0,1,0
1962:Q4,1999,168,0,0,321,-296,-161,-37,-47,862,1342,110,1232,1,91,3,0,4,0,0,0,69,1602,1597,0,0,-4,803,367,0,-31,462,5,0,5,0
1963:Q1,1550,-227,0,0,849,252,-148,-5,3,747,739,114,625,0,107,5,0,0,0,0,0,77,1521,1520,0,0,0,924,391,0,173,32,1,0,1,0
1963:Q2,1552,16,0,0,478,-112,-276,18,-90,938,910,124,786,0,63,5,0,-5,0,0,0,85,1570,1570,0,0,0,989,411,0,-161,331,0,0,0,0
1963:Q3,1900,104,0,0,655,132,95,3,-63,488,988,95,893,0,64,5,0,-3,0,0,0,87,1658,1658,0,0,0,1062,429,0,-9,176,0,0,0,0
1963:Q4,2029,116,0,0,379,-239,-28,18,-24,652,1426,88,1338,0,17,5,0,3,0,0,0,83,1738,1743,0,0,5,1131,444,0,-9,172,-5,0,-5,0
1964:Q1,1753,-172,0,0,695,126,-25,-18,-9,621,1033,122,911,1,97,4,0,16,0,0,0,79,1733,1733,0,0,0,1056,464,0,104,109,0,0,0,0
1964:Q2,1768,-15,0,0,412,-209,-73,15,-41,720,1168,134,1034,0,96,5,0,27,0,0,0,75,1774,1773,0,0,0,1063,486,0,-64,288,1,0,1,0
1964:Q3,1996,35,0,0,569,76,125,3,20,345,1153,118,1035,0,132,6,0,24,0,0,0,77,1819,1818,0,0,0,1083,498,0,82,155,1,0,1,0
1964:Q4,2366,174,0,0,204,-125,-246,-10,-48,633,1739,111,1628,0,134,5,0,20,0,0,0,90,1828,1834,0,0,7,1110,502,0,-4,219,-6,0,-6,0
1965:Q1,2032,-202,0,0,755,226,45,7,-28,505,1294,129,1165,0,70,6,0,9,0,0,0,100,1936,1935,0,0,0,1067,587,0,14,267,1,0,1,0
1965:Q2,1853,-7,0,0,426,105,-281,15,-72,659,1180,150,1030,1,131,4,0,6,0,0,0,112,2024,2025,0,0,0,1199,504,0,-83,405,-1,0,-1,0
1965:Q3,2320,17,0,0,770,162,-60,28,-79,719,1208,142,1066,0,209,6,0,-6,0,0,0,116,2024,2025,0,0,0,1239,477,0,51,258,-1,0,-1,0
1965:Q4,2576,207,0,0,238,-448,-179,-12,-65,942,1717,117,1600,-2,290,8,0,-1,0,0,0,119,1936,1937,0,0,-1,1186,507,0,-2,247,-1,0,-1,0
1966:Q1,2234,-430,0,0,1260,-7,52,24,9,1182,1402,183,1219,0,39,6,0,4,0,0,0,-47,1658,1659,0,0,0,1144,521,0,104,-110,-1,0,-1,0
1966:Q2,1773,24,0,0,121,-67,-250,41,-173,570,1589,312,1277,1,44,5,0,9,0,0,0,-20,2115,2114,0,0,1,1113,521,0,-99,578,1,0,1,0
1966:Q3,1992,62,0,0,334,79,-69,9,-46,361,1540,484,1056,0,56,6,0,20,0,0,0,-26,2295,2293,0,0,0,1131,525,0,29,608,2,0,2,0
1966:Q4,2625,388,0,0,326,82,69,-5,-60,240,1504,460,1044,0,95,6,0,1,0,0,0,305,1913,1905,0,0,-6,1197,533,0,26,155,8,0,8,0
1967:Q1,2702,-239,0,0,935,173,-66,1,-43,870,1139,279,860,0,149,8,0,-4,0,0,0,714,1922,1921,0,0,1,1241,316,0,211,152,1,0,1,0
1967:Q2,2103,76,0,0,779,312,-165,5,-60,687,931,274,657,1,261,8,0,10,0,0,0,37,1872,1871,0,0,0,1213,356,0,-322,624,1,0,1,0
1967:Q3,2301,47,0,0,1262,273,27,-4,-28,994,711,190,521,0,241,9,0,4,0,0,0,27,2126,2125,0,0,0,1222,374,0,31,498,1,0,1,0
1967:Q4,2210,145,0,0,561,-658,-34,-8,16,1245,1068,199,869,0,343,8,0,13,0,0,0,72,2127,2131,0,0,5,1209,450,0,-31,498,-4,0,-4,0
1968:Q1,2186,-412,0,0,1423,196,-5,36,30,1166,734,277,457,1,288,9,0,29,0,0,0,114,2130,2129,0,0,0,1200,559,0,162,208,1,0,1,0
1968:Q2,2060,61,0,0,661,-6,-231,-14,-2,914,809,361,448,0,398,9,0,-19,0,0,0,141,2096,2094,0,0,0,1192,574,0,-90,418,2,0,2,0
1968:Q3,2341,209,0,0,890,131,81,11,-4,671,831,345,486,0,241,10,0,3,0,0,0,157,1964,1963,0,0,1,1197,383,0,76,306,1,0,1,0
1968:Q4,2830,248,0,0,658,-275,-72,31,25,949,1332,264,1068,0,384,9,0,33,0,0,0,166,2503,2507,0,0,6,1213,785,0,14,489,-4,0,-4,0
1969:Q1,2496,-335,0,0,1321,328,-117,23,36,1051,826,419,407,0,388,10,0,77,0,0,0,209,2269,2267,0,0,0,1226,667,0,163,211,2,0,2,0
1969:Q2,1827,-130,0,0,166,-156,-210,28,-6,510,1112,636,476,1,349,10,0,106,0,0,0,213,2365,2363,0,0,1,1233,767,0,-170,532,2,0,2,0
1969:Q3,2464,62,0,0,629,321,-41,37,0,312,1331,821,510,0,170,10,0,100,0,0,0,162,2391,2388,0,0,0,1247,779,0,87,275,3,0,3,0
1969:Q4,2660,355,0,0,241,346,36,8,-3,-146,1302,643,659,-1,417,12,0,98,0,0,0,236,2601,2590,0,0,-8,1266,907,0,-25,450,11,0,11,0
1970:Q1,2865,-157,0,0,889,350,-44,58,14,511,1365,719,646,1,472,10,0,88,0,0,0,197,2302,2300,0,0,1,1272,653,0,186,188,2,0,2,0
1970:Q2,2162,-96,0,0,279,-60,-66,-3,-6,414,1201,647,554,0,291,11,0,282,0,0,0,194,2280,2278,0,0,0,1263,651,0,-198,562,2,0,2,0
1970:Q3,2510,49,0,0,1256,864,133,43,43,173,867,512,355,1,132,10,0,2,0,0,0,193,2411,2410,0,0,1,1305,719,0,99,286,1,0,1,0
1970:Q4,2360,328,0,0,-43,-377,-105,44,34,361,1154,361,793,-1,728,13,0,-11,0,0,0,192,2695,2694,0,0,1,1394,860,0,38,401,1,0,1,0
1971:Q1,3528,-209,0,0,2001,876,-38,7,8,1148,390,232,158,1,1227,11,0,-104,0,0,0,211,2966,2965,0,0,1,1482,1050,0,125,307,1,0,1,0
1971:Q2,2626,-67,0,0,1397,661,-282,0,25,993,211,235,-24,0,919,12,0,-71,0,0,0,225,3197,3194,0,0,0,1566,1187,0,-133,574,3,0,3,0
1971:Q3,3330,25,0,0,1749,399,29,74,27,1220,523,281,242,1,876,12,0,-79,0,0,0,223,3309,3307,0,0,1,1611,1225,0,80,390,2,0,2,0
1971:Q4,3218,256,0,0,870,-1308,77,14,-3,2090,998,253,745,-1,977,14,0,-105,0,0,0,209,3226,3237,0,0,14,1621,1158,0,-99,543,-11,0,-11,0
1972:Q1,3520,-599,0,0,2712,1182,162,89,-12,1291,104,202,-98,1,1147,12,0,-90,0,0,0,233,3363,3361,0,0,1,1639,1083,0,144,494,2,0,2,0
1972:Q2,3044,164,0,0,1314,-388,-268,-17,0,1987,261,255,6,0,1136,13,0,-88,0,0,0,244,3450,3448,0,0,0,1667,994,0,-201,988,2,0,2,0
1972:Q3,4100,94,0,0,2793,1235,153,51,11,1343,433,249,184,1,600,13,0,-78,0,0,0,244,3487,3485,0,0,0,1693,1055,0,96,641,2,0,2,0
1972:Q4,3746,559,0,0,477,-1818,-48,-15,5,2353,1592,232,1360,-4,927,18,0,-54,0,0,0,231,3362,3376,0,0,16,1723,1258,0,-24,403,-14,0,-14,0
1973:Q1,4572,-457,0,0,3423,2256,-3,29,-35,1176,499,281,218,1,828,14,0,42,0,0,0,222,3869,3868,0,0,1,1761,1229,0,182,695,1,0,1,0
1973:Q2,3594,-23,0,0,1006,-758,-252,51,42,1923,1245,429,816,0,1057,15,0,81,0,0,0,213,3729,3722,0,0,1,1807,1355,0,-207,766,7,0,7,0
1973:Q3,4307,-66,0,0,1292,-379,-106,94,22,1661,2089,884,1205,1,739,14,0,27,0,0,0,211,3790,3784,0,0,2,1817,1499,0,87,379,6,0,6,0
1973:Q4,4372,635,0,0,-57,-1096,-22,-25,16,1070,2784,602,2182,-1,684,16,0,98,0,0,0,213,3934,3946,0,0,20,1787,1662,0,-26,503,-12,0,-12,0
1974:Q1,4727,-577,0,0,3157,1410,152,48,73,1474,1255,444,811,0,515,16,0,70,0,0,0,291,3695,3689,0,0,2,1749,1316,0,177,445,6,0,6,0
1974:Q2,3416,-42,0,0,719,-532,-247,5,92,1401,1707,662,1045,1,587,15,0,102,0,0,0,327,3801,3853,0,0,-14,1705,1543,0,-215,834,-52,0,-52,0
1974:Q3,3845,51,0,0,829,-8,-22,52,41,766,2072,870,1202,0,327,17,0,199,0,0,0,350,3911,3964,0,0,-13,1728,1609,0,76,564,-53,0,-53,0
1974:Q4,4549,496,0,0,685,196,45,76,49,319,2494,687,1807,1,518,16,0,-20,0,0,0,359,4090,4121,0,0,-35,1822,1515,0,-50,869,-31,0,-31,0
1975:Q1,5094,-385,0,0,3110,612,213,45,29,2211,1476,464,1012,1,562,16,0,-78,0,0,0,392,4727,4696,0,0,8,1903,2084,0,155,546,31,0,31,0
1975:Q2,4124,-67,0,0,1974,86,127,69,87,1605,1103,382,721,0,731,18,0,-80,0,0,0,445,4563,4532,0,0,8,1970,1860,0,-233,927,31,0,31,0
1975:Q3,5352,-252,0,0,3967,1626,109,103,382,1747,755,391,364,1,381,17,0,59,0,0,0,424,4895,4864,0,0,8,2020,2056,0,55,725,31,0,31,0
1975:Q4,5831,630,0,0,3311,-1581,915,137,343,3497,1205,368,837,1,377,17,0,-42,0,0,0,332,5713,5683,0,0,8,2051,2663,0,-67,1028,30,0,30,0
1976:Q1,6811,-629,155,0,5398,434,336,223,506,3899,555,296,259,1,1019,18,0,-64,0,0,0,358,6307,6264,0,0,12,2087,3220,0,193,752,43,0,43,0
1976:Q2,5914,125,-66,0,4274,806,-116,6,182,3396,652,373,279,0,602,20,0,-20,0,0,0,327,7010,6966,0,0,11,2126,3756,0,-203,1276,44,0,44,0
1976:Q3,7235,-339,10,0,5652,211,463,442,210,4326,854,358,496,1,709,19,0,1,0,0,0,328,7277,7233,0,0,11,2168,4006,0,128,920,44,0,44,0
1976:Q4,8172,616,206,0,4547,-1040,-51,228,188,5222,1693,340,1353,-12,744,32,0,-11,0,0,0,357,7127,7061,0,0,-11,2215,3969,0,15,873,66,0,66,0
1977:Q1,7464,-741,185,0,6241,1500,174,229,118,4220,703,414,289,1,451,20,0,43,0,0,0,561,7317,7273,0,0,11,2248,3878,0,78,1058,44,0,44,0
1977:Q2,7514,163,-161,0,5194,261,-205,138,93,4907,1551,461,1090,1,199,20,0,-25,0,0,0,572,7546,7528,0,0,5,2265,4047,0,104,1107,18,0,18,0
1977:Q3,7895,113,-5,0,5358,942,382,355,225,3454,1668,432,1236,0,150,22,0,21,0,0,0,568,7942,7923,0,0,4,2336,4320,0,111,1152,19,0,19,0
1977:Q4,8404,651,72,0,3674,-3031,-404,962,21,6126,3094,415,2679,-1,337,23,0,14,0,0,0,540,8408,8366,0,0,-19,2461,4577,0,97,1250,42,0,42,0
1978:Q1,8949,-760,85,0,7609,2888,-240,603,-49,4407,1524,451,1073,2,-24,32,0,27,0,0,0,454,8474,8456,0,0,5,2603,4599,0,92,1157,18,0,18,0
1978:Q2,8136,162,-52,0,4934,-322,-151,290,-59,5176,2549,609,1940,1,65,34,0,-33,0,0,0,476,8883,8834,0,0,13,2762,4808,0,97,1154,49,0,49,0
1978:Q3,10085,-107,142,0,6481,1565,189,936,130,3661,2941,634,2307,1,119,35,0,-23,0,0,0,496,9008,8958,0,0,12,2797,4888,0,84,1177,50,0,50,0
1978:Q4,8340,679,340,0,2064,-2678,-291,712,329,3992,4894,896,3998,-2,-304,40,0,61,0,0,0,568,8900,8827,0,0,-10,2706,4838,0,56,1237,73,0,73,0
1979:Q1,9465,-988,-112,0,6808,1731,535,578,-312,4276,3179,1019,2160,1,-123,37,0,22,0,0,0,641,8807,8758,0,0,13,2650,4781,0,33,1281,49,0,49,0
1979:Q2,9469,343,166,0,4710,961,-153,867,-1,3036,3617,974,2643,2,-166,38,0,44,0,0,0,715,8872,8744,0,0,34,2630,4712,0,15,1353,128,0,128,0
1979:Q3,9925,-370,248,0,4689,1085,-54,1035,151,2472,4061,922,3139,1,499,40,0,29,0,0,0,728,8883,8754,0,0,33,2594,4812,0,-7,1322,129,0,129,0
1979:Q4,8518,1253,360,0,-171,-2169,-262,358,188,1714,6077,1764,4313,-2,221,45,0,51,0,0,0,684,8845,8700,0,0,17,2539,5081,0,-38,1101,145,0,145,0
1980:Q1,10886,-1032,-63,0,4584,-655,29,489,34,4687,6043,2070,3973,2,537,42,0,131,0,0,0,642,8800,8671,0,0,33,2490,5245,0,76,827,129,0,129,0
1980:Q2,8206,670,112,0,1938,894,218,-131,-124,1081,5651,2482,3169,2,-788,44,0,-21,0,0,0,598,8612,8411,0,0,53,2444,5299,0,129,486,201,0,201,0
1980:Q3,10035,-537,692,0,5471,2782,203,564,128,1794,3327,829,2498,1,449,46,0,-31,0,0,0,617,8817,8710,0,0,27,2399,5615,0,125,544,107,0,107,0
1980:Q4,8564,1447,109,0,1820,-836,500,841,235,1080,4224,1205,3019,-3,190,52,0,28,0,0,0,697,9560,9457,0,0,-37,2350,6190,0,66,888,103,0,103,0
1981:Q1,12023,-878,597,0,7314,2653,1368,1112,131,2050,3636,1800,1836,2,473,49,0,98,0,0,0,732,11606,11575,0,0,7,2324,7685,0,6,1553,31,0,31,0
1981:Q2,11001,219,1233,0,5322,1293,-254,1411,124,2748,3470,1728,1742,2,-71,50,0,69,0,0,0,707,10409,10304,0,0,28,2315,6005,0,-51,2007,105,0,105,0
1981:Q3,12897,573,1098,0,5624,3190,240,655,88,1451,3480,2103,1377,3,1006,51,0,222,0,0,0,840,13126,13038,0,0,23,2230,8712,0,-57,2130,88,0,88,0
1981:Q4,9903,604,1322,0,2314,286,975,-29,107,975,3375,1664,1711,0,959,56,0,142,0,0,0,1131,11435,11026,0,0,49,2068,7110,0,-12,1811,409,0,409,0
1982:Q1,12277,-2367,513,0,9427,1520,2904,864,350,3789,2390,1307,1083,-2,444,53,0,377,0,0,0,1442,11748,11639,0,0,3,1882,7880,0,33,1841,109,0,109,0
