1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q2,950734,5770,-81789,55385,39612,0,8509,416055,9518,253810,20841,1300,130586,65121,ND,50654,178274,178530,0,0,0,30587,4026,0,4026,1019984,524674,35551,159332,0,107949,29231,78718,ND,189755,87051,102704,22588,0,0,7626,1873,1873,0,0,0,495310,64259,416008,15043,0,0
1986:Q3,982207,5945,-87488,55583,40125,0,9841,435451,8051,264227,22325,1350,139498,76486,ND,52440,172779,185614,0,0,0,31388,4043,0,4043,1049639,541754,37003,168938,0,112437,32908,79529,ND,190850,87637,103213,22789,0,0,8817,920,920,0,0,0,507885,72043,420084,15758,0,0
1986:Q4,1055463,5993,-90415,59554,40819,0,10867,458734,8038,269388,24989,1400,154919,77617,ND,58297,183172,214669,0,0,0,31447,4709,0,4709,1179488,552653,37447,179874,0,109768,23407,86361,ND,190410,87596,102814,24235,0,0,9992,927,927,0,0,0,626835,72399,538513,15923,0,0
1987:Q1,1141368,6299,-76390,57597,40830,0,11704,475847,7225,278755,25700,1450,162717,75597,ND,65011,228339,220728,0,0,0,31224,4582,0,4582,1211880,559771,37743,180965,0,110025,23278,86747,ND,192514,89280,103234,25506,0,0,11938,1080,1080,0,0,0,652109,91583,544414,16112,0,0
1987:Q2,1175468,6262,-86057,59587,40145,0,10776,492669,9609,287408,26723,1500,167429,79717,ND,67548,242944,227275,0,0,0,30573,4029,0,4029,1220590,552863,34071,181371,0,107936,21587,86349,ND,190161,84907,105254,25725,0,0,12678,921,921,0,0,0,667727,99680,551653,16394,0,0
1987:Q3,1243756,6270,-66520,58588,40462,0,12804,498561,10624,285414,28163,1550,172810,82427,ND,79600,259413,236221,0,0,0,31154,4776,0,4776,1239496,555865,33995,182604,0,114390,26610,87780,ND,184312,82646,101666,26033,0,0,13606,925,925,0,0,0,683631,107277,559553,16801,0,0
1987:Q4,1194126,6951,-59064,62015,42250,0,13111,508450,9021,296301,28322,1600,173206,78072,ND,75680,189006,240520,0,0,0,31546,5589,0,5589,1300462,596778,34722,213270,0,120585,26245,94340,ND,189862,88377,101485,26958,0,0,10600,781,781,0,0,0,703684,94700,591850,17134,0,0
1988:Q1,1252793,6797,-66615,61529,42136,0,12003,544406,10363,329942,28464,1650,173987,92107,ND,72770,199740,251602,0,0,0,31281,5037,0,5037,1318563,596557,32123,211387,0,125656,27544,98112,ND,185684,85474,100210,29011,0,0,12023,673,673,0,0,0,722006,110010,594583,17413,0,0
1988:Q2,1312740,6421,-57589,64482,43846,0,11934,560684,8116,341268,31114,1700,178486,94175,ND,75421,211473,263092,0,0,0,31390,7411,0,7411,1324558,602201,29965,220222,0,127019,29037,97982,ND,185450,84494,100956,28436,0,0,10459,650,650,0,0,0,722357,105733,598913,17711,0,0
1988:Q3,1337088,6322,-68449,63815,43789,0,13653,569872,11037,340942,32575,1750,183568,101961,ND,80159,211836,272415,0,0,0,32322,9393,0,9393,1346861,612641,36726,224302,0,130721,31432,99289,ND,178782,81097,97685,28302,0,0,13218,590,590,0,0,0,734220,108506,607678,18036,0,0
1988:Q4,1405604,6593,-60937,65592,43372,0,13038,588669,11838,353839,34193,1800,186999,99979,ND,87242,213813,304288,0,0,0,33644,10311,0,10311,1491968,661962,36745,228720,0,176524,49943,126581,ND,175355,80767,94588,31724,0,0,12165,729,729,0,0,0,830006,128662,682896,18448,0,0
1989:Q1,1460694,6334,-80942,66575,44814,0,14402,614923,13715,368034,38227,1850,193097,113775,ND,102377,226810,307405,0,0,0,34620,9601,0,9601,1531044,685924,39139,242447,0,182279,54395,127884,ND,170070,80048,90022,36492,0,0,14771,726,726,0,0,0,845120,133621,692790,18709,0,0
1989:Q2,1511882,6107,-76780,67208,46938,0,17229,612042,14404,360797,40040,1900,194901,121201,ND,107401,247993,318124,0,0,0,35194,9225,0,9225,1551389,693348,49785,245142,0,182312,52733,129579,ND,163451,74847,88604,36659,0,0,15326,673,673,0,0,0,858041,137833,701242,18966,0,0
