1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,186022,133816,133816,0,50807,2420,2420,0,0,0,0,0,0,0,2650,0,0,0,0,0,91,91,0,2238,2238,0,43408,43408,0,1399,186022,168575,0,0,0,0,378,2,3134,2395,2042,0,63,3197,2120,0,640,0,3476,184623,0,0,0,ND
1953:Q3,181485,129274,129274,0,50921,2557,2557,0,0,0,0,0,0,0,2725,0,0,0,0,0,95,95,0,2254,2254,0,43290,43290,0,1290,181485,163841,0,0,0,0,399,3,3133,2413,2169,0,68,3170,2180,0,679,0,3430,180195,0,0,0,ND
1953:Q4,196403,144082,144082,0,50992,2723,2723,0,0,0,0,0,0,0,2800,0,0,0,0,0,106,106,0,2157,2157,0,43206,43206,0,1329,196403,177571,0,0,0,0,432,3,3344,2573,2392,0,75,3521,2240,0,602,0,3650,195074,0,0,0,ND
1954:Q1,208840,156255,156255,0,51146,2543,2543,0,0,0,0,0,0,0,2873,0,0,0,0,0,97,97,0,2044,2044,0,43589,43589,0,1439,208840,188597,0,0,0,0,467,3,3637,2773,2605,0,82,3843,2298,0,539,0,3996,207401,0,0,0,ND
1954:Q2,225418,172550,172550,0,51314,2698,2698,0,0,0,0,0,0,0,2943,0,0,0,0,0,89,89,0,2057,2057,0,43527,43527,0,1554,225418,203774,0,0,0,0,497,4,3897,2920,2685,0,84,4218,2354,0,632,0,4353,223864,0,0,0,ND
1954:Q3,245245,191985,191985,0,51552,2885,2885,0,0,0,0,0,0,0,3016,0,0,0,0,0,82,82,0,2382,2382,0,43187,43187,0,1708,245245,221809,0,0,0,0,531,5,4216,3093,2821,0,89,4749,2413,0,715,0,4804,243537,0,0,0,ND
1954:Q4,248357,194840,194840,0,51649,2600,2600,0,0,0,0,0,0,0,3100,0,0,0,0,0,90,90,0,2741,2741,0,43118,43118,0,1868,248357,222894,0,0,0,0,572,5,4539,3268,3154,0,99,5361,2480,0,731,0,5254,246489,0,0,0,ND
1955:Q1,255684,202122,202122,0,51628,2504,2504,0,0,0,0,0,0,0,3192,0,0,0,0,0,100,100,0,2790,2790,0,43042,43042,0,1934,255684,229229,0,0,0,0,612,5,4609,3261,3551,0,113,5753,2554,0,590,0,5407,253750,0,0,0,ND
1955:Q2,279570,225533,225533,0,51869,2439,2439,0,0,0,0,0,0,0,3294,0,0,0,0,0,95,95,0,2737,2737,0,43304,43304,0,2168,279570,249979,0,0,0,0,691,6,5030,3499,4519,0,148,6366,2635,0,716,0,5981,277402,0,0,0,ND
1955:Q3,295380,240995,240995,0,52052,2553,2553,0,0,0,0,0,0,0,3399,0,0,0,0,0,100,100,0,2828,2828,0,43172,43172,0,2333,295380,264068,0,0,0,0,762,6,5275,3606,5446,0,180,6358,2719,0,611,0,6349,293047,0,0,0,ND
1955:Q4,298673,244222,244222,0,52012,2333,2333,0,0,0,0,0,0,0,3500,0,0,0,0,0,116,116,0,2924,2924,0,43139,43139,0,2439,298673,265346,0,0,0,0,808,6,5408,3633,6085,0,200,6927,2800,0,885,0,6575,296234,0,0,0,ND
1956:Q1,317228,262345,262345,0,52241,2089,2089,0,0,0,0,0,0,0,3598,0,0,0,0,0,111,111,0,2797,2797,0,43646,43646,0,2642,317228,281568,0,0,0,0,855,6,5767,3800,6817,0,217,7504,2878,0,742,0,7074,314586,0,0,0,ND
1956:Q2,307689,252704,252704,0,52394,2191,2191,0,0,0,0,0,0,0,3693,0,0,0,0,0,115,115,0,2860,2860,0,43535,43535,0,2591,307689,272443,0,0,0,0,836,6,5577,3591,6739,0,201,7688,2954,0,755,0,6899,305098,0,0,0,ND
1956:Q3,301922,246833,246833,0,52524,2201,2201,0,0,0,0,0,0,0,3791,0,0,0,0,0,121,121,0,2999,2999,0,43412,43412,0,2565,301922,267405,0,0,0,0,822,6,5470,3453,6712,0,189,7361,3033,0,666,0,6805,299357,0,0,0,ND
1956:Q4,323618,268373,268373,0,52620,2210,2210,0,0,0,0,0,0,0,3900,0,0,0,0,0,128,128,0,3013,3013,0,43369,43369,0,2625,323618,287754,0,0,0,0,837,6,5599,3503,7065,0,200,7887,3120,0,686,0,6961,320993,0,0,0,ND
1957:Q1,309276,254023,254023,0,52767,2211,2211,0,0,0,0,0,0,0,4016,0,0,0,0,0,125,125,0,2940,2940,0,43475,43475,0,2486,309276,274211,0,0,0,0,833,7,5372,3378,7014,0,215,7891,3213,0,521,0,6621,306790,0,0,0,ND
1957:Q2,328675,273076,273076,0,52954,2333,2333,0,0,0,0,0,0,0,4139,0,0,0,0,0,122,122,0,2643,2643,0,43717,43717,0,2645,328675,290571,0,0,0,0,891,7,5879,3773,7948,0,277,8370,3311,0,536,0,7112,326030,0,0,0,ND
1957:Q3,300970,245392,245392,0,53190,2665,2665,0,0,0,0,0,0,0,4267,0,0,0,0,0,134,134,0,2824,2824,0,43300,43300,0,2388,300970,264952,0,0,0,0,877,8,5456,3570,7638,0,294,7716,3414,0,561,0,6484,298582,0,0,0,ND
1957:Q4,301375,245747,245747,0,53395,2797,2797,0,0,0,0,0,0,0,4400,0,0,0,0,0,139,139,0,2898,2898,0,43161,43161,0,2233,301375,266362,0,0,0,0,872,9,5159,3391,7489,0,300,7411,3520,0,771,0,6091,299142,0,0,0,ND
1958:Q1,317251,261319,261319,0,53612,2993,2993,0,0,0,0,0,0,0,4539,0,0,0,0,0,158,158,0,2835,2835,0,43087,43087,0,2320,317251,280533,0,0,0,0,909,9,5342,3479,8060,0,320,8012,3631,0,628,0,6328,314931,0,0,0,ND
1958:Q2,334908,278565,278565,0,53829,2908,2908,0,0,0,0,0,0,0,4686,0,0,0,0,0,143,143,0,4856,4856,0,41236,41236,0,2514,334908,294974,0,0,0,0,969,9,5703,3626,8981,0,340,8949,3749,0,768,0,6840,332394,0,0,0,ND
1958:Q3,367416,310541,310541,0,54089,2825,2825,0,0,0,0,0,0,0,4835,0,0,0,0,0,160,160,0,5052,5052,0,41217,41217,0,2786,367416,323831,0,0,0,0,1039,10,6184,3831,10184,0,365,10142,3868,0,425,0,7537,364630,0,0,0,ND
1958:Q4,382051,324670,324670,0,54286,2805,2805,0,0,0,0,0,0,0,4980,0,0,0,0,0,216,216,0,4953,4953,0,41332,41332,0,3095,382051,333702,0,0,0,0,1099,10,6721,4109,11561,0,400,11672,3984,0,488,0,8305,378956,0,0,0,ND
1959:Q1,389733,332012,332012,0,54528,2609,2609,0,0,0,0,0,0,0,5119,0,0,0,0,0,245,245,0,5330,5330,0,41225,41225,0,3193,389733,339992,0,0,0,0,1102,10,6763,4133,12137,0,415,12455,4044,0,207,0,8475,386540,0,0,0,ND
1959:Q2,404640,346451,346451,0,54738,2493,2493,0,0,0,0,0,0,0,5248,0,0,0,0,0,265,265,0,5617,5617,0,41115,41115,0,3451,404640,351618,0,0,0,0,1110,11,7092,4375,13278,0,453,13260,4146,0,258,0,9039,401189,0,0,0,ND
1959:Q3,398247,339875,339875,0,54920,2609,2609,0,0,0,0,0,0,0,5385,0,0,0,0,0,315,315,0,6223,6223,0,40388,40388,0,3452,398247,345702,0,0,0,0,1068,11,6890,4309,13422,0,460,12861,4254,0,364,0,8906,394795,0,0,0,ND
1959:Q4,420820,362157,362157,0,54974,2293,2293,0,0,0,0,0,0,0,5546,0,0,0,0,0,432,432,0,6438,6438,0,40265,40265,0,3689,420820,364772,0,0,0,0,1070,11,7204,4561,14525,0,500,13867,4381,0,566,0,9363,417131,0,0,0,ND
1960:Q1,397831,339310,339310,0,54977,2547,2547,0,0,0,0,0,0,0,5548,0,0,0,0,0,468,468,0,6079,6079,0,40335,40335,0,3544,397831,344367,0,0,0,0,1013,12,6808,4368,14128,0,491,13284,4283,0,266,0,8811,394287,0,0,0,ND
1960:Q2,406755,347588,347588,0,55414,2594,2594,0,0,0,0,0,0,0,5908,0,0,0,0,0,511,511,0,6135,6135,0,40266,40266,0,3753,406755,350355,0,0,0,0,1021,13,7119,4642,15118,0,532,13989,4586,0,299,0,9081,403002,0,0,0,ND
1960:Q3,380195,321285,321285,0,55330,2691,2691,0,0,0,0,0,0,0,5841,0,0,0,0,0,586,586,0,5795,5795,0,40417,40417,0,3580,380195,326084,0,0,0,0,990,14,6734,4456,14603,0,521,13425,4468,0,440,0,8460,376615,0,0,0,ND
1960:Q4,425058,365166,365166,0,55908,2672,2672,0,0,0,0,0,0,0,6364,0,0,0,0,0,738,738,0,7022,7022,0,39112,39112,0,3984,425058,364813,0,0,0,0,1040,15,7456,4981,16545,0,600,14806,4964,0,536,0,9302,421074,0,0,0,ND
1961:Q1,471012,410353,410353,0,56180,2682,2682,0,0,0,0,0,0,0,6481,0,0,0,0,0,755,755,0,6796,6796,0,39466,39466,0,4479,471012,403502,0,0,0,0,1103,15,8384,5621,19082,0,704,17109,5013,0,11,0,10468,466533,0,0,0,ND
1961:Q2,472076,411555,411555,0,56081,2826,2826,0,0,0,0,0,0,0,6298,0,0,0,0,0,712,712,0,6727,6727,0,39518,39518,0,4440,472076,403359,0,0,0,0,1108,16,8368,5593,19596,0,735,17764,4849,0,152,0,10536,467636,0,0,0,ND
1961:Q3,484215,423621,423621,0,56070,3150,3150,0,0,0,0,0,0,0,6178,0,0,0,0,0,812,812,0,6798,6798,0,39132,39132,0,4524,484215,412972,0,0,0,0,1133,16,8588,5729,20660,0,792,18591,4757,0,77,0,10900,479691,0,0,0,ND
1961:Q4,521094,437674,437674,0,78518,3694,3694,0,0,0,0,0,0,0,6083,0,0,0,0,0,1058,1058,0,8423,8423,0,59260,59260,0,4902,521094,443622,0,0,0,0,1195,16,9309,6258,22856,0,900,20252,4684,0,194,0,11808,516192,0,0,0,ND
1962:Q1,510450,427931,427931,0,77641,4014,4014,0,0,0,0,0,0,0,6073,0,0,0,0,0,1090,1090,0,7832,7832,0,58632,58632,0,4878,510450,433425,0,0,0,0,1207,16,9197,6290,22866,0,931,20312,4639,0,19,0,11548,505572,0,0,0,ND
1962:Q2,390218,326582,326582,0,59789,2820,2820,0,0,0,0,0,0,0,5098,0,0,0,0,0,792,792,0,6206,6206,0,44873,44873,0,3847,390218,329923,0,0,0,0,1098,17,7145,5017,17845,0,753,15824,3706,0,97,0,8793,386371,0,0,0,ND
1962:Q3,412673,345363,345363,0,63125,2750,2750,0,5579,5579,0,0,0,0,5280,0,6,0,0,0,1064,1064,0,5731,5731,0,42715,42715,0,4185,412673,348575,0,0,0,0,1161,17,7673,5520,19251,0,845,16215,3917,0,232,0,9267,408488,0,0,0,ND
1962:Q4,503823,424314,424314,0,74795,3357,3357,0,6599,6599,0,0,0,0,5739,0,5,0,0,0,1220,1220,0,8041,8041,0,49834,49834,0,4714,503823,431479,0,0,0,0,1251,16,8620,6280,21885,0,1000,18339,4362,0,255,0,10336,499109,0,0,0,ND
1963:Q1,532830,447981,447981,0,79906,3619,3619,0,6809,6809,0,60,60,0,6144,0,5,0,0,0,1121,1121,0,8548,8548,0,53600,53600,0,4943,532830,444237,11691,0,0,0,1309,17,9092,6642,23509,0,1122,19587,4645,0,29,0,10950,527887,0,0,0,ND
1963:Q2,558992,469026,469026,0,84913,4030,4030,0,6703,6703,0,76,76,0,6556,0,6,0,0,0,1082,1082,0,9438,9438,0,57022,57022,0,5053,558992,465592,12026,0,0,0,1358,17,9417,6843,24949,0,1249,20917,4942,0,156,0,11526,553939,0,0,0,ND
1963:Q3,582272,487677,487677,0,89501,4406,4406,0,6845,6845,0,80,80,0,6947,0,7,0,0,0,1013,1013,0,10281,10281,0,59922,59922,0,5094,582272,485481,12268,0,0,0,1400,17,9665,6960,26270,0,1375,21491,5210,0,104,0,12031,577178,0,0,0,ND
1963:Q4,558475,465779,465779,0,87551,4302,4302,0,6620,6620,0,85,85,0,7290,0,7,0,0,0,971,971,0,9895,9895,0,58381,58381,0,5145,558475,457587,12666,0,0,0,1442,17,9959,7118,27670,0,1500,22085,5467,0,479,0,12485,553330,0,0,0,ND
1964:Q1,593215,495027,495027,0,92888,4101,4101,0,6916,6916,0,81,81,0,7528,0,8,0,0,0,926,926,0,10914,10914,0,62414,62414,0,5300,593215,486613,13226,0,0,0,1494,17,10499,7433,29690,0,1657,23697,5571,0,181,0,13137,587915,0,0,0,ND
1964:Q2,612252,511094,511094,0,95826,4287,4287,0,7338,7338,0,92,92,0,7703,0,8,0,0,0,830,830,0,11379,11379,0,64189,64189,0,5332,612252,501922,13568,0,0,0,1525,18,10866,7581,31136,0,1782,24256,5700,0,430,0,13468,606920,0,0,0,ND
1964:Q3,633228,528953,528953,0,98923,4385,4385,0,7673,7673,0,78,78,0,7822,0,10,0,0,0,964,964,0,11599,11599,0,66392,66392,0,5352,633228,518877,13866,0,0,0,1556,19,11227,7747,32638,0,1906,25693,5788,0,145,0,13766,627876,0,0,0,ND
1964:Q4,647246,545955,545955,0,96021,4136,4136,0,7574,7574,0,77,77,0,7890,0,14,0,0,0,812,812,0,11289,11289,0,64229,64229,0,5270,647246,530699,13844,0,0,0,1584,20,11351,7834,33705,0,2000,25638,5839,0,897,0,13835,641976,0,0,0,ND
1965:Q1,663263,559834,559834,0,98249,4110,4110,0,7140,7140,0,69,69,0,7894,0,14,0,0,0,826,826,0,19546,19546,0,58650,58650,0,5180,663263,544164,14085,0,0,0,1625,24,11435,7985,34953,0,2094,26533,5763,0,688,0,13914,658083,0,0,0,ND
1965:Q2,637854,539451,539451,0,93594,4314,4314,0,8030,8030,0,68,68,0,7521,0,10,0,0,0,706,706,0,18328,18328,0,54617,54617,0,4809,637854,521171,13763,0,0,0,1636,27,10887,7778,34570,0,2074,26183,5409,0,1077,0,13279,633045,0,0,0,ND
1965:Q3,693718,587928,587928,0,100749,4874,4874,0,8655,8655,0,70,70,0,7719,0,10,0,0,0,717,717,0,19950,19950,0,58754,58754,0,5041,693718,566815,14731,0,0,0,1754,28,11702,8597,38608,0,2326,28565,5635,0,661,0,14296,688677,0,0,0,ND
1965:Q4,734923,623812,623812,0,106063,5165,5165,0,9950,9950,0,80,80,0,7633,0,13,0,0,0,746,746,0,19840,19840,0,62636,62636,0,5048,734923,601439,15148,0,0,0,1809,30,12000,9006,40754,0,2500,30863,5572,0,1203,0,14599,729875,0,0,0,ND
1966:Q1,714419,606267,606267,0,103306,4902,4902,0,9372,9372,0,121,121,0,7548,0,13,0,0,0,797,797,0,18350,18350,0,62203,62203,0,4846,714419,581368,15646,0,0,0,1795,33,11770,8977,40765,0,2580,31372,5435,0,651,0,14027,709573,0,0,0,ND
1966:Q2,685683,581050,581050,0,100041,4501,4501,0,9485,9485,0,98,98,0,7437,0,16,0,0,0,1059,1059,0,18206,18206,0,59239,59239,0,4592,685683,555687,15829,0,0,0,1744,36,11386,8799,39868,0,2633,30268,5355,0,1155,0,12923,681091,0,0,0,ND
1966:Q3,615709,523227,523227,0,88360,3560,3560,0,9222,9222,0,75,75,0,6742,0,13,0,0,0,856,856,0,15681,15681,0,52211,52211,0,4122,615709,497826,15179,0,0,0,1646,38,10386,8109,36711,0,2527,26480,4686,0,666,0,11455,611587,0,0,0,ND
1966:Q4,660424,547891,547891,0,108209,5215,5215,0,11647,11647,0,79,79,0,7300,0,13,0,0,0,927,927,0,19948,19948,0,63080,63080,0,4324,660424,531716,16847,0,0,0,1701,41,11000,8692,39468,0,2800,28943,5256,0,1317,0,12643,656100,0,0,0,ND
1967:Q1,747328,625556,625556,0,116897,5009,5009,0,11423,11423,0,116,116,0,8000,0,16,0,0,0,1096,1096,0,20383,20383,0,70854,70854,0,4875,747328,599333,18608,0,0,0,1845,44,12432,9935,45497,0,3292,33712,5883,0,745,0,16002,742453,0,0,0,ND
1967:Q2,759549,641312,641312,0,113318,4503,4503,0,11083,11083,0,217,217,0,7819,0,34,0,0,0,1105,1105,0,18984,18984,0,69573,69573,0,4919,759549,605033,18388,0,0,0,1907,46,12486,10051,46820,0,3420,35265,5696,0,1281,0,19156,754630,0,0,0,ND
1967:Q3,809759,678588,678588,0,125944,5388,5388,0,11390,11390,0,185,185,0,7891,0,30,0,0,0,1206,1206,0,20901,20901,0,78953,78953,0,5227,809759,641200,19289,0,0,0,2021,49,13138,10671,50519,0,3740,38329,5748,0,1467,0,23588,804532,0,0,0,ND
1967:Q4,835107,712221,712221,0,117648,5190,5190,0,8068,8068,0,231,231,0,7549,0,37,0,0,0,1299,1299,0,19714,19714,0,75560,75560,0,5238,835107,663676,18911,0,0,0,2041,52,13000,10687,51104,0,3900,39176,5360,0,1689,0,25511,829869,0,0,0,ND
1968:Q1,776014,652734,652734,0,118342,5793,5793,0,7960,7960,0,175,175,0,7232,0,47,0,0,0,1143,1143,0,21251,21251,0,74741,74741,0,4938,776014,614634,18496,0,0,0,1967,55,12059,10053,48280,0,3847,35655,4961,0,1376,0,24631,771076,0,0,0,ND
1968:Q2,884503,731114,731114,0,147639,6701,6701,0,10666,10666,0,181,181,0,8274,0,44,0,0,0,1535,1535,0,24449,24449,0,95789,95789,0,5750,884503,697727,21318,0,0,0,2083,59,13773,11713,55974,0,4696,42054,5875,0,1019,0,28212,878753,0,0,0,ND
1968:Q3,901429,728536,728536,0,166789,6859,6859,0,4384,4384,0,180,180,0,8598,0,38,0,0,0,1504,1504,0,25699,25699,0,119527,119527,0,6104,901429,705275,22906,0,0,0,2096,62,14263,12385,58869,0,5232,44089,6076,0,1293,0,28883,895325,0,0,0,ND
