1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,452696,449034,0,449034,1229,1229,518,518,1915,102,355,246,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,461894,458149,0,458149,1291,1291,524,524,1930,103,362,238,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,466969,463182,0,463182,1291,1291,536,536,1960,104,371,238,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,471890,468067,0,468067,1291,1291,541,541,1991,107,391,233,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,475777,471930,0,471930,1291,1291,544,544,2012,107,407,228,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,488910,485039,0,485039,1291,1291,551,551,2029,111,413,228,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,491720,487742,0,487742,1291,1291,560,560,2127,118,426,280,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,505796,501720,0,501720,1291,1291,562,562,2223,126,440,318,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,511861,507724,0,507724,1301,1301,566,566,2270,131,457,322,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,522588,518534,0,518534,1191,1191,570,570,2293,136,466,322,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,526937,522810,0,522810,1224,1224,578,578,2325,138,478,322,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,532502,528320,0,528320,1266,1266,585,585,2331,140,502,297,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,537937,533653,0,533653,1343,1343,589,589,2352,147,511,300,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q4,547552,543199,0,543199,1384,1384,598,598,2371,153,523,300,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,560722,556274,0,556274,1422,1422,612,612,2414,161,534,302,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
