1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q3,383,237,9994,100,0,118,579,-2,-2,0,0,0,0,19500,-10890,0,-10890,-10000,-890,0,0,0,0,0,0,0,0,0,590,0,590,9133,7961,5739,-1970,579,920,30,890,0,-9,-32,-83,-217,3340,0,3340,273,1172,0,1172,-716
2007:Q4,1399,243,36477,148,0,42,703,48434,48434,0,0,0,0,1750,-39021,0,-39021,-39178,157,0,0,0,0,0,0,0,0,0,24421,24000,421,36473,35297,-2221,13515,18101,10504,-77,10581,0,1572,1226,-17,4816,8296,0,8296,-2394,1176,0,1176,1153
2008:Q1,-369,157,-18885,182,0,-2,-536,62656,62656,0,0,0,0,29500,-149377,0,-149377,-134856,-14521,0,0,0,39743,0,39743,0,0,0,-1051,-3000,1950,-22208,-23307,3463,-9567,-16307,-10496,72,-10568,0,-1658,-3,2,-4152,116,0,116,-1012,1099,0,1099,-3848
2008:Q2,-1808,158,19001,144,0,-2,-83,62897,62897,0,0,0,0,38500,-112393,0,-112393,-71245,-41148,0,0,0,-9460,0,-38288,0,28828,0,39398,41000,-1602,19478,19153,9331,280,10398,-626,-52,-574,0,49,-1,113,10863,-279,0,-279,-577,325,0,325,-1489
2008:Q3,3110,158,590443,251,0,-2,-316,125868,25831,100037,0,0,0,-31500,12286,0,-2214,-3317,1103,14500,0,14500,259522,0,198279,0,61243,0,224335,226263,-1929,589873,589435,182787,2275,368813,327492,-9,28010,299491,31821,-21,-95,9616,34115,0,34115,1445,438,0,438,2383
2008:Q4,2049,151,729249,57,0,-1,-540,259638,343990,-84352,0,0,0,-3000,4502,0,-706,0,-706,5208,0,5208,200606,0,-154250,0,354856,0,267988,265465,2523,730071,729307,575689,9740,135351,32958,-11,73135,-40166,57140,2099,1249,41905,10415,0,10415,-1888,764,0,764,2720
2009:Q1,1156,183,-151980,110,0,3587,-1581,-18885,-7652,-11233,0,0,0,-80000,283723,0,16402,0,16402,267321,236636,30685,-101648,4692,-25075,0,-81265,0,-237286,-243811,6526,-154803,-156285,-32096,-7420,-99652,-98312,51,-38972,-59391,-22890,539,-226,21237,-17762,0,-17762,645,1482,0,1482,-1850
2009:Q2,1733,178,-82948,66,0,166,244,-212299,-217688,5389,0,0,0,0,436165,0,164143,0,164143,272022,225789,46233,-134829,20420,-15339,0,-139910,0,-172461,-195332,22872,-83371,-85059,-144243,837,54190,48846,8,48833,5,-1334,895,610,5173,2079,0,2079,2078,1688,0,1688,1133
2009:Q3,-954,176,143339,194,3000,137,296,-121279,-111490,-9789,0,0,0,0,377184,0,112694,0,112694,264490,229940,34550,-70014,17597,-5043,0,-82568,0,-46179,-57829,11651,141512,140840,219876,-397,-74479,-42679,-25,-7660,-34994,-36446,29,154,4463,-3756,0,-3756,-404,672,0,672,-2957
2009:Q4,-2668,179,87054,-34,0,127,438,-110614,-110562,-52,0,0,0,0,252137,0,7428,0,7428,244709,216006,28703,-41088,4823,-27,0,-45884,25106,-39018,-46484,7466,87613,86891,117378,4177,-37251,-81690,-54,78308,-159944,30785,2866,507,10281,8819,0,8819,-6232,722,0,722,-2287
2010:Q1,-288,143,71836,93,0,54,472,-85095,-85095,0,0,0,0,0,169552,0,117,0,117,169435,160326,9109,-5406,-311,0,0,-5095,310,-8144,-10272,2129,71489,70874,91412,-3120,3539,24849,-16,-95113,119978,-30324,296,-742,9460,-19966,0,-19966,-991,615,0,615,-778
2010:Q2,760,144,24849,41,0,460,-323,-10850,-10850,0,0,0,0,0,45488,0,284,0,284,45204,49430,-4226,-9975,-4744,0,0,-5231,317,-309,1245,-1554,21247,20882,-87760,1985,97678,71092,10,-3904,74986,15427,3056,-454,8557,9457,0,9457,-478,365,0,365,-2986
2010:Q3,-3779,148,-36480,66,0,208,374,-377,-377,0,0,0,0,0,-15565,0,34680,0,34680,-50245,-39588,-10657,-21453,-12778,0,0,-8675,324,-57,-1184,1127,-37261,-37327,-26644,-3239,-1470,20274,4,20273,-3,-35654,-205,1258,12857,-3413,0,-3413,-2561,66,0,66,-4708
2010:Q4,-5186,151,125256,56,0,129,153,-75,-75,0,0,0,0,0,116781,0,209824,0,209824,-93043,-86398,-6645,-7941,-4996,0,0,-2945,328,15826,14,15812,129093,129255,34678,2174,66531,32827,-60,32885,2,8297,-1285,865,25827,-4107,0,-4107,29979,-162,0,-162,-1500
2011:Q1,-4587,117,203517,-446,0,248,41,-163,-163,0,0,0,0,0,249002,0,318953,0,318953,-69951,-54986,-14965,-28937,-5495,0,0,-23442,-26385,10157,-75,10232,203734,203965,430308,589,-200876,-224502,32,-29570,-194964,5296,-435,-3211,21976,2468,0,2468,-28524,-231,0,-231,-4486
2011:Q2,20,121,234646,67,0,163,463,62,62,0,0,0,0,0,234999,0,279092,0,279092,-44093,-28302,-15791,-13856,-6453,0,0,-7403,0,12748,0,12748,234434,234241,177959,2116,50395,18865,-62,18927,0,8097,1674,237,21522,8138,0,8138,-4367,193,0,193,-313
2011:Q3,1837,126,-14981,84,0,129,148,-10,-10,0,0,0,0,0,-1284,0,45122,0,45122,-46406,-37970,-8436,-12929,-1452,0,0,-11477,0,-1119,500,-1619,-14523,-14042,11326,-4819,-44933,-78869,-23,-73846,-5000,27759,-9518,2265,13430,13814,0,13814,10570,-481,0,-481,2169
2011:Q4,2477,130,70391,-54,0,116,138,86,86,0,0,0,0,0,-38688,0,-1214,0,-1214,-37474,-33200,-4274,-11845,-2290,0,0,-9555,0,120638,99323,21315,69490,68596,-41239,10193,81248,29457,4,29453,0,25836,382,-2490,28063,15777,0,15777,2617,894,0,894,1446
2012:Q1,-5836,163,-59870,73,0,191,-89,-190,-190,0,0,0,0,0,6332,0,13530,-1,13531,-7198,637,-7835,-11528,-1957,0,0,-9571,0,-54659,-53341,-1318,-60018,-60336,-252,-7525,-51778,-42235,22,-42257,0,-39817,-14,2,30286,-3229,0,-3229,2448,318,0,318,-6147
2012:Q2,-4222,167,-1748,39,0,128,11,71,71,0,0,0,0,0,30307,0,14938,0,14938,15369,20653,-5284,-14436,-2530,0,0,-11906,0,-17868,-18513,645,-1869,-1994,-39570,209,52167,47906,-33,47939,0,-10315,-11,1453,13134,-11193,0,-11193,-3607,125,0,125,-4510
2012:Q3,-4641,166,-45269,60,0,118,102,49,49,0,0,0,0,0,-26679,0,133,-18422,18555,-26812,-18456,-8356,-3059,-3059,0,0,0,0,-15860,-15418,-442,-45307,-45334,-65910,-311,6843,-5968,5,-5973,0,-8016,-18,4044,16801,7265,0,7265,6779,27,0,27,-4845
2012:Q4,-2805,169,117423,33,0,116,121,-56,-56,0,0,0,0,0,122665,0,30310,0,30310,92355,99229,-6874,-911,-911,0,0,0,0,-4545,-3662,-883,117413,117422,36013,14719,52818,7302,28,7274,0,19236,-549,803,26026,14445,0,14445,-573,-9,0,-9,-2983
