1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,2020,1952,12,4,12,20,20,0,-144,8,12,8,8,4,16,0,0,-88,2100,16
1955:Q3,1472,1396,12,8,12,20,24,0,-176,4,16,4,4,4,16,0,0,-128,1532,-44
1955:Q4,-1532,-1624,16,16,12,24,24,0,816,16,16,-4,4,0,24,0,0,872,-1592,760
1956:Q1,2252,2176,12,8,8,20,28,0,220,4,16,8,4,4,16,0,0,272,2344,372
1956:Q2,2684,2600,16,12,12,20,24,0,320,8,8,4,4,0,12,0,0,356,2792,444
1956:Q3,3312,3220,16,12,12,24,28,0,336,4,8,0,4,4,8,0,0,364,3444,440
1956:Q4,-744,-844,24,8,12,28,28,0,-340,12,20,12,8,8,28,0,0,-252,-776,-328
1957:Q1,2440,2352,12,8,12,24,32,0,140,0,12,4,0,0,16,0,0,172,2540,216
1957:Q2,4888,4792,20,12,12,24,28,0,184,4,0,4,4,0,12,0,0,208,5084,260
1957:Q3,1812,1708,20,12,12,28,32,0,32,4,4,0,4,0,12,0,0,56,1884,72
1957:Q4,248,132,20,8,16,36,36,0,20,4,20,24,20,-4,-28,0,0,56,260,72
1958:Q1,1316,1236,12,12,8,24,24,0,272,4,0,4,4,0,0,0,0,284,1368,360
1958:Q2,2496,2404,12,8,16,24,32,0,300,8,4,0,0,0,0,0,0,312,2596,392
1958:Q3,1508,1412,12,12,12,28,32,0,284,4,4,0,0,0,0,0,0,292,1568,368
1958:Q4,-776,-872,12,8,16,32,28,0,-548,12,-4,-20,-20,-4,8,0,0,-576,-808,-728
1959:Q1,2160,2060,12,12,16,24,36,0,400,8,4,0,0,0,-4,0,0,408,2248,516
1959:Q2,3068,2960,16,12,12,32,36,0,488,8,8,4,4,4,4,0,0,520,3192,656
1959:Q3,2024,1920,12,12,16,32,32,0,368,8,8,4,0,4,8,0,0,400,2104,504
1959:Q4,-1976,-2084,16,12,12,32,36,0,-652,16,24,4,4,0,28,0,0,-576,-2056,-724
1960:Q1,2204,2092,16,8,16,32,40,0,300,0,12,0,4,4,12,0,0,332,2296,416
1960:Q2,1060,952,12,8,16,36,36,0,172,4,16,8,4,4,24,0,0,232,1116,292
1960:Q3,1628,1516,12,12,16,32,40,0,208,4,16,8,8,8,28,0,0,280,1684,364
1960:Q4,6412,6284,16,16,16,40,40,0,88,4,16,-8,-4,12,52,0,0,160,6664,188
1961:Q1,2868,2740,16,12,16,40,44,0,240,8,16,8,4,4,20,0,0,300,2984,380
