1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q4,171279,123450,124136,137865,138722,20063,118659,-295,-562,-13729,66183,-20,-500,2576,0,56,14548,1968,11544,36,1000,0,3197,2580,617,84,244,4600,152,-76,21431,19891,79912,73479,17404,-548,132,17820,28304,3084,-1424,26644,36,19268,3888,4579,6433,9184,916,-3667,-686
1972:Q1,177228,127361,78291,148374,145790,22036,123754,3227,-643,-70083,51780,748,4216,10524,0,5952,-1840,4712,-7200,-352,1000,0,-346,2632,-2978,-472,-2192,-13928,40,-40,24254,24864,121863,109930,16736,5048,160,11528,49104,15400,6020,27684,-184,29576,2064,12634,11934,9036,-724,3622,49070
1972:Q2,180408,130269,122642,160689,149326,22674,126652,11998,-635,-38047,48940,820,836,3936,0,2184,-244,6644,-7828,-60,1000,0,4442,2688,1754,248,-2192,4980,144,60,10022,23704,86987,81994,19164,2844,668,15652,53644,11988,1528,40128,200,9968,5456,-6438,4993,13688,772,-9467,7627
1972:Q3,190076,135516,121923,166036,152339,23022,129317,13715,-18,-44113,61439,776,7928,-3932,0,-4032,1056,676,-1288,668,1000,0,4846,2848,1998,308,-2260,8688,28,60,21082,26891,105552,95261,9996,-3004,692,12308,56440,16664,3640,36136,316,26520,1668,321,10291,10416,1196,-1321,13593
1972:Q4,209899,139662,191993,170557,160457,24066,136391,7491,2609,21436,147981,1408,-2480,5396,0,2340,9464,-192,8412,244,1000,0,5238,3604,1634,276,-2412,5520,196,-84,52846,70273,126545,127699,9108,-2004,672,10440,76332,22676,9076,44580,208,31092,6360,4599,-1154,10956,1784,-13894,-52331
1973:Q1,221281,145239,114802,183222,167831,24364,143467,10550,4841,-68420,94244,2200,-1372,16396,0,15304,-5908,-3548,-3604,244,1000,0,-3954,2488,-6442,-2472,16052,-61144,116,392,42878,75756,162664,162235,2560,-5008,1284,6284,104688,58032,17244,29412,796,40660,4952,8579,429,6908,3088,-9567,30437
1973:Q2,228338,144397,117026,193126,174163,23122,151041,18206,757,-76100,92330,1132,776,10804,0,-676,2456,3960,-4640,636,2500,0,6470,3848,2622,420,15008,9468,260,344,35154,10714,168430,154314,15948,1060,2140,12748,92676,34188,8968,49520,976,44932,7136,-7354,14116,8572,3740,1804,27371
1973:Q3,229765,150239,110863,192498,178337,22502,155835,9761,4400,-81635,78347,-1104,4200,-824,0,12624,-10808,364,-11284,1612,-1500,0,2742,3544,-802,284,15608,7436,224,-184,42814,5335,159982,134940,12708,-40,1956,10792,88772,32728,13976,42068,412,26828,2516,3704,25042,5256,1592,18194,39376
1973:Q4,245532,152723,165725,206853,180639,21713,158926,24993,1221,-41128,133673,2400,4148,-992,0,7044,3008,1788,2264,1504,-2548,0,2886,1460,1426,436,14040,9460,120,388,51906,38829,174801,138306,20000,9644,1804,8552,53028,18020,5408,29600,-128,53232,6516,5658,36495,10572,292,25631,-13002
1974:Q1,241583,152216,107034,198320,182462,20855,161607,12519,3339,-91286,72643,1600,368,10760,0,4840,3008,5696,-5992,1180,2124,0,5064,1716,3348,-172,28164,-4468,96,212,44924,-21753,163929,172641,19064,2192,1644,15228,80620,40968,11816,27836,1520,40112,8368,22957,-8711,6204,5860,-20775,45182
1974:Q2,240362,152934,136163,217329,186406,20085,166321,17416,13507,-81166,82525,-800,1616,3432,0,-9704,2160,-1060,2156,1108,-44,0,2264,392,1872,288,25772,5780,440,344,57704,-6771,163691,185421,26428,3164,1696,21568,90640,46056,9580,35004,452,45976,12076,9849,-21730,4832,1740,-28302,16771
1974:Q3,253497,147693,200719,195311,190390,19126,171264,5578,-657,5408,135347,-1600,9996,828,0,-5664,10920,6884,2004,1892,140,0,-1168,740,-1908,648,19044,15732,208,872,21676,63855,129939,158891,27380,9396,1324,16660,67604,32472,16484,18648,1332,27856,11192,23527,-28951,-128,5148,-33971,-53026
1974:Q4,239830,154595,139640,215088,189882,15935,173947,20446,4760,-75448,-3948,0,-7008,6628,0,-12580,12176,4984,7456,-508,244,0,-264,-16,-248,468,20548,13412,216,-188,17536,-54892,71500,93695,29424,1772,1928,25724,44624,13564,15052,16008,696,4060,4032,10859,-22195,5156,2152,-29503,14955
1975:Q1,219832,167616,137711,174133,183843,13964,169879,-10028,318,-36422,5455,76,28964,-2440,0,1980,6468,5612,-1492,788,1560,0,-4403,-6688,2285,592,-8800,14196,168,-384,9855,-40817,41877,48695,42760,4104,1720,36936,-1984,-19568,3560,14024,92,-13812,-11388,33027,-6818,7796,344,-14958,29905
1975:Q2,230319,181430,123019,169564,183364,13353,170011,-13954,154,-46545,21063,-1724,6988,9136,0,-2636,13964,4940,6532,-1776,4268,0,-4851,-3648,-1203,608,-10048,13968,136,-308,8423,-12593,67608,68979,26012,-9528,3244,32296,6652,-22272,6688,22236,632,-2680,144,38219,-1371,12916,2424,-16711,58411
1975:Q3,262873,196123,127920,185833,187419,13384,174035,-1388,-198,-57913,35904,84,5248,9612,0,76,-648,2800,4344,-284,-7508,0,-6651,-4144,-2507,176,-8852,4344,140,504,38439,-6568,93817,98134,16144,-180,2404,13920,17564,-9256,10140,16680,-12,48020,2768,13650,-4317,6772,-68,-11021,68203
1975:Q4,272365,205307,149323,192227,192222,13641,178581,348,-343,-42904,29922,3448,3124,-428,0,1504,19024,1784,20412,-880,-2292,0,1021,-2488,3509,612,-9520,16788,664,-108,36579,-42786,72826,66081,19556,-5984,3032,22508,10984,-7436,6276,12144,1084,12044,3808,18605,6746,12180,4212,-9646,55984
1976:Q1,289083,212501,191027,214439,199332,14849,184483,14693,414,-23412,115144,2240,12840,3732,0,7672,18996,2868,19880,-704,-3048,0,4490,-224,4714,568,-5052,13480,252,-268,29086,27108,138556,143697,29400,2680,1228,25492,35124,-10716,22872,22968,1124,8124,7208,62717,-5140,12656,4324,-22120,21474
1976:Q2,291477,212398,199538,230082,205049,15564,189485,22448,2585,-30544,117280,464,2704,6452,0,-7112,4180,2128,4728,-236,-2440,0,-1006,28,-1034,296,-5124,6024,248,40,43110,67004,147824,143940,24744,2832,2008,19904,43852,4340,12432,27080,736,31556,8980,34072,3884,14028,2820,-12964,12860
1976:Q3,296117,215508,144286,236699,211952,15557,196395,20807,3940,-92413,86405,-2356,7312,-1772,0,2528,-3084,2136,-7216,-44,2040,0,-2622,608,-3230,444,-5172,11120,152,136,27010,52709,178818,178413,21816,-4380,3492,22704,54612,7960,17916,28736,664,35028,4920,61373,404,7344,2544,-9484,71222
1976:Q4,296729,217284,141220,232359,220852,17495,203357,10518,989,-91139,24703,2920,3712,15808,0,-2008,14508,1428,12704,-600,976,0,9086,1132,7954,856,-5280,7908,536,-36,30006,-53313,115842,115866,30456,4600,3212,22644,50960,5248,18696,27016,772,12532,5616,15530,-24,8192,1324,-9540,76064
1977:Q1,311647,225181,193300,247772,233458,18213,215245,14822,-508,-54472,110566,1832,-4260,-1468,124,968,2384,-824,4020,-316,-496,0,1104,3256,-2152,236,13000,5196,324,172,45356,45598,165038,193002,27120,732,4884,21504,80208,27804,23076,29328,640,48996,-1580,37618,-27964,-628,2444,-29780,31881
1977:Q2,325817,242858,216042,265535,245488,20752,224736,19469,578,-49493,86324,3388,10184,7500,172,588,-19228,-1244,-18724,-428,1168,0,6676,3560,3116,540,13272,12380,220,-372,35548,15456,135817,142066,24396,1116,8604,14676,82956,20736,18112,44108,672,33708,-1252,1586,-6248,1736,2604,-10588,26816
1977:Q3,333784,257464,212394,288934,254944,21626,233318,30884,3106,-76540,134767,680,8932,5380,224,1276,-740,-1368,-832,-1228,2688,0,3444,4256,-812,328,12748,8368,80,-144,42524,51667,211307,206284,31532,560,6536,24436,76708,18492,14304,43912,728,32356,5128,59832,5023,4428,2780,-2185,45070
1977:Q4,349110,254147,214609,292204,267024,22404,244620,24121,1059,-77595,170364,3088,10872,25828,280,-208,-3492,-1048,-840,1188,-2792,0,6212,4856,1356,292,12560,10872,540,-172,68904,34788,247959,232825,41420,4148,6656,30616,96484,21384,25364,49736,848,26804,7424,59845,15134,5420,1584,8130,39538
1978:Q1,345919,258299,227964,298846,273883,23575,250308,25453,-490,-70882,163357,5644,-12416,648,220,1044,-3732,3280,-4972,900,-2940,0,6531,3788,2743,624,-424,16536,344,-100,31145,117293,234239,251527,22044,-696,5300,17440,119136,55216,26884,37036,1040,29396,2964,76947,-17288,-6440,4004,-14852,30335
1978:Q2,385697,277071,215847,327376,300356,26140,274216,24257,2763,-111529,98581,1412,12800,3872,52,-416,596,-1408,-3016,1844,3176,0,7035,4036,2999,544,-452,12388,480,-432,83581,-22879,210110,219838,33916,-236,8544,25608,106884,30948,24856,51080,1744,52748,2448,22098,-9728,2780,6724,-19232,61224
1978:Q3,391211,286103,236457,339990,316518,28213,288305,24966,-1494,-103533,138681,-3972,12844,-592,324,-936,-5348,-676,-4544,-2316,2188,0,3723,4620,-897,-980,-488,8656,400,-328,77253,48125,242214,246896,30776,1356,8716,20704,93176,18388,26016,48772,2012,38208,5176,77548,-4681,832,7728,-13241,49646
1978:Q4,405820,297768,261100,361972,333437,30432,303005,28487,48,-100872,221680,7440,25056,20556,1044,1884,7484,-708,9676,-24,-1460,0,6807,5260,1547,764,-456,16252,368,156,75685,58640,322552,330125,38528,10340,8096,20092,105676,34988,27836,42852,1536,57140,13416,113829,-7573,2408,4092,-14073,36668
1979:Q1,415687,298949,258860,374547,348600,32203,316397,23852,2095,-115687,205881,16828,5404,-2708,1672,3700,-1432,-2720,-2172,2364,1096,0,11147,6608,4539,1760,1936,18772,272,168,68217,80145,321568,333152,29500,2808,9300,17392,118940,51436,26552,40952,1012,49568,11440,122692,-11584,-6680,3900,-8804,40089
1979:Q2,416728,306583,287035,384350,357155,34082,323073,27401,-206,-97315,148110,-5004,-3500,-2332,2212,-1940,12716,964,12548,264,-1060,0,10755,6420,4335,2080,1960,25460,532,412,77421,27338,245425,291231,37948,7448,9260,21240,142236,44784,35492,61960,2272,70532,5524,32719,-45806,-12408,8756,-42154,19548
1979:Q3,417128,312989,271516,389141,374750,35505,339245,12131,2260,-117625,238928,-5984,7500,20388,2660,-1056,-24860,-3076,-15876,-3440,-2468,0,3835,5916,-2081,2968,2084,25236,380,380,97009,108388,356553,386195,37220,11524,10576,15120,132052,51324,21544,59184,2300,84404,10776,119443,-29642,-7524,8840,-30958,41473
1979:Q4,408736,317297,256460,394737,380797,35055,345742,8553,5387,-138277,170806,1212,26364,16568,3016,1724,1460,5128,-2408,-3080,1820,0,3615,5508,-1893,3348,2056,17956,904,440,63393,28750,309083,341981,40484,14296,10812,15376,101148,38616,33860,28672,2840,50764,11360,135385,-32898,-4580,8440,-36758,60837
1980:Q1,408231,311439,201171,400905,388852,32853,355999,9899,2154,-199734,156038,-3624,6560,-5592,3028,-3128,18632,2440,2632,532,13028,0,4865,7560,-2695,3840,6840,17220,624,864,67207,38702,355772,395394,45336,13028,8476,23832,115588,38008,33100,44480,2160,37852,12476,181982,-39622,5472,8300,-53394,110268
1980:Q2,361284,309063,231386,380646,374135,27590,346545,7750,-1239,-149260,17748,-2440,11088,-6084,2700,2756,-17532,-280,-18048,144,652,0,9977,8404,1573,3904,7656,7452,536,132,-9841,7444,167008,202605,68952,12528,11508,44916,19432,-30172,17324,32280,4164,-13584,-1144,124785,-35597,3536,16044,-55177,77677
1980:Q3,395045,319937,263692,352560,385014,29109,355905,-33855,1401,-88868,288836,424,8420,6232,3828,1680,10380,-1320,15096,-1160,-2236,0,12713,10596,2117,4420,8408,13180,384,-4,45227,173544,377704,408665,20772,-19248,10876,29144,87584,39116,9004,39464,3012,47080,1192,249025,-30961,10168,11544,-52673,56245
1980:Q4,423260,340208,209593,406632,403759,32703,371056,-9118,11991,-197039,168902,4104,-16400,35724,6416,1776,7876,-2656,256,2104,8172,0,12785,12300,485,5504,9100,24476,1140,100,105547,-29246,365941,354303,34988,9564,12596,12828,137620,72708,19588,45324,2708,68004,9120,101863,11638,22536,8684,-19582,130615
1981:Q1,433763,359188,319590,461117,423050,33383,389667,38755,-688,-141527,551704,-1248,-6856,25804,9776,-1712,-21972,-1000,-3760,152,-17364,0,20185,15112,5073,3908,6884,4620,440,260,112779,398836,693231,683641,36988,524,12132,24332,104904,7400,46984,50520,2696,106168,-1080,433965,9590,3284,10368,-4062,39598
1981:Q2,406478,372619,340452,456800,440250,32902,407348,11713,4837,-116348,142707,108,-12636,-520,13912,-2136,16808,-1792,19404,6484,-7288,0,19917,15752,4165,3628,6640,18628,676,-120,57743,20059,259055,242091,61496,15212,15876,30408,167272,71064,36032,60176,3648,42488,-2344,-30469,16964,-5340,14068,8236,32167
1981:Q3,421864,395369,310767,510816,454283,30454,423829,43960,12573,-200049,156133,4336,-12064,-3932,13492,-5644,17576,368,11616,2444,3148,0,14801,17216,-2415,7228,5880,924,664,536,27715,84621,356182,348336,52800,22216,12540,18044,152632,61820,36312,54500,3824,6452,-2512,135140,7846,-26792,14688,19950,84602
1981:Q4,395234,402394,389778,496949,468692,27047,441645,24807,3450,-107171,100592,7564,-43104,24320,8512,1080,25884,-1308,-4504,5216,26480,0,14669,18308,-3639,9592,6204,-920,1076,348,-1013,46380,207763,198029,60440,20832,13176,26432,122220,34040,36956,51224,9364,-23312,-16400,45717,9734,-24960,29980,4714,12616
1982:Q1,366281,401462,300741,442819,461103,24660,436443,-21466,3182,-142078,152430,-9280,424,-220,4524,144,-26860,-628,-11360,-7880,-6992,0,6021,8500,-2479,4903,2852,12322,824,1424,-18321,173673,294508,348382,59112,12928,14560,31624,113108,62248,4348,46512,7001,-13236,-15616,198013,-53874,-7524,-692,-45658,100721
1982:Q2,367366,418817,332321,445677,449164,23474,425690,-4166,679,-113356,27859,4976,4324,-13080,1532,2528,-20384,1544,-13440,112,-8600,0,9597,7924,1673,-2493,2792,14321,-172,1468,17115,5335,141215,206153,31740,-1940,13296,20384,152748,81744,18320,52684,4908,22396,-7300,1661,-64938,2712,2708,-70358,86496
1982:Q3,367891,419887,374337,442898,436943,23147,413796,5798,157,-68561,174014,-12168,10060,32184,-876,3412,9784,-804,9656,-5324,6256,0,6313,6460,-147,-7457,3068,12245,372,972,15839,100266,242575,309828,37772,-11340,17208,31904,147912,65452,27196,55264,2668,32220,-264,89520,-67253,-7508,7884,-67629,45550
1982:Q4,360129,416637,389407,399805,430266,24781,405485,-39820,9359,-10398,68069,7180,41560,25124,-2720,-3480,42136,-1116,24364,3264,15624,0,7989,5276,2713,8739,3584,21233,640,588,-2737,-81767,78467,107411,30048,-24148,15508,38688,40568,6052,-17360,51876,8044,19292,12028,-2569,-28944,20072,4940,-53956,27230
1983:Q1,365274,427787,372054,389191,424533,29252,395281,-35060,-282,-17137,190965,6068,-2052,2292,-6020,3372,24752,1128,16544,-1968,9048,0,-3208,3904,-7112,-12483,7768,16243,100,736,16100,137297,208102,232621,38912,4296,9816,24800,71688,7592,6828,57268,-1328,-51956,15040,160265,-24519,22984,5432,-52935,55733
1983:Q2,393988,441563,405250,437018,430302,32760,397542,-7672,14388,-31768,214148,-140,38132,21680,-10804,2484,28072,5040,12760,3692,6580,0,13076,4796,8280,-4123,8540,14699,-88,140,69224,33256,245916,255954,35044,-20988,11532,44500,118404,7240,35672,75492,7436,16680,1112,77278,-10038,37172,4264,-51474,36313
1983:Q3,416372,452536,353361,449645,448920,36084,412836,-4204,4929,-96284,159971,6524,32668,-1092,-10264,-208,-14384,3800,-8360,-2448,-7376,0,21376,6956,14420,-283,8436,20707,152,1636,67112,27591,256255,307733,30856,4072,8292,18492,166072,41712,41716,82644,7932,15964,7448,79461,-51478,8556,4008,-64042,99175
1983:Q4,432602,469627,347723,499075,475370,37698,437672,23932,-227,-151352,171241,4868,51408,17124,-4424,-2396,53988,6992,26704,4184,16108,0,11408,8684,2724,-3251,8376,28623,148,2272,106760,-103663,322593,344411,33528,9264,8084,16180,168124,55028,20844,92252,-3228,50344,-3972,99615,-21818,11744,11716,-45278,121904
1984:Q1,484957,492491,437270,566716,491269,38599,452670,72982,2465,-129446,412152,4592,70196,-6724,1424,3516,49480,2528,32292,-6556,21216,0,12388,21640,-9252,-6700,12852,22072,28,3276,114144,131608,541598,627246,58092,15572,8000,34520,228940,95648,57072,76220,1632,65572,13616,259394,-85648,-62972,11636,-34312,55221
1984:Q2,491623,498628,488046,590580,515403,39434,475969,69321,5856,-102534,361581,3848,-13204,-3608,7236,7160,-8232,-5808,-3212,2972,-2184,0,29212,21696,7516,-7112,12368,23400,40,2840,101852,205781,464115,622090,74152,29848,8876,35428,278556,107740,40924,129892,16484,75872,-3792,180818,-157975,-104928,15700,-68747,10582
1984:Q3,474381,511330,644695,606488,531226,39448,491778,71338,3924,38207,325814,-16340,8148,-15480,7816,-7956,-21500,1360,-15108,1696,-9448,0,38864,21952,16912,-4664,13412,19404,160,1972,50636,251342,287607,426218,96708,30412,9456,56840,211652,45260,56764,109628,3244,30672,-140,84082,-138611,-71572,8836,-75875,-133365
1984:Q4,473260,521928,679115,593987,543962,40222,503740,47979,2046,85128,108101,3464,7540,36012,3160,-36,14980,-7864,9152,6416,7276,0,18844,21968,-3124,8848,13504,15652,100,3300,31332,-48599,22973,150454,139160,11028,55836,72296,204564,59476,44736,100352,3792,-14008,8680,-191734,-127481,-75940,16968,-68509,-157187
1985:Q1,478495,523314,426287,567151,551591,41170,510421,16230,-670,-140864,288844,-2864,-24132,20784,-968,16648,-48192,-1524,-25296,-4544,-16828,0,2726,12480,-9754,-3664,-5948,15552,80,4244,86058,228520,429708,552172,96960,15452,6800,74708,167006,66168,6704,94134,5684,43544,-2048,241027,-122465,-86808,15304,-50961,97027
1985:Q2,467274,532946,465986,581065,559732,42133,517599,21646,-313,-115079,159874,-2692,36908,-18624,-4580,-15424,80660,-520,50376,-2724,33528,0,17822,11760,6062,-12224,-6316,25176,-512,4708,38146,16826,274953,390428,120680,13412,18000,89268,144149,20040,11208,112901,6776,57176,-8084,69731,-115476,-69968,8932,-54440,66960
1985:Q3,483055,546447,447771,575933,555634,43521,512113,16303,3996,-128162,245807,2476,51028,13652,-1048,2276,-44652,272,-26868,124,-18180,0,30150,9720,20430,2456,-5996,9132,-452,6016,13414,167355,373969,475999,107448,8796,21600,77052,109641,49532,21384,38725,3948,2908,13336,238718,-102029,-76972,10604,-35661,98676
1985:Q4,477099,533029,538465,599682,566837,45223,521614,33119,-274,-61217,351331,14036,85188,6896,412,-5680,41908,4716,21420,1936,13836,0,12226,12456,-230,-124,-6956,20952,-364,-300,61282,121855,412548,434203,159180,20732,44000,94448,117932,37508,25452,54972,1356,63196,-2056,94595,-21655,-102528,20088,60785,-5436
1986:Q1,444747,518994,537782,592506,562808,47544,515264,30397,-699,-54724,-11327,6844,-20212,24944,3361,-100,-43408,3728,-27568,600,-20168,0,-9165,-6940,-2225,13652,19816,13952,-864,3632,-83071,59292,43397,125338,118412,-13816,-12000,144228,139893,48180,5376,86337,7052,-82152,-920,-56948,-81940,-59664,120,-22396,-18788
1986:Q2,447097,507639,532947,578660,556333,50469,505864,15663,6664,-45713,128232,4480,-12764,24832,5919,-1796,42080,-9496,31036,1404,19136,0,5307,-1108,6415,-2472,20808,17532,96,4680,16649,2881,173945,243602,130296,-15404,-13088,158788,168123,29932,43440,94751,6588,-9120,4288,-56573,-69657,-87068,12876,4535,-25308
