1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q3,1097485,477004,51132,96957,3040,406368,52110,13436,-2562,1297056,402067,454184,121037,293212,26556,-199571,134441,-290,9344,-74184,-34591,160168,-1436,-193323,91438,-4212,32732,496,0,0,0,60670,6112,54558,0,0,1844,-3404,3200,112,284762,0,0,396,236672,237992,-1320,52120,-4,52124,52124,140,-5444,877,32525,0,-31648,-39592,39111
1990:Q4,1110899,476232,51476,95381,3504,408852,63447,15176,-3169,1317797,411504,465568,116501,297640,26584,-206898,136097,2468,38800,-112069,-138389,158151,104,-296644,2613,2370,27479,-224,0,0,0,-6730,-22056,15326,0,0,848,-12306,-8996,172,299257,0,6000,2172,220000,221012,-1012,87366,0,87366,87366,2436,-5699,-13018,38210,0,-51228,26319,3408
1991:Q1,1095589,459568,59704,91497,2664,412031,53846,16548,-269,1281353,425295,487124,41318,300884,26732,-185764,138201,-74,14992,-62481,-78051,156076,152,-234279,64610,1314,57972,-412,0,0,0,39321,680,38641,0,0,1132,-7249,-27720,252,298889,0,0,-1192,156826,180826,-24000,76671,4,76667,76667,244,-12259,78600,25520,0,53080,15570,42000
1991:Q2,1100959,461448,61324,87467,2688,418283,50830,16936,1983,1345598,426464,497272,90938,304124,26800,-244639,139452,2614,11816,-119617,-149008,160180,148,-309336,-18151,-1768,-67514,976,0,0,0,29541,-5140,34681,0,0,1700,-1634,19740,808,291185,0,0,448,231498,237698,-6200,57515,-4,57519,57519,2288,-4031,3467,31187,0,-27720,29390,-48317
1991:Q3,1111369,464132,61828,88169,2564,423726,50849,17476,2625,1384626,428387,501056,123715,304380,27088,-273257,141114,618,25220,-157981,-256808,157937,136,-414881,-34290,-7536,-13994,-68,0,0,0,-3568,-13632,10064,0,0,1364,-1756,-10480,1748,380591,0,0,400,372009,400801,-28792,33291,0,33291,33291,-436,52,-24724,32984,0,-57708,98827,25292
1991:Q4,1123376,469212,64204,89502,2492,428412,47610,17788,4156,1413344,424403,515596,137617,308044,27684,-289968,141617,2897,10000,-161248,-212244,153003,160,-365407,93076,-2448,133138,96,0,0,0,-23365,-1692,-21673,0,0,1820,-7893,-9360,1088,458483,0,0,504,278428,274612,3816,60132,0,60132,60132,2688,-5858,122589,33073,0,89516,50996,38845
1992:Q1,1132752,461343,63640,99816,2652,439885,44086,17480,3850,1458390,425612,545643,152523,306436,28176,-325638,141807,-1320,10352,-192863,-313344,154720,208,-468272,-81758,2260,-94165,1400,0,0,0,16910,112,16798,0,0,1256,-48,-9644,272,386513,0,0,72,307336,318500,-11164,55349,0,55349,55349,-464,-5543,29763,26655,0,3108,120481,-76988
1992:Q2,1147780,470239,63064,102025,2604,445133,43064,17264,4387,1476444,424867,557455,157378,307912,28832,-328664,142709,2759,12728,-201442,-234741,156037,208,-390986,-1785,-2586,8548,1200,0,0,0,-19632,-688,-18944,0,0,1224,-7452,16356,556,389201,0,0,288,307882,307494,388,55467,-8,55475,55475,2452,356,22756,34184,0,-11428,33299,-5170
1992:Q3,1154549,479431,61860,98921,2592,447907,41230,17644,4964,1498726,437285,561819,161938,307676,30008,-344177,143412,553,10928,-212246,-222479,156915,180,-379574,30201,-3306,79514,-104,0,0,0,-28321,440,-28761,0,0,1524,-12310,-5880,-916,409774,0,0,188,339058,330030,9028,40437,0,40437,40437,668,-3845,33269,29389,0,3880,10232,94504
1992:Q4,1182334,498975,64616,107215,2704,442935,41323,21288,3278,1521869,440473,566999,177089,305524,31784,-339535,145144,2575,11320,-208286,-236042,157904,160,-394106,-93730,-3288,-61313,-5204,0,0,0,-16722,132,-16854,0,0,1704,-6899,-2364,356,300375,0,-8000,332,215960,213292,2668,53583,0,53583,53583,3100,-2172,37573,33625,0,3948,27755,-79834
1993:Q1,1184874,480339,62220,111535,2844,462113,43598,20064,2161,1522365,427837,583294,165374,310764,35096,-337491,146065,195,12444,-204065,-197403,152452,224,-350079,-66346,2698,-20452,248,0,0,0,-23050,-5328,-17722,0,0,892,-4151,-23856,1324,283733,0,0,288,180298,177138,3160,55244,0,55244,55244,12,3155,44735,32375,0,12360,-6663,-16816
1993:Q2,1223882,505254,64756,121915,2640,462364,43236,19796,3921,1532659,425396,588338,169881,311852,37192,-308777,146464,1251,10004,-173568,-186786,151340,156,-338282,48782,-1890,65686,-404,0,0,0,-25062,-3032,-22030,0,0,1120,-4372,12016,1688,387065,0,0,360,288610,284530,4080,75965,0,75965,75965,2560,2539,17030,34414,0,-17384,13218,54121
1993:Q3,1232037,515625,65360,115458,2708,466793,42732,19760,3601,1550905,430681,592070,178322,312504,37328,-318868,146864,-825,12500,-183679,-162010,148060,100,-310170,-10746,1396,12425,-36,0,0,0,-17362,-4488,-12874,0,0,988,702,-11108,2248,299424,0,0,424,233418,217186,16232,40497,-4,40501,40501,276,5851,18958,23658,0,-4700,-21669,8967
1993:Q4,1283357,529534,73096,141019,2768,470797,41008,20996,4139,1572369,434042,595994,196041,310636,35656,-289012,148717,2146,10656,-153097,-198668,150867,136,-349671,-3481,1744,25336,-60,0,0,0,-36944,-29304,-9052,1412,0,1572,-1732,10624,-4020,346191,0,0,712,244474,236750,7724,54302,-4,54306,54306,2724,258,43721,31229,0,12492,45571,30545
1994:Q1,1283869,526741,75463,122361,2956,485839,43019,22720,4770,1552959,425463,608392,176652,309236,33216,-269090,149004,-766,8440,-127760,-93887,141584,-68,-235403,-98529,314,-12160,-352,0,0,0,-42491,-26028,-16451,-12,0,888,-7079,-37504,-144,136874,0,0,656,69131,70435,-1304,33329,0,33329,33329,24,1085,32650,29606,0,3044,-33874,-28741
1994:Q2,1329298,555921,78643,129287,3188,492977,43302,21524,4456,1567862,425246,612876,181084,316624,32032,-238564,149888,214,11356,-100246,-232384,144128,-936,-375576,-71514,-7360,-66890,-136,0,0,0,-5916,-4540,-1392,16,0,1448,-1001,7680,660,304062,0,0,636,246176,241460,4716,32384,0,32384,32384,2716,268,21882,31754,0,-9872,132138,-69431
