1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q4,1692867,0,17112,15896,675,0,541,570382,18778,1086595,1692867,1647987,561392,1086595,1647987,44880
1997:Q1,1712043,0,17076,15881,666,0,529,560749,20177,1114041,1712043,1665578,551537,1114041,1665578,46465
1997:Q2,1735017,0,17140,15907,687,0,546,571053,24842,1121982,1735017,1683022,561040,1121982,1683022,51995
1997:Q3,1755424,0,17222,15940,712,0,570,586534,27943,1123725,1755424,1700327,576602,1123725,1700327,55097
1997:Q4,1775128,0,17361,15999,761,0,601,612397,29946,1115424,1775128,1717117,601693,1115424,1717117,58011
1998:Q1,1798444,0,17464,16040,796,0,628,601375,35224,1144381,1798444,1734850,590469,1144381,1734850,63594
1998:Q2,1820740,0,17551,16077,825,0,649,612932,37848,1152409,1820740,1753941,601532,1152409,1753941,66799
1998:Q3,1835568,0,17802,16188,912,0,702,627744,34445,1155577,1835568,1771853,616276,1155577,1771853,63715
1998:Q4,1863462,0,17963,16240,976,0,747,655794,42960,1146745,1863462,1789656,642911,1146745,1789656,73806
1999:Q1,1885013,0,17949,16225,976,0,748,645385,46203,1175476,1885013,1808030,632554,1175476,1808030,76983
1999:Q2,1909048,0,17895,16205,962,0,728,656559,50782,1183812,1909048,1826548,642736,1183812,1826548,82500
1999:Q3,1925671,0,17828,16182,939,0,707,671845,48476,1187522,1925671,1844990,657468,1187522,1844990,80681
1999:Q4,1953221,0,17669,16125,877,0,667,699595,56909,1179048,1953221,1863081,684033,1179048,1863081,90140
2000:Q1,1974180,0,17512,16091,803,0,618,688405,60405,1207858,1974180,1880808,672950,1207858,1880808,93372
2000:Q2,1992826,0,17477,16082,790,0,605,699440,60060,1215849,1992826,1899178,683329,1215849,1899178,93648
2000:Q3,2012610,0,17559,16107,824,0,628,714140,60715,1220196,2012610,1917559,697363,1220196,1917559,95051
2000:Q4,2027826,0,17873,16209,966,0,698,722460,56576,1230917,2027826,1935852,704935,1230917,1935852,91974
2001:Q1,2041974,0,18979,16493,1491,0,995,732374,49059,1241562,2041974,1954836,713274,1241562,1954836,87138
2001:Q2,2067286,0,19249,16545,1627,0,1077,745357,52733,1249947,2067286,1974862,724915,1249947,1974862,92424
2001:Q3,2080026,0,20801,16944,2369,0,1488,760011,43796,1255418,2080026,1993651,738233,1255418,1993651,86375
2001:Q4,2108273,0,23217,16808,4026,0,2383,789430,49091,1246535,2108273,2012305,765770,1246535,2012305,95968
2002:Q1,2129809,0,22963,16746,3911,0,2306,779141,50618,1277087,2129809,2030824,753737,1277087,2030824,98985
2002:Q2,2143555,0,23541,16875,4204,0,2462,789174,44338,1286502,2143555,2049073,762571,1286502,2049073,94482
