1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q3,608100,526059,582531,450902,431068,23949,407119,19909,-76,131629,215842,-21409,-6361,-5210,-15133,-970,-36605,-19141,-12947,-2976,-1126,-415,-2035,-2428,393,-6290,5257,92479,95,-3459,-11263,226746,84212,116399,59014,17774,-1216,42456,24878,48189,4237,-27548,14304,1025,13126,4052,-32186,-126810,49808,44816,-56472
2011:Q4,616750,525094,98575,440901,444927,14784,430143,-3824,-203,-342325,-49560,-5671,43709,24837,7940,683,19660,16953,2346,669,-533,225,-733,-1699,966,9058,5844,71266,49,-3459,-26803,-195940,292765,289611,35207,-8378,2572,41013,69331,51222,22181,-4072,19768,-624,-7996,173925,3154,-80950,30398,53707,426518
2012:Q1,684794,533981,265348,464286,414802,1342,413460,49546,-62,-198938,72349,-4037,-66669,-5468,-22891,3393,-13666,-11533,-927,-1287,-27,108,-3081,-1584,-1497,17829,-6579,81633,187,-1456,51924,41230,271287,299592,97572,11276,1110,85186,-3964,31726,-23194,-12496,4466,34072,20935,146511,-28305,-45471,44088,-26922,268633
2012:Q2,684212,535410,631239,471203,471667,26943,444724,-329,-134,160036,380020,-5356,64389,-656,-14868,-97,-4387,-2883,-1222,-292,9,1,-1153,-1219,66,-6834,-6363,83351,-167,-1456,13526,260090,219984,253846,79469,4498,10933,64038,40603,52958,-3504,-8851,5600,-9218,-8852,146245,-33862,-95812,51719,10231,-95829
2012:Q3,678015,523892,373629,513326,467273,27740,439533,46159,-105,-139697,133267,6571,34596,17938,5142,-5541,4077,1962,2184,212,-230,-51,-463,-505,42,2553,-6730,91517,105,-1456,27731,-42774,272964,305719,113843,3922,-1089,111010,70463,21564,43429,5470,7311,58049,1196,54857,-32755,-73896,33471,7670,150262
2012:Q4,687059,513589,178530,455229,478845,17949,460896,-24163,548,-276699,-19958,3915,30954,51995,24713,-2388,2633,982,1998,33,62,-442,1256,657,599,1773,-6662,46073,52,-1456,-31292,-141525,256741,253111,118786,-5674,2534,121926,100990,59688,14149,27153,-14688,-1031,-4314,53368,3630,-65312,58672,10270,335059
2013:Q1,708480,551862,424710,473206,430455,1928,428527,42543,208,-48496,183360,29567,-13302,11047,-10888,288,-8133,765,-5363,-2177,-413,-945,-7464,-1147,-6317,-58,2497,70489,28,615,110139,-1466,231855,231179,58934,9757,3005,46172,7695,-23857,22360,9192,1949,13583,14006,135012,676,-21503,23154,-975,127152
2013:Q2,710385,553121,379049,491522,490508,32078,458430,546,468,-112473,149359,15508,-57065,-2684,6439,-2227,2002,-9544,7907,1847,-122,1914,4471,4522,-51,15260,2556,90154,214,615,132461,-58345,261832,224160,75993,7160,4094,64739,111303,30308,43330,37665,2212,34777,-21827,21702,37672,-74466,57303,54835,174072
2013:Q3,711711,548731,525435,558820,495493,33193,462300,62694,634,-33385,362924,764,40952,20857,25002,9854,11194,10474,1320,24,-518,-106,-462,-399,-63,-13979,2676,87112,244,615,62428,115667,396309,373970,139796,23923,-3655,119528,46708,18637,-8698,36769,5250,73878,-2258,110596,22339,-83344,53072,52611,23296
2013:Q4,709982,566073,555404,510276,510516,20050,490465,-305,66,45128,298691,22711,65685,41459,12050,-3545,-4186,-7323,3521,583,-518,-449,2305,1985,320,-4173,2941,52052,148,615,14063,96566,253564,236046,34633,-26658,-1216,62507,113509,49953,36124,27432,2623,12600,3342,69339,17517,-75741,42586,50672,10669
