1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q3,75572,-412,188,0,39430,4686,-3296,12148,-1968,27860,25508,8796,16712,-28,-1540,-440,4,-716,0,0,0,13578,57516,56764,0,-52,184,26676,5284,0,1840,22832,752,-540,1292,0
1995:Q4,53776,-412,196,0,63247,-10689,-19784,-21724,-3484,118928,-3646,19628,-23274,140,-1464,820,-36,-844,0,0,0,-4225,33872,35748,0,-396,1376,30208,-20940,0,1640,23860,-1876,-4800,2924,0
1996:Q1,15892,-1200,96,0,28973,18301,-9280,-16144,1776,34320,6483,6828,-345,-44,-9044,916,140,-452,0,0,0,-9976,-16536,-7944,0,2592,508,8816,-25124,0,420,4844,-8592,-8860,268,0
1996:Q2,11440,-784,152,0,-4207,8621,-20060,-17472,-860,25564,1057,4724,-3667,20,1436,712,44,-528,0,0,0,13538,2100,2948,0,288,148,22952,-30232,0,452,9340,-848,-1124,276,0
1996:Q3,86892,-776,132,0,109588,-17344,3088,30664,1044,92136,2864,11616,-8752,124,-272,888,8,-580,0,0,0,-25083,50352,51796,0,-416,112,51944,-24268,0,604,23820,-1444,-3072,1628,0
1996:Q4,103580,-1800,236,0,107650,-11174,-35452,4816,3788,145672,-14184,-6520,-7664,220,-16956,520,172,-688,0,0,0,28410,125216,148672,0,2004,2388,53828,54016,0,996,35440,-23456,-22180,-1276,0
1997:Q1,28224,-2852,-688,0,72824,29244,-2408,-7196,400,52784,2998,6332,-3334,120,-3688,2836,8,-424,0,0,0,-42910,11324,11456,0,764,1180,40760,17376,0,-188,-48436,-132,-2332,2200,0
1997:Q2,198296,1880,-304,0,140147,15883,-1104,7116,672,117580,6281,7764,-1483,20,-1544,472,20,-580,0,0,0,51904,180560,166096,0,132,2448,47112,57904,0,-176,58676,14464,2144,12320,0
1997:Q3,123736,-1220,-376,0,61185,7613,8868,11432,1340,31932,1739,3868,-2129,-40,1868,-560,908,-736,0,0,0,60968,101336,99968,0,184,324,52704,30076,0,-160,16840,1368,-2316,3684,0
1997:Q4,-38600,14976,-112,0,14584,10888,-44048,-87116,9616,125244,-5698,-1880,-3818,492,5532,3976,-884,-808,0,0,0,-70659,-18564,-7000,0,-344,3964,28600,-24880,0,-148,-14192,-11564,-13372,1808,0
1998:Q1,100248,-19616,200,0,71578,15430,-7580,-7272,1432,69568,3900,1176,2724,256,-1120,2312,-16,104,0,0,0,42651,86608,89564,0,4,368,11320,-42620,0,1212,119280,-2956,-3612,656,0
1998:Q2,51260,4860,300,0,28378,-1310,-8988,-11680,1132,49224,8040,6508,1532,588,5392,2988,-56,52,0,0,0,717,54480,49932,0,-620,780,21996,3880,0,1264,22632,4548,2336,2212,0
1998:Q3,95552,-1304,-20,0,33715,10651,-9488,-13168,1040,44680,8667,4740,3927,-260,7232,-2552,80,32,0,0,0,49962,79232,83072,0,1672,556,24168,55344,0,1260,72,-3840,-4396,556,0
1998:Q4,-39252,6276,500,0,22645,-14003,-9100,-11376,1240,55884,19405,-1496,20901,748,84,-1128,104,48,0,0,0,-87934,-3856,4692,0,1812,1096,71384,-88008,0,1276,17132,-8548,-13152,4604,0
1999:Q1,165056,-11444,564,0,96894,1862,-2844,11700,2396,83780,3174,-17892,21066,1004,200,468,240,-244,0,0,0,74200,126200,129924,0,3324,2112,26872,6940,0,764,89912,-3724,-4504,780,0
1999:Q2,87724,4936,812,0,46188,-12924,-4416,6468,1956,55104,18677,-2848,21525,592,424,1368,136,-268,0,0,0,14859,101036,68568,0,3060,3588,41932,-24548,0,828,43708,32468,-3160,35628,0
1999:Q3,61356,-384,368,0,24303,-2101,-5712,1628,1532,28956,12554,1916,10638,504,10752,2120,220,-316,0,0,0,11234,52468,59672,0,1132,1660,17756,-2976,0,824,41276,-7204,-6828,-376,0
1999:Q4,37108,5900,396,4,5647,28299,-7772,-6904,724,-8700,16359,3936,12423,-1564,-816,1328,-56,-288,0,0,0,10198,-4704,388,0,-4556,-880,49072,-45868,0,792,1828,-5092,-9488,4396,0
2000:Q1,113528,-5716,1076,8,76274,-5018,-5772,10784,-152,76432,-550,-432,-118,-136,2172,3408,-332,196,3396,1176,1096,31460,51820,51096,0,-768,956,32196,-94748,2540,28,110892,724,-6180,6904,0
2000:Q2,88544,6596,516,4,21671,7723,-6836,2452,-1168,19500,14403,4816,9587,-12,3376,1732,0,204,3396,1176,1104,34378,92936,68692,0,-1108,1436,19216,44424,2548,56,2120,24244,12864,11380,0
2000:Q3,122624,-8080,548,4,67731,5147,-5436,9340,-544,59224,16179,8048,8131,232,3976,1512,420,204,3396,1172,1092,34237,136928,105520,0,-356,9036,39412,47776,2536,52,7064,31408,-4936,36344,0
2000:Q4,35512,5736,1396,4,24524,-12176,-7336,4544,-844,40336,1528,3336,-1808,-320,-18064,-2028,4,192,3392,1176,1100,16872,104480,51460,0,-732,-3340,39188,77512,2544,56,-63768,53020,-4756,57776,0
2001:Q1,401308,56300,-1832,5560,121060,-45904,-132,17148,-112,150060,6758,5104,1654,200,7528,2264,-84,44,9396,3860,2576,187678,249412,250032,10880,-2440,3860,106708,201200,5096,13412,-88684,-620,-6780,6108,52
2001:Q2,200188,23236,772,6848,121309,-3287,-648,12008,-352,113588,8170,1300,6870,-136,5588,92,-432,36,9392,3864,2588,18861,201668,198096,-1048,92,1668,43864,4996,5116,-4020,147428,3572,-5040,8512,100
2001:Q3,194628,6384,-544,-5768,137092,14424,-320,12208,-192,110972,12590,5516,7074,136,12580,688,104,28,9388,3860,2576,15513,226036,233516,1760,3544,1624,35428,252416,5096,-180,-66172,-7480,-10908,3564,-136
2001:Q4,79996,4924,-3600,-1740,69327,-64421,20552,7460,-1376,107112,8510,-176,8686,-996,-43948,3044,56,-4628,9392,3856,2576,33223,58032,48648,-6348,1416,-7532,33468,-89348,5096,-2604,114500,9384,19240,-4372,-5484
2002:Q1,324796,-7444,6172,22924,229274,-970,27348,69396,1960,131540,10160,2036,8124,136,5996,428,104,660,8992,3756,4924,38714,312500,317032,59904,2464,1136,71320,-82596,11824,-2220,255200,-4532,-7420,4984,-2096
2002:Q2,209536,-2188,4096,8220,147280,13028,22672,49684,948,60948,5913,732,5181,700,2248,7132,244,660,9000,3760,4924,17547,259768,256884,5872,1268,-2212,75180,194228,11836,-5724,-23564,2884,-9152,4084,7952
2002:Q3,316044,36868,5520,9164,202740,-23436,30964,72784,1792,120636,5480,2380,3100,48,12192,1540,136,660,8988,3748,4924,24036,298916,299832,-9912,2020,-1292,105676,220984,11824,-484,-28984,-916,-9200,4316,3968
2002:Q4,232756,-34492,-6268,-26196,235106,21006,29872,89908,1400,92920,15334,4584,10750,648,-804,900,392,660,8992,3756,4928,29800,96412,96776,-4100,2568,9992,-40396,170200,11832,3640,-56960,-364,-180,-6176,5992
2003:Q1,380544,35044,10892,30732,219651,-21817,3580,30840,6012,201036,9609,-1316,10925,-320,6336,224,324,1132,11808,4704,3764,46644,369708,371460,23844,4548,-2032,81920,141748,5864,-7960,123528,-1752,-6480,2060,2668
2003:Q2,264560,-1244,1480,-9932,226159,-8809,-5612,29980,6472,204128,13129,2060,11069,276,6176,1188,768,1132,11812,4696,3744,5176,217956,220576,328,1516,-1692,54196,-17200,5860,556,177012,-2620,-3724,-5248,6352
2003:Q3,179896,5916,10528,-5100,123323,-2501,-2916,10888,5236,112616,10506,-1296,11802,72,672,716,968,1132,11800,4704,3760,10899,159692,163848,12604,3236,-2520,59284,6884,5872,1304,77184,-4156,-6160,568,1436
2003:Q4,35264,-5440,-20744,-26068,98667,-22521,-24032,12912,5692,126616,14308,1812,12496,132,-27952,1232,548,1132,11808,4696,3764,-20819,46084,48928,-33472,2584,-3544,8796,22076,5868,-1716,48336,-2844,576,-8248,4828
2004:Q1,279948,-7452,13868,6632,160384,316,1340,18292,3688,136748,9588,556,9032,-4,9184,-724,236,56,20432,8824,7080,51844,289652,289660,2612,-400,580,10468,115040,14856,7076,139428,-8,-4528,-308,4828
2004:Q2,208752,15012,2396,-784,131712,-9068,-5648,14912,3812,127704,8160,4184,3976,316,9308,3476,96,56,20440,8824,7080,2661,236176,195240,8976,2784,5560,59804,77820,14864,-2704,28136,40936,-6208,49896,-2752
2004:Q3,199912,-3304,10948,-1800,141729,4577,-2404,13416,3768,122372,18926,5296,13630,220,3784,3328,24,60,20428,8820,7076,-10327,214400,200896,-2796,104,1296,56404,118636,14860,-1104,13496,13504,-7044,14436,6112
2004:Q4,153228,-2884,-6180,2368,101395,-20821,-7200,9332,4072,116012,23387,4088,19299,-344,-22304,948,1872,56,20432,8820,7080,18582,135612,134988,-13720,9972,3584,54660,26396,14864,4360,34872,624,-9264,8192,1696
2005:Q1,224576,-25860,6656,28756,163810,-31298,18460,35204,4300,137144,11073,1372,9701,28,5496,1428,-204,672,7584,4900,2812,17425,193832,201768,26376,-1956,-84,42956,86084,6644,-2780,44528,-7936,-9688,2212,-460
2005:Q2,107140,31752,-11788,-8792,68805,-3767,16320,1620,2184,52448,13914,7052,6862,-16,-25916,2388,-184,672,7580,4888,2812,21025,123732,119792,-220,2276,-3232,50776,-11332,6648,612,74264,3940,-812,7632,-2880
2005:Q3,152320,6832,-1420,-10928,107262,12238,18692,4676,2448,69208,8018,2072,5946,624,14612,5532,-8,676,7584,4896,2816,5824,140536,109988,3252,352,2740,51124,-20868,6648,-3272,70012,30548,-3892,2244,32196
2005:Q4,-12388,-21644,-8324,-13116,37199,5299,10064,-7040,1292,27584,27408,8676,18732,-724,-3592,-3692,-60,672,7576,4888,2820,-41798,-26508,-19992,784,476,-4180,28888,59716,6652,-1372,-110956,-6516,-3864,-5924,3272
2006:Q1,156820,6112,8576,-3004,108703,-2413,-3012,25884,5016,83228,26639,7852,18787,-652,14756,-1696,12,-2576,20868,15424,4216,-40558,175940,189004,12820,2876,-1928,81232,-64180,12528,1692,143964,-13064,-19908,8488,-1644
2006:Q2,157432,-28,6232,-544,28676,-844,-8320,-29940,6000,61780,37784,13384,24400,-312,-1436,-36,-344,-2576,20864,15416,4220,49516,164116,149948,-2400,1380,6228,11852,8308,12532,-2792,114840,14168,-17872,33740,-1700
2006:Q3,176744,-140,15516,904,27797,13009,-5092,-26468,-2180,48528,24742,11100,13642,80,10168,3184,72,-2576,20864,15424,4208,56500,161504,145044,-12624,2556,1548,67320,-38856,12532,2056,110512,16460,-9848,11064,15244
