date,FU116902505.A,FU116300001.A,FU116902605.A,FU116025001.A,FU116020001.A,FU116401005.A,FU116240101.A,FU116402105.A,FU116140001.A,FU116402105.A,FU116130101.A,FU116150005.A,FU116130001.A,FU116122001.A,FU113192281.A,FU116112001.A,FU116140001.A,FU116403001.A,FU116012005.A,FU116012005.A,FU116006305.A,FU116012005.A,FU115440005.A,FU115050985.A,FU115019085.A,FU115013085.A,FU115012005.A,FU116300001.A,FU115020005.A,FU115000905.A,FU115000905.A,FU114090005.A,FU114000005.A,FU113020005.A,FU113030003.A,FU114022005.A,FU113061003.A,FU113062003.A,FU114023005.A,FU113066003.A,FU113065005.A,FU113081005.A,FU113034003.A,FU113092405.A,FU113076005.A,FU113096005.A,FU113070003.A,FU113072003.A,FU113093005.A,FU114194005.A,FU114135005.A,FU114141005.A,FU113168005.A,FU113169005.A,FU114142005.A,FU113165005.A,FU115114305.A,FU113181005.A,FU112090205.A,FU115114103.A,FU113196005.A,FU113170005.A,FU113178003.A,FU113193003.A,FU115000005.A,FV118090105.A,FV112010005.A,FV118090085.A,FR112010005.A,FR115035005.A,FR115035023.A,FR115035035.A,FR115015205.A,FR115012265.A,FR115013265.A,FR115013765.A,FR115020005.A,FR114022005.A,FR114190085.A,FR115114305.A,FR112090205.A,FR115114103.A,FR118200005.A,FC112090095.A,FL112000005.A,LM112010005.A,LM115035005.A,LM115035023.A,LM115035035.A,LM115015205.A,LM115012265.A,LM115013265.A,LM115013765.A,LM115020005.A,FL114090005.A,FL114000005.A,FL113020005.A,FL113030003.A,LM114022005.A,LM113061003.A,LM113062003.A,FL114023005.A,FL113066003.A,FL113065005.A,FL113081005.A,FL113034003.A,FL113092405.A,FL113076005.A,FL113096005.A,FL113070003.A,FL113072003.A,FL113093005.A,FL112100005.A,FL114194005.A,FL114135005.A,FL114141005.A,FL113168005.A,FL113169005.A,FL114142005.A,FL113165005.A,FL115114305.A,LM113181005.A,LM112090205.A,LM115114103.A,FL113196005.A,FL113170005.A,FL113178003.A,FL113193003.A,FL112090095.A
1970,176992,19591,157401,49933,45888,4045,13917,93551,608,93551,1339,94282,13358,80914,10,0,608,608,0,0,0,0,0,12673,32687,19583,13105,19591,-424,-12673,-12673,1882,1509,109,1400,200,200,0,517,117,400,62,0,62,1081,-1487,-1487,0,0,14079,6673,1921,413,1508,4752,4746,6,-498,-524,26,7903,-678,0,8581,-12197,114,0,114,31710,27511,11217,16294,4441,74,4367,476,-718,0,31824,0,31824,0,-114,-0,821313,778637,648063,316586,331477,75670,4181,71489,8142,46762,42676,20087,18687,1400,700,700,0,4529,3829,700,758,0,758,9979,6623,6623,0,0,821313,821313,148616,38921,22287,16635,109695,109636,59,654802,654573,229,17896,9315,0,8581,0
1971,188389,21338,167051,50347,46102,4245,15624,101080,646,101080,1537,101971,15408,86551,12,0,646,646,0,0,0,0,0,19119,37967,20652,17315,21338,2491,-19119,-19119,9824,1737,137,1600,200,200,0,1058,-117,1175,79,0,79,1250,5500,1500,0,4000,28357,22571,3350,2175,1175,19221,19218,3,1650,1638,12,4135,203,1037,2895,-18533,139,-40,179,64609,56281,28277,28004,3741,42,3699,200,4387,0,64748,0,64749,-1,-139,-0,914377,861877,719630,355950,363680,80391,4641,75750,8216,53640,52500,21824,18824,3000,900,900,0,5587,3712,1875,836,0,836,11230,12123,8123,0,4000,914377,914377,171224,42271,24461,17809,128953,128891,62,721123,720883,240,22030,9517,1037,11476,-0
1972,206104,23208,182895,52504,47741,4763,15308,115084,687,115084,1677,116074,17776,98285,13,0,687,687,0,0,0,0,0,22435,44115,22191,21924,23208,1529,-22435,-22435,9986,1868,268,1600,200,200,0,1043,-82,1125,97,0,97,1531,5247,647,0,4600,31420,31389,3955,2756,1199,27434,27430,4,-5248,-5265,17,5280,1144,1452,2684,-21434,159,-303,462,86589,73825,36151,37674,3268,8,3260,257,9239,0,86747,1,86747,-1,-159,0,1032242,969756,812021,406666,405355,85049,5213,79836,8279,64408,62486,23693,19093,4600,1100,1100,0,6630,3630,3000,933,0,933,12761,17370,8770,0,8600,1032242,1032242,202617,46229,27222,19007,156388,156321,67,802314,802058,256,27311,10662,2489,14160,0
1973,240871,25619,215252,59253,53592,5662,17865,138133,809,138133,1393,138717,21027,117669,22,0,809,809,0,0,0,0,0,27231,49442,27580,21863,25619,3408,-27231,-27231,9077,2174,561,1613,83,83,0,92,-193,285,170,0,170,1415,5143,2316,0,2827,35236,17969,11364,7666,3698,6605,6584,21,9126,9015,111,8141,3358,1496,3287,-26159,193,-254,447,141765,121312,48984,72328,6002,88,5914,353,14098,0,141958,2,141975,-19,-193,0,1213178,1137615,952736,469182,483554,94515,5942,88573,8450,81914,75563,29866,23653,6213,1183,1183,0,6722,3437,3285,1103,0,1103,14176,22513,11086,0,11427,1213178,1213178,230231,67235,44887,22349,162996,162906,90,937497,937149,348,45450,24018,3985,17447,0
1974,256088,29429,226659,63594,57410,6184,21538,141528,771,141528,1614,142370,25116,117227,27,0,771,771,0,0,0,0,0,15665,45751,27608,18143,29429,-657,-15665,-15665,4737,1663,92,1571,55,55,0,-246,-354,108,226,0,226,1488,1551,2202,0,-651,19365,37138,11881,8302,3579,25257,25226,31,-28016,-28139,123,10243,3105,1560,5578,-14628,223,-39,262,140135,125158,58815,66343,19058,746,18312,713,-4794,0,140358,0,140362,-4,-223,0,1372862,1292563,1092686,536603,556083,114461,7295,107166,8953,76463,80299,31528,23744,7784,1238,1238,0,6476,3083,3393,1329,0,1329,15664,24064,13288,0,10776,1372862,1372862,267370,79117,53190,25928,188253,188132,121,1049799,1049332,467,55693,27123,5545,23025,0
1975,273920,33675,240246,66954,60196,6757,22742,150550,982,150550,2775,152344,29335,122980,29,0,982,982,0,0,0,0,0,10953,42534,29509,13025,33675,2093,-10953,-10953,2691,885,581,304,36,36,0,-556,-415,-141,259,0,259,1861,206,1263,0,-1057,12646,20349,7528,3470,4058,12821,12825,-4,-13102,-13085,-17,5399,1312,1057,3030,-9955,250,0,250,110959,96110,39476,56634,12770,434,12336,509,1570,0,111209,0,111209,0,-250,0,1496715,1413727,1196958,578653,618305,127379,8177,119202,9264,80126,82989,32413,24325,8088,1274,1274,0,5920,2668,3252,1587,0,1587,17524,24270,14551,0,9719,1496715,1496715,287718,86645,56659,29985,201073,200956,117,1147906,1147456,450,61092,28435,6602,26055,0
1976,298597,36405,262192,72629,64813,7816,23876,165688,1377,165688,2142,166453,31111,135311,32,0,1377,1377,0,0,0,0,0,12253,47495,32259,15236,36405,1163,-12253,-12253,10257,3349,1947,1402,241,241,0,712,-187,899,278,0,278,3225,2452,1298,0,1154,21404,29474,10426,5458,4968,19048,19059,-11,-13501,-13527,26,5431,3002,1183,1246,-11147,257,-27,284,143413,133045,51114,81930,12590,333,12257,370,-2591,0,143670,14,143669,-13,-257,-0,1661761,1568516,1341057,633688,707369,139076,8996,130080,9686,78698,93245,35761,26271,9490,1515,1515,0,6632,2481,4151,1866,0,1866,20748,26722,15849,0,10873,1661761,1661761,317202,97069,62117,34953,220133,220013,120,1278036,1277573,463,66524,31438,7785,27301,-0
1977,323475,40232,283243,78520,69719,8801,23789,180934,1587,180934,2206,181553,34416,147118,19,0,1587,1587,0,0,0,0,0,23101,57194,37272,19922,40232,6139,-23101,-23101,17258,5319,2682,2637,897,897,0,874,-484,1358,271,0,271,3879,6018,4127,0,1891,38738,42728,14754,8322,6432,27974,27975,-1,-8622,-8606,-16,4632,3599,1086,-53,-21480,266,-49,315,172444,156458,82975,73484,14196,335,13862,420,1369,0,172710,10,172653,47,-266,0,1873161,1762657,1512676,723900,788776,153768,9927,143841,10008,86205,110504,41081,28954,12127,2412,2412,0,7506,1997,5509,2138,0,2138,24627,32740,19976,0,12764,1873161,1873161,359940,111824,70439,41385,248116,247987,129,1442065,1441571,494,71156,35037,8871,27248,0
1978,363655,45366,318289,87113,78124,8989,23982,207194,1899,207194,2614,207909,38825,169053,31,0,1899,1899,0,0,0,0,0,31087,72579,46566,26013,45366,3875,-31087,-31087,21793,6668,3273,3395,772,772,0,2066,-539,2605,376,0,376,4447,7464,6042,0,1422,51127,58427,26031,15523,10508,32396,32364,32,-15206,-15350,144,7905,3585,1080,3240,-29334,283,0,283,246589,207321,87806,119515,17435,652,16784,629,21204,0,246872,14,246823,35,-283,0,2171160,2038863,1742627,823173,919454,173992,11294,162698,10959,111284,132297,47749,32227,15522,3184,3184,0,9572,1458,8114,2514,0,2514,29075,40204,26018,0,14186,2171160,2171160,418381,137855,85961,51893,280526,280351,175,1673717,1673044,673,79062,38623,9951,30488,0
1979,405898,52000,353898,96584,86591,9993,26593,230722,1947,230722,2788,231563,46961,184540,62,0,1947,1947,0,0,0,0,0,43593,90841,58006,32835,52000,4751,-43593,-43593,21186,8631,2884,5747,-379,-379,0,2312,-575,2887,489,0,489,4275,5858,4136,0,1722,62615,73929,28061,15732,12329,45868,45751,117,-29357,-29668,311,18043,8262,2844,6937,-41429,308,-250,558,298343,258220,117025,141195,24625,575,24050,586,14913,0,298652,24,298399,229,-308,0,2532177,2378693,2033457,956249,1077208,202086,12745,189341,12202,130948,153483,56379,35110,21269,2805,2805,0,11884,883,11001,3003,0,3003,33350,46062,30154,0,15908,2532177,2532177,492332,165916,101694,64222,326417,326101,316,1942739,1941526,1213,97105,46885,12795,37425,0
1980,427635,59474,368161,103317,92754,10563,29341,235503,2217,235503,3285,236570,56873,179612,85,0,2217,2217,0,0,0,0,0,22801,87975,58658,29317,59474,-5700,-22801,-22801,13667,5792,2830,2962,-241,-241,0,483,-733,1216,627,0,627,3670,3336,2338,0,998,34190,63526,13023,2899,10124,50503,50165,338,-44342,-45205,863,15007,5696,2533,6778,-20523,345,-287,632,289898,251089,130837,120252,29175,970,28206,801,8834,0,290243,104,289301,838,-345,0,2856324,2689173,2313816,1097635,1216181,227609,14512,213097,13666,134082,167152,62172,37941,24231,2564,2564,0,12367,150,12217,3630,0,3630,37020,49398,32492,0,16906,2856324,2856324,555819,178795,104594,74201,377024,376266,758,2188394,2185480,2914,112112,52581,15328,44203,0
1981,466504,67118,399386,110400,99226,11175,33148,255838,2351,255838,3677,257164,68284,188783,98,0,2351,2351,0,0,0,0,0,46330,103517,73829,29688,67118,9931,-46330,-46330,32839,3790,2321,1469,734,734,0,7997,-125,8122,663,0,663,3059,16596,4536,0,12060,76621,64892,22518,11403,11115,42374,42199,175,8574,7211,1363,3155,6046,-1584,-1307,-43782,384,0,384,149793,134695,87482,47213,30117,1036,29081,702,-15720,0,150177,84,150457,-364,-384,0,3083122,2883132,2485585,1194394,1291191,253944,16274,237670,15311,128292,199990,65962,40262,25700,3298,3298,0,20364,25,20339,4293,0,4293,40079,65994,37028,0,28966,3083122,3083122,620794,201312,115997,85315,419482,418465,1017,2347061,2343148,3913,115268,58628,13744,42896,0
1982,477352,73282,404070,116225,104580,11645,25521,262324,2574,262324,8088,267838,81016,186915,-93,0,2574,2574,0,0,0,0,0,25561,94464,71495,22969,73282,4379,-25561,-25561,11737,6147,3747,2400,-54,-54,0,4597,-25,4622,385,0,385,3209,-2547,7981,0,-10528,34210,58076,-3293,-6558,3265,61369,61171,198,-58362,-59400,1038,34495,4428,1491,28576,-22473,422,-295,717,99432,75130,86096,-10966,22710,734,21976,678,915,0,99854,-261,99757,358,-422,0,3216890,3005164,2589754,1281919,1307835,265258,17500,247758,16566,133586,211726,72108,44008,28100,3244,3244,0,24961,0,24961,4678,0,4678,43289,63447,45009,0,18438,3216890,3216890,678609,198018,109439,88580,480590,479636,954,2388519,2385490,3029,149762,63055,15235,71472,0
1983,499497,75002,424495,121308,108452,12857,22731,280456,2228,280456,9925,288154,87343,200858,-47,0,2228,2228,0,0,0,0,0,7746,96514,64036,32478,75002,-13765,-7746,-7746,28911,12085,8485,3600,2779,2779,0,4344,0,4344,69,0,69,-3622,13256,7395,0,5861,33581,71516,5704,2121,3583,65812,65623,189,-52330,-53433,1103,14395,-73,1846,12622,-4670,454,-280,734,110873,86188,69482,16706,13941,353,13588,518,10226,0,111327,0,111505,-178,-454,0,3361518,3120880,2704845,1361201,1343644,268073,18639,249434,17915,130047,240638,84193,52493,31700,6023,6023,0,29305,0,29305,4747,0,4747,39667,76703,52404,0,24299,3361518,3361518,750124,203723,111560,92163,546401,545258,1143,2447237,2443283,3954,164158,62983,17081,84094,0
1984,580065,77452,502614,133603,118753,14850,28046,340965,2312,340965,8275,346929,102791,244064,74,0,2312,2312,0,0,0,0,0,45145,114578,76838,37739,77452,8019,-45145,-45145,26537,8445,5045,3400,-542,-542,0,10006,0,10006,80,0,80,11057,-2509,6889,0,-9398,68365,113850,21416,17771,3645,92434,92248,186,-60979,-61860,881,15494,4845,1070,9579,-41828,501,0,501,58490,48851,98987,-50136,10216,-46,10261,535,-1111,0,58991,0,59677,-686,-501,0,3488873,3221698,2789414,1473981,1315433,275474,19643,255831,19855,136955,267175,92639,57539,35100,5481,5481,0,39311,0,39311,4826,0,4826,50724,74194,59293,0,14901,3488873,3488873,863977,225138,129331,95807,638839,637510,1329,2445243,2441094,4149,179653,67829,18151,93673,0
1985,625967,81220,544747,143192,127138,16054,29979,371576,3360,371576,8030,376246,115046,261214,-15,0,3360,3360,0,0,0,0,0,51762,126870,85747,41123,81220,6113,-51762,-51762,33897,19732,14232,5500,273,273,0,4672,0,4672,-294,0,-294,5535,3979,4505,0,-526,82291,70583,94,2052,-1958,70489,70306,183,-19615,-20069,454,31323,-1271,3445,29149,-48394,523,-407,930,83717,84339,113999,-29661,6077,-173,6250,446,-7145,0,84239,0,83275,964,-523,-0,3654995,3353925,2912260,1603320,1308940,283730,20657,263073,22012,135923,301070,112371,71771,40600,5754,5754,0,43983,0,43983,4532,0,4532,56258,78173,63798,0,14375,3654995,3654995,934559,225231,131382,93849,709328,707816,1512,2509461,2503894,5567,210976,66558,21596,122822,-0
1986,659623,85966,573657,150324,132857,17467,28324,395010,5529,395010,8530,398011,124421,273612,-22,0,5529,5529,0,0,0,0,0,43755,130676,82519,48157,85966,-955,-43755,-43755,26084,4287,2579,1708,2017,2017,0,693,0,693,-496,105,-601,6621,12962,8024,0,4938,66124,67293,-235,594,-829,67528,67381,147,-9212,-10177,965,8043,-2112,1673,8482,-40040,548,0,548,103673,101600,111682,-10082,12200,328,11873,351,-10479,0,104221,0,104642,-421,-548,0,3834464,3498188,3054746,1735568,1319178,294536,22337,272199,24417,124489,336276,116658,74350,42308,10771,10771,0,44676,0,44676,7158,3227,3931,62879,94135,74822,0,19313,3834464,3834464,1001854,224998,131977,93021,776856,775197,1659,2626591,2620480,6111,206019,51446,23269,131304,0
1987,690240,90611,599629,155186,137964,17222,28271,416172,6461,416172,8249,417960,122063,295885,13,0,6461,6461,0,0,0,0,0,39504,134370,86934,47436,90611,-4255,-39504,-39504,-5423,-1054,864,-1918,-972,-972,0,-6767,0,-6767,-580,-109,-471,-5126,9076,1430,0,7646,29941,57265,10501,8692,1809,46764,47536,-772,-26524,-27896,1372,-800,5060,582,-6442,-35364,620,0,620,135428,117904,66340,51565,7004,175,6830,1278,9241,0,136048,-189,141504,-5267,-620,-0,4000452,3669597,3208385,1819652,1388733,303632,23863,279769,28105,129475,330855,115604,75214,40390,9799,9799,0,37909,0,37909,6579,3118,3461,57753,103211,76252,0,26959,4000452,4000452,1065561,242130,140669,101461,823431,822733,698,2729672,2727456,2216,205219,56506,23851,124862,-0
1988,755864,96458,659406,163408,142155,21253,33287,462711,5419,462711,8253,465546,134401,331129,16,0,5419,5419,0,0,0,0,0,33967,139889,96494,43395,96458,-9464,-33967,-33967,50941,11144,4577,6567,519,519,0,9937,0,9937,2253,2192,61,402,26686,12042,0,14644,83013,85469,9357,9292,65,76112,75406,706,-29796,-29935,139,27340,7049,2910,17381,-32072,675,0,675,175359,146128,82896,63232,12737,374,12364,974,15520,0,176034,0,173491,2543,-675,0,4259500,3877703,3388668,1914597,1474071,319657,25557,294100,33847,135532,381797,126748,79791,46957,10318,10318,0,47846,0,47846,8832,5310,3522,58155,129897,88294,0,41603,4259500,4259500,1150660,251117,149960,101157,899543,898139,1404,2875911,2871013,4898,232929,63925,26761,142243,0
1989,808908,102444,706463,175868,151583,24285,39260,491336,5253,491336,8662,494745,148585,346298,-138,0,5253,5253,0,0,362,0,-362,41940,142918,98073,44845,102444,1467,-41578,-41578,8037,2579,1185,1394,1628,1628,0,-12700,0,-12700,-273,465,-738,5608,11195,6786,0,4409,47547,49445,17312,12763,4549,32133,31453,680,-29969,-30657,688,28072,2543,4656,20873,-39510,715,-1710,2425,153470,136693,71973,64720,13001,204,12798,1277,2499,0,154547,1,152254,2292,-1077,0,4459886,4070053,3557102,1997856,1559246,333525,26921,306604,39929,139497,389833,129327,80976,48351,11946,11946,0,35146,0,35146,8559,5775,2784,63763,141092,95080,0,46012,4459886,4459886,1199967,268289,162723,105565,931679,929594,2085,2998918,2991040,7878,261002,66469,31417,163116,0
1990,847401,106809,740592,187944,161571,26373,44532,508117,5629,508117,7922,510410,150445,360156,-191,0,5629,5629,0,0,0,0,0,23793,127735,84652,43083,106809,2867,-23793,-23793,1784,4889,2221,2668,566,566,0,-4094,0,-4094,648,890,-242,-3740,3515,2737,0,778,22804,-1110,4781,3958,823,-5891,-4705,-1186,26666,24753,1913,-2752,-52,583,-3283,-21020,760,-1213,1973,67901,52376,58220,-5843,11574,92,11482,1529,2422,0,68661,-1,75248,-6586,-760,0,4550012,4158519,3627011,2065808,1561203,340708,27855,312853,46014,144787,391493,134217,83198,51019,12512,12512,0,31052,0,31052,9082,6665,2417,60023,144607,97817,0,46790,4550012,4550012,1198855,273069,166680,106389,925786,924888,898,3092908,3089703,3205,258250,66417,32000,159833,0
1991,857610,109564,748046,192066,163996,28071,47635,508346,5510,508346,7243,510079,144121,366088,-131,0,5510,5510,0,0,139,0,-139,1696,112381,76663,35718,109564,-1121,-1557,-1557,8044,4338,2129,2209,-263,-263,0,-5028,0,-5028,920,737,183,4998,3079,-1093,0,4172,6939,-25916,1399,56,1343,-27315,-27257,-58,29754,29725,29,3100,-1021,479,3642,1105,790,-343,1133,-73343,-75601,302,-75903,11471,-264,11735,1362,-10576,0,-72414,1,-73279,864,-929,0,4484195,4084658,3558659,2067613,1491046,341091,28220,312871,51818,133090,399537,138555,85327,53228,12249,12249,0,26024,0,26024,10001,7402,2599,65021,147686,96724,0,50962,4484195,4484195,1170585,272113,166737,105376,898472,897631,841,3049904,3045806,4098,263706,67752,32479,163475,0
