1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,735,1169,296,296,873,12211,-38,0,24,0,-231,57,22,0,-214,4618,-153,3543,-823,1042,1009,4455,346,622,2707,780,1,382,35,0,0,0,13,3087,11338,11464,15,2170,3337,0,-49,30,-99,97,32,949,857,92,1,53,738,4072,0,-367,515,-126,-135,9,-434
1954:Q3,739,1152,302,302,850,10090,-117,0,12,0,-414,30,16,0,40,3342,133,2633,-1374,840,1110,3867,371,197,2941,358,0,312,28,0,0,0,15,2959,9240,9397,-141,1356,2048,0,303,-85,-24,133,-194,193,93,100,4,114,769,3923,10,281,622,-157,-177,20,-413
1954:Q4,774,1723,301,301,1422,14979,-98,0,14,0,317,113,11,0,-257,5657,-236,2627,1732,595,939,5718,831,973,3376,538,1,299,41,0,0,0,19,3144,13557,13584,-373,6127,2487,0,-311,-149,42,-20,-171,695,416,279,8,154,789,3992,0,54,111,-27,-147,120,-949
1955:Q1,849,59,349,349,-291,4202,7,0,12,0,205,-156,25,0,732,-4279,235,-6128,125,890,599,4489,380,-35,3251,893,0,326,57,0,0,0,20,2764,4492,4431,173,-4459,2091,0,653,321,239,-11,93,-270,-108,-162,3,142,781,4101,0,-270,1165,61,12,49,791
1955:Q2,865,828,371,371,457,11315,-67,0,5,0,-696,70,31,0,-437,-1190,-26,-1158,-881,94,781,9968,2626,972,3995,2375,2,344,43,0,0,0,22,3220,10858,11004,-425,1251,2656,0,-613,303,55,325,-77,806,601,205,2,121,761,4296,0,-330,2176,-146,-186,40,37
1955:Q3,861,1256,395,395,861,12359,39,0,4,0,1200,111,35,0,493,-675,77,-1074,-535,392,465,7837,1592,550,3976,1719,1,290,30,0,0,0,24,2970,11498,11544,1479,685,1410,0,417,402,-18,251,169,473,127,346,3,169,757,4260,0,186,1303,-46,-72,26,-395
1955:Q4,869,1070,414,414,656,14621,-26,0,2,0,507,174,40,0,-193,2197,-222,282,749,189,1199,8374,3055,661,3449,1209,0,837,40,0,0,0,26,2643,13965,13929,-21,4854,2298,0,-434,364,-262,414,212,830,724,106,3,140,771,4271,10,40,803,36,3,33,-201
1956:Q1,890,384,400,400,-16,5696,57,0,7,0,-408,-262,25,0,599,-2118,586,-4173,48,549,872,4225,623,204,2940,458,1,355,79,0,0,0,29,3107,5712,5737,-374,-3436,2112,0,789,1262,577,117,568,-769,-523,-246,2,314,792,4469,10,-91,657,-25,-102,77,506
1956:Q2,928,1004,410,410,593,8688,85,0,17,0,-817,5,26,0,-602,-1968,-269,-2185,-524,207,803,7627,2103,431,3568,1525,2,878,48,0,0,0,32,3355,8095,7867,-1036,250,3181,0,-735,414,-32,216,230,130,164,-34,2,35,819,4648,10,-234,383,228,191,37,-75
1956:Q3,960,1098,425,425,673,11736,82,0,14,0,1235,-3,26,0,482,1402,41,31,-217,355,1192,4892,466,334,3460,632,0,694,33,0,0,0,35,2844,11063,10873,2106,-50,1493,0,693,554,68,248,238,-141,-146,5,3,323,805,4651,0,345,91,190,167,23,-138
1956:Q4,961,1166,429,429,737,13961,37,0,20,0,621,235,29,0,-507,3936,-200,2524,389,204,1019,5692,1797,517,2945,433,0,684,42,0,0,0,39,3133,13224,13122,35,5158,2642,0,-747,11,-151,-105,267,594,230,364,-10,114,751,4796,0,172,-394,102,60,42,-205
1957:Q1,917,37,419,419,-383,6395,386,0,19,0,-1351,-230,32,0,700,643,400,-1752,285,364,1346,2283,-430,439,2203,71,1,870,71,0,0,0,39,2932,6777,6353,-1826,-3630,3530,0,892,1430,591,405,434,-1298,-814,-484,3,231,698,5269,10,-100,1144,424,283,141,880
1957:Q2,888,841,421,421,421,10838,314,0,22,0,772,108,32,0,-159,-1907,-258,-3723,-175,643,1606,6940,2357,866,2395,1322,2,572,43,0,0,0,40,4059,10417,10490,700,-929,3549,0,-278,579,-245,610,214,130,221,-91,2,224,645,5633,0,-191,426,-73,-102,29,47
