1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,28761,17883,0,0,0,0,0,1256,0,1256,137,6974,2512,2512,0,0,362568,33999,24938,4565,4390,15983,16,9045,0,0,328569,62,328507
1952:Q1,30410,17896,0,0,0,0,0,2098,0,2098,137,7702,2576,2576,0,0,366823,35175,25464,4605,4517,16343,16,9695,0,0,331648,63,331585
1952:Q2,30348,17736,0,0,0,0,0,2284,0,2284,139,7539,2649,2649,0,0,368968,36400,26603,4938,4635,17030,17,9780,0,0,332568,63,332505
1952:Q3,30693,17534,0,0,0,0,0,2349,0,2349,140,7945,2725,2725,0,0,370042,37153,27164,4965,4650,17549,17,9972,0,0,332889,64,332825
1952:Q4,30857,17413,0,0,0,0,0,2670,0,2670,141,7838,2795,2795,0,0,367810,37082,27439,4944,4681,17814,17,9626,0,0,330728,67,330661
1953:Q1,31672,17329,0,0,0,0,0,2449,0,2449,143,8891,2860,2860,0,0,367580,38409,27602,4825,4802,17974,18,10789,0,0,329171,67,329104
1953:Q2,31626,17255,0,0,0,0,0,2560,0,2560,143,8743,2925,2925,0,0,367165,39360,28454,4994,4851,18609,18,10887,0,0,327805,68,327737
1953:Q3,31751,17215,0,0,0,0,0,2552,0,2552,146,8850,2988,2988,0,0,368949,40195,28988,5130,4856,19002,18,11189,0,0,328754,70,328684
1953:Q4,31448,17217,0,0,0,0,0,2798,0,2798,148,8233,3052,3052,0,0,368656,38369,28357,4434,4775,19148,19,9993,0,0,330287,72,330215
1954:Q1,32128,17276,0,0,0,0,0,2489,0,2489,149,9097,3117,3117,0,0,370681,40174,28803,4521,4954,19327,19,11352,0,0,330507,73,330434
1954:Q2,32072,17400,0,0,0,0,0,2562,0,2562,150,8777,3183,3183,0,0,372052,41634,29908,4764,4999,20145,19,11707,0,0,330418,75,330343
1954:Q3,32366,17538,0,0,0,0,0,2512,0,2512,152,8916,3248,3248,0,0,375248,43461,30885,5029,5047,20808,20,12557,0,0,331786,76,331710
1954:Q4,32079,17641,0,0,0,0,0,2799,0,2799,154,8174,3311,3311,0,0,376569,42664,30915,4661,5078,21176,20,11730,0,0,333904,79,333825
1955:Q1,32706,17722,0,0,0,0,0,2501,0,2501,156,8955,3372,3372,0,0,380175,44292,31602,4649,5310,21643,21,12669,0,0,335883,80,335803
1955:Q2,32477,17791,0,0,0,0,0,2619,0,2619,157,8476,3434,3434,0,0,382918,46425,33306,5293,5477,22536,21,13098,0,0,336493,82,336411
1955:Q3,32645,17857,0,0,0,0,0,2613,0,2613,161,8521,3494,3494,0,0,387813,48155,34494,5665,5582,23247,22,13638,0,0,339658,83,339575
1955:Q4,32455,17924,0,0,0,0,0,2905,0,2905,165,7907,3553,3553,0,0,391908,48018,34838,5737,5575,23526,22,13157,0,0,343890,87,343803
1956:Q1,33275,17961,0,0,0,0,0,2631,0,2631,168,8912,3603,3603,0,0,399374,49680,35453,5764,5653,24036,23,14204,0,0,349694,88,349606
1956:Q2,33524,17980,0,0,0,0,0,2732,0,2732,172,8993,3647,3647,0,0,405827,51383,36908,6217,5793,24898,23,14452,0,0,354444,90,354354
1956:Q3,34129,18015,0,0,0,0,0,2772,0,2772,175,9474,3693,3693,0,0,410914,52886,37909,6565,5814,25529,24,14953,0,0,358028,91,357937
1956:Q4,34130,18095,0,0,0,0,0,3061,0,3061,178,9051,3745,3745,0,0,412953,52033,37929,6279,5935,25715,24,14080,0,0,360920,94,360826
1957:Q1,34873,18216,0,0,0,0,0,2748,0,2748,182,9927,3800,3800,0,0,417949,53309,38245,6218,6095,25933,25,15038,0,0,364641,94,364547
1957:Q2,34432,18355,0,0,0,0,0,2869,0,2869,189,9159,3860,3860,0,0,421435,54072,39337,6582,6167,26588,25,14710,0,0,367362,95,367267
1957:Q3,34481,18532,0,0,0,0,0,2843,0,2843,191,8997,3918,3918,0,0,426019,54901,40085,6658,6200,27228,25,14791,0,0,371118,96,371022
1957:Q4,34401,18762,0,0,0,0,0,3102,0,3102,193,8378,3966,3966,0,0,428046,54769,40378,6732,6168,27478,25,14366,0,0,373277,98,373179
1958:Q1,35674,19146,0,0,0,0,0,2702,0,2702,195,9617,4013,4013,0,0,435776,56494,40839,6609,6382,27849,26,15629,0,0,379282,99,379183
1958:Q2,36241,19705,0,0,0,0,0,2774,0,2774,195,9516,4052,4052,0,0,440627,58014,42234,7098,6510,28626,26,15754,0,0,382613,101,382512
1958:Q3,37160,20184,0,0,0,0,0,2808,0,2808,205,9874,4089,4089,0,0,445018,59380,43310,7158,6552,29599,27,16043,0,0,385638,102,385536
1958:Q4,37158,20335,0,0,0,0,0,3103,0,3103,209,9377,4135,4135,0,0,447017,59647,44180,7288,6586,30306,27,15441,0,0,387370,104,387266
1959:Q1,37491,20170,0,0,0,0,0,2836,0,2836,213,10079,4193,4193,0,0,449870,61787,45645,7374,6926,31345,27,16115,0,0,388083,106,387977
1959:Q2,36679,19678,0,0,0,0,0,2969,0,2969,215,9556,4261,4261,0,0,451834,64175,48026,7986,7212,32829,28,16121,0,0,387659,108,387551
1959:Q3,36264,19116,0,0,0,0,0,2944,0,2944,227,9648,4329,4329,0,0,453445,66083,49615,8279,7222,34114,29,16439,0,0,387362,110,387252
1959:Q4,35017,18737,0,0,0,0,0,3425,0,3425,232,8234,4390,4390,0,0,454039,65310,50249,8343,7106,34800,29,15032,0,0,388729,113,388616
1960:Q1,35772,18478,0,0,0,0,0,2864,0,2864,237,9755,4438,4438,0,0,459710,68040,51424,8464,7322,35638,30,16586,0,0,391670,113,391557
1960:Q2,35034,18284,0,0,0,0,0,3025,0,3025,236,9010,4479,4479,0,0,462186,69461,53204,8850,7500,36854,30,16226,0,0,392725,114,392611
1960:Q3,35086,18145,0,0,0,0,0,2927,0,2927,248,9246,4519,4519,0,0,466555,70883,54374,8881,7511,37982,30,16479,0,0,395672,115,395557
1960:Q4,34617,18044,0,0,0,0,0,3202,0,3202,252,8554,4566,4566,0,0,469340,70668,55024,8858,7424,38742,31,15614,0,0,398671,118,398553
1961:Q1,35218,18016,0,0,0,0,0,2594,0,2594,257,9731,4620,4620,0,0,474526,73542,56904,8971,7709,40225,31,16606,0,0,400984,120,400864
1961:Q2,35187,18064,0,0,0,0,0,2763,0,2763,257,9421,4681,4681,0,0,479624,74984,58707,9214,7789,41704,32,16245,0,0,404641,122,404519
1961:Q3,35597,18133,0,0,0,0,0,2798,0,2798,272,9655,4739,4739,0,0,486703,76848,60612,9395,7892,43325,32,16205,0,0,409854,125,409729
1961:Q4,35258,18162,0,0,0,0,0,3130,0,3130,276,8904,4787,4787,0,0,492791,76886,61717,9459,7780,44478,33,15136,0,0,415905,127,415778
1962:Q1,35783,18177,0,0,0,0,0,2777,0,2777,281,9724,4825,4825,0,0,500228,79386,63517,9617,8104,45796,33,15837,0,0,420842,128,420714
1962:Q2,35403,18186,0,0,0,0,0,3020,0,3020,282,9068,4848,4848,0,0,505630,81551,65954,10147,8294,47513,33,15564,0,0,424078,129,423949
1962:Q3,35527,18184,0,0,0,0,0,3019,0,3019,297,9153,4874,4874,0,0,512404,83471,67698,10332,8307,49059,34,15739,0,0,428933,129,428804
1962:Q4,35160,18163,0,0,0,0,0,3315,0,3315,301,8462,4919,4919,0,0,517337,84359,69302,10573,8238,50491,34,15023,0,0,432978,130,432848
1963:Q1,35553,18139,0,0,0,0,0,2966,0,2966,306,9149,4993,4993,0,0,521694,86756,71203,10639,8728,51836,34,15518,0,0,434939,131,434808
1963:Q2,35366,18088,0,0,0,0,0,3178,0,3178,305,8702,5093,5093,0,0,524172,89116,74023,11221,8923,53879,34,15058,0,0,435056,132,434924
1963:Q3,35475,18039,0,0,0,0,0,3224,0,3224,324,8697,5191,5191,0,0,525760,90732,75982,11351,8960,55671,35,14715,0,0,435029,133,434896
1963:Q4,35117,18018,0,0,0,0,0,3553,0,3553,328,7961,5258,5258,0,0,530241,91640,77972,11731,9063,57179,35,13633,0,0,438601,137,438464
1964:Q1,35543,18018,0,0,0,0,0,3266,0,3266,333,8574,5352,5352,0,0,533495,94000,79809,11911,9501,58396,36,14155,0,0,439495,138,439357
1964:Q2,35691,18047,0,0,0,0,0,3404,0,3404,334,8454,5452,5452,0,0,541654,96849,82677,12393,9824,60460,36,14136,0,0,444805,140,444665
1964:Q3,36096,18087,0,0,0,0,0,3437,0,3437,355,8661,5556,5556,0,0,548088,98913,84749,12529,9890,62330,37,14127,0,0,449175,141,449034
1964:Q4,36024,18119,0,0,0,0,0,3779,0,3779,362,8106,5658,5658,0,0,557675,99382,86267,12477,9904,63886,37,13078,0,0,458292,143,458149
1965:Q1,36393,18145,0,0,0,0,0,3495,0,3495,371,8627,5756,5756,0,0,565400,102073,88375,12968,10320,65087,38,13660,0,0,463326,144,463182
1965:Q2,36346,18175,0,0,0,0,0,3662,0,3662,391,8266,5852,5852,0,0,573306,105093,91529,13599,10642,67288,38,13527,0,0,468213,146,468067
1965:Q3,36716,18202,0,0,0,0,0,3670,0,3670,407,8487,5951,5951,0,0,579453,107374,93708,13801,10643,69263,39,13628,0,0,472078,148,471930
1965:Q4,36666,18223,0,0,0,0,0,4040,0,4040,413,7930,6060,6060,0,0,593575,108383,95594,14046,10695,70853,39,12750,0,0,485191,152,485039
1966:Q1,37156,18226,0,0,0,0,0,3701,0,3701,426,8627,6176,6176,0,0,599836,111941,98991,14668,11379,72943,40,12911,0,0,487894,152,487742
1966:Q2,37049,18219,0,0,0,0,0,3830,0,3830,440,8260,6300,6300,0,0,616344,114471,102189,15622,11629,74938,40,12243,0,0,501873,153,501720
1966:Q3,37738,18211,0,0,0,0,0,3725,0,3725,457,8915,6430,6430,0,0,624014,116135,103714,15650,11651,76413,40,12381,0,0,507878,154,507724
1966:Q4,37718,18213,0,0,0,0,0,3988,0,3988,466,8491,6560,6560,0,0,635555,116865,105278,16296,11621,77361,40,11547,0,0,518690,156,518534
1967:Q1,38219,18236,0,0,0,0,0,3654,0,3654,478,9150,6701,6701,0,0,641613,118644,107112,16495,12176,78441,41,11491,0,0,522969,159,522810
1967:Q2,38327,18266,0,0,0,0,0,3730,0,3730,502,8982,6847,6847,0,0,650532,122048,110534,17240,12525,80769,42,11472,0,0,528483,163,528320
1967:Q3,38912,18302,0,0,50,50,0,3627,0,3627,511,9422,7000,7000,0,0,658575,124756,112844,17199,12504,83140,43,11869,0,0,533820,167,533653
1967:Q4,39013,18344,0,0,100,100,0,3872,0,3872,523,9022,7152,7152,0,0,670481,127111,115611,17657,12779,85176,44,11456,0,0,543370,171,543199
1968:Q1,37860,18375,0,0,150,150,0,3592,0,3592,534,7893,7316,7316,0,0,683193,126745,117514,17895,13189,86430,45,9186,0,0,556448,174,556274
1968:Q2,38084,18418,0,0,200,200,0,3677,0,3677,566,7736,7487,7487,0,0,695454,130781,121388,18759,13500,89129,46,9346,0,0,564673,177,564496
1968:Q3,38755,18462,0,0,250,250,0,3532,0,3532,574,8263,7674,7674,0,0,705409,133674,123689,18709,13462,91518,47,9939,0,0,571734,181,571553
1968:Q4,38819,18499,0,0,300,300,0,3852,0,3852,630,7655,7882,7882,0,0,724463,135981,126582,19120,13573,93888,48,9351,0,0,588482,186,588296
1969:Q1,39422,18526,0,0,350,350,0,3530,0,3530,645,8257,8114,8114,0,0,739200,139278,129653,19990,14148,95516,49,9576,0,0,599922,190,599732
1969:Q2,40004,18546,0,0,400,400,0,3667,100,3567,674,8345,8372,8372,0,0,753704,144838,134785,21026,14715,99044,50,10003,0,0,608866,194,608672
1969:Q3,40724,18562,0,0,450,450,0,3685,200,3485,683,8705,8639,8639,0,0,762029,149191,138610,21617,14877,102116,52,10529,0,0,612838,198,612640
1969:Q4,40794,18578,0,0,500,500,0,4012,300,3712,695,8110,8899,8899,0,0,775407,151950,141905,21874,15124,104907,53,9992,0,0,623457,203,623254
1970:Q1,41379,18607,200,0,550,550,0,3814,400,3414,709,8331,9169,9169,0,0,785597,152766,135076,21835,15856,97384,54,10013,0,7623,632831,210,632621
1970:Q2,41844,18633,600,0,600,600,0,3978,500,3478,727,7860,9446,9446,0,0,808648,158049,140021,22451,16451,101119,56,10208,0,7763,650600,216,650384
1970:Q3,42360,18659,1000,0,650,650,0,4180,600,3580,733,7418,9720,9720,0,0,809120,163024,144693,22522,16467,105704,58,10168,0,8105,646096,222,645874
1970:Q4,42676,18687,1400,0,700,700,0,4529,700,3829,758,6623,9979,9979,0,0,821313,166512,148557,22287,16635,109636,59,9315,0,8581,654802,229,654573
1971:Q1,46076,18715,1800,0,750,750,0,4431,975,3456,775,8333,11273,10273,0,1000,847944,173055,152694,22836,17423,112435,60,10966,0,9335,674889,231,674658
1971:Q2,48079,18742,2200,0,800,800,0,4816,1275,3541,795,8152,12574,10574,0,2000,870868,180926,160360,23780,18025,118554,61,10455,311,9739,689942,234,689708
1971:Q3,50539,18776,2600,0,860,860,0,5082,1575,3507,800,8530,13890,10890,0,3000,892535,187158,165708,23887,17793,124028,62,10291,674,10424,705376,237,705139
1971:Q4,52500,18824,3000,0,900,900,0,5587,1875,3712,836,8123,15230,11230,0,4000,914377,193254,171162,24461,17809,128891,62,9517,1037,11476,721123,240,720883
1972:Q1,54855,18884,3400,0,950,950,0,5546,2175,3371,846,8636,16593,11593,0,5000,942360,199529,175928,24887,18354,132687,63,9742,1400,12396,742831,244,742587
1972:Q2,57509,18963,3800,0,1000,1000,0,5857,2450,3407,881,8824,18185,11985,0,6200,967720,210943,186158,26261,18803,141094,64,10276,1763,12681,756777,248,756529
1972:Q3,60440,19039,4200,0,1050,1050,0,6096,2725,3371,888,9386,19782,12382,0,7400,996534,219523,193171,26176,18851,148144,65,10978,2126,13184,777011,252,776759
1972:Q4,62486,19093,4600,0,1100,1100,0,6630,3000,3630,933,8770,21361,12761,0,8600,1032242,229928,202550,27222,19007,156321,67,10662,2489,14160,802314,256,802058
1973:Q1,66507,20221,5006,0,1133,1133,0,6461,3170,3291,961,9240,23484,13128,0,10356,1074560,244651,212978,30669,21069,161240,72,13619,2853,15128,829909,277,829632
1973:Q2,69671,21357,5411,0,1161,1161,0,6673,3299,3374,1023,9753,24292,13475,0,10817,1123440,260258,224678,35916,21841,166920,80,17017,3222,15261,863182,308,862874
1973:Q3,72590,22506,5813,0,1176,1176,0,6598,3330,3268,1075,10376,25045,13819,0,11226,1174242,269653,229627,40998,22111,166518,86,20453,3599,15888,904590,333,904257
1973:Q4,75563,23653,6213,0,1183,1183,0,6722,3285,3437,1103,11086,25603,14176,0,11427,1213178,275681,230141,44887,22349,162906,90,24018,3985,17447,937497,348,937149
1974:Q1,78152,24095,6735,0,1199,1199,0,6475,3354,3121,1126,12540,25982,14549,0,11433,1245303,288375,239051,47909,23318,167824,98,26283,4419,18524,956928,378,956550
1974:Q2,80384,24335,7205,0,1214,1214,0,6572,3406,3166,1232,13632,26195,14937,0,11258,1280185,303141,250896,50597,24324,175975,106,27920,4836,19382,977044,408,976636
1974:Q3,80834,24181,7546,0,1226,1226,0,6458,3418,3040,1280,13821,26322,15317,0,11005,1334216,315262,260881,52204,25274,183402,114,28075,5208,20985,1018954,439,1018515
1974:Q4,80299,23744,7784,0,1238,1238,0,6476,3393,3083,1329,13288,26440,15664,0,10776,1372862,323063,267249,53190,25928,188132,121,27123,5545,23025,1049799,467,1049332
1975:Q1,80413,23714,7877,0,1228,1228,0,5923,3278,2645,1369,13693,26610,16100,0,10510,1408527,330012,272749,54100,26553,192097,120,27490,5847,23806,1078515,463,1078052
1975:Q2,80964,23769,7964,0,1226,1226,0,5855,3196,2659,1399,14062,26689,16552,0,10137,1446039,337849,279857,55092,28203,196561,119,27932,6134,23807,1108191,459,1107732
1975:Q3,81601,23989,8033,0,1243,1243,0,5722,3190,2532,1430,14341,26843,17023,0,9820,1469852,343203,284188,55983,29066,199138,118,28312,6383,24202,1126648,455,1126193
1975:Q4,82989,24325,8088,0,1274,1274,0,5920,3252,2668,1587,14551,27243,17524,0,9719,1496715,348810,287601,56659,29985,200956,117,28435,6602,26055,1147906,450,1147456
1976:Q1,83947,24600,8206,0,1249,1249,0,5665,3326,2339,1645,14542,28039,18216,0,9823,1525793,357436,295608,57632,31144,206832,118,29052,6894,25764,1168358,453,1167905
1976:Q2,85993,24958,8417,0,1258,1258,0,5840,3462,2378,1703,14666,29151,19039,0,10112,1577681,366492,303302,59546,32630,211126,119,29996,7187,25888,1211190,456,1210734
1976:Q3,88999,25526,8859,0,1352,1352,0,5997,3741,2256,1739,15123,30403,19910,0,10493,1615232,375293,310603,60857,34194,215553,119,30741,7484,26346,1239939,460,1239479
1976:Q4,93245,26271,9490,0,1515,1515,0,6632,4151,2481,1866,15849,31621,20748,0,10873,1661761,383726,317082,62117,34953,220013,120,31438,7785,27301,1278036,463,1277573
1977:Q1,95697,26809,9951,0,1686,1686,0,6482,4320,2162,1942,15878,32949,21653,0,11296,1709465,396391,327623,63660,37751,226212,119,32994,8065,27590,1313075,460,1312615
1977:Q2,99613,27405,10491,0,1878,1878,0,6615,4557,2058,1993,16826,34406,22604,0,11802,1755970,409655,340345,66680,39258,234407,119,34219,8341,26631,1346314,456,1345858
1977:Q3,104432,28130,11229,0,2123,2123,0,6805,4959,1846,2011,18221,35913,23596,0,12317,1811575,420819,350362,68840,40371,241151,118,34892,8609,26838,1390756,453,1390303
1977:Q4,110504,28954,12127,0,2412,2412,0,7506,5509,1997,2138,19976,37391,24627,0,12764,1873161,431096,359811,70439,41385,247987,129,35037,8871,27248,1442065,494,1441571
1978:Q1,115259,29752,12665,0,2732,2732,0,7489,6006,1483,2217,21559,38845,25694,0,13151,1948049,444014,370564,72859,43470,254235,135,35571,8965,28779,1504035,521,1503514
1978:Q2,120552,30560,13327,0,3001,3001,0,7910,6563,1347,2333,23113,40309,26824,0,13485,2023934,462336,387212,77792,46934,262486,144,36474,9130,29376,1561598,552,1561046
1978:Q3,126106,31385,14299,0,3143,3143,0,8476,7273,1203,2428,24594,41782,27968,0,13814,2095853,480383,403622,82437,49789,271396,154,37584,9470,29553,1615470,590,1614880
1978:Q4,132297,32227,15522,0,3184,3184,0,9572,8114,1458,2514,26018,43261,29075,0,14186,2171160,497443,418206,85961,51893,280351,175,38623,9951,30488,1673717,673,1673044
1979:Q1,137843,32981,17001,0,3192,3192,0,9922,8970,952,2576,27421,44750,30146,0,14604,2263667,514572,430838,89249,54256,287333,197,40543,10517,32477,1749095,758,1748337
1979:Q2,143602,33724,18463,0,3159,3159,0,10622,9771,851,2698,28676,46260,31187,0,15073,2357609,542926,455969,94380,59157,302432,219,42710,11141,32887,1814683,843,1813840
1979:Q3,148614,34430,19882,0,3024,3024,0,11158,10437,721,2787,29563,47770,32241,0,15529,2449562,567130,476416,98714,61200,316502,241,44870,11910,33693,1882432,928,1881504
1979:Q4,153483,35110,21269,0,2805,2805,0,11884,11001,883,3003,30154,49258,33350,0,15908,2532177,589437,492016,101694,64222,326101,316,46885,12795,37425,1942739,1213,1941526
1980:Q1,154821,35869,21537,0,2635,2635,0,11188,10779,409,3143,30642,49807,34300,0,15507,2605309,611306,509472,102154,67947,339372,374,48603,13870,38986,1994004,1440,1992564
1980:Q2,155395,36606,21994,0,2509,2509,0,10992,10767,225,3268,31168,48859,35236,0,13623,2683909,632372,525618,102796,70245,352576,429,50118,14768,41439,2051537,1651,2049886
1980:Q3,158560,37289,22923,0,2493,2493,0,11428,11278,150,3359,31791,49277,36145,0,13132,2767028,650972,541013,103488,72179,365346,495,51537,15225,42702,2116056,1904,2114152
1980:Q4,167152,37941,24231,0,2564,2564,0,12367,12217,150,3630,32492,53926,37020,0,16906,2856324,667931,555061,104594,74201,376266,758,52581,15328,44203,2188394,2914,2185480
1981:Q1,174811,38429,24670,0,2728,2728,0,13981,13906,75,3730,33031,58242,37821,0,20421,2926210,685923,573154,106493,78543,388119,824,54087,15036,42822,2240286,3170,2237116
1981:Q2,182685,38959,24981,0,2900,2900,0,15781,15731,50,3885,33808,62371,38560,0,23811,2987186,705144,591750,111361,83169,397220,891,56343,14703,41457,2282042,3428,2278614
1981:Q3,190977,39574,25276,0,3091,3091,0,17948,17898,50,4038,35180,65869,39293,0,26576,3030652,720493,605455,114800,85208,405446,965,57776,14266,42032,2310158,3710,2306448
1981:Q4,199990,40262,25700,0,3298,3298,0,20364,20339,25,4293,37028,69045,40079,0,28966,3083122,736062,619777,115997,85315,418465,1017,58628,13744,42896,2347061,3913,2343148
1982:Q1,201760,40582,26211,0,3080,3080,0,21893,21868,25,4482,38721,66791,40957,0,25834,3133901,755349,631397,114721,85980,430697,877,59291,13774,50009,2378552,1999,2376553
1982:Q2,204038,41153,26769,0,2945,2945,0,23247,23247,0,4439,40591,64894,42067,0,22827,3173390,783594,650036,114129,88514,447392,971,61728,13941,56919,2389796,2161,2387635
1982:Q3,207656,42335,27392,0,3014,3014,0,24252,24252,0,4528,42703,63432,42987,0,20445,3194347,809647,667117,112249,89527,465341,1077,63095,14450,63908,2384700,2414,2382286
1982:Q4,211726,44008,28100,0,3244,3244,0,24961,24961,0,4678,45009,61727,43289,0,18438,3216890,828371,677655,109439,88580,479636,954,63055,15235,71472,2388519,3029,2385490
1983:Q1,218249,46000,28909,0,3987,3987,0,25509,25509,0,4702,46965,62177,42774,0,19403,3259417,848172,695767,108888,89344,497535,1079,61351,15738,74238,2411245,3519,2407726
1983:Q2,224240,48048,29837,0,4711,4711,0,26274,26274,0,4679,48878,61813,41320,0,20493,3276791,870215,712882,110273,90873,511736,1189,62266,16224,77655,2406576,3688,2402888
1983:Q3,231531,50223,30796,0,5386,5386,0,27574,27574,0,4714,50683,62155,39947,0,22208,3307418,891227,729855,110852,91569,527434,1323,62716,16668,80665,2416191,3893,2412298
1983:Q4,240638,52493,31700,0,6023,6023,0,29305,29305,0,4747,52404,63966,39667,0,24299,3361518,914281,748981,111560,92163,545258,1143,62983,17081,84094,2447237,3954,2443283
1984:Q1,253707,53424,32533,0,6139,6139,0,31772,31772,0,4753,54394,70692,48243,0,22449,3397959,943823,775238,115513,94126,565599,1232,62914,17188,87251,2454136,4315,2449821
1984:Q2,258577,54469,33281,0,6155,6155,0,34252,34252,0,4761,56277,69382,48907,0,20475,3422703,978584,807403,121669,94928,590806,1383,64770,17359,87669,2444119,4446,2439673
1984:Q3,262851,55853,34089,0,5920,5920,0,36765,36765,0,4798,57892,67533,49658,0,17875,3452865,1012962,836358,126719,95901,613738,1405,66508,17690,91000,2439903,4507,2435396
1984:Q4,267175,57539,35100,0,5481,5481,0,39311,39311,0,4826,59293,65625,50724,0,14901,3488873,1043630,862648,129331,95807,637510,1329,67829,18151,93673,2445243,4149,2441094
1985:Q1,275191,59851,36370,0,5468,5468,0,41009,41009,0,4842,60657,66995,52726,0,14269,3523529,1074621,886858,129531,95730,661596,1421,67916,18775,99651,2448909,4413,2444496
1985:Q2,283393,62458,37956,0,5488,5488,0,42493,42493,0,4721,61926,68351,54588,0,13763,3544969,1110761,915931,132549,96194,687188,1422,69987,19494,103927,2434208,4322,2429886
1985:Q3,292268,65757,39489,0,5588,5588,0,43447,43447,0,4616,62957,70414,56533,0,13881,3586589,1140221,929119,132975,96350,699795,1435,70920,20450,118297,2446368,4349,2442019
1985:Q4,301070,71771,40600,0,5754,5754,0,43983,43983,0,4532,63798,70633,56258,0,14375,3654995,1145535,933047,131382,93849,707816,1512,66558,21596,122822,2509461,5567,2503894
1986:Q1,317506,73166,41380,3122,9425,9425,0,43818,43818,0,4332,69046,73217,58108,0,15109,3700208,1154876,951071,130931,93923,726218,1596,54197,21836,126175,2545332,5699,2539633
1986:Q2,325694,73741,41918,3182,10008,10008,0,45091,45091,0,4352,71303,76099,60130,0,15969,3739491,1174334,972756,132147,94737,745873,1654,50678,22148,127097,2565157,5830,2559327
1986:Q3,333203,73975,42224,3208,10530,10530,0,46259,46259,0,4157,73364,79486,62033,0,17453,3790310,1190986,988495,132675,93028,762792,1678,49627,22637,128549,2599323,5937,2593386
1986:Q4,336276,74350,42308,3227,10771,10771,0,44676,44676,0,3931,74822,82192,62879,0,19313,3834464,1207873,1000195,131977,93021,775197,1659,51446,23269,131304,2626591,6111,2620480
1987:Q1,335949,74594,42014,3220,10720,10720,0,42950,42950,0,3726,75513,83212,62488,0,20724,3879503,1223531,1016512,131935,92672,791904,1795,54924,23459,126841,2655972,6095,2649877
1987:Q2,331844,74788,41183,3166,10365,10365,0,40438,40438,0,3634,75274,82996,60735,0,22261,3911461,1236456,1031022,136343,93540,801139,1845,53811,23480,126297,2675005,6209,2668796
1987:Q3,328797,74980,40436,3117,9971,9971,0,38352,38352,0,3489,75167,83286,58864,0,24422,3944437,1249085,1044727,139569,93716,811442,2057,54615,23542,124144,2695351,6106,2689245
1987:Q4,330855,75214,40390,3118,9799,9799,0,37909,37909,0,3461,76252,84712,57753,0,26959,4000452,1270780,1064863,140669,101461,822733,698,56506,23851,124862,2729672,2216,2727456
