1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q2,759168,21309,0,5047,0,22509,4944,1290,0,1512,227984,3507,121812,4004,29268,69393,244936,49534,28136,130214,37052,36,33094,1981,0,0,0,1527,192999,767155,710543,19674,147865,146137,0,598,14758,4082,4802,5874,11633,9659,1974,281,10610,70755,249584,250,1442,36956,56612,53829,2783
1958:Q3,769072,20782,0,5063,0,22527,4961,1328,0,1465,230952,3481,123000,4318,30017,70136,246971,47888,28136,133782,37165,36,36048,2017,0,0,0,1563,195359,775920,719030,20587,145579,148605,0,928,14343,3778,5023,5542,10006,7861,2145,281,11791,71533,255559,260,1588,37970,56890,54089,2801
1958:Q4,790552,20499,0,5078,0,23095,5194,1366,0,643,236194,3000,126572,4680,30508,71434,255711,51260,29255,137629,37567,38,40044,2060,0,0,0,1599,199031,796245,739042,20864,152969,151862,0,32,14064,3395,5115,5554,11606,9092,2514,305,13242,72294,261505,260,1698,38341,57203,54286,2917
1959:Q1,796549,20408,0,5090,0,22602,5067,1417,0,1484,233948,3189,123103,4369,31234,72053,259215,50317,29961,140826,38111,39,41266,2154,0,0,0,1639,202220,802224,744701,20722,147117,154402,0,1120,14744,3792,5236,5716,11275,8831,2444,305,14132,73063,266590,270,1544,39417,57523,54528,2995
1959:Q2,813511,19671,0,5123,0,23186,5144,1469,0,1413,233430,3128,121065,4135,31831,73271,270727,53914,31634,144875,40304,39,43983,2204,0,0,0,1683,205439,818015,760245,21647,148412,157912,0,1375,16064,4036,6111,5917,12273,9576,2697,307,14973,73834,271973,270,1234,39971,57770,54738,3032
1959:Q3,825573,19318,0,5153,0,22280,5134,1525,0,1115,234699,3443,120434,4259,32343,74220,279588,55887,31954,149305,42442,40,43639,2241,0,0,0,1731,209110,830321,772343,21318,150588,159429,0,822,17047,3885,6924,6238,13125,10264,2861,309,14747,74667,277284,280,1370,41357,57978,54920,3058
1959:Q4,841413,19394,0,5155,0,23229,5364,1584,0,612,235466,2866,119813,4257,32791,75739,289951,59837,33133,153311,43670,42,46685,2286,0,0,0,1782,209863,845296,787199,21622,154416,161648,0,133,17917,4050,7323,6544,14407,12492,1915,317,15818,75606,282450,280,1387,41198,58097,54974,3123
1960:Q1,844334,19352,0,5184,0,22714,5140,1633,0,1683,231582,4052,113313,4725,33139,76353,293980,58983,33808,156614,44575,43,44653,2409,0,0,0,1830,214131,848549,790334,21247,146475,163526,0,1865,20420,5448,7160,7812,12615,11584,1031,319,15312,76524,288429,290,1386,41926,58215,54977,3238
1960:Q2,863033,19242,0,5198,0,22153,5263,1685,0,1790,233781,4225,113758,4879,33428,77491,303968,61452,35836,160104,46576,44,47319,2454,0,0,0,1872,218264,865741,807049,21036,149325,167569,0,1434,21728,5476,7816,8436,13026,12153,873,324,16097,77383,295014,290,1488,42335,58692,55414,3278
1960:Q3,878507,18579,0,5219,0,23178,5251,1740,0,1713,240232,4531,117607,5041,34185,78868,308924,60918,36037,164059,47910,46,45651,2493,0,0,0,1907,223574,880956,822299,22773,151285,171505,0,1099,22613,5631,7930,9052,13190,11938,1252,326,15640,78133,300892,290,1948,42605,58657,55330,3327
1960:Q4,899382,17666,0,5242,0,22320,5498,1798,0,1160,247019,4465,121706,5513,34835,80500,316071,62903,37317,167428,48423,47,50943,2546,0,0,0,1934,227138,899436,840153,21336,156322,176937,0,108,23616,5775,8061,9780,14093,12027,2066,331,17026,78758,307270,290,2364,41702,59283,55908,3375
1961:Q1,908526,17329,0,5253,0,20483,5420,1863,0,2117,248971,5426,120224,5895,36065,81361,317623,61003,37567,170274,48779,47,57042,2682,0,0,0,1954,227742,906763,847083,19216,149028,182482,0,1338,24517,6708,7579,10230,11269,10386,883,336,19440,79425,313474,300,2302,43956,59680,56180,3500
1961:Q2,927249,17440,0,5281,0,20825,5594,1930,0,1037,252721,5295,122535,5985,36034,82872,325209,62145,39590,174186,49288,49,58181,2729,0,0,0,1969,234284,924304,864695,19578,151975,189071,0,316,24881,6504,7915,10462,12337,10385,1952,337,20003,80196,319799,300,1729,44173,59609,56081,3528
1961:Q3,947744,17307,0,5406,0,21562,5739,1999,0,2168,260563,5635,127168,5890,37840,84030,331394,63013,39826,178860,49695,50,60343,2777,0,0,0,1981,236455,944052,884428,20808,155416,192783,0,1622,25143,6304,8457,10382,12915,11384,1531,339,21007,81095,325795,300,1599,45606,59624,56070,3554
1961:Q4,973955,16842,0,5429,0,23491,6007,2071,0,891,265445,4947,129624,6364,38685,85825,343347,67109,41546,184004,50688,51,65664,2831,0,0,0,1993,239893,990081,907848,22210,162367,197676,0,274,25568,6302,8764,10502,15372,13346,2026,372,22875,82112,331988,300,1392,45342,82233,78518,3715
1962:Q1,979842,16643,0,5432,0,21774,5803,2140,0,2403,269273,6292,128733,6996,40480,86772,345148,65746,40999,187673,50730,54,65477,2878,36,0,0,2035,240746,994884,913499,19466,154500,206020,0,1693,26942,7107,9163,10672,12967,11872,1095,376,23048,83115,335565,310,1708,47789,81385,77641,3744
1962:Q2,988233,16825,0,5442,0,21896,5911,2211,0,1363,272962,6006,128890,7483,42071,88512,355956,67489,42319,193139,53009,55,51502,2923,97,0,0,2093,248997,989159,925601,19569,158642,213477,0,560,27175,7138,9524,10513,14129,11812,2317,377,18436,84072,338706,310,1610,48538,63558,59789,3769
1962:Q3,1005941,16372,0,5394,0,23778,6030,2286,0,2115,275216,6509,128609,7301,43002,89795,364631,68945,42514,198999,54173,56,54831,2968,158,0,0,2153,249953,1008623,941710,22338,157533,218126,0,1388,27945,7518,10113,10314,15060,12318,2742,379,19088,84951,342545,320,1915,50122,66913,63125,3788
1962:Q4,1036961,16011,0,5411,0,24913,6330,2362,0,1660,283651,5985,133212,8225,44443,91786,378744,74085,44063,204957,55639,58,62008,3018,194,0,0,2201,250400,1047464,968954,21822,167739,226318,0,671,28712,7478,10401,10833,17633,14929,2704,354,21271,85754,346726,320,1947,49687,78510,74795,3715
1963:Q1,1046272,15923,0,5422,0,22037,5972,2423,0,2859,285991,7254,131685,8375,45452,93225,382230,71918,44056,209637,56619,59,65952,3074,206,0,0,2239,251885,1060353,976703,18986,159341,234903,0,2186,29323,8502,9576,11245,14685,13572,1113,356,22549,86678,352905,325,2203,52263,83650,79906,3744
1963:Q2,1073993,15753,0,5431,0,22182,6046,2485,0,1760,289756,7542,131783,8510,46882,95039,397942,75234,47382,216366,58960,62,69848,3122,194,0,0,2270,257142,1091933,1003258,19232,165104,242334,0,1096,30740,8990,10523,11227,16918,14556,2362,355,23693,87667,359582,325,1673,54539,88675,84913,3762
1963:Q3,1093934,15601,0,5432,0,23071,6085,2549,0,2371,291321,7909,130599,8667,47814,96332,409566,76661,48450,223573,60882,62,72492,3188,183,0,0,2299,259714,1115991,1022703,20828,163696,247248,0,1854,31422,8811,11209,11402,18901,15871,3030,356,24496,88729,365745,330,1709,57389,93288,89501,3787
1963:Q4,1122876,15614,0,5422,0,23939,6222,2616,0,1807,296263,7303,133318,8705,48825,98112,425755,81834,50500,230449,62972,65,75737,3258,193,0,0,2332,263653,1141823,1050436,20667,172925,255852,0,1022,33174,8741,12049,12384,20951,17313,3638,374,25215,89860,371995,330,1548,56523,91387,87551,3836
1964:Q1,1135375,15721,0,5423,0,22663,6014,2698,0,3165,297549,8000,131676,8356,49597,99920,429308,78260,51127,235645,64276,67,80239,3332,234,0,0,2368,266594,1157585,1060842,18941,165628,263318,0,2425,34954,9975,11504,13475,18216,14201,4015,374,26881,90916,379278,340,1906,57665,96743,92888,3855
1964:Q2,1164770,15538,0,5422,0,23224,6090,2781,0,2371,300966,8522,131027,8836,50255,102326,448510,84780,53672,242683,67375,68,83294,3394,301,0,0,2406,270405,1188968,1089261,19156,170747,271028,0,1533,36693,10387,12266,14040,21044,17648,3396,375,27682,91979,386996,340,1667,60021,99707,95826,3881
1964:Q3,1187316,15581,0,5397,0,23561,6079,2869,0,3199,305921,8353,133871,8730,51606,103361,456641,83670,53711,249736,69524,71,86719,3457,370,0,0,2445,275006,1213414,1110611,20605,172879,277057,0,2017,37676,10654,12397,14625,20482,16084,4398,376,29131,93062,394267,350,1735,60974,102803,98923,3880
1964:Q4,1218034,15638,0,5249,0,25144,6300,2960,0,2823,313041,8547,137146,9586,52403,105359,472395,90007,54641,256455,71292,72,88868,3527,416,0,0,2484,279117,1240837,1140827,20855,181840,286271,0,1914,38822,10736,12561,15525,22221,17588,4633,399,29116,94172,401472,350,1759,61636,100010,96021,3989
1965:Q1,1233456,14890,0,5234,0,23340,5918,3069,0,3600,315134,9655,134834,9833,53780,107032,480994,91087,55107,262057,72743,73,91100,3610,444,0,0,2523,283527,1258244,1155958,19957,173982,295943,0,2689,40435,11688,12732,16015,20197,16179,4018,400,30465,95239,409874,360,1658,64759,102286,98249,4037
1965:Q2,1264667,14344,0,5256,0,25202,5935,3179,0,3038,318745,10354,133701,9974,55404,109312,501419,97692,58089,269096,76542,76,89641,3678,457,0,0,2561,291136,1285224,1187569,22637,179426,303524,0,2290,42209,12164,13964,16081,24285,19377,4908,397,30037,96438,418356,360,1477,66133,97655,93594,4061
1965:Q3,1285830,14674,0,5316,0,24695,6002,3296,0,3685,320019,10377,132076,10281,56615,110670,510183,97101,57912,276494,78676,79,97876,3744,466,0,0,2602,293193,1311590,1206770,22077,177326,310388,0,3221,42691,12284,14522,15885,23105,17722,5383,395,32825,97677,427077,370,1707,67911,104820,100749,4071
1965:Q4,1323763,14313,0,5419,0,25642,6454,3417,0,3635,327243,9374,137123,10526,57099,113121,528977,105630,59880,283244,80223,81,103737,3813,480,0,0,2649,297903,1353110,1242952,21657,189131,319441,0,2458,43374,11929,14715,16730,26776,20753,6023,393,35220,98863,435522,370,1786,67961,110158,106063,4095
1966:Q1,1337669,13793,0,5580,0,25378,6074,3543,0,3655,328360,10085,133191,11217,57967,115900,536209,104231,61016,289739,81223,83,103378,3905,496,0,0,2704,304511,1363875,1256379,21623,180270,326323,0,2416,46516,13636,15759,17121,24299,19018,5281,392,36173,100007,445412,380,2130,70438,107496,103306,4190
