1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q4,20222,19133,-523,-1834,761,-538,3223,0,14624,-62,2175,-1060,-1093,5754,1998,-656,-44,21636,24591,31112
2002:Q1,43075,33547,629,4474,107,636,3682,0,18291,38,814,171,1246,-385,-963,162,112,19486,51687,25345
2002:Q2,30056,24871,246,1258,1783,-183,2081,0,26425,99,1624,3513,1021,62,615,-622,-85,32652,39583,9183
2002:Q3,36749,33039,732,-123,385,128,2588,0,25752,64,913,843,1079,2104,-329,165,44,30635,36610,15791
2002:Q4,17531,18384,1182,2598,225,118,-4976,0,23351,67,-1622,4882,-1544,-1908,2436,502,-421,25743,26013,35640
2003:Q1,37264,30588,2140,1382,56,-272,3370,0,28963,21,3918,-1114,515,15024,1097,-177,144,48391,27334,38849
2003:Q2,38806,33596,1133,2023,297,343,1414,0,2069,44,93,1132,-1312,76,577,49,-25,2703,49074,-1756
2003:Q3,38763,33605,620,1869,179,454,2036,0,16712,5,749,360,142,998,493,585,4,20048,42531,1987
2003:Q4,39394,33698,2682,-1242,308,1126,2822,0,39028,135,-118,4020,-2062,126,1290,-192,102,42329,28679,30433
2004:Q1,75230,55882,2563,5616,-181,523,10827,0,14659,-9,30,464,-77,3353,-1630,2529,158,19477,82293,28006
2004:Q2,69473,57850,2759,2811,869,857,4327,0,26416,-133,1699,-569,12474,3188,-1242,2511,-10,44334,76933,35844
2004:Q3,53664,47575,866,2945,832,387,1059,0,21304,-43,10785,-1102,3609,2126,613,216,-1,37507,56889,37102
2004:Q4,93691,91423,-219,-1999,237,-10448,14697,0,40073,74,213,-1358,2048,6325,-388,-236,129,46880,95979,50778
2005:Q1,60135,53382,396,1050,357,86,4864,0,26224,232,4954,2614,553,3561,-696,219,174,37835,61445,40220
2005:Q2,45157,34502,35,7180,597,2184,659,0,16176,-9,3642,-1307,1908,1671,-766,306,47,21668,41661,-4505
2005:Q3,-15769,-20527,408,1891,1383,1884,-808,0,23411,-140,-271,-2604,561,860,-788,-88,4,20945,-5623,40427
