1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q1,77476,6517,10684,11399,3203,3457,-7304,-71,33391,37559,74880,36280,28096,5524,2874,-215,11428,0,-0,11273,0,155,0,-27173,0,-27173,-0,-3921,3900522
1983:Q2,62870,31349,24789,10195,4502,3711,2784,3597,50937,44378,36449,-9778,-15013,1766,1970,1499,14316,0,-0,14053,0,263,0,-31911,0,-31912,0,-4928,3963392
1983:Q3,6670,10935,32290,10851,6222,4084,9900,1232,34568,55922,-4041,5005,-2945,822,3106,4024,-1990,0,-0,-1918,0,-72,0,7057,0,7057,-1,-224,3970062
1983:Q4,67334,10802,35939,11609,9767,4542,10079,-57,36274,61411,52482,24261,16709,5027,2255,271,30849,0,127,-1086,31920,-111,-1,2628,-1,2628,1,4049,4037396
1984:Q1,-26675,3229,46533,13046,10099,4921,17852,616,82927,126232,-22504,15070,2722,3933,2684,5732,-5837,0,0,-5552,-1,-286,1,31738,0,31736,-0,-7400,4010721
1984:Q2,21174,16429,51075,14575,12024,5246,17767,1464,88624,123270,16691,31442,22413,5268,2068,1695,-6056,0,0,-5915,-1,-140,-1,8695,0,8696,-0,-11947,4031894
1984:Q3,109079,56742,50522,15656,12928,5508,15449,981,78428,72207,67502,34256,27564,3491,2977,225,13197,0,0,12999,-1,198,-0,-20049,0,-20048,0,-15165,4140973
1984:Q4,73834,66350,46402,16230,13680,5685,10296,512,25396,5449,25880,31120,26142,4276,626,76,-18137,0,-180,1170,-19201,73,-0,-12898,2,-12901,0,-18395,4214807
1985:Q1,9403,-17773,37754,17884,12361,5687,1990,-168,49913,105441,39368,3987,-440,2933,2518,-1022,14441,0,0,14043,0,397,1,-20940,0,-20940,0,-12192,4224210
1985:Q2,38782,11725,40916,18284,12832,5742,4137,-78,35042,64233,39350,10064,5267,5646,1439,-2287,11903,0,0,11618,0,284,0,-17384,0,-17384,-0,-12293,4262992
1985:Q3,-13086,5571,35882,17358,11181,5700,646,999,59002,89313,-5232,23141,15232,7939,1860,-1889,-11287,0,0,-10063,0,-1223,-0,17086,0,17087,0,-13425,4249906
1985:Q4,299743,23772,42469,16642,11152,5826,8918,-69,83611,102308,218328,40697,27515,11187,557,1439,119308,0,-337,29836,89328,481,-0,-58323,0,-58325,-0,57643,4549649
1986:Q1,78716,-192,31597,14808,9409,5824,1731,-175,-24563,7227,85519,3313,5059,3148,2061,-6957,28877,0,0,27994,1,882,0,-53330,0,-53328,0,-6611,4628365
1986:Q2,44611,12540,28873,11133,9314,5754,1007,1666,27679,44012,41017,22127,7368,13912,1160,-312,12539,0,0,12349,1,188,1,-6350,0,-6351,0,-8946,4672976
1986:Q3,-29838,10913,21506,10007,8460,5580,-2344,-198,95642,106235,-33174,30812,14265,14233,1261,1054,-20891,0,0,-20594,1,-297,-1,43095,0,43095,0,-7577,4643138
1986:Q4,139008,-1282,25715,10739,8550,5408,70,948,41503,68500,149508,20055,10688,8098,1185,84,119117,0,1044,11671,106055,347,1,-10336,-1,-10334,-1,-9218,4782146
1987:Q1,173382,14804,33030,10408,5875,5185,11786,-223,45424,63650,164595,19753,8062,9323,2150,219,55009,0,0,54311,0,698,0,-89832,0,-89832,0,-6016,4955528
1987:Q2,68270,7623,32937,10778,6304,4980,11058,-182,37512,62826,66187,25188,16680,2402,3076,3030,13917,0,0,13548,0,370,-1,-27082,0,-27080,-0,-5540,5023798
1987:Q3,86981,17702,28674,12157,6730,4774,5040,-27,47129,58101,74460,25920,17651,2645,3723,1902,19853,0,0,19727,0,126,0,-28686,0,-28688,-0,-5180,5110780
1987:Q4,-131199,10590,43189,13274,5558,4649,19759,-52,103840,136438,-137149,82386,50170,22903,5494,3820,-66566,0,-312,-83071,18191,-1373,-1,152970,-6236,159205,0,-4640,4979581
1988:Q1,60993,-16406,33028,12539,6710,4475,9577,-271,56028,105462,80761,65813,45934,12691,5104,2084,13638,0,0,13185,0,453,1,-1309,0,-1308,-0,-3361,5040574
1988:Q2,83932,15905,38891,14128,7633,4260,13707,-836,47411,70398,70090,47754,31141,8761,3194,4658,15413,0,0,15263,0,150,0,-6924,0,-6925,0,-2063,5124506
1988:Q3,39722,31847,39664,14085,7649,4257,13312,362,46607,54424,10403,39583,27885,7385,2652,1661,-1680,0,0,-1544,0,-135,-1,27501,0,27502,-0,-2528,5164228
1988:Q4,162460,27506,40320,13613,8292,4916,13524,-26,201283,214096,136361,69952,41607,23095,2030,3220,74753,0,-21,5238,69460,76,0,8344,1,8342,-0,-1407,5326689
