1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,84740,27055,24745,22304,0,6652,970,2614,400,78637,53719,10538,5135,7797,1448,6103,9979,291,-940,16731,26523,19581,272,6670,17952,37,533,240,0,0,714,0,480,205,29,0,1387,697,0,690,0,-56,0,1138,13956,3,11282,0,0,24,2148,170,-137,2115,500,0,500,173,1686,6751,-9792,17182,10512
1952:Q1,25428,11271,6434,4729,0,2023,248,617,107,21077,15146,2684,906,2014,327,4351,2638,77,-259,7171,8243,5668,61,2513,5195,3,3523,106,0,80,309,0,348,-71,32,0,468,291,0,177,0,0,0,232,449,25,2682,0,0,15,842,-1367,-37,2246,54,0,54,15,-79,1835,-1071,4860,2347
1952:Q2,20808,6549,6706,4752,0,1806,246,648,102,22219,16004,2671,1156,2028,360,-1411,2714,186,-270,1387,3466,6111,61,-2706,1476,29,9,21,0,87,667,0,460,195,12,0,336,62,0,274,0,0,0,307,-71,91,4182,0,0,7,1980,-329,-155,2464,388,0,388,20,26,1761,-2079,931,3637
1952:Q3,21602,7387,6853,4633,0,1649,251,733,97,22651,16349,2799,1177,2060,266,-1049,2823,84,-276,1966,3718,6490,63,-2835,3929,8,-336,1,0,512,149,0,78,63,8,0,455,93,0,362,0,0,0,328,2709,103,6764,0,0,9,4395,2832,348,1215,577,0,577,8,220,1555,-1752,3707,6542
1952:Q4,21506,6798,7129,4993,0,1467,258,764,97,23640,17463,2840,1013,2100,224,-2134,2887,41,-251,963,1470,6351,67,-4948,2858,-114,-502,30,0,-432,294,0,320,-24,-2,0,419,217,0,202,0,0,0,158,2877,128,7806,0,0,6,4943,3756,225,962,353,0,353,0,398,2106,-507,2382,7330
1953:Q1,27096,11768,7091,5154,0,2114,277,588,105,23545,17226,2929,950,2140,300,3551,2957,51,-306,6763,9235,6231,77,2927,3608,21,841,24,0,9,281,0,288,-10,3,0,371,209,0,162,0,0,0,296,1870,-105,681,0,0,3,-1762,-3428,102,1564,183,0,183,8,236,2013,-2472,3542,615
1953:Q2,22202,6411,7271,5428,0,1899,287,797,110,24002,17505,2894,1197,2167,239,-1800,3031,137,-263,1357,4811,6869,82,-2140,632,-72,-1918,79,0,-256,115,0,162,-77,30,0,518,169,0,349,0,0,0,-75,2372,-131,2772,0,0,13,1103,390,-445,1158,-4,0,-4,18,-79,1721,-3453,514,2654
1953:Q3,23540,8057,7360,5238,0,1730,294,748,115,23359,16985,2868,1030,2208,268,182,3059,82,-278,3437,4773,7044,84,-2355,7848,55,2179,-42,0,815,164,0,126,-21,59,0,686,109,0,577,0,0,0,77,3781,133,10203,0,0,7,7995,6437,142,1416,106,0,106,25,119,1951,-1336,7660,10015
1953:Q4,21097,7007,7380,4124,0,1386,291,788,123,24860,18384,2983,1088,2245,160,-3763,3096,58,-301,-424,-318,6523,86,-6927,209,-90,-2219,259,0,-640,340,0,228,22,90,0,164,-9,0,173,0,0,0,-331,2600,126,7136,0,0,11,4841,1796,1828,1217,79,0,79,23,67,2115,-105,-41,6886
1954:Q1,25712,10980,7110,4049,0,2417,294,729,133,23811,16995,3355,984,2288,188,1901,3142,5,-299,5337,8945,6125,79,2741,2579,-42,2206,328,0,-391,200,0,60,49,91,0,-61,-46,0,-15,0,-8,0,265,237,-155,-162,0,0,22,-2452,-4614,658,1504,-34,0,-34,-13,303,2012,-3608,2532,-209
1954:Q2,20160,5335,7195,4302,0,2191,291,707,140,23583,16532,3468,916,2325,341,-3423,3233,47,-286,49,5590,6549,84,-1043,875,10,404,43,0,216,132,0,64,11,57,0,-354,13,0,-367,0,-21,0,-105,637,-87,1918,0,0,10,156,-285,-909,1350,243,0,243,-59,-208,1776,-5541,947,1990
1954:Q3,21857,7240,7170,4295,0,1931,283,793,145,23438,16424,3364,1072,2361,216,-1581,3287,-123,-286,2115,2298,6547,94,-4343,1059,-175,-2996,112,0,1006,229,0,172,30,27,0,86,160,0,-74,0,0,0,290,2349,158,5402,0,0,2,3175,3130,-1465,1510,142,0,142,-100,44,2139,-183,884,5227
1954:Q4,21521,6605,7414,4702,0,1561,281,806,152,24375,17118,3560,1155,2388,153,-2854,3361,-81,-293,881,179,6177,109,-6106,2978,38,418,7,0,-834,204,0,151,54,-1,0,192,130,0,62,0,93,0,-44,2791,113,9084,0,0,2,6575,3487,1801,1287,327,0,327,-127,207,2100,701,2842,8948
1955:Q1,24871,8872,7450,5022,0,2377,274,706,170,24481,16890,3763,1165,2402,261,390,3377,-109,-309,4185,9574,5544,135,3895,3493,-81,-55,-38,0,230,257,0,189,79,-11,0,256,49,0,207,0,0,0,35,2889,0,-402,0,0,3,-2810,-4559,257,1492,195,0,195,-99,12,2297,-5390,3307,-588
1955:Q2,25663,8348,7834,5537,0,2743,282,736,183,23989,16416,3756,1090,2412,315,1674,3413,50,-277,5314,10282,6197,150,3935,5364,14,1877,71,0,-402,302,0,270,33,-1,0,256,108,0,148,0,0,0,-47,3266,27,1429,0,0,-1,-909,-976,-1045,1112,365,0,365,-52,86,1940,-4969,5104,1169
1955:Q3,25179,8254,7968,5431,0,2196,298,841,191,24636,17280,3587,1097,2486,186,542,3509,10,-309,4350,4405,6455,162,-2212,3173,-37,-1682,-157,0,1136,289,0,302,-21,8,0,100,34,0,66,0,0,0,104,3173,247,5385,0,0,0,2953,2194,-642,1401,270,0,270,1,184,1977,-54,2860,5072
1955:Q4,24538,7385,8215,5799,0,1801,313,830,195,25531,18014,3648,1124,2567,178,-993,3599,-7,-350,2963,2475,6162,169,-3856,3291,-30,-391,48,0,-415,347,0,386,-55,16,0,110,65,0,45,0,0,0,222,3177,223,7147,0,0,0,4730,2998,703,1029,134,0,134,-15,281,2017,488,2879,6735
1956:Q1,27243,9725,8133,5367,0,2735,343,749,192,25066,17235,3911,1002,2601,317,2177,3708,65,-363,6183,10397,5824,168,4405,3912,-41,2584,146,0,-158,212,0,262,-66,16,0,-28,19,0,-47,0,0,0,-39,1204,32,-493,0,0,2,-3224,-4465,6,1235,188,0,188,58,175,2308,-4213,3627,-778
1956:Q2,28145,9653,8430,5608,0,3132,360,771,191,25714,17726,3940,1082,2703,263,2431,3788,194,-426,6451,11451,6688,170,4593,2563,-51,19,-19,0,-563,353,0,333,12,8,0,258,23,0,235,0,-3,0,346,2202,21,-2030,0,0,3,-4767,-5222,-466,921,241,0,241,90,186,2217,-5000,2220,-2373
1956:Q3,26492,9039,8619,5086,0,2274,374,909,191,25390,17281,3815,1148,2787,359,1102,3873,84,-400,5291,5449,7379,172,-2102,2951,155,-1932,-163,0,1878,293,0,248,49,-4,0,48,16,0,32,0,35,0,84,2193,360,5053,0,0,5,1925,974,-234,1185,494,0,494,86,239,2304,-157,2672,4774
1956:Q4,26121,8174,9055,5530,0,1876,388,909,189,27439,18790,3926,1201,2955,567,-1318,3947,52,-396,2973,2181,7255,173,-5247,2220,545,-1487,53,0,-586,266,0,209,76,-19,0,454,44,0,410,0,0,0,-51,2812,214,7467,0,0,9,4424,3161,439,824,-86,0,-86,69,417,2634,793,2006,7253
1957:Q1,29282,10295,8896,5402,0,3222,408,872,187,27721,18978,4339,1089,2960,355,1561,4054,35,-407,5986,10035,6786,172,3076,4978,-58,3156,194,0,-174,82,0,29,68,-15,0,61,92,0,-31,0,75,0,73,1466,103,1902,0,0,7,-65,-1150,22,1063,-463,0,-463,46,112,2265,-4048,4907,1831
1957:Q2,30229,10623,9192,5398,0,3562,422,845,187,28161,18667,4624,1159,3058,653,2068,4130,94,-472,6575,10213,7486,174,2552,273,73,-765,125,0,-1118,10,0,-11,12,9,0,-153,94,0,-247,0,-7,0,171,1799,138,-2279,0,0,11,-4971,-5430,-452,911,-160,0,-160,22,134,2685,-3638,273,-2279
1957:Q3,28223,9549,9224,5170,0,2626,437,1021,196,28306,18855,4428,1205,3123,695,-83,4208,-6,-464,4594,5648,8181,177,-2711,5207,254,-642,33,0,2242,-139,0,-139,-40,40,0,283,133,0,150,0,0,0,-15,2904,287,7918,0,0,8,5746,4612,-222,1356,-328,48,-376,12,139,2341,-1053,5240,7951
1957:Q4,26367,8419,9304,4910,0,2034,451,1057,193,29886,20433,4741,1285,3234,193,-3519,4270,-17,-421,1189,1603,7776,181,-6355,254,35,-2223,2,0,-422,-186,0,-207,-55,76,0,603,164,0,439,0,0,0,-207,2549,103,6609,0,0,10,3326,1174,975,1177,-226,48,-274,7,539,2953,-414,359,6714
1958:Q1,27586,9903,9070,3938,0,3149,463,875,189,29786,19701,5443,1066,3121,454,-2200,4265,-29,-431,2524,6153,7229,189,-1265,1864,94,1338,619,0,-62,-260,0,-334,-2,76,0,327,120,0,207,0,0,0,-268,175,-99,3129,0,0,16,273,-1783,596,1460,412,126,286,7,101,2320,-3628,2071,3336
1958:Q2,28839,10065,9401,4193,0,3571,459,965,186,30737,20158,5796,1203,3122,457,-1898,4338,47,-416,2809,6310,8181,193,-2063,4820,13,4885,685,0,-1758,54,0,69,-54,39,0,195,108,0,87,0,-4,0,-107,866,-9,6883,0,0,12,3384,3294,-1053,1143,354,125,229,11,146,2976,-3502,4675,6738
1958:Q3,28230,9694,9398,4783,0,2625,437,1107,187,31045,20182,5540,1338,3197,787,-2814,4432,85,-406,1938,2571,8731,196,-6356,-1053,-9,-6758,-353,0,2093,46,0,76,-48,18,0,455,106,0,349,0,-6,0,37,3215,227,5303,0,0,3,2170,560,69,1541,298,92,206,16,283,2533,-633,-1206,5150
1958:Q4,28265,8887,9851,5526,0,2076,433,1301,192,32234,21474,5447,1568,3320,424,-3969,4511,-74,-414,1030,983,8482,198,-7697,4436,-137,633,-119,0,-676,122,0,156,-48,14,0,679,288,0,391,0,0,0,61,3732,141,12133,0,0,7,8795,7182,307,1306,78,93,-15,22,379,2852,47,4233,11930
1959:Q1,29844,9978,9796,5344,21,3125,483,996,102,31545,19993,5910,1856,3594,192,-1701,4564,-35,-412,3310,4410,8189,198,-3977,-93,-170,633,-7,0,-1213,193,0,221,-36,8,0,774,485,0,289,0,3,0,39,-429,84,3884,0,0,6,1316,22,-284,1578,-29,49,-78,27,197,2367,-1100,-347,3630
1959:Q2,32277,10442,10193,6366,21,3630,501,972,153,32268,21000,5711,1881,3521,155,9,4620,45,-423,5007,7779,9161,200,-1582,3438,315,1103,69,0,-204,334,0,317,15,2,0,861,491,0,370,0,3,0,112,753,92,5020,0,0,15,1898,928,-288,1258,67,51,16,31,104,2905,-2772,3056,4638
1959:Q3,32106,10816,10352,5517,21,3491,568,1262,80,32515,21000,5554,1993,3693,275,-409,4689,187,-456,4549,4342,9678,345,-5681,3311,160,1116,-481,0,998,215,0,210,14,-9,0,527,364,0,163,0,-7,0,77,869,-163,8992,0,0,5,6354,4502,-87,1939,-76,107,-183,28,214,2467,207,3067,8748
1959:Q4,32805,11054,10712,5508,21,3628,617,1056,210,32523,20603,5742,1901,3841,436,283,4753,-133,-466,5634,1705,8835,346,-7476,396,-236,-523,-33,0,-422,398,0,467,-45,-24,0,149,185,0,-36,0,2,0,147,904,10,7872,0,0,13,4677,3600,10,1067,-374,108,-482,23,452,3081,3930,-101,7375
1960:Q1,33594,11108,10745,5733,22,3917,919,1067,84,32742,20328,6136,1717,4381,179,853,4822,-75,-482,6232,6858,8223,280,-1645,-556,-117,242,164,0,-422,367,0,358,35,-26,0,254,-24,0,278,0,0,0,186,-1362,132,1089,0,0,13,-2081,-3697,29,1587,54,100,-46,21,427,2655,-627,-926,719
1960:Q2,35165,11464,11308,5702,25,4408,935,1149,175,34002,21297,6111,1983,4406,204,1163,4891,366,-537,6225,9125,9007,342,-224,2708,-65,2837,410,0,-154,352,0,311,55,-14,0,334,87,0,247,0,82,0,10,-1254,156,2932,0,0,9,-1046,-2126,-25,1105,654,102,552,18,119,3178,-2900,2313,2537
1960:Q3,34368,11714,11051,5235,24,4106,944,1241,54,33473,21015,6089,1782,4346,240,896,4958,-84,-512,6450,5241,9651,353,-4762,1778,-77,-59,278,0,155,437,0,264,159,14,0,280,142,0,138,0,4,0,80,553,127,6540,0,0,12,2915,1905,-561,1571,241,101,140,17,314,3041,1209,1421,6183
1960:Q4,34618,11783,11443,5129,24,4047,903,1136,154,34857,21875,6338,1801,4319,523,-238,5021,-153,-619,5554,1716,9122,341,-7747,-378,-158,-1990,503,0,-331,313,0,-36,290,59,0,320,182,0,138,0,79,0,131,591,164,7369,0,0,13,3463,2120,296,1047,207,102,105,20,516,3150,3838,-391,7356
1961:Q1,33744,11495,11187,4653,26,4126,910,1282,66,35181,21514,7289,1876,4325,177,-1438,5093,-127,-611,4393,3775,9057,333,-5614,-2782,-47,-2353,364,0,255,137,0,-158,236,59,0,682,146,0,536,0,0,0,-1,-1933,113,2832,0,0,5,-967,-2662,246,1449,535,54,481,21,333,2905,618,-2733,2881
1961:Q2,35953,11736,11835,5526,27,4569,919,1279,64,36956,22771,7179,2080,4405,521,-1003,5161,323,-569,4404,7130,10007,385,-3262,1794,129,2015,371,0,-79,189,0,365,-194,18,0,-82,161,0,-243,0,4,0,39,-872,81,5056,0,0,16,858,306,-278,830,976,54,922,22,10,3174,-2726,1298,4560
1961:Q3,35814,11968,11677,5610,28,4182,910,1404,36,35768,21972,6989,1901,4511,395,46,5243,-112,-611,6011,5878,10631,405,-5158,5252,408,1717,-12,0,556,209,0,-156,382,-17,0,807,202,0,605,0,-11,0,169,1430,-21,10410,0,0,16,6595,5047,-220,1768,448,57,391,24,399,2928,133,5387,10545
1961:Q4,37302,12052,12269,6305,31,4181,957,1335,173,37442,23082,6908,1922,4609,921,-141,5326,-137,-596,5918,1925,10203,362,-8640,791,-330,-1448,207,0,-611,212,0,212,44,-44,0,522,207,0,315,0,172,0,86,1908,73,9431,0,0,17,5055,3165,559,1331,208,57,151,26,512,3613,3993,598,9238
1962:Q1,36648,12032,12113,5425,32,4482,982,1479,104,38434,23565,7480,2143,4737,509,-1786,5429,-120,-575,4337,4325,9692,402,-5769,256,-201,177,628,0,96,-60,0,-26,17,-51,0,762,116,0,646,0,1,0,12,-1214,55,6025,0,0,8,2083,96,299,1688,446,80,366,29,50,3409,12,248,6017
1962:Q2,38919,12638,12713,5955,36,5058,1054,1379,87,39021,24502,7233,2165,4862,259,-102,5504,377,-652,5677,9925,10663,438,-1176,4236,175,3503,264,0,-41,264,0,244,53,-33,0,648,60,0,588,0,2,0,99,-775,97,5412,0,0,9,926,-293,53,1166,1106,81,1025,31,313,3027,-4248,3864,5040
1962:Q3,38953,13221,12508,5769,37,4761,1047,1552,59,39357,24601,7122,2036,4990,608,-404,5624,-138,-635,5993,6524,11411,404,-5290,876,-464,-1349,-256,0,912,412,0,361,88,-37,0,205,62,0,143,0,-11,0,244,1149,34,6166,0,0,-8,1642,892,-599,1349,265,48,217,33,433,3801,-532,500,5790
1962:Q4,40284,13666,13049,6024,40,4872,1047,1439,148,40310,25022,7307,2013,5071,897,-26,5749,-81,-651,6454,890,10831,407,-10348,1378,-123,-1286,334,0,-446,661,0,576,154,-69,0,619,85,0,534,0,124,0,197,1365,-68,11726,0,0,11,6891,4853,790,1248,464,51,413,32,684,3644,5564,665,11013
1963:Q1,39886,13596,12748,5544,44,5120,1060,1590,184,40663,24833,8061,2214,5143,412,-777,5834,-117,-676,5850,5536,9977,379,-4820,1218,53,430,850,0,-467,583,0,950,-287,-80,0,737,5,0,732,0,2,0,322,-1365,74,6038,0,0,9,1450,73,201,1176,513,25,488,33,190,3843,314,287,5107
1963:Q2,42583,13869,13504,6614,48,5784,1082,1505,178,41228,25746,7588,2397,5240,257,1356,5931,429,-706,7563,11172,11270,459,-557,5035,69,4095,151,0,1,336,0,291,104,-59,0,158,-295,0,453,0,9,0,324,-349,241,5592,0,0,10,765,-733,-250,1748,1557,27,1530,34,73,3153,-3609,4782,5339
1963:Q3,41950,13792,13291,6392,49,5426,1122,1709,170,41814,25864,7442,2141,5364,1003,137,6009,-110,-737,6992,7553,12154,466,-5067,217,-136,-3060,-12,0,1004,327,0,568,-193,-48,0,219,-15,0,234,0,-13,0,105,1755,28,5284,0,0,9,861,239,-553,1175,204,4,200,33,457,3720,-560,-405,4662
1963:Q4,42453,13295,13844,6801,47,5405,1147,1633,282,42052,26313,7574,2096,5507,562,401,6085,-64,-679,7229,2547,11037,373,-8863,837,50,-971,645,0,-1749,236,0,-652,940,-52,0,608,103,0,505,0,9,0,198,1760,51,9700,0,0,18,4450,2878,431,1141,637,6,631,31,752,3812,4682,1492,10355
1964:Q1,41268,12657,13586,6126,45,5468,1329,1815,242,43175,26442,8206,2335,5604,588,-1908,6167,-111,-717,5087,6530,10350,490,-4310,989,-15,1696,268,0,-198,9,0,190,-128,-53,0,762,68,0,694,0,-14,0,-4,-1405,-110,5299,0,0,19,1315,309,-131,1137,68,-3,71,28,188,3681,-1443,856,5166
1964:Q2,43754,12875,14544,6891,45,6066,1373,1743,218,43770,27376,7866,2512,5714,302,-16,6243,407,-819,6639,10599,11888,548,-1836,2929,-175,1846,316,0,943,191,0,-58,287,-38,0,702,3,0,699,0,51,0,129,-994,-80,4765,0,0,16,184,-1715,128,1771,1211,-6,1217,24,-42,3372,-3960,2950,4786
1964:Q3,43228,13176,14285,6645,45,5548,1398,1977,155,44228,27265,7757,2295,5763,1148,-1000,6313,-79,-836,6228,6464,12589,560,-6684,2706,-96,-725,190,0,344,507,0,347,178,-18,0,849,55,0,794,0,-44,0,306,1382,-8,9390,0,0,14,4321,2696,-187,1812,478,18,460,24,490,4063,-236,2279,8963
1964:Q4,43816,13362,14855,6741,48,5381,1341,1839,250,43865,27288,7834,2211,5841,691,-49,6391,-90,-852,7284,2129,11565,287,-9722,1164,123,-1094,957,0,-2102,714,0,540,176,-2,0,699,52,0,647,0,54,0,345,1270,198,10886,0,0,-25,5711,3266,1045,1400,394,21,373,28,707,4071,5155,534,10256
1965:Q1,44492,13905,14856,6753,49,5410,1350,1920,249,44920,27529,8480,2327,5957,627,-429,6471,-79,-878,6999,7429,10452,467,-3490,2443,-44,1075,626,0,910,334,0,264,72,-2,0,803,16,0,787,0,0,0,99,-1180,-180,5933,0,0,34,994,-593,86,1501,511,24,487,31,332,4031,-431,2122,5612
1965:Q2,47485,14583,15403,7570,51,6074,1401,2224,179,46389,28741,8279,2979,6088,302,1095,6565,498,-832,7993,12626,11959,360,307,4629,532,2839,123,0,848,463,0,390,87,-14,0,724,-65,0,789,0,-5,0,295,-1296,106,4322,0,0,37,-1347,-3202,-342,2197,1252,26,1226,34,386,3960,-4632,4121,3814
1965:Q3,46131,14456,14876,7248,53,5825,1397,2135,141,48076,29067,8953,2443,6147,1466,-1945,6658,-51,-888,5651,6731,13116,453,-6838,-484,-169,-4792,466,0,539,738,0,773,-17,-18,0,529,76,0,453,0,-5,0,419,1639,151,6354,0,0,48,829,-1520,302,2047,465,-15,480,35,614,4363,-1080,-1303,5535
1965:Q4,48215,14719,15574,8008,53,6191,1371,2080,219,48787,30852,8654,2400,6269,612,-572,6748,-91,-931,7197,2601,12338,485,-10221,2819,-58,-1274,1137,0,-1247,801,0,764,59,-22,0,1040,143,0,897,0,0,0,338,2145,-63,13040,0,0,115,7467,5573,402,1492,322,-16,338,34,621,4481,4596,2019,12240
1966:Q1,49158,15274,14948,7693,54,6928,1527,2621,113,50429,31161,9227,3072,6410,559,-1271,6839,-92,-967,6626,7437,11796,592,-4951,1857,-204,588,58,0,443,305,0,311,20,-26,0,1234,260,0,974,0,52,0,221,-751,-89,6808,0,0,178,1820,-65,440,1445,223,-15,238,29,357,4201,-810,1526,6477
1966:Q2,53804,16391,16109,8416,54,8115,1576,3006,138,52599,32723,9086,3834,6585,371,1205,6979,516,-967,8635,14614,13251,479,884,4862,53,6416,380,0,265,293,0,511,-196,-22,0,694,259,0,435,0,38,0,297,-3728,155,3978,0,0,301,-2731,-6549,1519,2299,1868,-15,1883,28,473,4039,-5979,4286,3402
1966:Q3,53558,17065,15813,7858,60,8177,1659,2941,-15,55067,33491,9417,3207,6763,2189,-1509,7096,-104,-945,6636,6889,14542,528,-8181,267,-128,-5320,117,0,1708,80,0,-98,185,-7,0,1509,336,0,1173,0,14,0,696,1460,131,8448,0,0,197,2846,2170,-707,1383,209,-15,224,26,656,4514,-254,75,8256
1966:Q4,55061,17649,16341,8042,60,8221,1741,2856,151,55747,34502,10238,3239,6938,830,-686,7226,-52,-925,7516,2778,13979,415,-11616,1754,24,-1500,691,0,-903,424,0,-151,562,13,0,646,357,0,289,0,-110,0,676,1593,213,13370,0,0,223,6769,5557,103,1109,708,-17,725,24,832,4814,4739,1695,13311
1967:Q1,54146,17363,16041,7275,59,8425,1779,3122,82,58796,36094,11306,3630,7030,736,-4651,7342,-90,-975,3756,5989,13079,353,-7444,2235,-469,1228,1568,0,-785,153,0,18,127,8,0,1603,196,0,1407,0,33,0,365,-1025,-436,9679,0,0,213,4159,1463,1464,1232,-444,-13,-431,24,309,5418,-2233,2199,9643
1967:Q2,56848,17614,16832,7849,60,9367,1828,3229,70,60172,37583,11401,3744,7098,346,-3324,7470,577,-947,4516,9056,14482,210,-5637,-4027,203,989,688,0,-20,-89,0,-112,20,3,0,850,125,0,725,0,17,0,711,-7544,168,1610,0,0,218,-5689,-9621,1611,2321,1097,-15,1112,24,837,5123,-4541,-3968,1669
1967:Q3,57396,18764,17113,7393,62,8601,1914,3539,10,61660,36697,11699,3880,7317,2067,-4264,7627,-144,-1020,4526,3819,15522,586,-12289,4105,247,-151,-220,0,959,-191,0,30,-212,-9,0,1469,340,0,1129,0,80,0,514,1468,-70,16394,0,0,166,10253,8310,-181,2124,374,-17,391,20,430,5151,707,3978,16267
