1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,62943,22527,32023,8390,0,6761,1629,3,62943,7418,25725,11015,13547,4177,1059,10,356,331,10,1,14,80,60,2,1,1,0,134,67,348,35457
1958:Q4,63782,22781,32412,8585,0,6937,1648,4,63782,7519,26052,11093,13797,4246,1074,10,361,336,10,1,14,81,61,2,1,1,0,136,68,353,35544
1959:Q1,64464,22960,32490,9009,2,7306,1701,5,64464,7630,26345,11089,13966,4287,1146,10,424,399,10,1,14,84,63,2,1,1,0,147,64,350,34035
1959:Q2,65122,23135,32797,9186,2,7467,1717,4,65122,7738,26613,11140,14171,4309,1150,10,424,399,10,1,14,85,64,2,1,1,0,147,64,352,34823
1959:Q3,65790,23309,33108,9367,2,7634,1731,6,65790,7843,26856,11183,14411,4345,1152,10,425,400,10,1,14,85,64,2,1,1,0,148,64,352,35201
1959:Q4,66397,23466,33390,9536,4,7788,1744,5,66397,7944,27075,11217,14633,4379,1148,10,424,399,10,1,14,84,63,2,1,1,0,147,64,352,35461
1960:Q1,66985,23800,33134,10043,28,8172,1843,8,66985,8042,27272,11236,14853,4436,1144,10,401,378,9,1,13,90,67,2,1,1,0,157,57,358,36830
1960:Q2,67588,23966,33399,10214,29,8329,1856,9,67588,8134,27479,11306,15070,4493,1102,10,361,338,9,1,13,90,67,2,1,1,0,157,57,356,37164
1960:Q3,68205,24151,33658,10388,32,8487,1869,8,68205,8220,27701,11365,15275,4557,1084,10,340,317,9,1,13,90,67,2,1,1,0,158,57,358,37536
1960:Q4,68826,24350,33903,10566,35,8647,1884,7,68826,8301,27936,11413,15469,4618,1091,10,339,314,10,1,14,93,69,2,1,1,0,159,57,360,37798
1961:Q1,69496,24526,33900,11066,76,9017,1973,4,69496,8376,28186,11448,15689,4683,1115,10,359,334,10,1,14,94,71,2,1,6,0,148,57,367,37900
1961:Q2,70184,24751,34173,11258,81,9188,1989,2,70184,8454,28452,11499,15891,4752,1138,10,372,347,10,1,14,95,72,2,1,6,0,151,58,371,37944
1961:Q3,70961,24988,34512,11458,84,9367,2007,3,70961,8535,28735,11566,16150,4820,1155,10,380,355,10,1,14,97,74,2,1,6,0,152,58,375,38204
1961:Q4,71776,25246,34880,11647,88,9532,2027,3,71776,8618,29035,11651,16404,4900,1169,10,385,360,10,1,14,98,75,2,1,6,0,154,59,379,38504
1962:Q1,72702,25528,35042,12119,129,9889,2101,13,72702,8704,29351,11752,16717,4998,1180,10,394,369,10,1,14,99,77,2,1,5,0,143,61,388,38594
1962:Q2,73529,25808,35407,12299,133,10043,2123,15,73529,8795,29683,11847,16920,5095,1190,10,393,368,10,1,14,100,78,2,1,5,0,146,62,393,38906
1962:Q3,74549,26109,35878,12547,139,10263,2145,15,74549,8892,30027,11934,17318,5175,1201,10,393,368,10,1,14,102,80,2,1,5,0,148,62,398,39310
1962:Q4,75609,26440,36361,12794,145,10481,2168,14,75609,8994,30387,12014,17724,5273,1215,10,395,370,10,1,14,103,81,2,1,5,0,150,63,405,39794
1963:Q1,76518,26554,36738,13226,214,10796,2216,0,76518,9102,30759,12086,17981,5355,1236,11,418,395,9,1,13,102,79,1,0,4,0,138,66,417,40238
1963:Q2,77527,26892,37191,13445,221,10982,2242,-1,77527,9220,31157,12172,18269,5457,1251,11,422,399,9,1,13,103,80,1,0,4,0,140,67,423,40680
1963:Q3,78502,27230,37587,13685,229,11186,2270,0,78502,9347,31578,12272,18487,5548,1269,11,427,402,10,1,14,104,81,2,1,4,0,142,67,430,41267
1963:Q4,79523,27601,37956,13965,237,11428,2300,1,79523,9483,32025,12388,18676,5665,1285,11,433,408,10,1,14,105,82,2,1,4,0,144,68,435,41855
1964:Q1,80616,27823,38267,14533,340,11821,2372,-7,80616,9629,32497,12518,18909,5761,1305,11,448,423,10,1,14,109,86,2,1,3,0,128,72,445,42451
1964:Q2,81756,28222,38696,14843,352,12084,2407,-5,81756,9789,33006,12663,19113,5859,1325,11,453,428,10,1,14,111,87,2,1,3,0,130,73,454,43106
1964:Q3,82945,28649,39172,15127,362,12319,2446,-3,82945,9962,33551,12823,19294,5957,1360,11,461,436,10,1,14,115,91,3,2,3,0,134,75,465,43714
1964:Q4,84238,29119,39720,15403,373,12543,2487,-4,84238,10148,34135,12997,19498,6064,1397,11,473,446,10,1,16,117,93,3,2,3,0,138,77,480,44357
1965:Q1,85615,29518,40314,15778,464,12780,2534,5,85615,10348,34757,13185,19672,6211,1441,11,498,471,10,1,16,128,101,1,0,1,0,131,84,486,44665
1965:Q2,87146,30086,40964,16089,477,13029,2583,7,87146,10554,35455,13393,19894,6364,1485,11,513,485,11,1,16,132,104,1,0,1,0,134,87,502,45525
1965:Q3,88773,30684,41654,16428,493,13298,2637,7,88773,10765,36230,13619,20134,6495,1532,11,527,497,12,1,17,136,108,2,1,1,0,139,89,518,46193
1965:Q4,90490,31335,42374,16775,510,13571,2694,6,90490,10981,37082,13865,20352,6638,1571,11,538,508,12,1,17,140,111,2,1,1,0,143,92,532,46829
1966:Q1,92311,31752,43248,17311,633,13899,2779,0,92311,11203,38012,14130,20567,6788,1610,11,551,521,12,1,17,147,116,2,1,1,0,138,96,547,47369
1966:Q2,94338,32519,44088,17729,655,14232,2842,2,94338,11424,38960,14388,20895,7019,1650,11,563,533,12,1,17,151,119,2,1,1,0,141,99,562,48414
1966:Q3,96289,33226,44941,18120,678,14537,2905,2,96289,11643,39928,14640,21199,7186,1692,11,576,544,13,1,18,155,123,2,1,1,0,145,101,577,49547
1966:Q4,98300,33939,45851,18508,702,14837,2969,2,98300,11862,40915,14884,21533,7371,1733,11,586,554,13,1,18,159,126,2,1,1,0,150,104,593,50758
1967:Q1,100268,34115,47045,19106,857,15199,3050,2,100268,12080,41925,15120,21849,7519,1772,12,590,557,13,1,19,164,128,3,1,1,0,158,107,608,51392
1967:Q2,102350,34805,48012,19531,886,15528,3117,2,102350,12313,42968,15366,22235,7643,1822,12,605,571,14,1,19,169,132,3,1,1,0,162,110,627,52082
1967:Q3,104619,35589,49029,19998,916,15894,3188,3,104619,12562,44046,15623,22657,7850,1881,12,620,584,14,2,20,175,137,5,3,1,0,168,113,647,53222
1967:Q4,106984,36398,50079,20505,946,16298,3261,2,106984,12826,45162,15890,23113,8051,1941,12,637,600,14,2,21,181,141,5,3,1,0,174,117,670,54664
1968:Q1,109496,37059,51114,21314,1090,16824,3400,9,109496,13106,46314,16166,23571,8329,2008,11,663,625,14,3,21,182,140,3,1,1,0,207,128,672,56362
1968:Q2,111946,37909,52208,21820,1125,17211,3484,9,111946,13431,47521,16474,23930,8507,2082,12,684,643,15,3,23,190,146,3,1,1,0,215,132,698,57753
1968:Q3,114534,38784,53364,22376,1163,17639,3574,10,114534,13803,48779,16814,24347,8628,2161,12,706,665,15,3,23,196,151,5,3,1,0,223,138,726,59166
1968:Q4,117451,39871,54596,22974,1206,18098,3670,10,117451,14220,50093,17185,24772,8935,2246,13,731,688,16,3,24,204,158,5,3,1,0,233,142,756,60856
1969:Q1,120466,40999,55577,23858,1382,18727,3749,32,120466,14683,51462,17588,25196,9203,2334,14,765,725,15,3,22,205,157,3,1,1,0,257,163,768,62131
1969:Q2,123506,42137,56850,24485,1430,19207,3848,34,123506,15089,52858,17972,25631,9532,2422,15,791,751,15,3,22,213,163,3,1,1,0,267,169,799,63606
1969:Q3,126326,43164,58040,25088,1482,19660,3946,34,126326,15438,54281,18337,26005,9750,2519,15,822,777,17,4,24,221,171,5,3,1,0,277,175,829,65140
1969:Q4,129289,44273,59252,25731,1543,20147,4041,33,129289,15730,55735,18685,26443,10094,2605,16,849,803,17,4,25,229,177,5,3,1,0,287,181,857,66443
1970:Q1,132238,44996,60440,26786,1830,20831,4125,16,132238,15966,57221,19016,26951,10401,2686,14,864,821,16,3,24,236,180,5,2,5,0,288,209,883,67769
1970:Q2,135272,46122,61673,27462,1897,21344,4221,15,135272,16261,58677,19378,27422,10761,2775,15,894,848,17,4,25,243,186,5,2,5,0,297,216,912,68696
1970:Q3,138328,47273,62898,28142,1966,21856,4320,15,138328,16616,60104,19771,27865,11103,2868,15,925,878,17,4,26,251,191,6,3,6,0,307,222,942,69792
1970:Q4,141512,48525,64138,28833,2034,22377,4422,16,141512,17030,61505,20197,28297,11517,2965,16,956,908,18,4,26,260,197,6,3,6,0,317,229,975,71118
1971:Q1,144646,50122,64962,29557,2249,22919,4389,5,144646,17503,62886,20657,28728,11814,3059,17,986,936,19,4,27,263,200,7,3,8,0,310,256,1009,72897
1971:Q2,147597,51288,66120,30185,2319,23377,4489,4,147597,17981,64230,21113,29013,12105,3161,18,1017,965,19,4,29,273,207,7,3,9,0,320,264,1043,74814
1971:Q3,150361,52372,67231,30753,2385,23780,4588,5,150361,18463,65541,21566,29199,12339,3253,18,1050,996,20,4,30,280,211,7,3,9,0,329,272,1074,76279
1971:Q4,153099,53480,68338,31276,2448,24142,4686,5,153099,18949,66823,22017,29314,12651,3345,19,1079,1025,20,4,30,288,218,7,3,9,0,339,280,1103,77094
1972:Q1,155942,55320,68896,31698,2613,24499,4586,28,155942,19439,68078,22465,29609,12919,3434,21,1119,1063,20,4,32,288,219,7,3,16,0,317,304,1140,78276
1972:Q2,158952,56469,70137,32317,2683,24945,4689,29,158952,19995,69486,22943,29866,13130,3534,22,1147,1091,20,4,32,297,226,7,3,16,0,328,314,1174,80159
1972:Q3,162705,57858,71660,33161,2769,25590,4802,26,162705,20618,71053,23448,30519,13424,3646,22,1181,1121,21,4,35,306,233,8,4,17,0,338,324,1213,81844
1972:Q4,166434,59384,73164,33860,2855,26079,4926,26,166434,21308,72775,23977,30821,13782,3771,23,1215,1154,21,4,36,318,241,8,4,17,0,351,337,1257,83613
1973:Q1,170490,62263,73755,34287,3068,26506,4713,185,170490,22065,74658,24526,31158,14168,3914,25,1293,1229,22,4,38,315,242,8,3,12,0,356,373,1287,85248
1973:Q2,175393,64213,75738,35259,3179,27222,4858,183,175393,22870,76895,25183,31778,14589,4080,26,1347,1281,23,4,39,329,253,8,3,12,0,371,389,1342,87691
1973:Q3,181241,66430,78112,36515,3309,28182,5024,184,181241,23724,79488,25947,32802,15018,4261,26,1404,1336,23,4,41,343,265,9,4,12,0,388,407,1403,90320
1973:Q4,187608,68946,80690,37788,3449,29130,5209,184,187608,24626,82435,26820,33677,15585,4466,27,1467,1394,25,5,43,360,278,9,4,13,0,409,427,1472,92553
1974:Q1,194309,72119,83495,38640,3684,30018,4938,55,194309,25577,85731,27804,33992,16514,4691,27,1595,1520,25,5,45,368,292,8,3,12,0,443,438,1505,95118
1974:Q2,202125,75541,86565,39966,3850,30975,5141,53,202125,26544,89403,28849,34633,17765,4931,28,1665,1586,27,5,47,389,308,9,3,13,0,467,462,1587,97090
1974:Q3,211182,79223,90224,41682,4049,32272,5361,53,211182,27529,93443,29952,35977,19084,5196,29,1738,1654,29,6,49,412,327,10,4,13,0,494,490,1679,100544
1974:Q4,219957,82666,94030,43207,4251,33360,5596,54,219957,28530,97855,31109,36928,20047,5488,32,1820,1732,30,6,52,437,347,10,4,14,0,524,519,1781,105455
1975:Q1,228744,84642,100266,43855,4581,33809,5465,-19,228744,29548,102607,32317,37825,20608,5836,30,2023,1918,39,8,58,461,374,9,3,14,0,592,521,1809,107575
1975:Q2,235777,87200,103611,44987,4759,34560,5668,-21,235777,30489,106665,33342,38287,20855,6137,32,2119,2008,42,9,60,485,394,10,3,15,0,624,549,1906,109836
1975:Q3,242131,89359,106660,46134,4923,35373,5838,-22,242131,31352,110004,34186,39103,21076,6412,32,2205,2088,44,9,64,507,412,12,5,16,0,653,575,1995,112495
1975:Q4,247391,91116,109253,47043,5061,36005,5977,-21,247391,32139,112620,34853,39760,21366,6650,34,2277,2156,46,10,65,527,428,12,5,17,0,679,598,2073,114755
1976:Q1,251926,91849,112465,47653,5353,36394,5906,-41,251926,32847,114485,35344,40697,21659,6890,35,2485,2340,63,9,73,545,451,9,3,9,0,710,587,2056,118763
1976:Q2,256699,93478,114887,48376,5486,36857,6033,-42,256699,33719,116862,35967,41062,21968,7118,37,2553,2404,64,9,76,564,468,9,3,9,0,736,608,2131,121571
1976:Q3,262693,95435,117808,49493,5644,37663,6186,-43,262693,34754,119718,36717,41991,22140,7373,37,2628,2473,66,10,79,586,486,12,5,9,0,764,633,2213,124098
1976:Q4,269589,97829,121063,50739,5819,38557,6363,-42,269589,35952,123051,37590,42934,22408,7655,39,2715,2554,69,10,82,610,506,12,5,9,0,796,659,2304,126820
1977:Q1,277536,101420,124734,51332,6005,38980,6347,50,277536,37312,126831,38582,43967,22845,7999,41,2975,2776,95,10,94,622,526,10,4,10,0,844,646,2321,132129
1977:Q2,285661,104314,128564,52733,6207,39976,6550,50,285661,38778,130753,39637,44974,23211,8306,43,3082,2875,99,10,98,646,547,10,4,10,0,877,672,2415,135529
1977:Q3,293756,107282,132448,53978,6393,40823,6762,48,293756,40349,134787,40759,45615,23641,8603,43,3182,2969,102,10,101,670,568,13,6,10,0,909,698,2504,138352
1977:Q4,302364,110329,136609,55376,6581,41814,6981,50,302364,42025,138933,41949,46521,24047,8893,45,3282,3058,107,11,106,694,587,13,6,10,0,942,721,2593,141991
1978:Q1,311598,114737,140637,56101,6583,42398,7120,123,311598,43806,143164,43209,47744,24488,9184,47,3504,3232,147,10,115,697,597,10,4,9,0,1044,657,2615,148065
