date,FC152090005.Q,FU152090005.Q,FU152010005.Q,FU155035005.Q,FU165015205.Q,FU165013765.Q,FU155111005.Q,FU155420003.Q,FU154090005.Q,FU154190005.Q,FR152090005.Q,FR152010005.Q,FR155035005.Q,FR165015205.Q,FR165013765.Q,FR155111005.Q,FR154090005.Q,FR154022005.Q,FR153064105.Q,FR152090205.Q,FR153094305.Q,FR153064205.Q,FR153040005.Q,FR153050005.Q,FR153030005.Q,FV152090005.Q,LM152090005.Q,FA156012005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,806616,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,78600,26959,10134,4922,74,3,5135,0,23682,6857,51003,21255,18517,80,32,2626,29748,0,-7240,37120,0,-132,0,0,0,638,885217,165324
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,98980,23245,15855,7954,120,-3,7784,0,16417,9027,74260,44244,40353,58,21,3812,30016,0,-3101,33165,0,-48,0,0,0,1475,984197,174691
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,52821,28110,18506,10778,141,-1,7588,0,18245,8641,23589,14365,12200,35,1,2129,9224,0,-1752,11021,0,-45,0,0,0,1122,1037018,194291
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,42406,25418,18543,9884,118,5,8536,0,14827,7952,15955,7842,7688,-19,0,173,8113,0,6439,394,0,1280,0,0,0,1033,1079424,194338
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,92019,32523,24972,12896,205,8,11863,0,21293,13742,58776,22254,18299,98,22,3835,36522,0,21593,14867,0,62,0,0,0,720,1171443,214823
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,109080,41852,20574,13122,205,6,7241,0,30042,8764,67033,23061,17715,41,15,5290,43972,0,18923,25177,0,-128,0,0,0,195,1280523,237177
1952:Q1,17944,13387,4733,3119,50,1,1563,0,9312,657,5623,1450,-176,-8,-2,1636,4173,0,2511,1722,0,-14,0,-46,0,-1066,1298467,243408
1952:Q2,22646,8136,4727,3207,52,2,1466,0,7596,4187,14178,7006,7641,-4,-1,-630,7172,0,6029,1226,0,-44,0,-39,0,332,1321113,246447
1952:Q3,12825,13010,4298,3199,34,3,1062,0,11743,3030,-458,343,-1770,-18,0,2131,-801,0,-611,-150,0,16,0,-56,0,273,1333938,253057
1952:Q4,3899,12078,5333,3371,46,5,1912,0,11194,4449,-9029,5177,7342,-15,2,-2151,-14206,0,-11069,-3099,0,-13,0,-25,0,850,1337837,258904
1953:Q1,10378,12695,5991,3412,52,3,2524,0,9020,2317,-2636,2961,2080,7,2,872,-5597,0,-3417,-1915,0,-202,0,-63,0,320,1348216,262968
1953:Q2,2232,9492,5801,3422,51,4,2324,0,8183,4492,-7512,3225,3429,17,2,-223,-10737,0,-9570,-938,0,-172,0,-57,0,252,1350448,266799
1953:Q3,14590,12961,5462,3287,54,5,2117,0,10029,2530,1446,5598,6808,17,-1,-1226,-4152,0,-4719,730,0,-102,0,-61,0,183,1365038,266957
1953:Q4,20789,12524,5129,3219,49,5,1856,0,10790,3395,8152,-4747,-4632,5,-1,-119,12898,0,13799,-1156,0,307,0,-52,0,113,1385827,267217
1954:Q1,22776,10438,4790,3305,40,6,1439,0,5520,-128,12057,94,-1739,26,-1,1808,11964,0,11067,692,0,266,0,-61,0,281,1408603,269931
1954:Q2,21692,7047,5067,3569,38,6,1454,0,5796,3816,14323,-1973,760,26,-1,-2758,16296,0,15062,995,0,330,0,-91,0,322,1430294,269820
1954:Q3,36237,11100,5322,3871,41,5,1405,0,9229,3451,24775,4144,5700,-29,1,-1529,20631,0,18149,2108,0,460,0,-86,0,363,1466532,271778
1954:Q4,17183,9984,6032,4145,40,5,1842,0,9281,5329,6794,4003,4069,-1,2,-68,2792,0,1383,981,0,487,0,-59,0,405,1483715,276713
1955:Q1,21754,12774,6763,4468,40,5,2251,0,9233,3223,8546,173,400,-25,2,-205,8373,0,6018,2146,0,273,0,-63,0,434,1505469,282103
1955:Q2,35124,5529,7296,4561,49,5,2682,0,5343,7111,29184,5491,5880,2,3,-395,23693,0,21030,2111,0,540,0,13,0,411,1540593,288631
1955:Q3,39328,14021,7500,4470,57,6,2967,0,11882,5361,24923,7083,6791,30,4,258,17841,0,14158,3813,0,-98,0,-33,0,384,1579921,295107
