1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2017:Q4,649009,118657,314709,13637,4997,22373,176450,-1814,695754,445054,178349,0,72210,141,-46745,68608,-17753,39616,111835,99471,3791,8573,101409,6173,18567,597,4807,48584,2280,21992,17749,484,6079,19712,7624,12088,-850,300,3392,1062,-935,92836,30397,2188,28209,246,11484,50710,-72219
2018:Q1,657965,118571,318305,13717,5049,22745,181144,-1565,702264,450948,180141,0,71033,142,-44299,69643,-17626,42970,91163,85226,3963,1975,-21440,-457,-5296,-1249,-2894,-1512,-1372,397,-3717,55,3125,-12336,-4484,-7852,-850,300,1298,4475,-2919,-23415,-18295,935,-19230,226,11600,-16946,-48194
2018:Q2,656150,112723,321314,15104,5088,23220,180362,-1661,716154,462057,183226,0,70728,143,-60005,70916,-17833,28744,80838,109649,4099,-32911,53041,-5563,-5933,-627,4206,46996,1994,19373,15863,399,9367,1189,6669,-5480,-850,300,8396,4696,231,85952,-993,-4492,3499,215,11868,74862,-52093
2018:Q3,662447,115112,325040,15399,5138,23547,180225,-2013,696535,440665,184368,0,71357,145,-34088,71780,-19751,57443,45505,122501,4190,-81185,42768,-6692,5607,-508,2868,35464,1360,19413,10544,468,3679,-2781,4581,-7362,-850,300,10680,5167,-6487,123953,-8134,5658,-13792,296,12066,119725,11938
2018:Q4,666601,113456,328980,15909,5155,23729,182045,-2672,728075,471645,183385,0,72899,146,-61474,72813,-17912,29251,53982,101395,4234,-51646,-5767,5076,13532,294,-3031,-45790,-1437,-25347,-17070,-390,-1546,-10250,-4694,-5556,-850,300,2476,5021,27455,45879,-12177,771,-12948,366,12129,45561,-24732
2019:Q1,680767,118263,333430,18314,5207,24093,185048,-3588,732810,471216,186017,0,75428,148,-52043,73484,-18117,39558,37413,89924,4231,-56742,5190,-1599,1723,882,-337,20587,-160,33292,-665,-391,-11489,-4698,-476,-4222,-850,300,391,2302,-13511,61932,-15662,1160,-16822,248,12390,64956,2145
2019:Q2,706619,133267,337200,18684,5190,24134,192035,-3891,755607,488063,190519,0,76875,149,-48987,74539,-18187,43739,20334,116363,4236,-100266,-40040,-2323,732,1487,-2109,-15804,-1000,-4258,-5468,-483,-4595,-17371,-3261,-14110,-850,300,4647,2758,-11507,60225,-17833,-2610,-15223,264,12840,64955,23405
2019:Q3,700765,124409,343544,18558,5149,24105,188471,-3471,736904,466406,193074,0,77272,151,-36138,75205,-19130,58197,59068,128630,4249,-73810,976,-386,4317,2317,203,-1153,96,-3093,3183,-139,-1200,6304,360,5944,-850,300,5646,1977,-17699,74786,-3028,3502,-6530,260,12969,64585,-872
2019:Q4,700655,122006,344027,17914,5111,24148,189808,-2359,769389,499513,193115,0,76608,152,-68733,75642,-19395,26304,57385,107600,4268,-54483,58794,10467,13002,2073,903,20510,428,13898,5353,117,714,25394,1451,23943,-850,300,1435,1504,-15944,113277,35263,4737,30526,275,13153,64586,-31081
2020:Q1,707793,122042,344856,16457,5064,23902,196692,-1220,766063,500584,190419,0,74906,154,-58269,76169,-20254,38153,22434,95565,4295,-77426,7109,3238,7196,7195,-2180,12714,-1033,2929,3076,24,7718,3256,-3394,6650,-850,300,-11423,1722,-14059,84535,6487,-1800,8287,109,13366,64573,15719
