1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,276,256,0,256,0,0,7,7,13,1,15,-11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q4,1718,1519,0,1519,171,171,13,13,15,3,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q1,273,251,0,251,0,0,8,8,14,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q2,-620,-636,0,-636,0,0,5,5,11,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q3,235,223,0,223,0,0,4,4,8,1,16,-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q4,773,630,0,630,122,122,5,5,16,2,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q1,434,412,0,412,0,0,11,11,11,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q2,-312,-330,0,-330,0,0,3,3,15,-1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q3,742,714,0,714,0,0,6,6,22,0,19,-13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q4,1321,1279,0,1279,62,62,10,10,-30,1,4,-53,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q1,547,526,0,526,0,0,11,11,10,1,5,-14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q2,-368,-438,0,-438,50,50,5,5,15,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q3,478,485,0,485,0,0,5,5,-12,0,21,-44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,1796,1713,0,1713,62,62,6,6,15,0,8,-8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,653,611,0,611,0,0,12,12,30,2,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,-29,-65,0,-65,0,0,5,5,31,3,20,-5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,1123,1099,0,1099,0,0,3,3,21,0,16,-5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,2042,2018,0,2018,0,0,7,7,17,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,177,70,0,70,0,0,9,9,98,8,12,52,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,-34,-132,0,-132,0,0,2,2,96,8,14,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,1687,1626,0,1626,10,10,4,4,47,4,18,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,1728,1811,0,1811,-110,-110,4,4,23,6,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,1479,1406,0,1406,33,33,8,8,32,2,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,-721,-776,0,-776,42,42,7,7,6,2,24,-25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,309,207,0,207,77,77,4,4,21,7,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
