1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q2,366,768,7410,25,9,0,3282,299,120,2863,3,60,0,4031,4786,4703,1325,-1157,2482,-136,-136,0,22,-18,3510,1087,2423,83,-3026,100
1980:Q3,256,790,1640,25,8,0,619,-2119,2084,654,2,64,0,922,629,423,663,-719,1382,722,722,0,53,-18,-997,1007,-2004,206,-1545,66
1980:Q4,232,819,4707,24,8,0,7107,4555,179,2373,-3,71,0,-2500,5706,5576,3383,2849,534,607,607,0,-13,-25,1624,1557,67,130,412,105
1981:Q1,320,796,5610,23,8,0,1555,597,1140,-182,3,69,0,3952,5180,5497,1252,1778,-526,-828,-828,0,-82,-25,5180,-5579,10759,-317,-906,21
1981:Q2,295,827,9280,23,7,0,10303,6767,1805,1731,2,72,0,-1127,9686,9665,5935,5444,491,1980,1980,0,6,-27,1771,-1185,2956,21,-126,15
1981:Q3,291,860,4671,22,8,0,3906,-1250,632,4524,3,74,0,658,4317,4192,2455,2281,174,394,394,0,32,-29,1340,-2586,3926,125,-923,-24
1981:Q4,321,886,5441,21,7,0,6990,4520,-341,2811,2,79,0,-1658,5122,5262,3414,118,3296,363,363,0,-41,-34,1560,1503,57,-140,-884,131
1982:Q1,411,832,3359,19,6,0,433,528,628,-723,3,212,0,2686,3244,3324,-1722,-5012,3290,1298,1298,0,-44,-36,3828,-546,4374,-80,-536,162
1982:Q2,500,810,7498,18,6,0,5750,1337,1405,3008,-27,195,0,1556,7397,7227,5747,4383,1364,9,9,0,76,-45,1440,-2153,3593,170,-411,-131
1982:Q3,595,792,572,18,6,0,121,-348,499,-30,-28,269,0,186,70,254,-3097,-4144,1047,-89,-89,0,-82,-39,3561,6898,-3337,-184,-698,4
1982:Q4,664,778,1672,21,7,0,3968,-773,1594,3147,-8,-254,0,-2062,1778,1480,1336,-1040,2376,1373,1373,0,93,-22,-1300,3107,-4407,298,-8,150
1983:Q1,732,1455,7348,21,7,0,2804,1305,1160,339,-44,601,0,3959,5887,5974,1436,506,930,1209,1209,0,-28,3,3354,1179,2175,-87,-2184,142
