1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,529294,7883,3379,32918,460374,228683,76353,155338,133,9509,0,15098,508967,506940,304717,157677,147040,32790,32790,0,582,654,168197,51288,116909,2027,16642
1989:Q1,525205,7559,4070,33992,453266,235047,73054,145165,208,10536,0,15574,505120,500773,310873,166319,144554,24436,24436,0,1448,734,163282,51499,111783,4347,17766
1989:Q2,551860,8031,4324,36113,471586,242393,80201,148992,332,14940,0,16534,528635,521616,322545,170050,152495,26391,26391,0,2370,825,169485,53001,116484,7019,18566
1989:Q3,572904,8284,4460,37252,487127,238681,97981,150465,455,18207,0,17119,541645,537603,334042,175775,158267,28259,28259,0,1303,922,173077,57663,115414,4042,18856
1989:Q4,602956,8668,4668,38981,498315,250779,102938,144598,1161,33185,0,17978,560902,552456,341386,178698,162688,33610,33610,0,2234,1019,174207,59827,114380,8446,19443
1990:Q1,598672,8632,4648,38818,499774,253769,106060,139945,1087,29746,0,15967,558920,551135,354725,190059,164666,26391,26391,0,2047,1119,166853,63803,103050,7785,21124
1990:Q2,616829,9112,4907,40978,515862,265009,111746,139107,1035,29091,0,15844,580529,572048,358845,187965,170880,30129,30129,0,2233,1223,179618,62631,116987,8481,22383
1990:Q3,627198,9458,5093,42534,521458,263777,114666,143015,1309,31645,0,15701,589770,583278,353358,181785,171573,31624,31624,0,1680,1330,195286,71426,123860,6492,23830
1990:Q4,618124,9879,5320,44427,520401,268148,114134,138119,831,21178,0,16088,590819,586997,362910,183459,179451,35208,35208,0,1073,1441,186365,61229,125136,3822,26088
1991:Q1,623600,10345,5570,46522,516147,265459,119752,130936,1097,26304,0,17615,591912,590252,368461,184974,183487,29471,29471,0,434,1555,190331,61599,128732,1660,27700
1991:Q2,629797,10019,6680,48812,522590,266945,124401,131244,770,22640,0,18286,614017,605189,368224,181757,186467,33098,33098,0,2465,1669,199733,66861,132872,8828,30107
1991:Q3,622999,11107,7404,54108,503208,265605,109497,128106,781,23616,0,22775,605419,601068,360841,173723,187118,33957,33957,0,1146,1790,203334,63639,139695,4351,31893
1991:Q4,647055,12165,8110,59266,513283,263800,123590,125893,787,26246,0,27198,631184,625322,376896,182613,194283,34844,34844,0,1202,1924,210456,70543,139913,5862,33530
1992:Q1,649052,12036,8024,58637,513678,260589,130328,122761,1224,30755,0,24698,643061,636615,379512,183177,196335,30709,30709,0,1292,2070,223032,69986,153046,6446,34587
1992:Q2,629618,11482,7654,55935,504665,263023,120811,120831,1203,29265,0,19414,630047,623275,371991,172560,199431,32545,32545,0,1382,2226,215131,60481,154650,6772,37567
1992:Q3,638384,12130,8086,59092,507927,256724,129822,121381,1169,29089,0,20891,642822,635422,378973,179111,199862,34446,34446,0,1476,2392,218135,61022,157113,7400,39032
1992:Q4,645587,12556,8371,61171,513802,264909,126267,122626,1345,28140,0,20202,651909,647389,377509,174369,203140,39138,39138,0,896,2565,227281,64593,162688,4520,39012
1993:Q1,618801,13335,8890,64966,480719,255029,113292,112398,1321,25589,0,23981,629407,626544,364185,159325,204860,36731,36731,0,585,2749,222294,61342,160952,2863,40601
1993:Q2,640420,13823,9215,67343,488975,250894,127779,110302,2031,33304,0,25729,648825,643673,356099,150436,205663,42592,42592,0,1112,2945,240925,70478,170447,5152,44015
1993:Q3,642426,13444,10999,71449,485212,248006,126473,110733,1757,31470,0,28095,658535,652487,359115,145930,213185,47704,47704,0,1357,3146,241165,69815,171350,6048,47275
1993:Q4,683089,14072,11513,74787,488311,249047,123130,116134,3630,61672,0,29104,674601,663905,365098,149457,215641,50201,50201,0,2465,3342,242799,65776,177023,10696,49255
1994:Q1,678480,14225,11639,75602,484311,253565,110974,119772,4598,63201,0,24904,678010,667471,377098,155049,222049,43690,43690,0,2390,3537,240756,57127,183629,10539,52679
1994:Q2,678293,14601,11947,77603,485995,259174,102867,123954,4508,62480,0,21159,687312,676368,390257,159669,230588,37894,37894,0,2477,3734,242006,55658,186348,10944,58252
1994:Q3,680734,14918,12205,79283,490130,258560,101560,130010,4564,62315,0,17319,701761,690726,398667,158716,239951,37098,37098,0,2498,3930,248533,55658,192875,11035,63159
1994:Q4,672657,15500,12681,82376,512680,274916,103343,134421,1985,34552,0,12883,728449,722369,418949,171566,247383,38902,38902,0,1306,4122,259090,54118,204972,6080,67461
1995:Q1,692561,16433,13446,87339,521855,285122,101375,135358,2054,35767,0,15667,750273,745062,435010,167550,267460,37095,37095,0,1071,4291,267595,52731,214864,5211,71800
1995:Q2,717050,16811,13755,89347,543529,291433,110807,141289,2064,36032,0,15512,778035,773193,444951,166858,278093,42302,42302,0,997,4483,280460,59667,220793,4842,75673
1995:Q3,724015,16944,13864,90055,549456,288967,114765,145724,2067,36151,0,15478,788014,782344,449346,162830,286516,43235,43235,0,1158,4685,283920,61543,222377,5670,78957
1995:Q4,740377,16309,16309,95345,559218,301604,105491,152123,1491,33491,0,18214,814620,805075,468641,168617,300024,41643,41643,0,1486,4864,288441,57725,230716,9545,80848
1996:Q1,760447,16574,16574,96890,576314,303542,120257,152515,1468,34926,0,17701,835073,824963,475683,168174,307509,50491,50491,0,1640,5049,292100,61451,230649,10110,83386
1996:Q2,769605,16813,16813,98291,579247,305721,119661,153865,1505,36053,0,20883,845981,834963,488577,169568,319009,49991,49991,0,1803,5259,289333,63305,226028,11018,86729
1996:Q3,781740,17517,17517,102407,578707,299021,123847,155839,1626,36771,0,27195,854630,845080,497750,173311,324439,48332,48332,0,1542,5469,291987,65185,226802,9550,90185
1996:Q4,817207,18953,18953,110801,586313,304692,126724,154897,1904,43244,0,37039,889401,876505,514778,177984,336794,54118,54118,0,1788,5663,300158,61353,238805,12896,93177
1997:Q1,827279,18976,18976,110934,594177,308023,128558,157596,1916,43655,0,38645,900747,886249,516794,185857,330937,50732,50732,0,2132,5847,310744,60948,249796,14498,96563
1997:Q2,842857,20144,20144,117766,589057,302104,125282,161671,1989,45259,0,48498,911586,897856,548485,194460,354025,52354,52354,0,2094,6051,288872,49653,239219,13730,99779
1997:Q3,860119,19050,19050,111370,621287,307503,149090,164694,1992,45720,0,41650,922103,911576,523755,190475,333280,56494,56494,0,1585,6271,323471,66508,256963,10527,97751
1997:Q4,879543,18554,22677,120521,600265,304094,128629,167542,2423,59275,0,55828,921468,911683,544093,202613,341480,52555,52555,0,1204,6473,307358,50863,256495,9785,98800
1998:Q1,872054,19610,23968,127383,607503,309089,133161,165253,2395,55038,0,36157,911318,902279,566047,212935,353112,51089,51089,0,1127,6670,277346,48468,228878,9039,97486
1998:Q2,900525,20116,24586,130668,623131,315670,137098,170363,2960,58347,0,40717,936654,925888,594667,227355,367312,56968,56968,0,1372,6884,265997,38155,227842,10766,99656
1998:Q3,897735,18653,22798,121165,639574,313499,149901,176174,2931,60373,0,32241,925020,915281,586545,228577,357968,50745,50745,0,1268,7100,269623,44796,224827,9739,97835
1998:Q4,1004844,19644,24010,127605,685154,340919,160890,183345,4833,105568,0,38030,977942,960772,598983,233340,365643,49534,49534,0,1817,7293,303145,50789,252356,17170,96605
1999:Q1,1053554,21241,25962,137978,704706,354283,166579,183844,6191,107114,0,50362,1006154,993268,619647,224929,394718,45292,45292,0,1475,7488,319366,52650,266716,12886,97555
1999:Q2,1091547,21855,26712,141965,729760,363143,175630,190987,6954,108745,0,55556,1046349,1029642,646842,233158,413684,47289,47289,0,1882,7702,325927,51813,274114,16707,99590
1999:Q3,1110848,21619,26424,140434,749829,370585,187786,191458,7473,109492,0,55577,1050669,1031913,636604,207705,428899,50156,50156,0,2232,7914,335007,70078,264929,18756,102363
1999:Q4,1111259,21152,31728,154573,792034,395088,195304,201642,2309,38451,0,71012,1137935,1115558,660739,230422,430317,60115,60115,0,2413,8123,384168,112457,271711,22377,102878
2000:Q1,1184543,21529,32294,157329,827819,422737,200092,204990,2166,39072,0,104334,1229141,1209489,680100,232963,447137,54342,54342,0,2133,8338,464576,132551,332025,19652,106636
2000:Q2,1231994,21816,32724,159425,870291,441876,215452,212963,2089,38692,0,106957,1273529,1253505,708258,224256,484002,61700,61700,0,2187,8572,472788,123891,348897,20024,109141
2000:Q3,1282490,22878,34318,167189,899402,441898,228449,229055,2190,39150,0,117363,1321270,1302149,727582,219399,508183,64745,64745,0,2370,8815,498637,133033,365604,19121,110562
2000:Q4,1315673,23722,35584,173357,928526,456178,237899,234449,1546,26512,0,126426,1358768,1343189,743347,240092,503255,63764,63764,0,2127,9074,524878,138582,386296,15579,109447
2001:Q1,1339527,24256,36385,177258,938904,455743,248467,234694,1589,26789,0,134346,1372762,1352592,718484,182768,535716,70262,70262,0,2961,9344,551541,137865,413676,20170,108364
2001:Q2,1369947,23270,34904,170048,985730,477377,265087,243266,1556,27146,0,127293,1400579,1379219,728401,184100,544301,76713,76713,0,3165,9628,561312,140646,420666,21360,112811
2001:Q3,1382721,24147,36221,176461,978106,445526,275416,257164,1575,26852,0,139359,1395327,1380433,732951,174125,558826,76020,76020,0,2260,9926,559276,142965,416311,14894,111532
2001:Q4,1414498,23034,42777,192367,978378,440219,258189,279970,1068,14784,0,162090,1424825,1407098,733687,162368,571319,84305,84305,0,3227,10236,575643,156515,419128,17727,107395
2002:Q1,1408130,22532,41844,188175,977035,435101,258857,283077,1153,15420,0,161971,1404011,1386669,721283,141382,579901,82801,82801,0,3175,10561,568849,142518,426331,17342,102054
2002:Q2,1454591,23073,42851,192700,1009533,440427,275051,294055,1189,15237,0,170008,1447986,1430582,740447,135880,604567,94207,94207,0,2955,10898,582075,150994,431081,17404,101516
2002:Q3,1520310,24183,44912,201971,1048873,435430,301005,312438,1178,15365,0,183828,1505677,1486169,766068,148753,617315,95252,95252,0,3138,11249,610462,162298,448164,19508,94266
2002:Q4,1574664,25201,46801,210467,1082041,444043,330480,307518,1169,11790,0,197195,1540071,1524824,783093,147805,635288,101111,101111,0,3340,11614,625666,179569,446097,15247,89763
2003:Q1,1597940,26226,48705,219026,1079190,441554,327715,309921,1058,11518,0,212217,1559583,1529312,786298,134247,652051,96755,96755,0,6273,11992,627994,178907,449087,30271,88927
2003:Q2,1692455,28155,52288,235140,1129391,442347,359118,327926,1131,11861,0,234489,1659556,1629209,831104,152843,678261,111156,111156,0,6200,12384,668365,200646,467719,30347,84425
2003:Q3,1787282,30386,56430,253769,1172848,430996,367209,374643,1175,12315,0,260359,1740039,1708694,844984,141138,703846,111522,111522,0,6002,12789,733397,198422,534975,31345,83764
2003:Q4,1855779,27069,63162,263751,1204943,441742,370157,393044,1327,18720,0,276807,1793459,1753934,888368,145140,743228,106923,106923,0,5889,13209,739545,202830,536715,39525,79045
2004:Q1,1896353,26569,61995,258880,1253283,458788,382525,411970,1377,19243,0,275006,1835400,1792522,901406,148076,753330,110604,110604,0,6501,13642,760369,211789,548580,42878,76267
2004:Q2,1938644,25546,59607,248908,1316298,453349,426711,436238,1457,20100,0,266728,1870291,1824225,910779,151519,759260,119173,119173,0,6666,14088,773519,234641,538878,46066,75260
2004:Q3,1989974,25974,60607,253082,1351672,437235,443319,471118,1480,20487,0,276672,1913491,1865299,932021,165076,766945,131173,131173,0,6848,14549,780708,244070,536638,48192,73878
2004:Q4,2066836,26278,61314,256037,1419847,451548,475953,492346,1070,17658,0,284632,1966938,1938380,992675,175322,817353,136948,136948,0,3794,15024,789939,257694,532245,28558,74122
2005:Q1,2055771,25476,59444,248228,1423009,447872,481756,493381,1063,17744,0,280807,1950572,1918453,1010642,161177,849465,129272,129272,0,4232,17735,756572,258397,498175,32119,75947
2005:Q2,2093570,25921,60483,252567,1441727,455614,491055,495058,1156,19928,0,291788,1970598,1936808,1013974,148832,865142,129889,129889,0,4053,18287,770605,259993,510612,33790,80147
2005:Q3,1999215,20960,48906,204224,1465216,450999,505792,508425,1339,21812,0,236758,1913461,1878811,899795,146034,753761,134823,134823,0,4393,19887,819913,275007,544906,34650,82320
2005:Q4,2073815,17409,52226,203548,1537068,479170,541364,516534,1176,21498,0,240890,1961573,1913608,966475,159997,806478,142103,142103,0,6455,16943,781632,312241,469391,47965,85309
2006:Q1,2067077,17148,51444,200501,1544514,482802,560591,501121,1563,30721,0,221186,1952877,1899596,961901,150971,810930,137421,137421,0,7066,17107,776101,319007,457094,53281,91705
2006:Q2,2078289,16237,48711,189849,1576105,497351,572036,506718,1767,36484,0,209136,1976887,1921862,985305,152685,832620,136939,136939,0,7777,16630,775211,327445,447766,55025,97767
2006:Q3,2099771,15695,47084,183508,1614531,490420,591633,532478,2036,43924,0,192993,1994706,1934903,988034,164014,824020,131487,131487,0,8363,16844,790175,336692,453483,59803,102124
2006:Q4,2146084,15808,47424,184833,1627347,498043,594372,534932,2354,57430,0,210888,2043648,1978044,1014933,165267,849666,129240,129240,0,9006,16969,807896,338536,469360,65604,105956
2007:Q1,2185173,16176,48528,189133,1619478,505429,579815,534234,3838,101014,0,207006,2079765,2012385,1096064,132480,963584,138132,138132,0,8909,15497,753783,327020,426763,67380,110718
2007:Q2,2256003,16418,49255,191967,1619460,509268,563172,547020,5280,162819,0,210804,2114658,2035856,1086853,127034,959819,153453,153453,0,10020,15402,770128,344452,425676,78802,116317
2007:Q3,2332569,16759,50276,195949,1635106,507904,560390,566812,6413,209363,0,218703,2150524,2067158,1103631,119756,983875,176736,176736,0,10737,15695,760359,327807,432552,83366,120465
2007:Q4,2363601,16194,48583,189350,1632708,522957,531857,577894,8792,243250,0,224724,2155691,2069426,1097625,123528,974097,182006,182006,0,12639,15508,761648,321433,440215,86265,122898
2008:Q1,2392360,16964,50893,198352,1649568,541997,525830,581741,9684,234939,0,231960,2190218,2107988,1118050,113543,1004507,183388,183388,0,13803,15667,777080,328662,448418,82230,124934
2008:Q2,2385102,16914,50743,197768,1628416,563927,491585,572904,10618,237292,0,243351,2176990,2098543,1101679,112391,989288,197585,197585,0,14383,15661,769235,319914,449321,78447,121912
2008:Q3,2338788,16682,50047,195057,1606255,557003,468617,580635,9907,202080,0,258760,2159020,2083466,1083805,103261,980544,180873,180873,0,14638,15596,788554,324826,463728,75554,118522
2008:Q4,2239456,16452,49357,192364,1549149,539882,447886,561381,9802,164680,0,257652,2068864,2008776,1025341,100885,924456,174924,174924,0,14596,15424,778491,313046,465445,60088,111090
2009:Q1,2172531,17079,51238,199695,1492494,516685,440237,535572,10572,141699,0,259754,1997911,1941866,980846,72834,908012,168365,167193,1172,14998,15357,762300,303178,459122,56045,101795
2009:Q2,2141349,17511,52532,204739,1444364,493012,426841,524511,10683,162910,0,248610,1915279,1848315,924769,66766,858003,178834,177464,1370,15626,14563,714523,285033,429490,66964,94012
2009:Q3,2119750,17096,51287,199890,1402501,474268,415611,512622,10529,184977,0,253470,1875713,1796824,913259,58972,854287,161685,161685,0,16236,13779,691865,279265,412600,78889,90228
2009:Q4,2031750,16987,50960,198615,1326997,448885,397357,480755,10009,182313,0,245869,1806201,1717846,899562,62074,837488,144501,144501,0,16926,12659,644198,280451,363747,88355,85370
2010:Q1,2036472,15877,47630,87325,1436267,447526,386863,601878,8719,187343,6,253305,1805829,1712396,922116,63987,858129,125990,125896,94,17572,12555,634163,277340,356823,93433,80746
2010:Q2,1991270,16140,48421,86006,1400942,439207,371051,590684,8183,168160,37,263381,1758298,1676178,897070,63082,833988,120589,120009,580,17515,12630,628374,273519,354855,82120,77212
2010:Q3,1986683,15528,46584,84412,1390037,445748,361226,583063,7994,196422,34,245672,1733205,1632822,879328,56817,822511,95524,94994,530,19186,12784,626000,272505,353495,100383,74790
2010:Q4,1984306,26534,79602,84123,1321259,372731,243542,704986,8860,216914,57,246957,1790788,1670522,1188282,111029,1077253,92443,91538,905,20314,6028,363455,175688,187767,120266,111827
2011:Q1,1978776,28994,86983,84436,1300414,371665,236833,691916,8701,229500,34,239714,1769405,1651104,1173614,114440,1059174,94329,93798,531,18606,5889,358666,172676,185990,118301,112750
2011:Q2,1955576,31732,95195,86157,1273344,361262,227786,684296,9030,228872,59,231187,1738987,1627494,1162110,108727,1053383,90456,89444,1012,17590,5745,351593,170967,180626,111493,113459
2011:Q3,1941806,33739,101217,88663,1264487,361948,217715,684824,8491,188226,60,256923,1744498,1657109,1164774,111762,1053012,99362,98338,1024,16566,6563,369844,168096,201748,87389,115112
2011:Q4,1949730,31664,94991,85002,1274551,375763,211223,687565,9104,202448,56,251914,1742879,1652450,1158531,120987,1037544,103335,102080,1255,16158,6702,367724,163721,204003,90429,119737
2012:Q1,1954178,31267,93801,84900,1262038,375495,206346,680197,10690,222676,56,248750,1737314,1639252,1151606,122810,1028796,98847,97548,1299,15037,6998,366764,157087,209677,98062,124200
2012:Q2,1894264,28589,85768,86899,1243223,375681,192277,675265,10801,204599,70,234315,1698464,1604696,1128436,122535,1005901,105195,103475,1720,14951,6626,349488,151013,198475,93768,129902
2012:Q3,1907307,30796,92387,85315,1242171,377473,188058,676640,10730,217725,70,228113,1709074,1610685,1126468,123055,1003413,117564,115846,1718,15078,6481,345094,150439,194655,98389,137166
2012:Q4,1888165,27843,83528,78701,1246241,386975,179481,679785,10556,220145,91,221060,1685570,1589673,1084452,129147,955305,120667,118522,2145,14037,6717,363800,162821,200979,95897,144029
2013:Q1,1884361,30176,90527,74999,1236623,390907,174432,671284,9099,232018,84,210835,1678934,1578610,1072147,121822,950325,120831,118690,2141,13420,6918,365294,160440,204854,100324,149809
2013:Q2,1874871,30007,90022,70078,1240564,394821,171164,674579,9751,225703,92,208654,1676937,1579844,1066162,119555,946607,129876,127504,2372,12675,6756,364375,162643,201732,97093,157165
2013:Q3,1911017,34180,102539,69971,1241224,396898,165875,678451,9021,248969,101,205012,1687869,1596069,1077540,124874,952666,129096,126688,2408,11450,6991,370992,163014,207978,91800,163896
2013:Q4,1900458,32062,96186,67939,1237490,401336,157014,679140,8430,255249,134,202968,1689593,1591375,1078333,118815,959518,130986,128647,2339,11167,6774,364115,161776,202339,98218,167347
2014:Q1,1896959,32872,98617,71832,1221996,397961,154100,669935,10982,255507,131,205022,1692467,1583175,1054631,114018,940613,127455,125178,2277,12485,7448,381156,167016,214140,109292,172147
2014:Q2,1898970,32325,96976,72451,1222685,401356,149646,671683,10672,260275,130,203456,1697871,1584301,1059863,109795,950068,125207,122965,2242,12674,7477,379080,165076,214004,113570,177680
2014:Q3,1900164,31115,93346,69928,1226499,401676,148183,676640,10768,244404,127,223977,1716364,1601913,1066592,115754,950838,132400,130227,2173,13818,7683,381420,162434,218986,114451,184354
2014:Q4,1914316,31894,95683,73938,1243717,411532,148083,684102,10056,233870,119,225039,1743240,1627026,1080315,117764,962551,141227,139144,2083,13321,7766,384397,162732,221665,116214,188938
2015:Q1,1921922,32054,96162,68839,1234662,412333,144863,677466,10181,241878,119,238027,1749822,1638801,1080032,114737,965295,144279,142181,2098,12987,8395,393108,159646,233462,111021,193319
2015:Q2,1902935,32943,98829,71818,1232348,416253,134030,682065,10170,244254,126,212447,1726696,1623988,1060680,122086,938594,151706,149634,2072,12320,8610,390672,153113,237559,102708,199176
2015:Q3,1880679,33793,101380,70468,1239934,422822,127861,689251,8799,223612,173,202520,1715878,1633566,1066468,121968,944500,153232,150371,2861,10550,8707,394609,152480,242129,82312,206874
2015:Q4,1758042,30406,91219,62654,1125483,404691,159465,561327,9607,226110,216,212347,1588235,1495692,953442,66869,886573,159450,155767,3683,11246,7620,363934,156630,207304,92543,176080
2016:Q1,1760483,34383,103148,64021,1092499,384836,155829,551834,8786,223768,212,233666,1579393,1495525,936519,66355,870164,160957,157269,3688,9788,8580,379681,147444,232237,83868,180387
2016:Q2,1718814,23174,69522,76754,1079521,382361,149073,548087,8956,238286,200,222401,1535403,1452631,915798,68469,847329,158444,154774,3670,9747,7765,360877,146970,213907,82772,184356
2016:Q3,1707230,21573,64718,80229,1080406,382948,143743,553715,8479,249307,201,202317,1516089,1434841,897861,67283,830578,161226,157601,3625,9641,7987,358126,138043,220083,81248,187188
2016:Q4,1677987,20758,62274,73130,1074679,387995,138319,548365,8377,247200,192,191377,1488407,1411713,886308,71419,814889,159470,155998,3472,8947,7870,349118,132610,216508,76694,189519
2017:Q1,1666114,19002,57006,70124,1065289,388786,134138,542365,8944,264056,187,181506,1462574,1379865,858763,67786,790977,157994,154709,3285,9249,7712,346147,130499,215648,82709,189274
2017:Q2,1655202,18354,55063,67969,1060986,388142,129548,543296,7646,269165,174,175845,1458657,1373284,848642,69070,779572,156709,153589,3120,9244,7760,350929,133864,217065,85373,191053
2017:Q3,1650620,17732,53197,64359,1051806,383153,127799,540854,7997,287702,181,167646,1442079,1351398,854880,69298,785582,157243,153973,3270,9360,6807,323108,128257,194851,90681,192537
2017:Q4,1664817,18613,55838,63783,1052316,387212,123796,541308,7022,297751,188,169306,1440135,1344417,835108,72150,762958,148121,144741,3380,9288,11331,340569,139043,201526,95718,193240
2018:Q1,1640543,17322,51965,62668,1042741,387073,125538,530130,9387,294239,188,162033,1418162,1321657,832972,66943,766029,149812,146517,3295,9126,10668,319079,135985,183094,96505,192786
2018:Q2,1631358,13597,40792,59971,1044485,390740,122569,531176,9698,294020,183,168612,1422964,1318935,854908,69341,785567,148152,144914,3238,8913,9641,297321,133186,164135,104029,193694
2018:Q3,1640501,15085,45255,61355,1042269,391849,117800,532620,9759,302865,53,163860,1430413,1316144,878682,65094,813588,144138,143210,928,9060,8766,275498,132882,142616,114269,193982
2018:Q4,1630925,14265,42796,55263,1046195,397054,114774,534367,10085,267259,36,195026,1421486,1319402,879163,64605,814558,147703,147069,634,9100,8918,274518,128160,146358,102084,193889
2019:Q1,1654238,13703,41108,54065,1050631,400950,120295,529386,5458,303759,36,185478,1417154,1307327,859216,64712,794504,150732,150105,627,8345,9121,279913,127670,152243,109827,192898
2019:Q2,1669575,13507,40521,53105,1053206,401188,118682,533336,5508,316963,36,186729,1410475,1298538,844884,65392,779492,149565,148940,625,8148,9173,286768,125014,161754,111937,191672
2019:Q3,1669254,12802,38406,56737,1049034,394018,118880,536136,3258,322570,52,186395,1407353,1296216,850033,59801,790232,153040,152146,894,7915,8756,276472,124053,152419,111137,191813
2019:Q4,1684502,12249,36748,59980,1041622,386679,117211,537732,3933,339148,58,190764,1418572,1286397,835375,63533,771842,153645,152656,989,8543,9104,279730,122686,157044,132175,191494
2020:Q1,1635637,16484,49453,58813,1043781,399981,115262,528538,2056,265296,53,199701,1428011,1325536,859355,61726,797629,160579,159636,943,8054,9174,288374,120594,167780,102475,188991
2020:Q2,1676413,20748,62244,68150,1021248,373077,111801,536370,3066,298867,38,202052,1447493,1326162,849029,50836,798193,167050,166468,582,7711,9315,293057,116842,176215,121331,183666
2020:Q3,1676582,17017,51052,69905,1028988,372426,107933,548629,1925,312513,50,195132,1434471,1301749,816438,42465,773973,175204,174485,719,7733,9153,293221,113052,180169,132722,182105
2020:Q4,1730322,16420,49261,73559,1031699,370252,110043,551404,1759,353856,37,203731,1453933,1307333,815203,41832,773371,178422,177929,493,7111,9156,297441,117698,179743,146600,182060
2021:Q1,1756628,15749,47247,69685,1042653,373480,108628,560545,2236,395853,7,183198,1449430,1290936,795008,41524,753484,175440,175343,97,7311,9572,303605,117030,186575,158494,182843
2021:Q2,2528743,24484,73451,57819,1628918,567685,363104,698129,1710,424011,9,318341,2169859,1993365,1130355,56790,1073565,320755,320647,108,7001,15740,519514,167412,352102,176494,251177
2021:Q3,2493562,25051,75154,57442,1609649,552229,356739,700681,580,426437,9,299240,2124812,1947526,1123457,54141,1069316,313697,313586,111,7162,14746,488464,162832,325632,177286,246658
2021:Q4,2470971,20876,62629,68291,1571243,523592,352556,695095,-1695,454795,9,294823,2099340,1901190,1085337,57356,1027981,299449,299343,106,7296,14857,494251,167310,326941,198150,239431
2022:Q1,2394478,13350,40049,58970,1568421,530966,349628,687827,-3695,435394,9,281980,2026551,1839730,1068151,51663,1016488,252737,252622,115,7306,15195,496341,162503,333838,186821,230415
2022:Q2,2333349,12664,37992,50858,1577618,549051,346401,682166,-2321,371043,7,285488,2012688,1859766,1058598,53029,1005569,238396,238290,106,7138,16246,539388,171446,367942,152922,220785
2022:Q3,2304448,10115,30344,47861,1582081,560206,342238,679637,-3861,348421,6,289481,1971727,1828435,1036967,57160,979807,237035,236942,93,7432,16038,530963,167135,363828,143292,210961
2022:Q4,2413635,11214,33642,52012,1607637,583832,341091,682714,-3656,408777,7,304002,2016724,1868219,1062396,66251,996145,241267,241150,117,7273,16731,540552,158856,381696,148505,202631
2023:Q1,2446449,11992,35977,40886,1608244,584043,338170,686031,-1290,445822,6,304812,2027522,1873874,1068545,60861,1007684,228642,228535,107,6881,16439,553367,177147,376220,153648,197787
2023:Q2,2516354,12897,38690,38345,1654266,611396,336370,706500,-3922,461264,8,314806,2085485,1922218,1102999,68475,1034524,237680,237558,122,6694,16535,558310,161360,396950,163267,196239
2023:Q3,2533536,13126,39378,35326,1680549,629517,332337,718695,-2750,436450,9,331448,2131130,1974077,1112736,69792,1042944,236980,236838,142,6841,17093,600427,188615,411812,157053,195244
2023:Q4,2625248,16207,48621,28287,1712762,653858,331628,727276,-1855,470769,10,350447,2201807,2031282,1155590,76930,1078660,235422,235273,149,6530,18674,615066,162612,452454,170525,194683
2024:Q1,2664947,13688,41064,27467,1721518,663969,328266,729283,-513,490583,9,371131,2242909,2055020,1174914,60888,1114026,253443,253308,135,6758,18498,601407,151861,449546,187889,193623
