1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q1,-3717,-858,111,0,0,-103,-866,-2840,1662,-64,-334,-4104,-53,4,-57,34,0,-3717,-152,-2668,-3052,384,1712,-374,-111,26,-122,9,0,5,-29,10,0,-10,0,-433,-433,0,-1691
1958:Q2,4458,286,-251,0,0,15,522,4169,3900,1347,249,-1327,-33,12,-45,36,0,4458,-3531,1804,1246,558,3699,1186,102,23,40,7,0,3,25,4,0,0,0,276,276,0,922
1958:Q3,-2286,-2,74,0,0,43,-119,-2352,-5240,-1682,-395,4965,37,3,34,31,0,-2286,5491,1473,993,480,-5040,-1718,17,16,7,6,0,0,-30,6,0,12,0,-349,-349,0,-2160
1958:Q4,7390,732,-135,0,0,-41,908,6611,30,634,451,5496,29,0,29,18,0,7390,920,2022,1872,150,-63,696,233,8,149,8,0,-1,46,1,0,22,0,410,410,0,3172
1959:Q1,-5703,-635,190,0,0,36,-861,-5281,-660,961,-107,-5475,201,15,186,3,9,-5703,-302,-2984,-2819,-165,-467,1100,-127,3,-148,9,0,-3,-42,35,0,19,0,-56,-56,0,-2867
1959:Q2,1434,260,-302,0,0,-9,571,907,830,-21,164,-66,280,17,263,-14,1,1434,-679,474,966,-492,928,175,77,0,-12,11,0,-7,37,36,0,12,0,172,172,0,287
1959:Q3,2466,118,152,0,0,12,-46,2090,1720,-661,-107,1138,273,19,254,-15,0,2466,3864,-1044,-482,-562,1465,-349,-10,-3,-48,11,0,-7,-8,42,0,3,0,-76,-76,0,-1384
1959:Q4,3828,819,-186,0,0,35,970,3356,-1090,251,46,4149,-344,13,-357,-3,0,3828,-454,1068,1448,-380,-1268,745,230,-8,151,8,0,-6,45,45,0,-5,0,94,94,0,3413
1960:Q1,-7941,-1448,52,0,0,-122,-1378,-6532,-640,148,-439,-5601,27,-3,30,11,1,-7941,-1786,-2927,-2668,-259,-349,591,-224,-3,-182,3,0,2,-55,12,0,-1,0,-564,-564,0,-2682
1960:Q2,2850,365,-48,0,0,33,380,2436,2620,-188,268,-264,30,-4,34,19,0,2850,-1721,814,1007,-193,2865,-28,123,-1,61,-2,0,6,44,13,0,2,0,297,297,0,500
