date,FA893140005.Q,FA313140003.Q,FA543140005.Q,FA263140005.Q,FA893140005.Q,FA153040005.Q,FA763040005.Q,FA543040005.Q,FA733040005.Q,FA543141905.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800,1165,2635,0,3800,3800,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150,605,2545,0,3150,3150,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843,213,2630,0,2843,2843,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751,84,2667,0,2751,2751,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945,309,2636,0,2945,2945,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q2,30836,2432,28404,0,30836,30836,0,0,0,0
1996:Q3,56884,156,56728,0,56884,56884,0,0,0,0
1996:Q4,57760,-488,58248,0,57760,57760,0,0,0,0
1997:Q1,46200,2840,43360,0,46200,46200,0,0,0,0
1997:Q2,50868,2204,48664,0,50868,50868,0,0,0,0
1997:Q3,54704,-96,54800,0,54704,54704,0,0,0,0
1997:Q4,32620,2000,30620,0,32620,32620,0,0,0,0
1998:Q1,27096,720,26376,0,27096,27096,0,0,0,0
1998:Q2,42020,2612,39408,0,42020,42020,0,0,0,0
1998:Q3,35856,12,35844,0,35856,35856,0,0,0,0
1998:Q4,82432,1824,80608,0,82432,82432,0,0,0,0
1999:Q1,41312,676,40636,0,41312,41312,0,0,0,0
1999:Q2,59340,2696,56644,0,59340,59340,0,0,0,0
1999:Q3,28784,228,28556,0,28784,28784,0,0,0,0
1999:Q4,69428,2004,67424,0,69428,69428,0,0,0,0
2000:Q1,52612,1168,50452,992,52612,49204,0,3396,0,12
2000:Q2,36136,2624,32516,996,36136,32732,0,3396,0,8
2000:Q3,50984,216,49776,992,50984,47580,0,3396,0,8
2000:Q4,50912,1752,48168,992,50912,47512,0,3392,0,8
2001:Q1,119064,636,114936,3492,119064,109636,0,9396,0,32
2001:Q2,114968,2372,109108,3488,114968,105552,0,9392,0,24
2001:Q3,25084,28,21568,3488,25084,15664,0,9388,0,32
2001:Q4,95212,2504,89220,3488,95212,85796,0,9392,0,24
2002:Q1,107256,-272,104056,3472,107256,98232,0,8992,0,32
2002:Q2,109192,4000,101716,3476,109192,100164,0,9000,0,28
2002:Q3,74360,-116,71008,3468,74360,65344,0,8988,0,28
2002:Q4,7732,2680,1580,3472,7732,-1288,0,8992,0,28
2003:Q1,89468,76,84536,4856,89468,77620,0,11808,0,40
2003:Q2,90812,1680,84272,4860,90812,78960,0,11812,0,40
2003:Q3,98368,548,92968,4852,98368,86528,0,11800,0,40
2003:Q4,58640,2200,51584,4856,58640,46796,0,11808,0,36
2004:Q1,27252,-48,19064,8236,27252,6752,0,20432,0,68
2004:Q2,75524,1888,65396,8240,75524,55016,0,20440,0,68
2004:Q3,68796,216,60348,8232,68796,48304,0,20428,0,64
2004:Q4,73384,2288,62860,8236,73384,52884,0,20432,0,68
2005:Q1,25760,4,18300,7456,25760,17840,0,7664,0,256
2005:Q2,16936,1672,7816,7448,16936,9012,0,7660,0,264
2005:Q3,49256,280,41520,7456,49256,41336,0,7664,0,256
2005:Q4,21940,2588,11900,7452,21940,14024,0,7660,0,256
2006:Q1,119760,304,113992,5464,119760,98568,0,20800,0,392
2006:Q2,46112,2220,38448,5444,46112,20508,7320,20776,-2876,384
2006:Q3,98240,548,92240,5452,98240,64544,11224,20788,1292,392
2006:Q4,110784,2936,102396,5452,110784,75156,14304,20784,156,384
2007:Q1,63512,1444,53736,8332,63512,42928,12864,7372,-124,472
2007:Q2,80344,2268,69740,8336,80344,65100,5528,7380,1872,464
2007:Q3,58448,-64,50188,8324,58448,24760,9148,7364,16704,472
2007:Q4,85048,2612,74104,8332,85048,58448,16056,7372,2708,464
2008:Q1,70828,-348,59608,11568,70828,45408,4152,21180,-1148,1236
2008:Q2,78932,1952,65412,11568,78932,58236,12056,21180,-13772,1232
2008:Q3,141052,-464,129952,11564,141052,90096,26320,21172,2228,1236
2008:Q4,125260,2772,110924,11564,125260,111536,-16732,21176,8048,1232
2009:Q1,88132,-232,86876,1488,88132,73196,-1060,7760,6740,1496
2009:Q2,20280,2060,16732,1488,20280,9672,2724,7760,-1376,1500
2009:Q3,15232,140,13608,1484,15232,5844,-2960,7756,3096,1496
2009:Q4,59248,2424,55336,1488,59248,45880,4320,7760,-208,1496
2010:Q1,4476,-380,12592,-7736,4476,4292,2460,-6496,2732,1488
2010:Q2,14328,708,21352,-7732,14328,7228,2860,-6492,9248,1484
2010:Q3,56076,660,63148,-7732,56076,53584,6124,-6492,1372,1488
2010:Q4,4448,2460,9724,-7736,4448,1288,6512,-6496,1660,1484
2011:Q1,67176,280,79424,-12528,67176,63740,5360,-2924,176,824
2011:Q2,74672,1728,85468,-12524,74672,73316,3952,-2920,-500,824
2011:Q3,138176,1156,150196,-13176,138176,130952,4112,-3576,5872,816
2011:Q4,96512,1888,106684,-12060,96512,86348,7556,-2456,4240,824
2012:Q1,18028,424,17492,112,18028,-33396,12400,12940,24536,1548
2012:Q2,-33144,1440,-33384,-1200,-33144,-55568,4988,11628,4264,1544
2012:Q3,40816,-220,41540,-504,40816,15348,5796,12320,5804,1548
2012:Q4,45980,-496,47312,-836,45980,31340,6408,11992,-5304,1544
2013:Q1,27580,164,30180,-2764,27580,1140,4776,20844,4952,-4132
2013:Q2,46256,732,48544,-3020,46256,23904,4748,20584,1148,-4128
2013:Q3,58800,-496,62112,-2816,58800,32780,4848,20792,4516,-4136
2013:Q4,58292,520,60572,-2800,58292,23248,8760,20804,9612,-4132
2014:Q1,56500,-80,61060,-4480,56500,37072,5100,2912,4732,6684
2014:Q2,68576,552,72464,-4440,68576,47728,5956,2952,5252,6688
2014:Q3,73180,1224,76536,-4580,73180,54088,4796,2808,4804,6684
2014:Q4,90128,1384,93276,-4532,90128,68176,7076,2860,5332,6684
2015:Q1,86692,-2084,85844,2932,86692,64684,5520,16928,4200,-4640
2015:Q2,62196,924,58336,2936,62196,37280,8624,16932,4000,-4640
2015:Q3,84520,-580,82172,2928,84520,62580,5656,16924,4000,-4640
2015:Q4,55236,1308,50996,2932,55236,32304,6644,16928,4000,-4640
2016:Q1,118388,-396,94524,24260,118388,54048,5524,43800,4000,11016
2016:Q2,147192,780,122156,24256,147192,82688,5692,43792,4000,11020
2016:Q3,101656,64,77332,24260,101656,36884,5956,43800,4000,11016
2016:Q4,68960,8,44696,24256,68960,4864,5288,43792,4000,11016
2017:Q1,71016,-1140,49064,23092,71016,24488,5572,34208,4000,2748
2017:Q2,51324,-508,28744,23088,51324,4988,5388,34204,4000,2744
2017:Q3,76012,648,52272,23092,76012,26540,8520,34204,4000,2748
2017:Q4,75020,308,51628,23084,75020,27924,6152,34200,4000,2744
2018:Q1,15380,416,46512,-31548,15380,51908,4872,-36152,4000,-9248
2018:Q2,11460,-616,43624,-31548,11460,48956,3904,-36148,4000,-9252
2018:Q3,-28,724,30800,-31552,-28,36256,5120,-36156,4000,-9248
2018:Q4,17024,252,48324,-31552,17024,56764,1668,-36156,4000,-9252
2019:Q1,31164,2036,27336,1792,31164,14800,5352,6732,4000,280
2019:Q2,36516,-412,35140,1788,36516,17276,8224,6732,4000,284
2019:Q3,70140,1632,66716,1792,70140,53300,5828,6732,4000,280
2019:Q4,12744,332,10628,1784,12744,-5548,7288,6724,4000,280
2020:Q1,196480,-588,181580,15488,196480,192404,3604,5604,4000,-9132
2020:Q2,7028,-40,-8424,15492,7028,1284,5268,5608,4000,-9132
2020:Q3,95988,1356,79152,15480,95988,88404,7124,5592,4000,-9132
2020:Q4,100340,32,84816,15492,100340,91648,8220,5608,4000,-9136
2021:Q1,29308,1136,7436,20736,29308,-3792,8324,22200,4000,-1424
2021:Q2,79332,-3392,62000,20724,79332,35804,18756,22192,4000,-1420
2021:Q3,115072,3740,90596,20736,115072,80956,9340,22200,4000,-1424
2021:Q4,52276,-376,31928,20724,52276,10544,16968,22188,4000,-1424
2022:Q1,69596,884,76796,-8084,69596,62552,8568,-5632,4000,108
2022:Q2,74692,-296,83076,-8088,74692,68560,7652,-5632,4000,112
2022:Q3,74060,984,81164,-8088,74060,66744,8848,-5636,4000,104
2022:Q4,37132,-92,45312,-8088,37132,37588,1072,-5636,4000,108
2023:Q1,151496,2048,98948,50500,151496,96420,5332,45600,4000,144
2023:Q2,93988,-200,43684,50504,93988,59136,-14892,45600,4000,144
2023:Q3,46692,2868,-6668,50492,46692,-2448,-592,45592,4000,140
2023:Q4,14960,544,-36084,50500,14960,-36880,2100,45596,4000,144
2024:Q1,106484,3660,95728,7096,106484,84408,2368,15684,4000,24
