date,FL344090055.Q,LM344022025.Q,LM343061113.Q,LM343061723.Q,LM343063023.Q,FL343069055.Q,LM343064125.Q,FL344090055.Q
1945:Q4,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q3,41619,2040,863,649,528,23217,16362,41619
1996:Q4,44880,2112,896,675,541,23990,18778,44880
1997:Q1,46465,2076,881,666,529,24212,20177,46465
1997:Q2,51995,2140,907,687,546,25013,24842,51995
1997:Q3,55097,2222,940,712,570,24932,27943,55097
1997:Q4,58011,2361,999,761,601,25704,29946,58011
1998:Q1,63594,2464,1040,796,628,25906,35224,63594
1998:Q2,66799,2551,1077,825,649,26400,37848,66799
1998:Q3,63715,2802,1188,912,702,26468,34445,63715
1998:Q4,73806,2963,1240,976,747,27883,42960,73806
1999:Q1,76983,2949,1225,976,748,27831,46203,76983
1999:Q2,82500,2895,1205,962,728,28823,50782,82500
1999:Q3,80681,2828,1182,939,707,29377,48476,80681
1999:Q4,90140,2669,1125,877,667,30562,56909,90140
2000:Q1,93372,2512,1091,803,618,30455,60405,93372
2000:Q2,93648,2477,1082,790,605,31111,60060,93648
2000:Q3,95051,2559,1107,824,628,31777,60715,95051
2000:Q4,91974,2873,1209,966,698,32525,56576,91974
2001:Q1,87138,3979,1493,1491,995,34100,49059,87138
2001:Q2,92424,4249,1545,1627,1077,35442,52733,92424
2001:Q3,86375,5801,1944,2369,1488,36778,43796,86375
2001:Q4,95968,8217,1808,4026,2383,38660,49091,95968
2002:Q1,98985,7963,1746,3911,2306,40404,50618,98985
2002:Q2,94482,8541,1875,4204,2462,41603,44338,94482
2002:Q3,90710,10171,2255,4984,2932,44948,35591,90710
2002:Q4,96932,11047,2430,5524,3093,46849,39036,96932
2003:Q1,99126,12152,2663,6055,3434,49520,37454,99126
