1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,426,0,0,0,-372,3,-101,-21,-193,0,0,0,-60,65,5,60,436,124,0,0,312,0,45,45,0,0,0,0,0,71,0,3,68,0,157,157,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-29,-3,0,0,0,0,0,0,0,0,0,0
1954:Q3,367,0,0,0,-79,2,12,41,-24,0,0,0,-110,57,5,52,166,158,0,0,8,0,14,14,0,0,0,0,0,24,0,-0,24,0,245,245,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-166,-149,-17,0,0,0,0,0,0,0,0,0,0
1954:Q4,1399,0,0,0,57,2,-12,108,-14,0,0,0,-27,48,5,43,341,263,0,0,78,0,178,178,0,0,0,0,0,-92,0,-3,-89,0,382,382,0,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,108,12,0,0,0,0,0,0,0,0,0,0
1955:Q1,374,0,0,0,197,25,9,186,8,0,0,0,-31,71,10,61,187,199,0,0,-12,0,-165,-165,0,0,0,0,0,70,0,3,67,0,299,299,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-222,-200,-22,0,0,0,0,0,0,0,0,0,0
1955:Q2,1029,0,0,0,143,6,20,68,-9,0,0,0,58,42,5,37,374,19,0,0,355,0,315,315,0,0,0,0,0,75,0,4,71,0,62,62,0,-110,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,252,28,0,0,0,0,0,0,0,0,0,0
1955:Q3,682,0,0,0,61,2,-25,101,3,16,0,0,-36,47,5,42,267,-6,0,0,273,0,258,258,0,0,0,0,0,19,0,-0,19,0,100,100,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-158,-142,-16,0,0,0,0,0,0,0,0,0,0
1955:Q4,671,0,0,0,35,4,-23,55,10,50,0,0,-61,33,10,23,124,51,0,0,73,0,142,142,0,0,0,0,0,-127,0,-4,-123,0,-25,-25,0,-86,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,544,60,0,0,0,0,0,0,0,0,0,0
1956:Q1,398,0,0,0,-52,5,-35,-8,7,-40,0,0,19,61,5,56,181,168,0,0,13,0,-279,-279,0,0,0,0,0,54,0,3,51,0,-9,-9,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,316,35,0,0,0,0,0,0,0,0,0,0
1956:Q2,452,0,0,0,229,9,42,29,2,68,0,0,79,74,6,68,239,-77,0,0,316,0,35,35,0,0,0,0,0,129,0,4,125,0,3,3,0,-137,-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144,-130,-14,0,0,0,0,0,0,0,0,0,0
1956:Q3,316,0,0,0,23,9,-2,24,35,4,0,0,-47,45,9,36,459,-82,0,0,541,0,-31,-31,0,0,0,0,0,33,0,-0,33,0,-5,-5,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-361,-325,-36,0,0,0,0,0,0,0,0,0,0
