1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q3,61989,764,3412,432,240,28936,3892,788,15348,8908,1712,15180,992,10321,1964,2468,-5579,11468,62060
2007:Q4,62580,760,3412,432,240,28932,3888,788,15348,8908,1712,15180,992,10920,1968,2468,-4988,11472,62656
2008:Q1,58972,-4208,-5460,-15148,-972,-69788,-7948,-15920,-5092,-40828,-7664,-20592,48504,134300,3280,16708,104112,10200,59080
2008:Q2,57899,-4208,-5460,-15148,-972,-69788,-7948,-15920,-5092,-40828,-7660,-20592,48504,133223,3280,16708,103039,10196,58008
2008:Q3,56826,-4212,-5460,-15148,-968,-69788,-7948,-15920,-5092,-40828,-7660,-20592,48504,132150,3276,16708,101966,10200,56936
2008:Q4,55761,-4208,-5460,-15148,-972,-69784,-7944,-15920,-5092,-40828,-7664,-20592,48504,131085,3280,16712,100893,10200,55864
2009:Q1,57307,-2628,3396,364,156,43520,3164,7284,-43136,76208,-1952,-41804,-384,56639,-3028,-5348,38235,26780,57392
2009:Q2,57284,-2624,3400,360,156,43524,3168,7284,-43136,76208,-1952,-41804,-384,56608,-3028,-5344,38200,26780,57360
2009:Q3,57252,-2628,3396,364,152,43524,3168,7284,-43136,76208,-1952,-41804,-384,56584,-3028,-5344,38172,26784,57328
2009:Q4,57221,-2624,3396,360,156,43524,3168,7284,-43136,76208,-1952,-41804,-384,56549,-3032,-5344,38145,26780,57296
2010:Q1,51104,2664,-220,-5148,-236,49232,-988,17748,11516,20956,1172,12920,-6796,-2484,-7952,13360,-17180,9288,51212
2010:Q2,48648,2660,-220,-5148,-236,49232,-988,17748,11516,20956,1172,12920,-6796,-4936,-7952,13364,-19636,9288,48760
2010:Q3,46187,2664,-220,-5148,-236,49232,-988,17748,11516,20956,1172,12920,-6796,-7401,-7952,13364,-22097,9284,46304
2010:Q4,43733,2660,-220,-5152,-236,49232,-988,17748,11516,20956,1172,12920,-6796,-9847,-7956,13360,-24539,9288,43852
2011:Q1,46839,1772,1208,-340,36,68444,1060,32032,4032,31320,-2428,-72680,19156,31671,12696,1672,-3937,21240,46960
2011:Q2,46599,1768,1212,-340,36,68448,1064,32032,4032,31320,-2432,-72680,19156,31431,12696,1672,-4177,21240,46728
2011:Q3,46360,1772,1208,-340,36,68444,1060,32032,4032,31320,-2428,-72680,19156,31192,12696,1672,-4412,21236,46500
2011:Q4,46124,1772,1208,-340,36,68444,1060,32032,4032,31320,-2428,-72680,19156,30956,12696,1672,-4652,21240,46272
2012:Q1,31306,-1044,-3332,-3988,-316,70208,-3632,27796,-21488,67532,-116,-10992,-37204,18090,-9980,-12384,19858,20596,31588
2012:Q2,25283,-1044,-3336,-3988,-312,70208,-3632,27796,-21488,67532,-112,-10992,-37204,12063,-9980,-12384,13835,20592,25576
2012:Q3,19275,-1040,-3336,-3984,-316,70208,-3632,27796,-21488,67532,-112,-10992,-37204,6051,-9980,-12384,7819,20596,19564
2012:Q4,13259,-1044,-3332,-3988,-312,70204,-3636,27796,-21488,67532,-112,-10992,-37204,39,-9980,-12380,1807,20592,13556
2013:Q1,-2921,280,4460,5336,420,47036,4864,188,-3720,45704,-1076,-186088,-6368,133079,-3632,-4136,141211,-364,-3012
2013:Q2,-13149,284,4464,5336,420,47032,4860,188,-3720,45704,-1076,-186088,-6368,122847,-3632,-4132,130979,-368,-13248
2013:Q3,-23382,280,4464,5336,420,47036,4864,188,-3720,45704,-1076,-186088,-6368,112614,-3632,-4132,120742,-364,-23480
2013:Q4,-33614,280,4460,5336,420,47036,4864,188,-3720,45704,-1076,-186088,-6368,102386,-3632,-4132,110518,-368,-33712
2014:Q1,-13433,2148,1964,2348,188,67588,2136,6332,4448,54672,104,-141532,980,52779,-3016,-3884,39283,20396,-13488
2014:Q2,-11486,2148,1964,2344,184,67592,2140,6332,4448,54672,104,-141532,980,54730,-3012,-3884,41230,20396,-11540
2014:Q3,-9535,2148,1964,2348,184,67592,2140,6332,4448,54672,104,-141532,980,56677,-3016,-3880,43177,20396,-9588
2014:Q4,-7585,2148,1964,2348,184,67588,2136,6332,4448,54672,104,-141532,980,58631,-3016,-3884,45135,20396,-7640
2015:Q1,-22185,-752,-3448,-4120,-324,-19828,-3752,-8488,-900,-6688,-744,-33748,-32272,73051,-2264,13268,66391,-4344,-22156
2015:Q2,-26818,-756,-3448,-4120,-324,-19832,-3756,-8488,-900,-6688,-744,-33748,-32272,68426,-2264,13272,61758,-4340,-26792
2015:Q3,-31455,-752,-3444,-4124,-324,-19832,-3756,-8488,-900,-6688,-744,-33748,-32272,63785,-2264,13268,57125,-4344,-31428
2015:Q4,-36093,-756,-3448,-4120,-328,-19832,-3756,-8488,-900,-6688,-744,-33748,-32272,59155,-2268,13272,52495,-4344,-36064
2016:Q1,-27600,-528,-856,-1020,-80,18248,-932,7468,3496,8216,192,-94912,-25316,76672,-2520,8408,54960,15824,-27508
2016:Q2,-26963,-528,-852,-1024,-80,18252,-928,7468,3496,8216,192,-94912,-25316,77305,-2524,8404,55601,15824,-26868
2016:Q3,-26324,-528,-856,-1020,-80,18248,-932,7468,3496,8216,192,-94912,-25316,77948,-2524,8408,56240,15824,-26224
2016:Q4,-25687,-528,-856,-1024,-80,18248,-932,7468,3496,8216,188,-94912,-25316,78593,-2524,8408,56885,15824,-25584
2017:Q1,-31882,224,3716,4440,348,110772,4048,34868,18928,52928,1676,-89276,-27412,-36370,1356,17260,-63878,8892,-31792
2017:Q2,-33987,220,3712,4444,352,110772,4048,34868,18928,52928,1672,-89276,-27412,-38471,1360,17256,-65983,8896,-33892
2017:Q3,-36085,220,3716,4440,352,110768,4044,34868,18928,52928,1672,-89276,-27412,-40565,1356,17256,-68069,8892,-35988
2017:Q4,-38193,220,3716,4440,348,110772,4048,34868,18928,52928,1672,-89276,-27412,-42673,1356,17260,-70185,8896,-38088
2018:Q1,-32336,-904,-5208,-6228,-492,62652,-5676,14268,7048,47012,-1536,-75836,-38988,34204,2732,-36528,74284,-6284,-32572
2018:Q2,-31386,-904,-5212,-6228,-488,62652,-5676,14268,7048,47012,-1536,-75836,-38988,35154,2732,-36528,75230,-6280,-31624
2018:Q3,-30434,-900,-5208,-6228,-492,62656,-5672,14268,7048,47012,-1532,-75836,-38988,36094,2732,-36528,76174,-6284,-30676
2018:Q4,-29486,-904,-5208,-6228,-492,62652,-5676,14268,7048,47012,-1536,-75836,-38988,37054,2732,-36528,77130,-6280,-29732
2019:Q1,-33921,0,-15796,10676,13328,28840,-3276,34704,1696,-4284,-160,-134964,-47008,111163,-8700,-5400,75091,50172,-34040
2019:Q2,-35069,0,-15796,10672,13324,28844,-3272,34704,1696,-4284,-156,-134964,-47008,110015,-8704,-5396,73947,50168,-35192
2019:Q3,-36219,-4,-15792,10676,13328,28844,-3272,34704,1696,-4284,-160,-134964,-47008,108861,-8700,-5400,72789,50172,-36344
2019:Q4,-37374,0,-15796,10672,13328,28840,-3276,34704,1696,-4284,-156,-134964,-47008,107710,-8700,-5400,71638,50172,-37500
2020:Q1,-35544,3268,1680,6880,2596,34804,4128,-13512,96,44092,412,-86288,308,796,-1124,-3824,-6564,12308,-35612
2020:Q2,-35477,3264,1684,6880,2600,34804,4128,-13512,96,44092,412,-86288,308,859,-1124,-3820,-6505,12308,-35552
2020:Q3,-35416,3268,1680,6876,2600,34804,4128,-13512,96,44092,412,-86288,308,924,-1124,-3824,-6436,12308,-35492
2020:Q4,-35360,3264,1680,6880,2596,34804,4128,-13512,96,44092,412,-86288,308,984,-1124,-3824,-6376,12308,-35432
2021:Q1,-28759,-484,216,872,332,105364,524,36908,14400,53532,1124,-227852,-40344,132013,-6060,-9656,144761,2968,-27372
2021:Q2,-25549,-484,212,872,328,105360,520,36908,14400,53532,1120,-227852,-40344,135239,-6064,-9660,147995,2968,-24112
2021:Q3,-22300,-484,212,872,332,105364,524,36908,14400,53532,1124,-227852,-40344,138476,-6060,-9656,151224,2968,-20852
2021:Q4,-19068,-488,212,872,328,105364,524,36908,14400,53532,1120,-227852,-40344,141720,-6064,-9656,154468,2972,-17592
2022:Q1,660,808,552,2252,852,40720,1352,6796,4212,28360,444,-91260,-11632,57924,-2092,-3916,59496,4436,1772
2022:Q2,10334,964,656,2680,1008,48432,1604,8084,5008,33736,532,-108556,-13836,78454,-2484,-4660,80318,5280,11472
2022:Q3,19997,760,516,2116,804,68308,1272,46396,3960,16680,420,-85856,-10944,43873,-1964,-3684,45345,4176,21172
2022:Q4,29688,684,468,1912,720,64580,1148,45772,3576,14084,376,-77492,-9876,48316,-1776,-3324,49648,3768,30872
2023:Q1,29660,1176,800,3280,1240,129308,1968,89900,6132,31308,652,-132928,-16940,43072,-3044,-5704,45356,6464,30872
2023:Q2,29657,1152,788,3212,1212,128080,1928,89696,6008,30448,636,-130160,-16588,41325,-2976,-5588,43561,6328,30872
2023:Q3,29650,708,480,1968,744,35560,1180,5936,3676,24768,388,-79700,-10156,79658,-1828,-3420,81030,3876,30872
2023:Q4,29617,988,672,2756,1040,49832,1652,8320,5152,34708,544,-111680,-14232,99697,-2556,-4792,101613,5432,30872
2024:Q1,29599,964,656,2684,1016,48556,1612,8104,5020,33820,532,-108828,-13868,97887,-2488,-4668,99751,5292,30872
