1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,4365,3202,315,0,0,0,2887,0,0,0,2887,0,0,0,1163,930,233,4365,742,0,44,711,82,0,0,118,0,0,0,152,0,0,1759,757
1960:Q1,5875,4495,427,0,0,0,4068,0,0,0,4068,0,0,0,1380,1104,276,5875,740,0,7,755,53,0,0,137,0,0,0,180,0,0,2920,1083
1960:Q2,6023,4627,547,0,0,0,4080,0,0,0,4080,0,0,0,1396,1117,279,6023,757,0,5,826,61,0,0,176,0,0,0,189,0,0,2968,1041
1960:Q3,6413,4728,782,0,0,0,3946,0,0,0,3946,0,0,0,1685,1348,337,6413,648,0,8,959,55,0,0,249,0,0,0,209,0,0,3051,1234
1960:Q4,6544,4497,769,0,0,0,3728,0,0,0,3728,0,0,0,2047,1638,409,6544,788,0,54,1114,99,0,0,294,0,0,0,177,0,0,2727,1291
1961:Q1,7331,5078,623,0,0,0,4455,0,0,0,4455,0,0,0,2253,1802,451,7331,562,0,35,1321,182,0,0,360,0,0,0,240,0,0,3288,1343
1961:Q2,7230,4936,726,0,0,0,4210,0,0,0,4210,0,0,0,2294,1835,459,7230,613,0,26,1413,167,0,0,324,0,0,0,203,0,0,3162,1322
1961:Q3,7321,4875,1017,0,0,0,3858,0,0,0,3858,0,0,0,2446,1957,489,7321,245,0,23,1697,160,0,0,332,0,0,0,256,0,0,3167,1441
1961:Q4,7396,4686,1094,0,0,0,3592,0,0,0,3592,0,0,0,2710,2168,542,7396,1089,0,48,2019,151,0,0,193,0,0,0,174,0,0,2362,1360
1962:Q1,8238,5715,1131,0,0,0,4584,0,0,0,4584,0,0,0,2523,2018,505,8238,562,0,21,1908,128,0,0,513,0,0,0,316,0,0,3406,1384
1962:Q2,8230,5865,1092,0,0,0,4773,0,0,0,4773,0,0,0,2365,1892,473,8230,907,0,40,1687,145,0,0,521,0,0,0,254,0,0,3359,1317
1962:Q3,8881,6577,1363,0,0,0,5214,0,0,0,5214,0,0,0,2304,1843,461,8881,1079,0,14,1826,139,0,0,643,0,0,0,273,0,0,3614,1293
1962:Q4,8676,6000,1198,0,0,0,4802,0,0,0,4802,0,0,0,2676,2141,535,8676,1304,0,52,1867,148,0,0,347,0,0,0,289,0,0,3282,1387
1963:Q1,9716,7101,1214,0,0,0,5887,0,0,0,5887,0,0,0,2615,2092,523,9716,1092,0,29,1982,163,0,0,599,0,0,0,316,0,0,4165,1370
1963:Q2,9977,7253,987,0,0,0,6266,0,0,0,6266,0,0,0,2724,2179,545,9977,1008,0,23,1928,165,0,0,487,0,0,0,289,0,0,4650,1427
1963:Q3,9922,7186,1111,0,0,0,6075,0,0,0,6075,0,0,0,2736,2189,547,9922,445,0,16,1791,157,0,0,619,0,0,0,286,0,0,5040,1568
1963:Q4,9709,6790,968,0,0,0,5822,0,0,0,5822,0,0,0,2919,2335,584,9709,969,0,70,1885,159,0,0,380,0,0,0,307,0,0,4502,1437
1964:Q1,10923,7790,948,0,0,0,6842,0,0,0,6842,0,0,0,3133,2506,627,10923,1341,0,40,2045,180,0,0,506,0,0,0,290,0,0,4939,1582
1964:Q2,11276,8096,889,0,0,0,7207,0,0,0,7207,0,0,0,3180,2544,636,11276,1058,0,23,1955,176,0,0,297,0,0,0,334,0,0,5737,1696
1964:Q3,11735,8528,1081,0,0,0,7447,0,0,0,7447,0,0,0,3207,2566,641,11735,1729,0,59,2166,188,0,0,373,0,0,0,263,0,0,5304,1653
1964:Q4,11861,8442,1125,0,0,0,7317,0,0,0,7317,0,0,0,3419,2735,684,11861,1694,0,59,2338,167,0,0,248,0,0,0,281,0,0,5454,1620
1965:Q1,12535,9177,847,0,0,0,8330,0,0,0,8330,0,0,0,3358,2686,672,12535,995,0,93,1863,221,0,0,474,0,0,0,387,0,0,6617,1885
1965:Q2,12891,9502,727,0,0,0,8775,0,0,0,8775,0,0,0,3389,2711,678,12891,678,0,3,2057,196,0,0,579,0,0,0,405,0,0,7114,1859
1965:Q3,13210,9863,926,0,0,0,8937,0,0,0,8937,0,0,0,3347,2678,669,13210,893,0,11,2129,199,0,0,741,0,0,0,438,0,0,6859,1940
1965:Q4,12726,9300,797,0,0,0,8503,0,0,0,8503,0,0,0,3426,2741,685,12726,1370,0,75,1787,183,0,0,293,0,0,0,496,0,0,6540,1982
1966:Q1,14456,11034,820,0,0,0,10214,0,0,0,10214,0,0,0,3422,2738,684,14456,2375,0,30,1827,204,0,0,286,0,0,0,493,0,0,7245,1996
