1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,261842,34117,87353,106366,69614,12312,16324,8116,34006,261842,240909,111763,39943,29908,58818,477,8474,675,0,0,0,0,4015,0,3784,0,12459,261842,101298,71195,6862,2562,20141,538,160544,0,103057,1007,151,1375,145,27464,213,9273,217,0,3012,62,0,12523,0,2045,0,0,0
1954:Q3,266207,34488,87720,109757,72336,12452,16782,8187,34242,266207,245076,115171,39583,30885,58984,453,8667,689,0,0,0,0,3969,0,4009,0,12464,266207,101796,71729,6790,2512,20204,561,164411,0,105578,1044,151,1449,145,28167,224,9281,233,0,3070,70,0,12709,0,2290,0,0,0
1954:Q4,273981,35319,89119,113580,75356,12665,17313,8246,35963,273981,251897,120453,40765,30915,59325,439,9362,867,0,0,0,0,4045,0,4450,0,12722,273981,103852,72409,7687,2799,20375,582,170129,0,109157,1146,153,1490,143,29103,238,9359,249,0,3175,78,0,13166,0,2672,0,0,0
1955:Q1,278150,35699,89493,117256,78237,12782,17765,8472,35702,278150,256352,123626,41165,31602,59512,447,9092,702,0,0,0,0,4245,0,4145,0,12706,278150,103532,72984,6834,2501,20614,599,174618,0,112193,1101,160,1541,144,29956,255,9347,266,0,3143,86,0,13455,0,2971,0,0,0
1955:Q2,289258,38325,90522,121656,81697,12989,18263,8707,38755,289258,266542,130685,42227,33306,59886,438,9898,1017,0,0,0,0,4514,0,4367,0,12818,289258,104672,73186,7398,2619,20856,613,184586,0,118860,1115,171,1665,146,30743,274,9702,283,0,3606,95,0,14893,0,3033,0,0,0
1955:Q3,297560,39917,91204,125896,85032,13179,18819,8866,40543,297560,274326,135989,43249,34494,60153,441,10371,1275,0,0,0,16,4859,0,4221,0,12863,297560,105137,73478,7477,2613,20943,626,192423,0,124012,1093,182,1782,149,31544,296,9975,301,0,3949,105,0,15902,0,3133,0,0,0
1955:Q4,307519,42972,91775,129823,87936,13490,19375,9022,42949,307519,283419,141563,46290,34838,60277,451,11201,1417,0,0,0,66,4972,0,4746,0,12899,307519,106722,73853,8385,2905,20938,641,200797,0,129841,1079,191,1852,152,32735,321,10048,318,0,4064,116,0,16972,0,3108,0,0,0
1956:Q1,311277,43595,92173,133258,90356,13657,19954,9291,42251,311277,287872,143246,48257,35453,60458,458,10432,1138,0,0,0,26,4987,0,4281,0,12973,311277,106255,74568,7505,2631,20894,657,205022,0,132575,1098,197,1908,156,33742,349,10061,336,0,3980,127,0,17394,0,3099,0,0,0
1956:Q2,319929,45698,92625,137325,93327,13827,20582,9589,44281,319929,296233,148420,49748,36908,60697,460,10562,1173,0,0,0,94,5080,0,4215,0,13134,319929,107280,74829,7910,2732,21138,671,212649,0,138171,1162,201,2033,159,34706,381,10377,352,0,4292,138,0,17575,0,3102,0,0,0
1956:Q3,325187,46164,92941,141104,96174,13972,21199,9759,44978,325187,301620,151717,50343,37909,61156,495,10421,1142,0,0,0,98,5256,0,3925,0,13146,325187,107646,75081,7936,2772,21167,690,217541,0,141229,1250,204,2150,161,35562,415,10918,371,0,4463,143,0,17578,0,3097,0,0,0
