1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,87353,0,0,0,16742,14,819,3591,477,0,0,0,11841,3252,220,3032,58818,49545,0,0,9273,0,675,675,0,0,0,0,0,1095,0,18,1077,0,2045,2045,0,833,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,2974,330,0,0,0,0,0,0,0,0,0,0
1954:Q3,87720,0,0,0,16663,16,830,3633,453,0,0,0,11731,3309,225,3084,58984,49703,0,0,9281,0,689,689,0,0,0,0,0,1119,0,18,1101,0,2290,2290,0,919,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138,2824,314,0,0,0,0,0,0,0,0,0,0
1954:Q4,89119,0,0,0,16720,18,818,3741,439,0,0,0,11704,3357,230,3127,59325,49966,0,0,9359,0,867,867,0,0,0,0,0,1027,0,16,1011,0,2672,2672,0,1020,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3258,2932,326,0,0,0,0,0,0,0,0,0,0
1955:Q1,89493,0,0,0,16917,43,826,3928,447,0,0,0,11673,3428,240,3188,59512,50165,0,0,9347,0,702,702,0,0,0,0,0,1097,0,18,1079,0,2971,2971,0,1023,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,2732,304,0,0,0,0,0,0,0,0,0,0
1955:Q2,90522,0,0,0,17060,49,847,3995,438,0,0,0,11731,3470,245,3225,59886,50184,0,0,9702,0,1017,1017,0,0,0,0,0,1172,0,22,1150,0,3033,3033,0,913,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,2984,332,0,0,0,0,0,0,0,0,0,0
1955:Q3,91204,0,0,0,17121,51,822,4096,441,16,0,0,11695,3517,250,3267,60153,50178,0,0,9975,0,1275,1275,0,0,0,0,0,1191,0,22,1169,0,3133,3133,0,985,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3158,2842,316,0,0,0,0,0,0,0,0,0,0
1955:Q4,91775,0,0,0,17056,55,698,4152,451,66,0,0,11634,3550,260,3290,60277,50229,0,0,10048,0,1417,1417,0,0,0,0,0,1064,0,17,1047,0,3108,3108,0,899,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3762,3386,376,0,0,0,0,0,0,0,0,0,0
1956:Q1,92173,0,0,0,17004,60,663,4144,458,26,0,0,11653,3611,265,3346,60458,50397,0,0,10061,0,1138,1138,0,0,0,0,0,1118,0,20,1098,0,3099,3099,0,972,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4113,3702,411,0,0,0,0,0,0,0,0,0,0
1956:Q2,92625,0,0,0,17233,69,705,4173,460,94,0,0,11732,3685,271,3414,60697,50320,0,0,10377,0,1173,1173,0,0,0,0,0,1247,0,24,1223,0,3102,3102,0,835,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,3572,397,0,0,0,0,0,0,0,0,0,0
1956:Q3,92941,0,0,0,17256,78,703,4197,495,98,0,0,11685,3730,280,3450,61156,50238,0,0,10918,0,1142,1142,0,0,0,0,0,1280,0,24,1256,0,3097,3097,0,867,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3608,3247,361,0,0,0,0,0,0,0,0,0,0
