1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q3,3716,3716,0,0,3716,-113,-41,0,208,63,2871,0,-3,50,319,31,35,203,0,0,93,0,0,ND,ND,ND,ND,ND,ND
1959:Q4,3092,3092,0,0,3092,-115,0,0,67,55,2243,0,-3,-28,463,31,43,263,0,0,73,0,0,ND,ND,ND,ND,ND,ND
1960:Q1,2481,2481,0,0,2481,57,0,0,-123,47,1474,0,0,178,403,34,53,330,0,0,28,0,0,ND,ND,ND,ND,ND,ND
1960:Q2,2786,2786,0,0,2786,242,0,0,10,40,1967,0,1,-24,297,38,64,230,0,0,-79,0,0,ND,ND,ND,ND,ND,ND
1960:Q3,3216,3216,0,0,3216,200,0,0,55,38,2326,0,2,-31,242,38,67,206,0,0,73,0,0,ND,ND,ND,ND,ND,ND
1960:Q4,2796,2796,0,0,2796,263,0,0,87,41,1936,0,2,-22,354,33,62,95,0,0,-55,0,0,ND,ND,ND,ND,ND,ND
1961:Q1,2267,2267,0,0,2267,398,0,0,55,45,1442,0,3,140,231,30,60,-133,0,0,-4,0,0,ND,ND,ND,ND,ND,ND
1961:Q2,2958,2958,0,0,2958,238,0,0,46,48,2555,0,3,-67,227,28,61,-248,0,0,67,0,0,ND,ND,ND,ND,ND,ND
1961:Q3,3576,3576,0,0,3576,215,0,0,42,46,2702,0,5,89,76,27,59,84,0,0,231,0,0,ND,ND,ND,ND,ND,ND
1961:Q4,3848,3848,0,0,3848,128,0,0,70,37,2573,0,7,68,363,30,53,266,0,0,253,0,0,ND,ND,ND,ND,ND,ND
1962:Q1,2461,2461,0,0,2461,435,0,0,58,31,1666,0,10,51,49,32,47,150,0,0,-68,0,0,ND,ND,ND,ND,ND,ND
1962:Q2,3749,3749,0,0,3749,243,0,0,-30,25,3254,0,13,-39,141,35,44,-157,0,0,220,0,0,ND,ND,ND,ND,ND,ND
1962:Q3,4108,4108,0,0,4108,256,0,0,-13,20,3395,0,13,63,93,36,42,-23,0,0,226,0,0,ND,ND,ND,ND,ND,ND
1962:Q4,3962,3962,0,0,3962,392,0,0,33,16,3049,0,11,69,315,35,42,-5,0,0,5,0,0,ND,ND,ND,ND,ND,ND
1963:Q1,3045,3045,0,0,3045,314,0,0,-43,12,2734,0,10,100,164,35,45,-318,0,0,-8,0,0,ND,ND,ND,ND,ND,ND
1963:Q2,4449,4449,0,0,4449,545,0,0,-330,6,4116,0,9,-6,169,35,46,-390,0,0,249,0,0,ND,ND,ND,ND,ND,ND
1963:Q3,4861,4861,0,0,4861,167,0,0,-45,3,4115,0,8,74,195,37,48,-57,0,0,316,0,0,ND,ND,ND,ND,ND,ND
1963:Q4,4444,4444,0,0,4444,186,0,0,46,4,3461,0,9,87,429,44,50,-30,0,0,158,0,0,ND,ND,ND,ND,ND,ND
1964:Q1,3670,3670,0,0,3670,505,0,0,-27,5,2921,0,10,4,243,61,54,-17,0,0,-89,0,0,ND,ND,ND,ND,ND,ND
1964:Q2,4592,4592,0,0,4592,265,0,0,-100,4,3868,0,11,-58,236,66,54,-13,0,0,259,0,0,ND,ND,ND,ND,ND,ND
