1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q2,720639,0,0,0,0,0,0,86345,0,634294,720639
1982:Q3,732139,0,0,0,0,0,0,98516,0,633623,732139
1982:Q4,743506,0,0,0,0,0,0,99245,0,644261,743506
1983:Q1,755768,0,0,0,0,0,0,96374,0,659394,755768
1983:Q2,768968,0,0,0,0,0,0,98735,0,670233,768968
1983:Q3,780748,0,0,0,0,0,0,111500,0,669248,780748
1983:Q4,793505,0,0,0,0,0,0,113787,0,679718,793505
1984:Q1,807741,0,0,0,0,0,0,111640,0,696101,807741
1984:Q2,822701,0,0,0,0,0,0,115547,0,707154,822701
1984:Q3,836207,0,0,0,0,0,0,128964,0,707243,836207
1984:Q4,849607,0,0,0,0,0,0,132262,0,717345,849607
1985:Q1,865155,0,0,0,0,0,0,140863,0,724292,865155
1985:Q2,879865,0,0,0,0,0,0,144839,0,735026,879865
1985:Q3,894564,0,0,0,0,0,0,158741,0,735823,894564
1985:Q4,909165,0,14194,14194,0,0,0,157936,0,737035,909165
1986:Q1,927364,0,14169,14169,0,0,0,155533,0,757662,927364
1986:Q2,944944,0,0,0,0,0,0,175169,0,769775,944944
1986:Q3,962461,0,15000,15000,0,0,0,171641,0,775820,962461
1986:Q4,979843,0,15000,15000,0,0,0,186682,0,778161,979843
1987:Q1,995221,0,15000,15000,0,0,0,183583,0,796638,995221
1987:Q2,1010489,0,15000,15000,0,0,0,189244,0,806245,1010489
1987:Q3,1025651,0,15000,15000,0,0,0,202841,0,807810,1025651
1987:Q4,1040891,0,14845,14845,0,0,0,217105,0,808941,1040891
1988:Q1,1056705,0,14845,14845,0,0,0,213114,0,828746,1056705
1988:Q2,1072578,0,15000,15000,0,0,0,219929,0,837649,1072578
1988:Q3,1088260,0,15000,15000,0,0,0,233193,0,840067,1088260
1988:Q4,1103738,0,14845,14845,0,0,0,249885,0,839008,1103738
1989:Q1,1119892,0,14845,14845,0,0,0,245331,0,859716,1119892
1989:Q2,1136438,0,15000,15000,0,0,0,253190,0,868248,1136438
1989:Q3,1152557,0,15000,15000,0,0,0,266179,0,871378,1152557
1989:Q4,1168708,0,15000,15000,0,0,0,284287,0,869421,1168708
1990:Q1,1185000,0,15000,15000,0,0,0,279038,0,890962,1185000
1990:Q2,1201307,0,15000,15000,0,0,0,286075,0,900232,1201307
1990:Q3,1217624,0,15000,15000,0,0,0,299748,0,902876,1217624
1990:Q4,1233807,0,15000,15000,0,0,0,317641,0,901166,1233807
1991:Q1,1250811,0,15000,15000,0,0,0,311631,0,924180,1250811
1991:Q2,1268066,0,15000,15000,0,0,0,321001,0,932065,1268066
1991:Q3,1285264,0,15000,15000,0,0,0,335634,0,934630,1285264
1991:Q4,1302178,0,15000,15000,0,0,0,355999,0,931179,1302178
1992:Q1,1320045,0,15000,15000,0,0,0,349685,0,955360,1320045
1992:Q2,1338078,0,15000,15000,0,0,0,359374,0,963704,1338078
1992:Q3,1356032,0,15000,15000,0,0,0,374902,0,966130,1356032
1992:Q4,1373620,0,15000,15000,0,0,0,395786,0,962834,1373620
1993:Q1,1390569,0,15000,15000,0,0,0,387820,0,987749,1390569
1993:Q2,1407484,0,15000,15000,0,0,0,397383,0,995101,1407484
1993:Q3,1424314,0,15000,15000,0,0,0,412230,0,997084,1424314
1993:Q4,1440891,0,15000,15000,0,0,0,432864,0,993027,1440891
1994:Q1,1457834,0,15000,15000,0,0,0,424948,0,1017886,1457834
1994:Q2,1474591,0,15000,15000,0,0,0,434373,0,1025218,1474591
1994:Q3,1491828,0,15000,15000,0,0,0,448883,0,1027945,1491828
1994:Q4,1508570,0,15000,15000,0,0,0,470506,0,1023064,1508570
1995:Q1,1525847,0,15000,15000,0,0,0,461892,0,1048955,1525847
1995:Q2,1543610,0,15000,15000,0,0,0,471918,0,1056692,1543610
1995:Q3,1561417,0,15000,15000,0,0,0,486617,0,1059800,1561417
1995:Q4,1578532,0,15000,15000,0,0,0,491332,0,1072200,1578532
1996:Q1,1595893,0,15000,15000,0,0,0,495850,0,1085043,1595893
1996:Q2,1613614,0,15000,15000,0,0,0,507650,0,1090964,1613614
1996:Q3,1630935,0,15000,15000,0,0,0,520788,0,1095147,1630935
1996:Q4,1647987,0,15000,15000,0,0,0,546392,0,1086595,1647987
1997:Q1,1665578,0,15000,15000,0,0,0,536537,0,1114041,1665578
1997:Q2,1683022,0,15000,15000,0,0,0,546040,0,1121982,1683022
1997:Q3,1700327,0,15000,15000,0,0,0,561602,0,1123725,1700327
1997:Q4,1717117,0,15000,15000,0,0,0,586693,0,1115424,1717117
1998:Q1,1734850,0,15000,15000,0,0,0,575469,0,1144381,1734850
1998:Q2,1753941,0,15000,15000,0,0,0,586532,0,1152409,1753941
1998:Q3,1771853,0,15000,15000,0,0,0,601276,0,1155577,1771853
1998:Q4,1789656,0,15000,15000,0,0,0,627911,0,1146745,1789656
1999:Q1,1808030,0,15000,15000,0,0,0,617554,0,1175476,1808030
1999:Q2,1826548,0,15000,15000,0,0,0,627736,0,1183812,1826548
1999:Q3,1844990,0,15000,15000,0,0,0,642468,0,1187522,1844990
1999:Q4,1863081,0,15000,15000,0,0,0,669033,0,1179048,1863081
2000:Q1,1880808,0,15000,15000,0,0,0,657950,0,1207858,1880808
2000:Q2,1899178,0,15000,15000,0,0,0,668329,0,1215849,1899178
2000:Q3,1917559,0,15000,15000,0,0,0,682363,0,1220196,1917559
2000:Q4,1935852,0,15000,15000,0,0,0,689935,0,1230917,1935852
2001:Q1,1954836,0,15000,15000,0,0,0,698274,0,1241562,1954836
2001:Q2,1974862,0,15000,15000,0,0,0,709915,0,1249947,1974862
2001:Q3,1993651,0,15000,15000,0,0,0,723233,0,1255418,1993651
2001:Q4,2012305,0,15000,15000,0,0,0,750770,0,1246535,2012305
2002:Q1,2030824,0,15000,15000,0,0,0,738737,0,1277087,2030824
2002:Q2,2049073,0,15000,15000,0,0,0,747571,0,1286502,2049073
2002:Q3,2067457,0,15000,15000,0,0,0,758685,1420,1292352,2067457
2002:Q4,2082923,0,15000,15000,0,0,0,775299,9800,1282824,2082923
2003:Q1,2100678,0,15000,15000,0,0,0,752803,18800,1314075,2100678
2003:Q2,2122643,1,15000,15000,0,0,0,763644,21100,1322898,2122643
2003:Q3,2143156,1,22289,16138,0,0,6151,773146,15727,1331993,2143156
2003:Q4,2165557,37,22826,16222,0,0,6604,799966,16884,1325844,2165557
2004:Q1,2186043,72,23019,16252,0,0,6767,786183,17301,1359468,2186043
2004:Q2,2206484,108,22991,16248,0,0,6743,794232,17240,1371913,2206484
2004:Q3,2227451,144,23071,15562,910,0,6599,809347,17003,1377886,2227451
2004:Q4,2249813,212,22732,14608,984,0,7140,841900,18396,1366573,2249813
2005:Q1,2270937,281,22569,14597,966,0,7006,830345,18049,1399693,2270937
2005:Q2,2293137,349,22694,14606,980,0,7108,826123,18312,1425659,2293137
2005:Q3,2315062,417,22691,14929,2248,0,5514,840157,19368,1432429,2315062
2005:Q4,2336383,445,22807,14942,2278,0,5587,868907,19622,1424602,2336383
2006:Q1,2357649,473,23034,14966,2337,0,5731,854760,20129,1459253,2357649
2006:Q2,2377470,501,22858,14947,2291,0,5620,859308,19739,1475064,2377470
2006:Q3,2398563,528,22904,14799,2316,0,5789,874247,20601,1480283,2398563
2006:Q4,2420203,515,23395,14843,2444,0,6108,904667,21736,1469890,2420203
2007:Q1,2441400,501,23545,14856,2483,0,6206,889380,22085,1505889,2441400
2007:Q2,2463025,488,23907,14889,2577,0,6441,878812,22922,1536896,2463025
2007:Q3,2483906,474,23637,15906,2380,0,5351,895027,23555,1541213,2483906
2007:Q4,2503452,507,23430,15865,2329,0,5236,937977,23049,1518489,2503452
2008:Q1,2521723,540,22749,15730,2161,0,4858,922888,21382,1554164,2521723
2008:Q2,2541834,573,22589,15699,2121,0,4769,929460,20992,1568220,2541834
2008:Q3,2558586,605,22792,16169,2313,0,4310,948291,16875,1570023,2558586
2008:Q4,2574055,808,21074,15745,1861,0,3468,1001287,13576,1537310,2574055
2009:Q1,2597618,1010,20395,15578,1682,0,3135,979222,12272,1584719,2597618
2009:Q2,2623452,1213,18836,13627,1819,0,3390,985639,13270,1604494,2623452
2009:Q3,2649803,1415,19828,15044,1458,0,3326,1001599,14227,1612734,2649803
2009:Q4,2674828,1216,19947,15091,1480,0,3376,1065300,14442,1573923,2674828
2010:Q1,2724112,1016,20256,15213,1537,0,3506,1048643,15000,1639197,2724112
2010:Q2,2771208,816,17956,13287,1423,0,3246,1054569,13885,1683982,2771208
2010:Q3,2821723,617,17851,13215,1257,0,3379,1071245,16066,1715944,2821723
2010:Q4,2871261,600,18183,13345,1311,0,3527,1132674,16765,1703039,2871261
2011:Q1,2893368,583,18291,13387,1329,0,3575,1118550,16996,1738948,2893368
2011:Q2,2914692,566,16410,11557,1315,0,3538,1033700,16820,1847196,2914692
2011:Q3,2932436,549,15849,10934,1010,0,3905,1140890,13343,1761805,2932436
2011:Q4,2954397,532,16072,11009,1041,0,4022,1205233,13744,1718816,2954397
2012:Q1,2977140,515,16458,11139,1093,0,4226,1188783,14441,1756943,2977140
2012:Q2,2997578,499,14675,9657,1031,0,3987,1196412,13622,1772370,2997578
2012:Q3,3019785,482,14150,9284,803,74,3989,1216144,14621,1774388,3019785
2012:Q4,3041272,497,14219,9305,811,75,4028,1246971,14764,1764821,3041272
2013:Q1,3063193,513,14397,9360,832,77,4128,1258426,15132,1774725,3063193
2013:Q2,3084069,529,12855,7905,817,75,4058,1172656,14875,1883154,3084069
2013:Q3,3105967,544,12893,7880,782,69,4162,1155848,15690,1920992,3105967
2013:Q4,3127815,635,22465,17266,811,72,4316,1337319,16271,1751125,3127815
2014:Q1,3139423,726,22451,17262,809,72,4308,1324746,16241,1775259,3139423
2014:Q2,3151502,816,21194,15914,823,73,4384,1328942,16526,1784024,3151502
2014:Q3,3162135,907,20918,15990,599,64,4265,1348217,16027,1776066,3162135
2014:Q4,3172745,902,20801,15952,589,63,4197,1407513,15774,1727755,3172745
2015:Q1,3193037,896,20773,15943,587,63,4180,1358679,15709,1796980,3193037
2015:Q2,3212871,891,19390,14618,580,62,4130,1295329,15519,1881742,3212871
2015:Q3,3231189,886,19508,14314,632,62,4500,1271898,13663,1925234,3231189
2015:Q4,3250948,861,22261,17018,638,62,4543,1481824,13795,1732207,3250948
2016:Q1,3266306,836,22219,17006,634,62,4517,1466952,13714,1762585,3266306
2016:Q2,3281600,812,20261,15035,636,62,4528,1469277,13748,1777502,3281600
2016:Q3,3297702,787,20632,15041,841,84,4666,1486849,13942,1775492,3297702
2016:Q4,3312971,846,20602,15033,838,84,4647,1567575,13883,1710065,3312971
2017:Q1,3327095,906,20720,15064,851,85,4720,1525362,14101,1766006,3327095
2017:Q2,3340694,965,19272,13529,864,86,4793,1455300,14320,1850837,3340694
2017:Q3,3354478,1025,18917,13449,840,75,4553,1576923,15267,1742346,3354478
2017:Q4,3368125,975,19040,13482,854,77,4627,1637623,15515,1694972,3368125
2018:Q1,3390260,924,18897,13444,838,75,4540,1644207,15224,1711008,3390260
2018:Q2,3412413,874,17753,12319,835,75,4524,1645828,15169,1732789,3412413
2018:Q3,3434676,824,17662,12075,1015,53,4519,1679099,15497,1721594,3434676
2018:Q4,3454566,784,17013,11921,925,49,4118,1763875,14124,1658770,3454566
2019:Q1,3480745,745,17341,11999,971,51,4320,1723530,14816,1724313,3480745
2019:Q2,3506281,706,15940,10499,989,52,4400,1647913,15090,1826632,3506281
2019:Q3,3530980,666,15956,10369,1034,49,4504,1781536,14853,1717969,3530980
2019:Q4,3556440,706,16206,10424,1070,51,4661,1877231,15370,1646927,3556440
2020:Q1,3575711,745,14916,10142,884,42,3848,1866961,12691,1680398,3575711
2020:Q2,3599763,784,13842,8699,952,45,4146,1857793,13674,1713670,3599763
2020:Q3,3623629,823,13496,8412,798,39,4247,1894245,14796,1700269,3623629
2020:Q4,3648645,952,13923,8491,852,42,4538,1980799,15810,1637161,3648645
2021:Q1,3670304,1081,14230,8548,892,43,4747,1974579,16541,1663873,3670304
2021:Q2,3691067,1210,13281,7387,925,45,4924,1987580,17155,1671841,3691067
2021:Q3,3712268,1339,11760,7188,518,33,4021,1976340,19227,1703602,3712268
2021:Q4,3732623,1112,11924,7221,533,34,4136,2148961,19777,1550849,3732623
2022:Q1,3750755,885,11644,7165,508,33,3938,2153072,18829,1566325,3750755
2022:Q2,3766837,658,9835,5839,453,29,3514,2175999,16803,1563542,3766837
2022:Q3,3783995,431,9546,5546,439,25,3536,2226414,15078,1532526,3783995
2022:Q4,3804172,478,9763,5578,459,26,3700,2387641,15775,1390515,3804172
2023:Q1,3824055,526,9889,5597,471,27,3794,2342043,16177,1455420,3824055
2023:Q2,3843334,573,10617,6254,479,27,3857,2381131,16447,1434566,3843334
2023:Q3,3861019,620,10159,6129,581,21,3428,2423657,16278,1410305,3861019
2023:Q4,3880987,667,10488,6174,622,22,3670,2639431,17430,1212971,3880987
2024:Q1,3900540,715,10600,6189,636,23,3752,2631972,17818,1239435,3900540
