1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,25769,1204,22882,1683,25769,8991,0,0,1138,173,9547,0,4462,492,687,8,0,0,271,0
1962:Q4,26732,1250,23748,1734,26732,9072,0,0,1138,209,10046,0,4748,516,716,12,0,0,275,0
1963:Q1,27382,1281,24342,1759,27382,9099,0,0,1105,250,10525,0,4832,539,745,12,0,0,275,0
1963:Q2,28202,1321,25095,1786,28202,9098,0,0,1090,296,11100,0,4966,561,774,12,0,0,305,0
1963:Q3,28994,1360,25844,1790,28994,9041,0,0,1057,345,11685,0,5124,584,804,11,1,0,342,0
1963:Q4,30024,1411,26817,1796,30024,9036,0,0,1055,394,12366,0,5343,614,838,12,1,0,365,0
1964:Q1,30936,1457,27686,1793,30936,9009,0,0,1064,445,12771,0,5749,654,873,11,1,0,359,0
1964:Q2,32095,1515,28793,1787,32095,8973,0,0,1085,500,13333,0,6188,698,910,11,1,0,396,0
1964:Q3,33313,1575,29933,1805,33313,8990,0,0,1066,554,13927,0,6656,739,950,11,2,0,418,0
1964:Q4,34578,1638,31114,1826,34578,9001,0,0,1042,605,14476,0,7236,781,997,11,2,0,427,0
1965:Q1,35384,1677,31857,1850,35384,8907,0,0,1006,653,14892,0,7607,822,1048,11,2,0,436,0
1965:Q2,36300,1721,32703,1876,36300,8781,0,0,959,700,15412,0,7981,894,1103,11,2,0,457,0
1965:Q3,37243,1769,33613,1861,37243,8622,0,0,979,744,15956,0,8338,930,1162,11,3,0,498,0
1965:Q4,38213,1818,34550,1845,38213,8500,0,0,1040,785,16391,0,8811,956,1222,10,4,0,494,0
1966:Q1,39187,1868,35489,1830,39187,8471,0,0,1170,820,16780,0,9164,993,1286,10,4,0,489,0
1966:Q2,40075,1913,36347,1815,40075,8484,0,0,1254,850,17079,0,9541,1017,1355,10,3,0,482,0
1966:Q3,40708,1945,36963,1800,40708,8441,0,0,1302,878,17206,0,9918,1052,1421,10,4,0,476,0
1966:Q4,41275,1975,37517,1783,41275,8420,0,0,1342,909,17276,0,10289,1110,1478,10,4,0,437,0
1967:Q1,41968,2010,38188,1770,41968,8379,0,0,1404,941,17470,0,10654,1135,1535,9,5,0,436,0
1967:Q2,42801,2052,38994,1755,42801,8348,0,0,1426,973,17852,0,10983,1132,1591,9,5,0,482,0
