1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q4,254,17837,10012,-36539,6124,6312,-468,-3024,0,29514,17904,11610,-29260
2017:Q1,27357,39488,4604,-15103,-1736,-1792,-632,2528,0,-30910,-35700,4790,58267
2017:Q2,12359,-8445,4604,26072,-5284,-5428,192,648,0,-127200,-132144,4944,139559
2017:Q3,1601,-25915,4604,19320,2264,2332,-3812,2808,0,-30168,-35760,5592,31770
2017:Q4,1023990,876636,4604,100290,11968,5632,18096,-9728,16492,964589,959360,5229,59402
2018:Q1,-44452,-24106,18448,-40214,3732,-844,-2652,1184,0,6820,-9644,16464,-51272
2018:Q2,-38781,-58300,18452,15727,-8300,-3044,-4108,2112,-1320,49780,32664,17116,-88561
2018:Q3,43410,27791,18452,-477,-72,-1092,-3500,2308,0,81099,58984,22115,-37689
2018:Q4,71611,9427,18448,46512,2876,-6400,608,140,0,63407,41668,21739,8204
2019:Q1,70531,52562,6788,824,4148,2752,812,2644,0,-11193,-18364,7171,81723
2019:Q2,-95901,-113804,6784,17095,-4496,-3260,208,2892,-1320,-43852,-52812,8960,-52049
2019:Q3,51934,32245,6784,20053,-3560,-832,-1668,-1088,0,-50684,-60516,9832,102618
2019:Q4,28384,-1079,6784,20211,3944,3704,1392,-6572,0,33266,25068,8198,-4882
2020:Q1,31040,43960,7580,-47056,10604,10348,280,5324,0,-41950,-46180,4230,72990
2020:Q2,192967,159037,7576,11202,1096,4996,564,8496,0,333875,327060,6815,-140908
2020:Q3,-230861,-198653,7580,-9253,-13344,-14000,-648,-1224,-1320,-281273,-294072,12799,50412
2020:Q4,41274,26268,7580,255,4580,3080,12,-500,0,57400,43516,13884,-16126
2021:Q1,-41127,-44409,32304,-45406,6552,5012,1664,3156,0,-31541,-61640,30099,-9586
2021:Q2,-40589,-44484,32304,-7505,-10388,-9708,-2172,2684,-1320,-235137,-251636,16499,194547
2021:Q3,25978,-13209,32308,9935,-3204,-256,-3976,4380,0,-137451,-172692,35241,163429
2021:Q4,40946,-79,32304,7509,6052,2956,444,-8240,0,-3502,-39172,35670,44449
2022:Q1,-9754,184642,11772,-206375,4016,-3672,1352,-1488,0,23372,15484,7888,-33126
2022:Q2,-109720,-55247,14084,-59281,-10252,-4088,4204,2180,-1320,-236244,-246804,10560,126524
2022:Q3,-55009,12304,9212,-73005,-2028,256,-832,-916,0,-103361,-116012,12651,48353
2022:Q4,-21106,-78695,10756,43285,9204,2928,2772,-11356,0,59885,45160,14725,-80990
2023:Q1,124383,83543,6788,30644,636,1920,-1168,2020,0,57523,55232,2291,66861
2023:Q2,-169401,-158705,11112,-12840,-6176,-3260,384,2560,-2476,-147928,-155056,7128,-21473
2023:Q3,8395,3083,4468,-6816,836,3568,2232,1024,0,10313,1908,8405,-1917
2023:Q4,58854,-47646,1520,94728,6832,2276,6324,-5180,0,-48975,-55036,6061,107829
2024:Q1,45350,57169,6844,-40323,15996,2300,-704,4068,0,103901,102168,1733,-58551
